"d_yearmonthnum","s_nation","lo_partkey","lo_revenue","lo_supplycost"
199208,"EGYPT",184975,5506299,123598
199204,"SAUDI ARABIA",45008,3962574,57180
199208,"SAUDI ARABIA",48915,6827502,111834
199210,"IRAN",184237,4054854,79273
199212,"JORDAN",20191,3266898,66671
199202,"JORDAN",31234,116523,69913
199203,"SAUDI ARABIA",125995,2772798,121259
199201,"IRAN",39872,2870002,108712
199201,"IRAQ",21616,4520573,92256
199201,"IRAN",112893,9434155,114353
199207,"IRAQ",42269,5104249,72675
199210,"IRAQ",22244,3463732,69974
199211,"IRAQ",70816,1061365,107208
199202,"IRAN",36208,3700342,68652
199208,"SAUDI ARABIA",10683,5622503,95620
199210,"SAUDI ARABIA",33330,3627020,75799
199203,"IRAN",7904,5504552,108714
199211,"IRAN",193567,8055376,99633
199209,"EGYPT",73679,490842,99160
199212,"JORDAN",20922,8940004,110575
199210,"SAUDI ARABIA",152331,4202556,82999
199210,"SAUDI ARABIA",138355,2867514,83601
199208,"JORDAN",126937,8166020,117835
199208,"IRAN",14224,1138220,68293
199211,"SAUDI ARABIA",144102,4355180,68766
199201,"JORDAN",38999,1726749,116279
199211,"SAUDI ARABIA",70273,5726501,74596
199211,"EGYPT",48105,4747374,63186
199210,"EGYPT",154115,4676440,70146
199208,"SAUDI ARABIA",160684,7772549,104680
199207,"SAUDI ARABIA",13287,3120728,72016
199201,"JORDAN",77422,1939596,83965
199203,"JORDAN",92904,2602546,113814
199208,"IRAN",134943,6266113,118676
199204,"IRAN",35064,4154091,59943
199201,"SAUDI ARABIA",70162,3962560,67929
199204,"IRAN",184634,7390109,103117
199201,"EGYPT",128603,1776812,97896
199203,"IRAQ",199181,1520853,76810
199203,"SAUDI ARABIA",112273,503825,77116
199210,"SAUDI ARABIA",195014,768543,66540
199202,"SAUDI ARABIA",113185,3202735,71890
199205,"IRAQ",77420,3596959,83845
199211,"IRAN",158463,6694424,91287
199211,"IRAQ",134274,3885561,78496
199203,"SAUDI ARABIA",122213,988168,74112
199207,"IRAQ",10167,1066388,64629
199203,"EGYPT",27289,5298115,72976
199211,"SAUDI ARABIA",98114,2179735,66726
199201,"IRAQ",170408,4201612,88704
199208,"IRAQ",163222,6297578,77113
199208,"JORDAN",55935,6926476,113455
199208,"EGYPT",81427,6478732,84505
199210,"SAUDI ARABIA",121753,8433612,106485
199204,"IRAQ",173318,5234108,83478
199207,"IRAQ",83269,2003616,75135
199205,"EGYPT",87640,7089999,97658
199211,"JORDAN",26427,5278338,81205
199204,"IRAQ",34486,1252863,85228
199207,"JORDAN",89582,6845802,94294
199205,"JORDAN",66176,3883378,68530
199209,"IRAN",105435,5761720,86425
199201,"EGYPT",48660,2707374,96519
199205,"IRAQ",79171,3757605,69010
