"d_yearmonthnum","s_nation","lo_custkey","lo_partkey","lo_revenue","lo_supplycost"
199204,"IRAQ",16436,192746,7171086,110324
199201,"IRAQ",8500,169120,3329536,71347
199209,"IRAN",15314,65001,4057200,57960
199202,"IRAN",2344,79595,2338266,94475
199202,"SAUDI ARABIA",2344,22895,545367,109073
199208,"IRAN",27082,184102,4998225,71166
199212,"EGYPT",16834,108240,2935860,74894
199211,"IRAN",1957,147908,8605960,117354
199205,"IRAN",21572,19820,7133262,104389
199206,"EGYPT",22090,40858,7123446,107931
199203,"SAUDI ARABIA",2323,154090,2491828,68645
199202,"EGYPT",28229,184841,192584,115550
199202,"JORDAN",13697,12524,2815579,86191
199206,"IRAQ",8573,21060,3205123,58863
199210,"SAUDI ARABIA",3869,181300,1777733,82878
199212,"IRAQ",6850,122306,5786074,79698
199212,"IRAQ",10330,187783,8250139,112246
199205,"EGYPT",27113,35039,4295472,58441
199210,"IRAQ",18142,45649,3029816,95678
199205,"IRAQ",21548,178823,9509100,114109
199203,"JORDAN",22877,120223,3692363,74593
199203,"EGYPT",7603,32735,8338650,100063
199208,"IRAQ",5506,128856,7573327,113091
199207,"IRAN",20302,195178,4117431,76390
199207,"SAUDI ARABIA",20302,145603,2908130,98916
199207,"SAUDI ARABIA",20302,142379,2110734,85282
199202,"IRAN",21055,164201,5886975,75912
199212,"EGYPT",7987,84179,227981,69790
199212,"EGYPT",7987,193011,1530157,66240
199207,"JORDAN",26336,172924,2372340,119815
199210,"SAUDI ARABIA",14626,100752,8416705,105165
199212,"EGYPT",563,4069,4386554,58383
199202,"SAUDI ARABIA",3676,181031,1334436,66721
199202,"JORDAN",20317,193605,5717487,101916
199202,"IRAQ",20317,197275,5434189,82336
199206,"JORDAN",13835,48122,4601516,64207
199210,"JORDAN",27304,123581,4088469,96274
199201,"IRAQ",6229,157385,2884760,86542
199210,"IRAN",23831,52293,5671050,74717
199212,"IRAQ",6406,142418,2289922,87624
199204,"SAUDI ARABIA",18301,112024,2944368,62161
199211,"IRAQ",1520,194680,2956616,106480
199202,"SAUDI ARABIA",16195,124531,2644401,93331
199202,"IRAN",12349,116377,3724478,83602
199211,"IRAN",9467,173536,3058107,96571
199208,"IRAQ",18853,174380,1439836,87262
199208,"IRAN",18853,2606,6637840,90516
199202,"JORDAN",3431,131747,3345809,106724
199202,"IRAN",6907,40444,271350,83066
199211,"IRAN",17477,98631,5051853,97777
199210,"SAUDI ARABIA",27487,178900,5485510,118734
199208,"IRAQ",20749,169016,3652143,65100
199208,"JORDAN",20749,16118,1216113,62046
199204,"IRAQ",8656,76206,117037,70932
199201,"IRAQ",23281,182974,2822162,123418
199209,"SAUDI ARABIA",25027,41733,3014514,100483
199208,"IRAN",25540,188800,5609736,113328
199212,"JORDAN",17737,158113,4985415,70266
199202,"IRAQ",15068,57496,4505819,87209
199209,"JORDAN",19184,199870,984935,118192
199212,"IRAN",5569,159302,1886761,81678
199205,"SAUDI ARABIA",8221,176998,203349,124499
199205,"EGYPT",7622,172105,2913322,70626
199206,"SAUDI ARABIA",3076,141993,7578302,122099
199206,"SAUDI ARABIA",3076,59704,978255,99822
199204,"JORDAN",21199,69110,3129419,64746
199208,"SAUDI ARABIA",22783,4991,743228,113759
199212,"SAUDI ARABIA",16073,79006,2413250,59100
199207,"IRAN",29014,40463,7017300,84207
199203,"EGYPT",18580,66562,4738536,91713
199211,"JORDAN",4261,108849,928920,111470
199202,"IRAN",29746,48640,4089159,95318
199204,"JORDAN",13945,113036,1038539,62941
199209,"SAUDI ARABIA",23257,117553,4309589,94233
199208,"IRAQ",12812,14555,3055194,88173
199203,"SAUDI ARABIA",1220,44235,3065998,70753
199209,"SAUDI ARABIA",10621,72959,4922608,115917
199204,"JORDAN",21526,193624,504980,103057
199202,"IRAN",12227,31263,3821632,71655
199204,"SAUDI ARABIA",8677,32453,1523995,83127
199203,"IRAQ",18275,179978,5144925,123478
199212,"EGYPT",19220,130641,5182084,100298
199209,"SAUDI ARABIA",7462,52337,631771,77359
199208,"IRAN",26932,3917,1070695,109254
199202,"EGYPT",22096,128972,9216467,120058
199206,"IRAN",16316,68104,3752350,64326
199211,"JORDAN",8333,72258,5480763,73815
199204,"SAUDI ARABIA",229,19037,4259113,57361
199208,"IRAN",1645,152747,2316265,107984
199207,"EGYPT",4330,61519,5477887,88830
199207,"IRAQ",4330,143292,133529,80117
199206,"JORDAN",1904,154457,4534350,90687
199201,"EGYPT",6622,85032,1728951,61021
199209,"EGYPT",19504,159543,4397369,96152
199205,"IRAN",10991,108931,1520905,116395
199210,"SAUDI ARABIA",3094,28779,4564869,102466
199210,"SAUDI ARABIA",3094,153406,4623379,87564
199204,"IRAQ",27895,152806,2944339,111528
199208,"SAUDI ARABIA",12403,102664,7166638,99999
199208,"IRAQ",27118,117716,343274,104022
199202,"EGYPT",29978,114472,6769384,89188
199206,"SAUDI ARABIA",17869,164618,6562179,100956
199202,"IRAN",6817,118340,3194815,81500
199206,"JORDAN",2218,179667,4495902,104799
199206,"IRAN",2218,51334,1908715,77119
199204,"IRAN",10379,179669,1398928,104919
199205,"EGYPT",4285,7936,3614102,110635
199201,"JORDAN",29206,58451,2486269,84567
199206,"IRAQ",21343,28003,931000,55860
199209,"JORDAN",1651,61569,3939661,91833
199210,"EGYPT",2407,17325,5843873,74539
199201,"IRAQ",12758,80150,4475394,67809
199201,"SAUDI ARABIA",12758,67186,2968285,69190
199203,"JORDAN",18601,4372,4002696,76582
199210,"JORDAN",24209,169011,1389972,64800
199210,"IRAN",24209,51963,3753321,114897
199208,"IRAN",19888,90224,4447687,72853
199207,"IRAN",28207,184921,9829008,120355
199212,"EGYPT",350,111074,1181641,65104
199201,"SAUDI ARABIA",15031,69862,5984686,109911
199207,"IRAN",5374,186159,122024,74709
199208,"JORDAN",13535,58678,4910010,98200
199211,"IRAQ",15572,18626,1967845,92677
199212,"EGYPT",28112,113005,3563000,61080
199211,"JORDAN",11419,79102,317843,64866
199207,"SAUDI ARABIA",25379,118894,1721601,114773
199206,"IRAQ",23974,195343,2563121,86300
199205,"IRAN",7567,28760,167187,101325
199212,"IRAN",16555,37653,3897092,95439
199212,"JORDAN",8236,114419,4776122,86004
199208,"SAUDI ARABIA",18263,161506,5837370,94050
199210,"IRAQ",14260,40793,339822,104027
199210,"IRAN",4039,94198,2570361,71531
199204,"EGYPT",18509,196695,5912577,107501
199205,"IRAQ",24007,94132,5518037,67567
199206,"EGYPT",991,11498,837237,84569
199205,"IRAQ",25228,5266,4591339,70275
199212,"EGYPT",1643,76949,1132452,115556
199201,"SAUDI ARABIA",19357,22598,1937231,91235
199204,"SAUDI ARABIA",19613,60872,3629082,109972
199201,"EGYPT",24250,110815,6262528,109548
199205,"JORDAN",6695,194499,4259398,95609
199207,"EGYPT",12124,53026,959439,58741
199205,"EGYPT",25903,152546,2557664,95912
199208,"IRAQ",14809,141206,4155670,74832
199202,"IRAN",24788,14150,3371227,63849
199202,"SAUDI ARABIA",24788,7590,4696442,89855
199206,"IRAN",21334,91458,2556829,86967
199206,"EGYPT",21334,131460,147654,89487
199202,"IRAN",24302,183959,8784685,122577
199212,"IRAQ",1930,141631,4139759,100357
199206,"SAUDI ARABIA",18124,15111,3418998,61566
199209,"IRAQ",18061,125829,727089,111289
199203,"SAUDI ARABIA",8852,146369,4438568,84921
199205,"SAUDI ARABIA",6577,138591,1466631,97775
199205,"IRAQ",6577,103070,3824421,64384
199202,"SAUDI ARABIA",13747,175430,4322089,90325
199205,"EGYPT",27914,67626,5206356,95617
199205,"JORDAN",26668,151651,4719745,102159
199205,"IRAN",26668,29987,4696601,115018
199202,"IRAQ",12041,33731,5768289,99883
199203,"EGYPT",9944,65595,5462065,93635
199207,"IRAN",14924,196414,4229148,90624
199203,"IRAQ",10775,23654,1236877,94659
199207,"JORDAN",4297,140136,582184,70567
199207,"IRAQ",4297,193522,4638157,96931
199204,"JORDAN",25297,102076,3201867,64684
199205,"IRAN",6091,195804,3385443,113988
199204,"IRAQ",9281,41787,2371886,103726
199211,"EGYPT",17407,40868,6984008,108531
199211,"IRAN",17407,21924,8864107,110755
199209,"SAUDI ARABIA",8203,46163,1885572,66549
199207,"IRAQ",12748,123173,956936,71770
199202,"SAUDI ARABIA",21508,125629,5733258,99277
199211,"EGYPT",5507,1570,5047485,88294
199209,"EGYPT",3835,45167,330311,66729
199210,"SAUDI ARABIA",2695,82513,732799,89730
199210,"EGYPT",4879,52859,4663701,108711
199209,"SAUDI ARABIA",9344,122906,5786700,115734
199205,"SAUDI ARABIA",15382,95809,5233920,108288
199204,"IRAQ",14692,177458,2610265,92127
199207,"EGYPT",22636,104146,5290644,69008
199208,"IRAN",3947,185720,6901461,108343
199208,"SAUDI ARABIA",371,60300,756180,75618
199208,"SAUDI ARABIA",2431,7730,5895828,98263
199206,"SAUDI ARABIA",2027,150103,4843020,69186
199212,"IRAQ",28318,43249,715344,71534
199203,"JORDAN",1681,147271,4877599,79096
199201,"SAUDI ARABIA",13226,41302,2461734,74598
199212,"EGYPT",20312,188462,7214290,93027
199212,"SAUDI ARABIA",5146,102153,5207416,69309
199208,"IRAN",20609,33172,1989306,66310
199204,"EGYPT",22253,183970,2415468,123238
199207,"IRAQ",10531,173310,3560639,82998
199203,"IRAN",5095,162705,2298010,106062
199208,"EGYPT",230,17113,2220917,61806
199202,"JORDAN",21004,170875,9054133,116752
199207,"IRAN",21262,72206,115463,70692
199205,"SAUDI ARABIA",12898,81988,5019509,118198
199209,"IRAQ",20155,195083,706848,70684
199208,"IRAN",5776,155540,7179930,95732
199209,"SAUDI ARABIA",4973,1809,2032430,102648
199206,"IRAN",18467,27368,5642588,77721
199204,"EGYPT",21436,199544,2738137,98612
199209,"EGYPT",17060,21350,4153500,76281
199211,"IRAQ",21764,96050,3033545,62763
199201,"JORDAN",29617,189500,3461931,95370
199205,"SAUDI ARABIA",12310,97788,892890,107146
199201,"IRAQ",20066,116992,1575048,120539
199212,"IRAQ",19030,107864,7783193,112311
199203,"SAUDI ARABIA",21227,65797,4362905,105767
199207,"IRAQ",26182,161258,3561975,79155
199201,"SAUDI ARABIA",14572,169578,6260766,98854
199208,"SAUDI ARABIA",16066,118625,6281915,98617
199201,"EGYPT",25259,80677,5685808,99460
199205,"IRAQ",2174,176384,3036130,87622
199207,"JORDAN",13123,56176,2108100,67930
199207,"EGYPT",13123,148701,4676948,104982
199204,"EGYPT",14653,4567,4326386,88293
199201,"EGYPT",20071,96191,3324132,71231
199212,"IRAN",24979,23205,1241020,67692
199212,"SAUDI ARABIA",24979,48709,3086637,99462
199205,"SAUDI ARABIA",22274,18740,2322236,99524
199209,"EGYPT",11278,194586,7905448,100834
199201,"IRAN",16150,22314,4450716,74178
199201,"JORDAN",16150,28925,370784,111235
199202,"EGYPT",19067,141062,1433978,66183
199202,"JORDAN",19067,125178,5479236,72190
199202,"IRAN",19067,59434,3004235,83605
199204,"JORDAN",730,171320,5565280,83479
199203,"SAUDI ARABIA",23995,101844,1628030,110750
199207,"EGYPT",8258,177942,5857826,121196
199207,"EGYPT",8258,110048,523729,63482
199210,"JORDAN",17105,84001,3120480,59100
199205,"IRAQ",18367,60709,7854268,100182
199208,"SAUDI ARABIA",8182,183777,2232924,111646
199210,"IRAN",5828,51827,3522063,106729
199211,"IRAN",22735,170756,8220375,109605
199202,"IRAQ",2680,98118,4156393,66966
199202,"EGYPT",2680,61963,1924960,115497
199206,"EGYPT",8020,81488,7053504,88168
199202,"SAUDI ARABIA",3883,93072,319521,63904
199209,"IRAQ",21077,39897,8001492,110213
199202,"IRAN",20246,77094,1679469,64265
199202,"SAUDI ARABIA",20246,142826,9157218,112129
199208,"JORDAN",17429,109689,4827648,101920
199211,"JORDAN",1514,107996,6677294,120239
199207,"EGYPT",3167,60248,1657705,72494
199203,"EGYPT",25444,42977,8173312,115198
199204,"IRAN",9811,177458,4815171,92127
199202,"JORDAN",19432,7444,5351702,81086
199203,"IRAQ",4259,173076,3828701,68944
199201,"IRAQ",15302,53067,2958174,61203
199203,"EGYPT",9488,124479,3094141,90208
199203,"JORDAN",9488,93022,2030040,60901
199210,"SAUDI ARABIA",361,59950,9549750,114597
199210,"IRAQ",361,172433,5216314,90325
199205,"EGYPT",12346,58684,7318139,98560
199209,"EGYPT",17003,96864,372172,111651
199208,"JORDAN",9796,9217,2675874,67572
199201,"IRAN",29635,182735,2137650,109063
199206,"IRAQ",3883,159460,3459810,91167
199207,"SAUDI ARABIA",16085,37982,7714479,115198
199212,"EGYPT",1250,194387,2666484,88882
199209,"IRAN",23605,26618,756858,92676
199209,"JORDAN",23605,55156,990034,66669
199203,"SAUDI ARABIA",29875,22308,4461067,73818
199201,"JORDAN",9841,97941,7870157,116336
199208,"JORDAN",16075,1495,4516248,83789
199205,"JORDAN",29915,22131,1158443,63187
199205,"SAUDI ARABIA",5663,142136,824691,70687
199211,"IRAN",8530,105155,2501283,69609
199211,"IRAN",27287,19088,1007080,60424
199211,"IRAN",27287,123536,3973682,93571
199208,"SAUDI ARABIA",8309,58412,3088904,82224
199206,"IRAN",29978,33149,4029889,64928
199207,"SAUDI ARABIA",24140,10084,3936556,59644
199210,"SAUDI ARABIA",23389,64996,2912070,117659
199210,"IRAN",25471,65546,1058078,90692
199203,"EGYPT",26825,25538,6293179,87811
199210,"IRAN",28975,30312,3726930,74538
199203,"IRAQ",18581,19840,3794215,105590
199204,"IRAN",10727,35263,1198260,71895
199202,"EGYPT",6937,167337,3370392,84259
199202,"IRAQ",6937,185404,6255480,89364
199205,"JORDAN",15367,94006,1000000,60000
199206,"IRAN",15103,28253,116943,70875
199206,"IRAN",14797,21019,1381814,56400
199207,"IRAN",13264,169204,5293965,76392
199211,"IRAQ",16585,130517,7273297,92850
199211,"JORDAN",16585,104948,8612465,117176
199209,"IRAN",5894,103801,7683033,108288
199207,"SAUDI ARABIA",25459,45016,3484622,57660
199207,"IRAQ",10459,70925,4459203,113755
199207,"IRAQ",10459,24411,6677050,80124
199205,"EGYPT",11672,11100,3071721,60666
199208,"IRAQ",11168,39135,4997926,64447
199211,"SAUDI ARABIA",13595,55777,1188680,103966
199211,"EGYPT",23053,74967,6089986,116517
199204,"IRAN",18590,82928,5159484,114655
199212,"IRAN",2501,156879,1341557,116152
199203,"SAUDI ARABIA",8153,48478,5451968,85588
199203,"IRAN",8153,77479,6137564,87388
199205,"IRAN",1258,43251,4418725,71655
199210,"IRAQ",21502,98309,6144310,78438
199211,"IRAN",23390,142936,3490832,118735
199207,"SAUDI ARABIA",20932,1099,4508405,60005
199207,"IRAQ",15358,194110,4816440,72246
199207,"IRAQ",15358,662,1701736,93759
199202,"JORDAN",8282,98659,2486475,99459
199205,"IRAN",6772,117391,1126712,84503
199205,"IRAN",29545,19757,8383750,100605
199205,"SAUDI ARABIA",29545,16123,822983,62347
199210,"IRAN",12469,83236,1448445,73153
199210,"EGYPT",15040,105953,8638969,117537
199202,"IRAQ",27805,130947,3362498,118676
199204,"SAUDI ARABIA",13975,54587,3927945,92494
199203,"JORDAN",10378,105293,2466751,77897
199205,"SAUDI ARABIA",27869,68051,4693744,61143
199204,"IRAN",4861,24356,1792490,76821
199203,"SAUDI ARABIA",4214,107974,2136563,118918
199206,"IRAN",3170,82102,1274901,65046
199206,"SAUDI ARABIA",3170,42181,889558,67390
199207,"JORDAN",7631,52948,5961347,114056
199210,"IRAN",19429,61125,2150517,65167
199212,"IRAN",20998,168159,4209124,73629
199207,"IRAQ",13846,69674,5637788,98620
199206,"SAUDI ARABIA",28669,42923,6344128,111955
199206,"SAUDI ARABIA",28669,39990,9649950,115799
199207,"IRAN",1459,76949,2478684,115556
199204,"JORDAN",6472,96508,3276801,90270
199204,"JORDAN",2227,131131,4213883,69727
199210,"IRAN",16216,81026,299084,60421
199205,"IRAQ",10126,130567,2348413,95853
199207,"SAUDI ARABIA",21112,57246,476483,72194
199207,"IRAN",21112,85474,7297350,87568
199202,"EGYPT",26590,176168,1478062,74649
199206,"JORDAN",24607,24773,3494010,101866
199208,"SAUDI ARABIA",22609,168719,6793298,107262
199204,"JORDAN",577,188333,1989862,85279
199206,"JORDAN",24913,97268,5455801,75915
199206,"IRAN",24913,166732,7122970,107923
199209,"EGYPT",7531,197797,8905513,113687
199209,"EGYPT",7531,35581,4458745,90994
199209,"JORDAN",3082,197596,995830,101615
199209,"IRAN",3082,16220,4544880,68173
199205,"JORDAN",17083,1927,8961708,109735
199209,"EGYPT",5551,150001,312147,63060
199209,"EGYPT",5551,159371,708033,85822
199207,"SAUDI ARABIA",17719,117397,6376070,84863
199207,"IRAQ",17719,59940,3197599,113996
199207,"SAUDI ARABIA",13616,184322,4359592,84379
199201,"JORDAN",29944,179865,1166916,116691
199203,"EGYPT",14228,28196,3372570,67451
199203,"JORDAN",14228,38854,6676573,107571
199212,"SAUDI ARABIA",21538,108598,4016475,96395
199207,"IRAN",253,141875,6641954,115012
199210,"IRAQ",18844,41204,2720995,68712
199209,"IRAQ",9151,81172,4859458,69190
199203,"SAUDI ARABIA",14714,52509,6576750,87690
199203,"JORDAN",14714,109308,5346920,79038
199201,"IRAQ",27193,77292,3680941,76157
199208,"SAUDI ARABIA",3926,21015,733831,56160
199206,"IRAN",9223,124239,5431889,75793
199208,"JORDAN",24371,98918,4600584,115014
199201,"SAUDI ARABIA",3679,67549,4161385,90992
199206,"EGYPT",28988,96827,8221780,109429
199201,"IRAQ",1390,176547,6911409,97412
199209,"IRAQ",18131,118093,2529951,66665
199202,"SAUDI ARABIA",10538,196727,5653532,109423
199206,"IRAQ",23209,37516,5468104,87210
199203,"EGYPT",24628,187453,5337659,92427
199205,"IRAQ",5014,103402,5704518,84324
199208,"EGYPT",16480,27788,339724,102946
199211,"SAUDI ARABIA",21439,184753,8284577,110265
199202,"SAUDI ARABIA",11284,22321,124332,74599
199203,"EGYPT",14377,31558,147465,89373
199207,"SAUDI ARABIA",26866,198809,377744,114468
199205,"JORDAN",2563,81165,453879,68769
199204,"IRAQ",9902,176562,3050998,98313
199206,"JORDAN",12080,103767,6020584,106245
199211,"JORDAN",5485,127717,6326318,104682
199206,"SAUDI ARABIA",4556,119007,4223016,61560
199207,"EGYPT",2143,131678,4231433,102580
199211,"SAUDI ARABIA",10825,88725,6213948,102823
199207,"EGYPT",9650,123300,655033,79398
199203,"IRAN",16556,5276,3780064,70876
199203,"JORDAN",26848,119410,4145289,85764
199212,"IRAQ",913,114205,836371,73152
199202,"JORDAN",5932,195752,4708067,110865
199207,"IRAN",520,12606,2678810,91116
199207,"EGYPT",6709,89705,2823370,101682
199209,"IRAQ",25094,196536,7183132,97951
199209,"EGYPT",25094,44573,6395039,91054
199204,"JORDAN",11735,185436,5218504,91285
199207,"IRAN",29389,115959,5999898,118497
199208,"EGYPT",1081,20362,3334136,76941
199208,"JORDAN",10612,15962,5521202,112677
199205,"IRAQ",18908,12977,7671388,113398
199207,"IRAN",14362,15088,4915092,60184
199209,"JORDAN",3859,84661,2932566,98739
199202,"IRAN",22801,78718,4323217,101802
199207,"SAUDI ARABIA",23995,199643,512336,104558
199209,"IRAN",727,35328,3466550,75799
199210,"IRAQ",2402,53998,5465572,117119
199203,"IRAN",9214,34563,1347804,89853
199209,"JORDAN",12508,161699,8627381,105641
199201,"SAUDI ARABIA",4559,112144,4349398,69368
199210,"IRAQ",20818,3010,4115849,54780
199202,"SAUDI ARABIA",27697,11763,6797850,100485
199201,"SAUDI ARABIA",18526,172754,2893572,109605
199212,"JORDAN",158,101145,4469946,68768
199207,"JORDAN",25469,176971,5619629,122878
199202,"IRAN",26474,47332,895531,76759
199203,"EGYPT",26599,199684,1070208,107020
199211,"IRAN",20575,4517,562917,85290
199203,"IRAN",19715,17330,6050797,74839
199203,"SAUDI ARABIA",22532,103873,5067549,112612
199206,"JORDAN",16913,59636,4467764,95737
199212,"EGYPT",20425,187251,1338250,80295
199208,"JORDAN",24700,197231,4515982,79693
199206,"EGYPT",12355,106159,5366680,69909
199205,"IRAQ",19849,67947,4929055,114896
199204,"SAUDI ARABIA",23077,77444,6547152,85286
199209,"EGYPT",20752,164945,6894094,120596
199211,"EGYPT",97,40078,3359631,61084
199208,"IRAN",25631,120693,2687065,102821
199209,"JORDAN",18038,122704,8547165,103602
199210,"EGYPT",8668,102763,176576,105945
199212,"JORDAN",1796,42084,1422146,61564
199209,"IRAQ",7936,189758,9238750,110865
199211,"JORDAN",20846,79506,1634050,89130
199209,"IRAN",17392,60319,3837930,76758
199210,"SAUDI ARABIA",14137,142397,3808625,86363
199210,"JORDAN",14137,64498,716620,87749
199207,"JORDAN",25588,110633,4766527,98617
199207,"JORDAN",22937,117747,1397674,105884
199208,"SAUDI ARABIA",6955,190274,5615335,81856
199212,"EGYPT",19880,187317,6600257,84258
199207,"IRAQ",10954,38924,2921058,111775
199206,"EGYPT",12445,7867,1932822,106491
199211,"IRAN",23651,117235,2479415,75133
199202,"JORDAN",18556,186681,2100003,106060
199207,"EGYPT",16972,34630,6258520,93877
199207,"EGYPT",29194,137933,7883720,118255
199207,"SAUDI ARABIA",29194,24513,4648907,86250
199202,"JORDAN",2270,179753,7697550,109965
199208,"IRAN",13133,158535,156165,95611
199210,"EGYPT",3937,139420,1573254,87565
199201,"EGYPT",21079,155445,4951452,90026
199201,"IRAN",4940,106401,1793027,84444
199205,"SAUDI ARABIA",5581,59546,1490484,90332
199208,"SAUDI ARABIA",9311,165478,3395634,92608
199211,"SAUDI ARABIA",8230,12331,2486660,74599
199207,"IRAN",28042,137488,1494970,91528
199204,"EGYPT",19322,12779,7792292,101506
199209,"JORDAN",19919,154923,775344,118675
199211,"IRAN",2693,188079,4318159,70024
199206,"IRAQ",4249,1034,1466127,56101
199206,"IRAQ",9796,93400,975380,83604
199205,"IRAQ",17215,53112,2556264,63906
199206,"SAUDI ARABIA",29285,169341,7051700,84620
199208,"IRAN",26971,159006,2191770,63900
199202,"SAUDI ARABIA",23926,170389,3900922,87562
199206,"IRAQ",17159,40162,4752513,66129
199201,"IRAN",6103,135324,5861387,81559
199208,"EGYPT",23852,178275,3518502,81196
199205,"IRAN",16264,168337,2341279,84319
199202,"IRAQ",26518,73604,3279830,94656
199209,"SAUDI ARABIA",6740,69111,108011,64806
199203,"IRAN",29191,34494,424261,85709
199210,"SAUDI ARABIA",5647,119514,1533510,92010
199210,"IRAQ",27515,54656,4783630,96639
199210,"JORDAN",27515,181909,5176340,119454
199201,"SAUDI ARABIA",19504,16844,7765304,105650
199208,"IRAN",17473,46878,1251860,109492
199209,"EGYPT",7735,80490,5620212,88229
199209,"IRAQ",7735,120162,579258,70929
199211,"SAUDI ARABIA",25261,87010,97706,59820
199211,"IRAN",25261,12443,1610262,81326
199202,"SAUDI ARABIA",18731,59668,1611383,97659
199203,"EGYPT",23197,170807,3128414,112668
199203,"IRAN",23197,143597,1768556,98435
199203,"EGYPT",23197,31293,3672870,73457
199211,"EGYPT",29425,140244,3146388,77054
199204,"SAUDI ARABIA",22738,20179,5114438,65950
199204,"EGYPT",22738,185007,2033304,65520
199211,"IRAQ",7912,198891,5712974,119393
199206,"EGYPT",29740,93149,3426420,68528
199206,"EGYPT",29740,84963,5843880,116877
199209,"IRAQ",21079,28472,840282,84028
199206,"EGYPT",508,132161,477264,71589
199202,"EGYPT",28334,11499,6702648,84629
199210,"SAUDI ARABIA",18578,4014,3817085,55080
199212,"JORDAN",8101,17887,5595128,108292
199204,"IRAQ",9538,52401,6090300,81204
199210,"IRAQ",10393,40545,3529643,89132
199212,"SAUDI ARABIA",7288,109110,3619201,67146
199203,"SAUDI ARABIA",12622,61230,3891748,71473
199211,"SAUDI ARABIA",23653,199345,6434534,86660
199201,"IRAQ",4145,39042,4422528,58862
199203,"JORDAN",12577,121576,5219261,95854
199210,"EGYPT",7414,197052,2957654,68943
199206,"JORDAN",9775,155183,1103218,74290
199206,"SAUDI ARABIA",9775,157899,3835504,117413
199206,"IRAN",19291,55848,1262688,108230
199203,"EGYPT",1781,21758,3991086,100785
199210,"SAUDI ARABIA",21454,197765,3872678,111765
199210,"SAUDI ARABIA",21454,139799,5946646,110327
199203,"JORDAN",17629,151678,3459340,103780
199207,"EGYPT",27127,25586,3476634,90694
199212,"JORDAN",25711,189813,2983606,114168
199203,"IRAN",11039,60041,3433567,60062
199206,"IRAN",24718,17826,2762210,104629
199201,"SAUDI ARABIA",2261,50359,2181377,78561
199201,"JORDAN",2261,180416,879889,89784
199201,"EGYPT",2044,76546,4823406,91352
199202,"SAUDI ARABIA",8773,29099,3460550,61685
199201,"EGYPT",21877,38594,1992367,91955
199202,"SAUDI ARABIA",24025,75166,2348507,68469
199209,"IRAQ",2239,155504,3430900,93570
199210,"JORDAN",29761,140528,3764448,94111
199210,"EGYPT",3610,15416,4481526,79884
199202,"JORDAN",27544,113903,6452285,115014
199212,"EGYPT",14144,45323,2734497,76099
199212,"EGYPT",17150,80102,4761240,64926
199204,"IRAQ",22105,106834,8283735,110449
199204,"JORDAN",7792,140239,1662999,76753
199209,"IRAQ",25936,109429,5497641,86305
199206,"EGYPT",17119,165950,1185378,120957
199208,"IRAQ",25951,102184,1743684,71170
199202,"SAUDI ARABIA",27118,123522,1530064,92731
199202,"EGYPT",27118,29671,316932,96040
199209,"JORDAN",17263,56784,5342453,104446
199204,"EGYPT",5434,147264,2827076,78675
199210,"SAUDI ARABIA",7274,94161,5313736,69309
199210,"IRAN",2488,30415,2797107,80724
199202,"IRAQ",20719,39574,899060,90814
199202,"JORDAN",20719,109014,1303314,61380
199205,"EGYPT",2420,63260,2785363,73395
199211,"EGYPT",13918,81707,4302807,101322
199212,"IRAQ",17879,155712,1925036,106062
199206,"EGYPT",6673,52635,1428867,95257
199206,"EGYPT",28769,174053,5080741,67623
199211,"EGYPT",5305,114162,2705168,70569
199211,"SAUDI ARABIA",5305,106167,1994372,70389
199204,"IRAN",9592,110230,2066223,74413
199209,"IRAN",23794,15177,4174273,65530
199207,"SAUDI ARABIA",11111,134616,4367514,99036
199209,"JORDAN",5038,30902,181457,109974
199203,"SAUDI ARABIA",11182,146823,3702243,112189
199211,"JORDAN",12469,40135,1685803,64507
199212,"EGYPT",23192,188754,552825,110565
199208,"IRAQ",9028,110482,2807354,89548
199205,"IRAN",12949,103095,3804881,65885
199201,"EGYPT",1496,195002,2715075,65820
199211,"JORDAN",15286,168667,5154910,104139
199205,"IRAN",24092,119166,3716661,71109
199201,"EGYPT",19279,52943,9104303,113756
199201,"IRAN",19279,63592,2333385,93335
199201,"EGYPT",11275,50609,5807950,93576
199207,"IRAN",2572,199892,8393824,119513
199211,"IRAQ",20264,126345,3762956,82280
199205,"EGYPT",8608,89332,4185973,79279
199204,"IRAQ",20306,163732,8799077,107743
199204,"JORDAN",20306,177702,889850,106782
199203,"EGYPT",23584,131389,556788,85222
199202,"SAUDI ARABIA",10115,145151,4904215,71769
199207,"IRAN",28201,4493,6009207,83849
199204,"SAUDI ARABIA",5011,3337,3224858,74419
199210,"EGYPT",21586,126056,749860,64923
199207,"SAUDI ARABIA",29818,46957,5521455,114237
199207,"IRAN",29818,1125,2133303,61567
199207,"JORDAN",22513,62635,1095974,95857
199202,"IRAN",6589,183502,310758,95130
199202,"SAUDI ARABIA",11392,95627,1135834,97357
199202,"SAUDI ARABIA",11392,108284,1407292,77536
199208,"EGYPT",1138,69615,6496901,95076
199203,"SAUDI ARABIA",23521,112602,2689923,96876
199206,"JORDAN",4627,85623,4886987,96517
199204,"IRAQ",20629,62865,7311440,109671
199203,"IRAN",19384,133123,2861397,69367
199203,"JORDAN",19384,105550,5851979,93333
199205,"SAUDI ARABIA",17437,127758,5714400,107145
199202,"IRAQ",8686,194191,4834884,77111
199212,"IRAN",22483,156915,4880477,118314
199212,"IRAQ",22483,24026,3103715,57001
