"d_year","s_city","lo_custkey","lo_partkey","lo_revenue","lo_supplycost"
1993,"UNITED ST1",1735,75041,4724586,60962
1993,"UNITED ST0",4261,31826,2910949,105469
1993,"UNITED ST3",2524,152150,5710212,72129
1992,"UNITED ST1",5512,133585,4967422,97114
1993,"UNITED ST3",1139,77710,5513748,101262
1992,"UNITED ST6",7255,75615,6391070,95436
1993,"UNITED ST1",12809,128398,6226192,85583
1993,"UNITED ST7",11296,98523,3184541,91291
1992,"UNITED ST0",8063,173825,2468466,113929
1992,"UNITED ST4",10885,64093,2583527,63425
1992,"UNITED ST6",27193,193680,4427105,106420
1992,"UNITED ST4",21290,47268,1684350,72915
1992,"UNITED ST1",24146,32201,4553197,67992
1992,"UNITED ST7",4417,46691,2918363,98261
1992,"UNITED ST6",3679,19913,7064035,109974
1992,"UNITED ST8",20485,96868,6732144,111891
1992,"UNITED ST6",11222,190785,7405579,112546
1993,"UNITED ST3",12430,40565,6028262,90333
1993,"UNITED ST6",12430,194500,3247996,95670
1992,"UNITED ST1",24391,113943,6199585,117416
1992,"UNITED ST9",24541,110892,2424281,114173
1992,"UNITED ST9",17752,181975,6849710,123418
1992,"UNITED ST4",20275,130379,2693306,84562
1993,"UNITED ST6",4024,77950,4337887,115677
1993,"UNITED ST3",5246,108146,1785454,69248
1993,"UNITED ST5",23368,109020,2809224,61741
1993,"UNITED ST6",8533,164362,1474856,85581
1993,"UNITED ST1",19616,96475,5335550,88288
1992,"UNITED ST1",10636,196594,6654162,101435
1993,"UNITED ST5",25738,127114,2818541,68466
1993,"UNITED ST0",25738,199259,1290337,81495
1993,"UNITED ST1",6412,53750,5956310,102225
1992,"UNITED ST1",24700,189970,4196158,123598
1992,"UNITED ST1",9902,68336,5869485,78259
1993,"UNITED ST2",21052,62239,2446905,72073
1992,"UNITED ST8",9700,157241,5852465,77894
1992,"UNITED ST3",12080,125907,1148142,115974
1992,"UNITED ST5",21758,60599,1777932,93575
1992,"UNITED ST5",26548,51076,4184283,61624
1993,"UNITED ST6",6110,187396,3052816,89003
1993,"UNITED ST0",4561,73990,5296881,117839
1992,"UNITED ST9",11905,195926,4599868,121315
1993,"UNITED ST5",8260,164339,138929,84199
1992,"UNITED ST0",2729,67500,6543582,88050
1992,"UNITED ST9",16151,4656,717899,93639
1993,"UNITED ST9",1360,158671,7140077,103780
1992,"UNITED ST0",9650,5158,3061872,63789
1992,"UNITED ST9",9208,139254,4966080,77595
1992,"UNITED ST7",28678,101545,4593223,92792
1993,"UNITED ST4",27529,70783,6997582,105226
1993,"UNITED ST0",14563,55716,7612967,100302
1993,"UNITED ST7",8479,176484,1596371,93628
1992,"UNITED ST1",3401,173904,4796407,118674
1992,"UNITED ST9",9772,11336,1721315,74839
1992,"UNITED ST9",3541,101759,7937461,105645
1993,"UNITED ST9",27949,141448,3462948,89366
1992,"UNITED ST7",10169,145421,1791965,87985
1992,"UNITED ST1",5935,125620,7652133,98737
1993,"UNITED ST9",29776,16116,2879586,61926
1993,"UNITED ST6",13568,181978,593271,123598
1992,"UNITED ST9",11560,161725,5199355,107203
1992,"UNITED ST5",4810,153119,1582348,70326
1992,"UNITED ST9",29758,35007,738528,56520
1992,"UNITED ST1",6034,69308,5096427,76638
1992,"UNITED ST9",21661,73357,363185,79821
1992,"UNITED ST9",9370,23500,418509,85410
1992,"UNITED ST0",22801,128189,4394019,73030
1992,"UNITED ST9",25403,81548,5206554,91772
1992,"UNITED ST9",26026,133832,8228310,111949
1992,"UNITED ST0",15391,8110,1914046,61086
1993,"UNITED ST7",21481,160277,1191507,80236
1993,"UNITED ST3",12637,106088,2787715,65644
1992,"UNITED ST6",11428,140761,8214223,108105
1992,"UNITED ST5",12508,62516,4843598,88710
1993,"UNITED ST1",28183,76011,2719212,59220
1992,"UNITED ST3",25822,114695,4021190,102581
1993,"UNITED ST0",8395,183350,141901,86001
1993,"UNITED ST0",8395,82363,1043999,80721
1993,"UNITED ST1",7294,5423,5047996,79705
1993,"UNITED ST3",7294,194992,3547883,125219
1993,"UNITED ST8",7690,184596,7730714,100835
1992,"UNITED ST4",18251,58392,248471,81023
1993,"UNITED ST0",8086,11863,6566982,106491
1993,"UNITED ST1",20813,8458,3689415,81987
1993,"UNITED ST8",19627,176671,8049768,104860
1993,"UNITED ST3",19627,95418,3358262,84804
1993,"UNITED ST0",19627,79712,795103,101502
1992,"UNITED ST8",187,107934,9418360,116515
1993,"UNITED ST7",6376,102262,1293337,75855
1993,"UNITED ST5",6376,144222,1709397,75973
1993,"UNITED ST1",448,84210,591133,71652
1992,"UNITED ST4",16913,125476,3689111,90088
1992,"UNITED ST7",28306,12680,1172212,95560
1992,"UNITED ST2",9826,148146,4553255,71648
1992,"UNITED ST1",20425,185791,2792663,112607
1992,"UNITED ST0",23077,121693,5864239,102881
1993,"UNITED ST1",16834,50044,2825061,59642
1993,"UNITED ST4",16834,75463,5602801,86307
1993,"UNITED ST0",15463,73146,4733962,67148
1993,"UNITED ST5",24178,121582,145925,96214
1993,"UNITED ST0",224,25207,215118,67932
1992,"UNITED ST5",6160,86527,146811,90811
1992,"UNITED ST0",6160,169728,4359471,107863
1993,"UNITED ST6",8992,30233,670020,69793
1993,"UNITED ST0",8992,121405,4564480,85584
1993,"UNITED ST4",1903,15557,5494084,88353
1993,"UNITED ST7",4363,101643,2343612,98678
1993,"UNITED ST0",24724,190726,1569646,109003
1993,"UNITED ST1",9931,33345,1955860,76700
1993,"UNITED ST1",5390,62506,6763911,88110
1992,"UNITED ST5",25192,190196,5432866,77171
1992,"UNITED ST4",26323,125010,1639455,62100
1992,"UNITED ST4",18586,162821,5063708,113029
1992,"UNITED ST0",1934,35503,392710,86310
1993,"UNITED ST7",11812,109933,5420774,116575
1993,"UNITED ST5",16820,83903,9245810,113214
1992,"UNITED ST5",2645,128193,3626934,73271
1992,"UNITED ST7",10022,129339,4425179,82099
1992,"UNITED ST4",10022,75855,2380105,109851
1992,"UNITED ST3",7415,127838,6216945,111949
1992,"UNITED ST9",17777,86880,5880672,112012
1993,"UNITED ST2",17731,109744,7390260,105224
1992,"UNITED ST7",9682,140159,5288251,71949
1993,"UNITED ST9",13465,83641,6461193,97478
1992,"UNITED ST7",24310,75091,1044768,63965
1992,"UNITED ST4",4171,97718,2185814,102942
1992,"UNITED ST1",3937,199482,143914,94888
1992,"UNITED ST8",6964,193125,2748078,73087
1992,"UNITED ST9",19133,99266,1784016,75915
1993,"UNITED ST3",14129,128322,5079903,81019
1993,"UNITED ST3",10030,50699,5820106,98981
1992,"UNITED ST1",26587,76450,4981163,85587
1992,"UNITED ST4",14695,179928,1626415,120475
1992,"UNITED ST5",23312,185834,6585016,115189
1993,"UNITED ST0",10868,186961,405496,122877
1993,"UNITED ST7",10868,36667,7376836,96219
1993,"UNITED ST7",11134,65108,106236,64386
1993,"UNITED ST1",11134,56322,5031467,76699
1993,"UNITED ST0",17309,10960,8082547,112257
1992,"UNITED ST6",5455,45570,4410308,90934
1992,"UNITED ST1",24112,134429,6245876,87805
1992,"UNITED ST6",21926,150967,2570881,121077
1993,"UNITED ST5",17938,62364,4410147,79581
1993,"UNITED ST0",20782,142779,7870046,109306
1992,"UNITED ST5",2435,159054,500872,66783
1992,"UNITED ST4",2435,13931,2398409,110695
1993,"UNITED ST2",20804,130296,3565067,79577
1992,"UNITED ST5",137,110602,2972021,96756
1992,"UNITED ST4",8951,27839,7558498,106009
1993,"UNITED ST6",28942,101703,4142421,102282
1992,"UNITED ST0",19322,76386,380104,81742
1992,"UNITED ST3",21667,168244,4587591,78734
1992,"UNITED ST9",12065,46087,4657124,61984
1993,"UNITED ST1",10097,114134,2985138,68887
1992,"UNITED ST8",1178,100439,431829,86365
1992,"UNITED ST1",17482,90491,3851874,88889
1992,"UNITED ST0",5143,157503,1835148,93630
1993,"UNITED ST4",11971,77295,801542,76337
1993,"UNITED ST6",12428,10303,3648393,72798
1993,"UNITED ST8",12533,87403,2302502,83424
1993,"UNITED ST9",8239,114892,2509467,114413
1993,"UNITED ST5",24334,107898,6220824,114353
1992,"UNITED ST3",22270,2269,918267,70275
1993,"UNITED ST0",12992,77046,3208253,61382
1992,"UNITED ST9",15337,32918,1217898,111054
1993,"UNITED ST0",18553,8643,4865943,93098
1992,"UNITED ST1",27373,69437,646957,84385
1993,"UNITED ST9",6578,46072,1511833,61084
1992,"UNITED ST9",4555,12660,1258128,94359
1993,"UNITED ST2",27358,193682,7670937,106540
1993,"UNITED ST7",1406,102064,1078852,63963
1993,"UNITED ST4",148,97871,8783689,112132
1993,"UNITED ST7",26968,81129,4493765,66607
1993,"UNITED ST1",26968,189254,5732991,80595
1992,"UNITED ST4",16264,100740,6566071,104444
1992,"UNITED ST7",18104,149579,6449137,97714
1993,"UNITED ST6",1342,78225,3503776,72193
1993,"UNITED ST4",10261,1267,3042149,70095
1993,"UNITED ST0",13319,39195,2786704,68051
1993,"UNITED ST1",19903,24543,6102031,88052
1993,"UNITED ST6",9022,8057,2512990,57903
1993,"UNITED ST6",9022,52476,1992715,85708
1993,"UNITED ST1",25952,152106,4284970,69486
1992,"UNITED ST9",29425,77523,4753647,90031
1992,"UNITED ST7",29425,118842,4153394,111650
1993,"UNITED ST0",7228,176423,4933091,89965
1992,"UNITED ST6",7912,35987,3007540,115378
1992,"UNITED ST9",23734,169489,1963684,93508
1993,"UNITED ST8",21766,9803,1198960,102768
1992,"UNITED ST1",18526,189315,5239480,84258
1992,"UNITED ST1",18578,56960,3837753,115017
1993,"UNITED ST9",1519,129105,1908690,68046
1993,"UNITED ST0",1519,52771,491274,103426
1993,"UNITED ST1",13340,179131,116172,72607
1993,"UNITED ST4",15157,45753,1698750,101925
1993,"UNITED ST3",21271,43278,3778609,73276
1993,"UNITED ST1",21271,118314,4781660,79938
1993,"UNITED ST4",17440,45236,2331748,70873
1993,"UNITED ST1",10765,100555,4526650,93333
1993,"UNITED ST7",22264,143919,4950459,117774
1993,"UNITED ST3",22264,31283,1803205,72856
1993,"UNITED ST0",11431,44387,625748,79882
1992,"UNITED ST0",18818,34280,364284,72856
1992,"UNITED ST1",14140,156249,5137424,78314
1993,"UNITED ST6",106,83193,2100675,70571
1993,"UNITED ST0",24991,90690,3097511,100841
1993,"UNITED ST7",24991,148148,2002338,71768
1992,"UNITED ST8",17629,135001,703444,62160
1993,"UNITED ST0",715,43077,1652513,61204
1993,"UNITED ST6",16288,77220,2894877,71833
1993,"UNITED ST9",16288,27819,1556407,104808
1992,"UNITED ST3",25793,189524,5343978,96811
1992,"UNITED ST7",20497,24783,2356736,102466
1992,"UNITED ST7",20497,118432,1363404,87025
1992,"UNITED ST9",20497,74138,871909,66727
1992,"UNITED ST1",5459,51860,3986092,108711
1993,"UNITED ST3",10843,6135,4599712,62467
1993,"UNITED ST8",6775,195201,5208131,77772
1993,"UNITED ST3",4829,92743,3952279,104144
1992,"UNITED ST7",24718,192638,7808602,103837
1993,"UNITED ST0",18157,61228,4875802,71353
1993,"UNITED ST0",28192,61690,317124,99101
1993,"UNITED ST4",11251,165185,675097,75010
1993,"UNITED ST9",18067,114715,2568619,103782
1992,"UNITED ST3",19294,98223,3751587,73273
1993,"UNITED ST3",14632,2511,5981974,84810
1993,"UNITED ST2",325,95083,4511764,64684
1993,"UNITED ST6",3463,47764,4529316,102705
1992,"UNITED ST1",29867,148172,2775886,73210
1992,"UNITED ST4",9943,123896,1881492,115193
1993,"UNITED ST0",18661,97891,1870001,113333
1993,"UNITED ST6",19123,48792,668463,104447
1993,"UNITED ST0",22094,105294,3437921,77957
1992,"UNITED ST5",7681,77231,5195389,72493
1993,"UNITED ST0",11869,104142,2001160,68768
1993,"UNITED ST0",460,185352,3793166,86241
1993,"UNITED ST8",3199,102251,4714726,75195
1993,"UNITED ST0",12262,135369,6137053,84261
1993,"UNITED ST5",21691,30670,6497119,96040
1993,"UNITED ST0",15601,58991,740996,116999
1993,"UNITED ST7",9853,161434,2557185,89725
1992,"UNITED ST3",17254,62481,1745167,86608
1993,"UNITED ST6",1555,40498,4129904,86309
1993,"UNITED ST6",1555,69014,813932,58980
1993,"UNITED ST9",18812,111856,1849171,112071
1992,"UNITED ST0",17150,70152,538632,67329
1993,"UNITED ST9",27839,75140,3785900,66908
1992,"UNITED ST7",23806,89807,3834371,107808
1992,"UNITED ST8",15052,126781,177162,108466
1992,"UNITED ST3",27016,189057,3032448,68763
1992,"UNITED ST0",4864,69172,2818689,68470
1993,"UNITED ST9",12278,84984,8187018,118138
1992,"UNITED ST1",13318,78410,5064919,83304
1993,"UNITED ST1",3776,80210,3874133,71412
1993,"UNITED ST1",9712,60689,4031817,98980
1992,"UNITED ST0",19975,154780,1724693,110086
1992,"UNITED ST0",14108,10978,377794,113338
1992,"UNITED ST7",14108,94134,442226,67687
1993,"UNITED ST5",18887,165361,3448938,85581
1992,"UNITED ST0",7274,39799,3922710,104327
1993,"UNITED ST9",3976,123503,6670805,91590
1992,"UNITED ST8",29335,77410,1465104,83244
1993,"UNITED ST7",13669,65431,2413031,83785
1992,"UNITED ST6",27833,47503,2293240,87030
1993,"UNITED ST0",19313,148090,2071323,68285
1992,"UNITED ST3",24736,23352,2203804,76521
1992,"UNITED ST0",24736,156280,3479673,80176
1992,"UNITED ST4",17086,12552,3031618,87873
1993,"UNITED ST3",2998,86361,3884438,80841
1993,"UNITED ST3",2998,102005,4304925,60420
1993,"UNITED ST6",4301,7574,1949746,88894
1992,"UNITED ST1",29179,79430,2372070,84565
1992,"UNITED ST0",7193,9706,3008433,96942
1992,"UNITED ST4",7193,65760,2904454,103545
1992,"UNITED ST1",184,197513,3986012,96630
1992,"UNITED ST2",13918,40266,4846752,72375
1993,"UNITED ST7",8176,63876,349575,110392
1993,"UNITED ST4",22628,177849,2508745,115610
1993,"UNITED ST1",3448,54693,2399036,98861
1992,"UNITED ST0",12266,70295,3223958,75917
1993,"UNITED ST4",1559,30941,5054238,112316
1992,"UNITED ST3",12085,75813,7405673,107328
1992,"UNITED ST5",28769,102682,4386906,101080
1993,"UNITED ST7",28351,112656,5586640,100119
1992,"UNITED ST7",14068,106040,1104618,62762
1993,"UNITED ST8",27449,104988,7798530,119578
1992,"UNITED ST8",7832,199961,8136670,123657
1992,"UNITED ST5",7832,16258,5753825,70455
1993,"UNITED ST6",58,65426,5727084,83485
1993,"UNITED ST0",3935,49546,2784695,89732
1992,"UNITED ST0",9592,19468,127646,83247
1992,"UNITED ST9",25393,92790,4323265,106967
1993,"UNITED ST8",18634,144656,5331537,102039
1993,"UNITED ST4",27235,6536,6576494,86551
1992,"UNITED ST7",27805,132747,5403290,106784
1993,"UNITED ST5",21196,10373,3572902,77002
1992,"UNITED ST7",16270,33511,1261057,86670
1993,"UNITED ST5",25372,191704,4509002,107742
1992,"UNITED ST7",18106,164570,5884452,98074
1993,"UNITED ST9",27188,70160,4990786,67809
1993,"UNITED ST1",28912,143213,3570148,75372
1993,"UNITED ST9",8147,177396,3898589,88403
1992,"UNITED ST3",1729,194378,410791,88342
1992,"UNITED ST3",24109,177727,7579824,108283
1992,"UNITED ST6",20306,135524,4351060,93571
1992,"UNITED ST5",20306,28863,6430985,107511
1993,"UNITED ST1",7412,81980,8664103,117718
1992,"UNITED ST7",5846,25209,1669542,68052
1993,"UNITED ST4",29942,130918,3724367,116934
1992,"UNITED ST9",28201,112486,3762683,89908
1993,"UNITED ST6",8971,96694,7141474,101441
1993,"UNITED ST6",12113,37266,2126160,72195
1992,"UNITED ST1",16189,71215,5295241,71172
1992,"UNITED ST4",16189,97103,1584144,66006
1992,"UNITED ST8",16189,196297,3003933,83597
1993,"UNITED ST3",29041,75474,4452771,86968
1992,"UNITED ST5",12578,139557,6753406,95793
1992,"UNITED ST9",28610,60845,5056352,108350
1993,"UNITED ST5",24944,17426,5122460,80605
1993,"UNITED ST5",11632,18588,4723128,90394
1993,"UNITED ST1",4208,179115,3185885,71646
1993,"UNITED ST7",15988,181148,4585921,73748
1992,"UNITED ST9",16441,139381,6468410,85222
1992,"UNITED ST0",22831,116315,1420507,79878
1992,"UNITED ST3",7450,98439,1229002,86245
1992,"UNITED ST3",6589,154383,3277226,86242
1993,"UNITED ST6",24269,121379,2195780,84022
1993,"UNITED ST0",24269,100051,3329726,63063
1993,"UNITED ST0",26485,114763,5662165,106665
1992,"UNITED ST3",1138,10441,2621793,81086
1992,"UNITED ST3",15473,155018,3849959,64380
1992,"UNITED ST0",13789,57884,3812691,110512
1992,"UNITED ST6",13789,132382,398855,84862
1992,"UNITED ST6",7813,66928,5252718,113695
1992,"UNITED ST5",8422,153093,4584360,68765
1992,"UNITED ST6",8422,141196,1484628,74231
1993,"UNITED ST5",5296,46119,4279611,63906
1992,"UNITED ST4",12272,23970,2585269,113638
1992,"UNITED ST3",4720,191439,1515125,91825
1992,"UNITED ST0",1330,30174,3679094,66250
1992,"UNITED ST5",16433,147136,1950981,70987
1992,"UNITED ST8",14752,153703,2986390,105402
1992,"UNITED ST3",11098,67091,3991115,63485
1992,"UNITED ST0",27775,115102,201078,67026
1992,"UNITED ST7",265,165217,4900606,76932
1992,"UNITED ST1",10552,37257,1110652,71655
1992,"UNITED ST4",24091,192181,4866093,76390
1992,"UNITED ST9",4468,198796,5220146,113687
1992,"UNITED ST1",14126,135899,5218398,116093
1993,"UNITED ST1",11569,95118,5179300,66786
1992,"UNITED ST9",3617,84407,4274380,83484
1993,"UNITED ST0",28691,189430,5918179,91165
1992,"UNITED ST1",26422,9087,95623,59764
1992,"UNITED ST6",14774,98006,3417616,60240
1993,"UNITED ST0",14506,44275,5436724,73156
1992,"UNITED ST0",5585,190573,2189258,99814
1993,"UNITED ST5",3209,179130,2502899,72547
1992,"UNITED ST1",5062,134515,6909265,92970
1993,"UNITED ST6",24682,177764,364668,110505
1993,"UNITED ST2",10325,186543,146658,97772
1993,"UNITED ST6",10325,27380,4868683,78442
1993,"UNITED ST7",20987,107889,2469737,113812
1993,"UNITED ST4",20987,80431,2388139,84685
1992,"UNITED ST1",2018,114230,4693235,74653
1992,"UNITED ST8",2018,190593,5437995,101015
1993,"UNITED ST9",11573,128453,6466529,88887
1993,"UNITED ST6",12568,81040,3099877,61262
1993,"UNITED ST9",11452,66995,1624527,117719
1992,"UNITED ST4",16486,104225,4787811,73753
1993,"UNITED ST7",5650,15003,1046520,55080
1992,"UNITED ST1",26224,162324,6657108,83179
1993,"UNITED ST7",22132,79891,4074798,112253
1992,"UNITED ST9",14989,30343,1915103,76400
1993,"UNITED ST0",8110,21356,831554,76641
1993,"UNITED ST0",27577,49131,2933633,64807
1992,"UNITED ST3",22777,53794,5086068,104867
1992,"UNITED ST7",6655,93446,4786138,86366
1993,"UNITED ST7",2222,74,2892987,58444
1993,"UNITED ST4",9118,147023,3761120,64201
1993,"UNITED ST1",6697,158946,5593782,120296
1993,"UNITED ST3",24847,35089,1788043,61444
1993,"UNITED ST8",29845,36934,3148775,112255
1993,"UNITED ST2",8368,89340,5790605,79760
1993,"UNITED ST2",23308,158078,5288405,68164
1993,"UNITED ST5",23308,72848,5943221,109250
1993,"UNITED ST9",3721,102260,2877952,75735
1993,"UNITED ST3",12652,15031,2452109,56761
1992,"UNITED ST7",20029,84464,3948501,86907
1993,"UNITED ST2",20431,127012,1159535,62340
1993,"UNITED ST7",12775,27145,604686,64328
1993,"UNITED ST0",23065,124682,6621918,102400
1993,"UNITED ST2",1747,183925,5118728,120535
1993,"UNITED ST2",1198,4244,675165,68894
1993,"UNITED ST4",11825,45454,4121380,83967
1992,"UNITED ST4",18541,110828,4413168,110329
1992,"UNITED ST9",23461,55575,2471870,91834
1993,"UNITED ST7",22780,155380,5649655,86122
1993,"UNITED ST1",21145,17553,3073449,88233
1993,"UNITED ST0",1712,133961,1125157,119697
1992,"UNITED ST6",12523,127901,5537871,115734
1993,"UNITED ST6",21260,44890,4220247,110093
1992,"UNITED ST6",27103,3319,1437436,73338
1993,"UNITED ST3",14423,155771,2352879,109606
1992,"UNITED ST3",13885,35143,716963,64688
1992,"UNITED ST0",1342,47715,5237536,99762
1992,"UNITED ST3",10120,77122,3590825,65947
1992,"UNITED ST3",2899,94864,4688044,111531
1993,"UNITED ST3",9064,79280,617047,75556
1992,"UNITED ST5",24058,187509,3716652,95790
1992,"UNITED ST6",1396,116029,4345193,62701
1992,"UNITED ST3",22298,89285,3833034,76456
1993,"UNITED ST6",9455,145586,6172267,97894
1992,"UNITED ST4",9109,113277,593524,77416
1993,"UNITED ST0",17837,137674,6624162,102700
1993,"UNITED ST9",5321,45195,2937129,68411
1993,"UNITED ST6",1579,15328,3046134,74599
1993,"UNITED ST8",4537,168181,1250429,74950
1993,"UNITED ST6",599,68269,2572263,74235
1992,"UNITED ST7",3452,134186,2855221,73210
1993,"UNITED ST4",8176,12784,6047323,101806
1992,"UNITED ST0",13592,118673,2226237,101500
1993,"UNITED ST9",6020,102154,1630171,69369
1992,"UNITED ST4",23846,160791,7666410,111107
1993,"UNITED ST7",1381,109415,5277439,85464
1993,"UNITED ST7",5107,95155,3680480,69009
1992,"UNITED ST9",18263,167708,8011958,106542
1992,"UNITED ST0",24091,150760,8162906,108645
1992,"UNITED ST7",11093,72094,3038356,63965
1992,"UNITED ST1",23911,152381,6602148,86002
1992,"UNITED ST1",8144,68337,2108107,78319
1993,"UNITED ST9",2303,79879,2676772,111532
1992,"UNITED ST4",23143,32021,2096644,57181
1992,"UNITED ST4",890,149909,5465331,117534
1993,"UNITED ST6",19903,165646,4227750,102698
1992,"UNITED ST6",13822,159645,2362631,102278
1992,"UNITED ST6",20864,28228,3884899,69373
1992,"UNITED ST3",17786,72842,7586031,108890
1993,"UNITED ST1",14711,20606,3077625,91596
1992,"UNITED ST9",17995,47254,3161690,72075
1992,"UNITED ST4",7613,14316,1945120,73818
1992,"UNITED ST1",13942,58897,1013315,111353
1992,"UNITED ST9",8848,164543,3218295,96452
1992,"UNITED ST4",17438,98245,3316964,74594
1993,"UNITED ST3",22169,189370,1001127,87562
1993,"UNITED ST1",26189,195911,5201910,120414
1992,"UNITED ST8",4723,9809,3953240,103128
1992,"UNITED ST5",15115,50297,3165622,74837
1992,"UNITED ST4",9425,104521,6407184,91531
1992,"UNITED ST3",16231,89067,2508142,63363
1993,"UNITED ST8",329,115923,3924374,116335
1992,"UNITED ST0",19354,60848,895375,108530
1992,"UNITED ST4",1091,38173,2555691,66670
1993,"UNITED ST8",6259,63117,2222866,64806
1993,"UNITED ST9",11078,75120,3469340,65707
1992,"UNITED ST6",27050,149298,2845476,80837
1992,"UNITED ST1",17315,52032,457573,59041
1993,"UNITED ST5",6838,43541,7125792,89072
1992,"UNITED ST1",24640,12058,264823,58203
1992,"UNITED ST3",24596,22540,972589,87752
1992,"UNITED ST7",10315,2195,4795817,65831
1992,"UNITED ST8",10315,192776,1973421,112126
1992,"UNITED ST6",10315,17266,786867,70995
1993,"UNITED ST9",22513,61930,5751467,113515
1993,"UNITED ST5",20192,93763,1855138,105405
1993,"UNITED ST1",7118,144287,5878932,79876
1992,"UNITED ST9",9713,145826,7367483,112309
1993,"UNITED ST3",8479,35810,4175977,104748
1992,"UNITED ST4",2485,63824,3218076,107269
1993,"UNITED ST1",12284,186247,6140903,79994
1993,"UNITED ST7",22676,32919,5511284,111114
1993,"UNITED ST2",6334,126609,6921859,98136
1993,"UNITED ST6",8872,180613,4572747,101616
1992,"UNITED ST4",2057,103918,1729719,115314
1992,"UNITED ST2",16709,34922,1036161,111415
1992,"UNITED ST1",29179,27423,3207247,81025
1992,"UNITED ST3",13970,89142,102933,67868
1992,"UNITED ST1",25285,21214,1761845,68112
1993,"UNITED ST5",7261,189013,4959045,66120
1993,"UNITED ST7",6766,133976,6218847,120598
1993,"UNITED ST4",6314,128132,1350391,69607
1992,"UNITED ST7",18472,109383,6126472,83542
1992,"UNITED ST9",12973,184811,7507407,113748
1993,"UNITED ST8",24353,47405,3395876,81144
1993,"UNITED ST7",16601,65930,4607109,113755
1992,"UNITED ST4",20497,66134,1960431,66007
1993,"UNITED ST2",21757,103567,3986081,94233
1992,"UNITED ST7",25451,134402,5321862,86184
1992,"UNITED ST8",25451,85892,7766953,112673
1993,"UNITED ST5",6616,155404,5179410,87564
1993,"UNITED ST9",19304,89583,3255240,94354
1993,"UNITED ST3",19304,9816,8197597,103548
1993,"UNITED ST8",5689,96314,3013713,78618
1992,"UNITED ST4",27974,39552,2819029,89493
1993,"UNITED ST8",24121,61850,1793731,108711
1993,"UNITED ST8",5368,113383,381211,83782
1993,"UNITED ST2",20189,72280,3493861,75136
1993,"UNITED ST6",9065,163965,2954165,121737
1993,"UNITED ST7",9065,23129,3484621,63127
1992,"UNITED ST4",15151,4871,2699322,106552
1992,"UNITED ST3",5578,35506,265236,86490
1992,"UNITED ST5",27124,22877,4859649,107992
1992,"UNITED ST1",20249,12044,3523963,57362
1993,"UNITED ST5",8917,150530,3020392,94831
1993,"UNITED ST2",14699,51110,305599,63666
1993,"UNITED ST3",3049,23432,2119892,81325
1993,"UNITED ST9",11101,70322,3069260,77539
1993,"UNITED ST9",6659,146327,5809143,82399
1993,"UNITED ST9",6659,69634,5628741,96217
1992,"UNITED ST7",22501,80493,4558978,88409
1993,"UNITED ST0",10933,114636,4786827,99037
1992,"UNITED ST6",24601,153143,1632731,71768
1992,"UNITED ST4",8374,150691,6081981,104501
1993,"UNITED ST4",16643,6890,323440,107813
1993,"UNITED ST5",24292,184007,196380,65460
1993,"UNITED ST0",16916,163496,2610586,93569
1993,"UNITED ST4",24112,78535,5902767,90811
1993,"UNITED ST3",9229,56290,3384923,74777
1993,"UNITED ST7",10183,43597,579261,92435
1992,"UNITED ST4",28589,193517,3212967,96630
1992,"UNITED ST3",7189,180814,6984269,113688
1993,"UNITED ST6",28711,64357,2008452,79281
1992,"UNITED ST5",19615,27132,4092478,63547
1993,"UNITED ST0",4348,79668,3914840,98859
1993,"UNITED ST8",28207,11348,5327008,75560
1993,"UNITED ST4",19289,29683,6289452,96760
1993,"UNITED ST1",19331,154823,3530301,112669
1993,"UNITED ST6",27316,171659,2350222,103839
1993,"UNITED ST0",20557,60495,3384014,87329
1993,"UNITED ST4",12523,179274,811962,81196
1992,"UNITED ST4",10685,107905,3959703,114774
1992,"UNITED ST4",4873,138591,2346609,97775
1992,"UNITED ST7",3562,107573,7823821,94834
1993,"UNITED ST1",25606,83236,1360660,73153
1993,"UNITED ST9",883,12640,1856957,93158
1993,"UNITED ST4",883,30212,325529,68532
1993,"UNITED ST1",23920,199153,3340736,75129
1993,"UNITED ST1",22777,30688,5594158,97120
1993,"UNITED ST4",10729,138276,2677167,78856
1992,"UNITED ST6",1471,160997,2127961,123479
1993,"UNITED ST6",15553,49010,3924268,57540
1993,"UNITED ST0",15553,99832,6303327,109909
1992,"UNITED ST7",5329,78358,5150292,80181
1993,"UNITED ST1",15313,122929,8695803,117115
1993,"UNITED ST6",29902,138488,5075546,91588
1992,"UNITED ST5",12103,82347,4869372,79760
1992,"UNITED ST8",26567,164025,1114067,65341
1993,"UNITED ST3",9320,114361,1939257,82521
1992,"UNITED ST6",16715,193806,6007167,113988
1992,"UNITED ST2",13094,69176,1488721,68710
1993,"UNITED ST1",12652,173978,393978,123118
1993,"UNITED ST4",12652,173033,3325832,66361
1992,"UNITED ST2",20995,129888,7076977,115072
1993,"UNITED ST0",11932,123122,2212371,68707
1993,"UNITED ST1",820,67284,3209533,75076
1993,"UNITED ST9",670,6136,1600711,62527
1993,"UNITED ST2",27296,119634,2430836,99217
1992,"UNITED ST0",22769,21202,2614809,67392
1992,"UNITED ST2",26732,52106,1523664,63486
1992,"UNITED ST1",2669,141402,6374054,86604
1992,"UNITED ST9",12359,175145,5332011,73208
1992,"UNITED ST5",12359,199913,5676406,120774
