"s_city","lo_custkey","lo_orderdate","lo_partkey","lo_revenue","lo_supplycost"
"UNITED ST7",24139,19920825,65879,7185768,110692
"UNITED ST9",25564,19971014,66210,2794674,70572
"UNITED ST2",24034,19960813,138947,5298487,119156
"UNITED ST7",8384,19930201,107344,1337826,81080
"UNITED ST9",13385,19950115,174453,6885744,91647
"UNITED ST3",28267,19940304,185119,4788745,72246
"UNITED ST9",28267,19940304,80910,1406837,113454
"UNITED ST1",10291,19941212,193282,6334539,82516
"UNITED ST2",5182,19920323,5105,2658583,60606
"UNITED ST9",9031,19931119,181999,374578,124859
"UNITED ST3",1879,19970701,163327,6256440,83419
"UNITED ST0",3578,19920613,7569,841639,88593
"UNITED ST6",21452,19950602,141966,389544,120477
"UNITED ST1",7873,19920219,81610,5557902,95496
"UNITED ST0",15379,19920325,190417,6943130,90444
"UNITED ST4",22180,19971029,25228,228337,69193
"UNITED ST4",1489,19960521,195344,5440705,86360
"UNITED ST5",7055,19940928,73488,2922960,87688
"UNITED ST0",19123,19920328,186215,1915381,78072
"UNITED ST6",19123,19920328,112114,3040497,67566
"UNITED ST0",17765,19951112,121792,7422028,108827
"UNITED ST0",26261,19940708,163789,4400352,111166
"UNITED ST1",7360,19961009,157510,4470538,94050
"UNITED ST0",9574,19940210,101973,5419317,118498
"UNITED ST3",9574,19940210,54709,2715158,99822
"UNITED ST3",27398,19950818,72527,5867621,89971
"UNITED ST0",19315,19940705,35488,2419916,85408
"UNITED ST0",16618,19960211,35808,2537229,104628
"UNITED ST6",29749,19940604,72528,436651,90031
"UNITED ST8",8299,19940213,133226,2871021,75553
"UNITED ST1",23650,19961108,131462,4256361,89607
"UNITED ST5",8470,19951021,87333,868777,79219
"UNITED ST4",19348,19971112,162548,3519029,96632
"UNITED ST0",829,19940327,64930,2728699,113695
"UNITED ST9",19321,19961018,4193,4562116,65831
"UNITED ST9",2894,19970220,188820,9353218,114529
"UNITED ST7",18829,19980630,132647,8398200,100778
"UNITED ST4",17524,19971110,58013,3014015,58260
"UNITED ST0",28276,19951007,186755,5053762,110505
"UNITED ST0",23188,19960811,118814,5278492,109968
"UNITED ST9",28036,19951210,81814,1955637,107748
"UNITED ST4",24412,19950613,116129,1009995,68707
"UNITED ST1",19756,19920424,112951,5004144,117837
"UNITED ST1",4786,19930921,168431,4702212,89965
"UNITED ST6",27760,19960521,104517,5477436,91290
"UNITED ST3",21269,19960229,8931,6851899,110395
"UNITED ST7",3401,19960530,199084,4027204,70984
"UNITED ST5",2482,19970729,128876,3813549,114292
"UNITED ST5",9295,19960530,551,5730719,87093
"UNITED ST0",15154,19980311,66567,4662022,92013
"UNITED ST9",22103,19980511,8061,4604973,58143
"UNITED ST8",16933,19920708,160352,3304899,84741
"UNITED ST0",8675,19980211,182354,6143268,86181
"UNITED ST1",15856,19961106,134337,2246238,82279
"UNITED ST0",28837,19930303,135370,834789,84322
"UNITED ST3",25325,19930430,76312,1896392,77298
"UNITED ST7",9575,19960829,144950,7421214,119697
"UNITED ST5",15919,19921110,197609,5935554,102396
"UNITED ST5",3157,19980510,169264,2159881,79995
"UNITED ST1",24838,19930502,114510,896411,91470
"UNITED ST9",9016,19930919,12841,3989986,105230
"UNITED ST6",2101,19920805,103821,5133218,109489
"UNITED ST9",15370,19971205,16746,7495631,99764
"UNITED ST1",14209,19940317,67359,249353,79581
"UNITED ST2",25933,19960909,187238,1929534,79513
"UNITED ST5",29134,19950305,16545,1302232,87692
"UNITED ST8",16723,19940315,142070,1211044,66724
"UNITED ST9",8665,19960714,139065,629314,66243
"UNITED ST5",27964,19930323,1004,4168430,54300
"UNITED ST9",24682,19920521,196371,2270021,88042
"UNITED ST7",18595,19940509,161323,4431208,83059
"UNITED ST9",9238,19961213,166390,423809,87383
"UNITED ST3",12700,19921217,170550,3079045,97233
"UNITED ST0",19580,19920921,74766,8181572,104445
"UNITED ST4",5047,19960803,147798,6624540,110747
"UNITED ST3",23035,19970713,58178,449923,68170
"UNITED ST1",18691,19950903,64563,142063,91653
"UNITED ST9",26420,19980412,144414,3961041,87504
"UNITED ST4",26420,19980412,154587,4550459,98494
"UNITED ST3",12124,19930613,16832,2448362,104929
"UNITED ST4",17744,19940819,119429,272302,86905
"UNITED ST7",21589,19920420,54592,4950634,92795
"UNITED ST5",26074,19920117,106595,2162146,96095
"UNITED ST2",20122,19940829,42122,3545647,63847
"UNITED ST4",10399,19961019,37645,4387078,94958
"UNITED ST7",4576,19970523,160551,2878228,96693
"UNITED ST0",2984,19920708,161995,4118093,123419
"UNITED ST1",6976,19941113,176273,6543959,80956
"UNITED ST4",23771,19941218,6674,774528,94840
"UNITED ST0",16531,19980514,49612,6816427,93696
"UNITED ST4",14011,19930214,116210,841180,73572
"UNITED ST6",302,19930305,61716,7160466,100662
"UNITED ST4",27016,19960601,294,4664896,71657
"UNITED ST6",9266,19960203,165549,297075,96872
"UNITED ST3",8660,19930523,182915,5793939,119874
"UNITED ST6",23662,19950320,116528,1987797,92671
"UNITED ST4",11755,19980609,112282,2090262,77656
"UNITED ST3",25253,19980622,197091,1128685,71285
"UNITED ST1",1783,19940318,66358,964126,79461
"UNITED ST1",1093,19931217,107007,4056000,60840
"UNITED ST8",4427,19930402,108610,3997966,97116
"UNITED ST0",25483,19960531,761,6251541,99705
"UNITED ST3",28763,19930510,148910,6856185,117534
"UNITED ST4",18695,19970304,138792,8604713,109847
"UNITED ST3",2507,19920906,173432,885192,90325
"UNITED ST1",20659,19930504,49664,4382700,96819
"UNITED ST3",18568,19940213,199631,8393555,103837
"UNITED ST4",15745,19920420,31463,2228347,83667
"UNITED ST5",23233,19970729,41452,4236088,83607
"UNITED ST8",23233,19970729,78078,5069136,63364
"UNITED ST6",11788,19951125,37503,3457200,86430
"UNITED ST9",12049,19980305,111891,2664046,114173
"UNITED ST4",10519,19931118,167913,6309198,118854
"UNITED ST5",22993,19920105,73857,5507196,109851
"UNITED ST8",7006,19941013,119290,2073915,78557
"UNITED ST3",20356,19970625,179487,5952624,93988
"UNITED ST2",8398,19940411,34748,7042266,100964
"UNITED ST1",29668,19970508,113869,8141486,112971
"UNITED ST4",15901,19971116,59184,2063439,68590
"UNITED ST1",16996,19970930,176471,2367629,92848
"UNITED ST0",27760,19920510,139223,1346788,75733
"UNITED ST7",16183,19950913,20458,4102267,82707
"UNITED ST8",17305,19961130,192816,1952712,114528
"UNITED ST0",16799,19920801,90990,4754376,118859
"UNITED ST3",14380,19921211,61725,4554144,101203
"UNITED ST4",23047,19920321,113008,1654020,61260
"UNITED ST9",4438,19930811,147201,5327317,74892
"UNITED ST4",4438,19930811,170590,7804773,99635
"UNITED ST1",28393,19980430,101286,257456,77236
"UNITED ST7",18085,19960925,99827,3123862,109609
"UNITED ST0",9371,19930806,187293,1855109,82817
"UNITED ST9",3634,19940510,124301,5606019,79518
"UNITED ST1",3634,19940510,88080,2582617,64084
"UNITED ST0",25453,19941225,149691,6872244,104441
"UNITED ST5",27196,19971015,105296,4908465,78077
"UNITED ST6",22735,19960817,182349,6870432,85880
"UNITED ST0",13549,19960626,153572,2070976,97534
"UNITED ST6",14539,19961020,120316,1058357,80178
"UNITED ST8",542,19921130,56809,2383830,105948
"UNITED ST0",12266,19960429,93068,2287645,63663
"UNITED ST9",5899,19960908,124496,7146303,91229
"UNITED ST4",8546,19960709,11738,1959879,98983
"UNITED ST3",16957,19961116,105104,399276,66546
"UNITED ST9",9085,19940503,69493,3726424,87749
"UNITED ST1",27415,19961218,163061,1982841,67443
"UNITED ST4",7315,19950905,121073,796482,65644
"UNITED ST7",7315,19950905,129412,663048,86484
"UNITED ST7",25648,19920822,97574,2024182,94294
"UNITED ST0",17495,19960924,169348,4385249,85040
"UNITED ST0",3167,19951120,75839,1168750,108889
"UNITED ST0",22195,19950310,9505,537510,84870
"UNITED ST3",24958,19950815,122686,310979,102520
"UNITED ST6",24958,19950815,46446,1253196,83546
"UNITED ST1",5242,19970903,161457,5803515,91107
"UNITED ST9",9530,19940225,187504,1222272,95490
"UNITED ST3",796,19930305,183328,1155871,84679
"UNITED ST5",6739,19940622,41064,398003,60303
"UNITED ST0",27590,19970616,51895,339827,110813
"UNITED ST8",11963,19970102,144823,4124146,112069
"UNITED ST1",13925,19940817,115985,7793817,120058
"UNITED ST1",27121,19970105,99714,3855847,102822
"UNITED ST1",10499,19940705,197289,4345987,83176
"UNITED ST8",24646,19960420,138005,1755369,62580
"UNITED ST5",24646,19960420,182824,4610690,114409
"UNITED ST1",29567,19961107,173881,4574419,117292
"UNITED ST9",18062,19930406,92939,7920913,115915
"UNITED ST4",23518,19940709,64244,5678728,72494
"UNITED ST9",21769,19950612,84362,4335279,80781
"UNITED ST5",27821,19960206,130579,3782489,96574
"UNITED ST5",17449,19940212,159153,3720088,72729
"UNITED ST0",27998,19940306,117609,2516350,97596
"UNITED ST3",9640,19941128,98108,1131540,66366
"UNITED ST7",6367,19970614,188108,1674540,71766
"UNITED ST5",21002,19980121,92770,4918128,105766
"UNITED ST9",1348,19980131,103523,5800776,91591
"UNITED ST7",28243,19920608,6011,1089407,55020
"UNITED ST0",28243,19920608,21217,112682,68292
"UNITED ST8",28243,19920608,193333,6846384,85579
"UNITED ST4",21217,19940403,103380,271142,83002
"UNITED ST7",25867,19950516,166945,567367,120716
"UNITED ST6",19213,19930730,159013,3666274,64320
"UNITED ST0",1630,19930827,149555,5853398,96273
"UNITED ST5",21079,19960609,163701,8735265,105882
"UNITED ST7",1178,19970708,133960,4145442,119637
"UNITED ST1",10211,19920623,57394,3108197,81083
"UNITED ST6",541,19920612,36058,457263,59643
"UNITED ST0",25201,19980122,40008,3901968,56880
"UNITED ST2",16588,19950301,112775,4934245,107266
"UNITED ST7",5416,19950520,180230,2489437,78613
"UNITED ST0",5545,19960407,167441,2926373,90506
"UNITED ST4",11071,19970417,25812,5915505,104268
"UNITED ST3",6385,19951231,86026,2378247,60721
"UNITED ST3",17707,19950704,125334,679665,81559
"UNITED ST1",22741,19950301,71721,3317731,101563
"UNITED ST3",4789,19980730,33797,2492337,103847
"UNITED ST1",4150,19970905,65883,2484894,110932
"UNITED ST9",2873,19971207,193337,2285667,85819
"UNITED ST3",2873,19971207,1083,1267495,59044
"UNITED ST6",9109,19951127,58157,1561210,66909
"UNITED ST8",9109,19951127,32477,6427183,84568
"UNITED ST8",16888,19960202,45626,5733269,94297
"UNITED ST3",10468,19920512,718,2330942,97122
"UNITED ST0",22351,19921230,134687,950367,103300
"UNITED ST4",2257,19960702,112312,4899947,79458
"UNITED ST7",9586,19950322,178725,7882256,108223
"UNITED ST4",14284,19961029,67416,3796077,83004
"UNITED ST8",4061,19930830,100085,2666041,65104
"UNITED ST6",29519,19950205,134022,1886051,63361
"UNITED ST4",12169,19950404,19170,1126201,65350
"UNITED ST3",18499,19960329,135564,1601159,95973
"UNITED ST9",24544,19940827,28998,8584740,115619
"UNITED ST0",26674,19970816,83107,320489,65406
"UNITED ST0",20734,19960304,181890,8199118,118313
"UNITED ST0",14378,19920711,67520,297504,89251
"UNITED ST1",10091,19970506,191519,1465564,96630
"UNITED ST1",25087,19941008,98831,7826182,109789
"UNITED ST2",28495,19980612,57537,5619432,89671
"UNITED ST4",21587,19951220,102672,820588,100480
"UNITED ST7",10037,19980116,75942,2976642,115076
"UNITED ST4",10564,19950621,184942,7917227,121616
"UNITED ST6",20296,19950413,194017,1533193,66660
"UNITED ST1",27925,19960531,165000,3584790,63900
"UNITED ST4",20002,19950222,112486,2996960,89908
"UNITED ST3",19439,19920703,192271,6022926,81796
"UNITED ST0",12202,19951214,100637,3494702,98257
"UNITED ST2",14888,19940421,127256,3535353,76995
"UNITED ST0",7100,19960229,179980,1112389,123598
"UNITED ST4",7100,19960229,66441,6150512,84446
"UNITED ST4",22414,19951002,128690,323113,103121
"UNITED ST7",2404,19941220,44733,6603545,100663
"UNITED ST9",20942,19950713,46382,1358932,79702
"UNITED ST4",7231,19970225,107015,1288754,61320
"UNITED ST6",26134,19920611,88133,2421640,67267
"UNITED ST5",20213,19960506,137337,2219542,82459
"UNITED ST7",23906,19920129,152968,1103444,121257
"UNITED ST1",23906,19920129,119401,2906138,85224
"UNITED ST1",11392,19950424,141752,168612,107625
"UNITED ST3",12776,19960626,127407,7028560,86064
"UNITED ST0",12776,19960626,195081,2074605,70564
"UNITED ST1",3962,19920311,110333,5371976,80599
"UNITED ST9",20237,19951225,156716,8072921,106362
"UNITED ST0",10348,19940820,187808,5332885,113748
"UNITED ST8",10348,19940820,53884,6732154,110272
"UNITED ST4",24163,19930720,37089,1709449,61564
"UNITED ST6",26890,19960922,186237,4877425,79393
"UNITED ST5",9464,19980708,131045,4553801,64562
"UNITED ST7",29689,19971213,154836,5672490,113449
"UNITED ST8",7979,19930501,104540,1907506,92672
"UNITED ST8",24457,19980201,110055,387678,63903
"UNITED ST9",18022,19951122,17322,1804449,74359
"UNITED ST8",4940,19930906,159390,434817,86963
"UNITED ST8",21383,19970510,33275,5002237,72496
"UNITED ST3",22898,19960907,50586,1677945,92194
"UNITED ST4",15106,19980529,194399,6021348,89603
"UNITED ST9",26932,19950105,162142,2490161,72248
"UNITED ST0",17161,19961221,192990,1762209,124979
"UNITED ST3",26722,19980110,116111,2454845,67626
"UNITED ST4",26722,19980110,62713,5947094,100542
"UNITED ST0",620,19941223,163944,2120384,120476
"UNITED ST3",25126,19970109,22454,6744605,82587
"UNITED ST5",20725,19950926,43435,540344,82705
"UNITED ST7",25595,19960603,173038,4681880,66661
"UNITED ST2",20870,19930114,76555,6124668,91893
"UNITED ST8",18335,19970210,158054,2602197,66723
"UNITED ST8",14383,19930206,130342,2223190,82340
"UNITED ST1",12374,19950108,166368,4819449,86061
"UNITED ST0",11980,19950923,133747,2735216,106844
"UNITED ST1",11980,19950923,184727,362344,108703
"UNITED ST6",27772,19950421,179803,4059316,112968
"UNITED ST3",27772,19950421,142645,3378655,101258
"UNITED ST7",21550,19950627,37900,4539613,110274
"UNITED ST5",28525,19920306,136276,5066674,78736
"UNITED ST6",22814,19920528,71880,166669,111112
"UNITED ST7",22814,19920528,32695,1790459,97661
"UNITED ST9",7081,19940423,71690,8225365,99701
"UNITED ST5",13870,19960415,4923,1063849,109675
"UNITED ST9",3083,19980531,196026,504909,67321
"UNITED ST7",24434,19970507,136269,981555,78315
"UNITED ST4",28676,19930219,99903,3008484,114174
"UNITED ST9",4118,19920922,11764,5094310,100545
"UNITED ST9",19042,19940824,127095,4492848,67325
"UNITED ST3",7496,19960703,187292,5084062,82757
"UNITED ST9",1216,19960508,84002,382568,59160
"UNITED ST0",15500,19940528,45873,5893138,109132
"UNITED ST8",29152,19951031,110825,6697071,110149
"UNITED ST7",14036,19940823,150151,3757197,72069
"UNITED ST5",13750,19970708,157066,667097,67383
"UNITED ST6",7549,19950414,11350,116044,75681
"UNITED ST9",3571,19960204,168652,5120654,103239
"UNITED ST6",3571,19960204,157589,296384,98794
"UNITED ST4",23980,19961024,97486,5981391,89008
"UNITED ST3",25838,19961004,24484,6355061,84508
"UNITED ST5",3757,19941226,51575,7327536,91594
"UNITED ST9",23822,19950303,94131,4812181,67507
"UNITED ST3",28261,19930324,84108,5405895,65526
"UNITED ST8",3224,19960429,55270,980216,73516
"UNITED ST3",10309,19940324,55760,5483568,102945
"UNITED ST4",22225,19920502,43213,3107892,69372
"UNITED ST0",23995,19970105,127329,4414821,81379
"UNITED ST8",27313,19930311,146540,6063755,95192
"UNITED ST5",21353,19930729,114083,4150253,65824
"UNITED ST0",2014,19930105,97594,3361438,95495
"UNITED ST9",2023,19920611,157450,6864927,90447
"UNITED ST4",9211,19950921,92349,123403,80480
"UNITED ST9",10535,19980424,84562,1707402,92793
"UNITED ST7",28852,19940710,148015,4196763,63780
"UNITED ST1",26237,19951115,181638,6639491,103177
"UNITED ST9",14818,19960421,40554,4488133,89673
"UNITED ST7",20255,19970301,152588,6659114,98434
"UNITED ST1",6631,19971225,151662,2159211,102819
"UNITED ST6",6631,19971225,166861,4858207,115671
"UNITED ST4",14533,19920526,79407,4920333,83184
"UNITED ST3",4205,19951202,193118,4418129,72666
"UNITED ST2",8810,19931031,66540,4524139,90392
"UNITED ST4",19525,19940809,78601,4214372,94776
"UNITED ST4",1351,19950614,35044,920297,58742
"UNITED ST5",22462,19920714,175975,2922632,123058
"UNITED ST0",22090,19960524,136579,4707770,96934
"UNITED ST5",4078,19980127,33280,327585,72796
"UNITED ST0",26143,19951116,185048,4124265,67982
"UNITED ST3",17629,19950909,50342,5955102,77540
"UNITED ST1",3635,19980626,41943,1063106,113096
"UNITED ST4",9292,19960810,115030,4180120,62701
"UNITED ST3",3601,19960417,121489,1667569,90628
"UNITED ST1",17875,19960615,187390,1316354,88643
"UNITED ST3",8273,19960301,143685,4235266,103720
"UNITED ST7",5312,19950610,125895,7516442,115253
"UNITED ST4",22996,19920212,69250,1570394,73155
"UNITED ST0",2378,19980419,140963,5579024,120237
"UNITED ST2",25843,19960709,184610,2962178,101676
"UNITED ST1",536,19930622,169710,6228985,106782
"UNITED ST8",6028,19940317,79074,210614,63184
"UNITED ST3",10741,19980724,77691,2973605,100121
"UNITED ST3",21707,19920222,13140,3984028,63188
"UNITED ST2",23857,19921125,101464,2966091,87927
"UNITED ST7",6385,19940610,177696,6037640,106421
"UNITED ST1",23584,19980212,4754,6014627,99525
"UNITED ST9",12443,19920811,99761,7099384,105645
"UNITED ST6",2317,19970403,15129,3664861,62647
"UNITED ST9",1024,19920901,124558,294354,94953
"UNITED ST6",6898,19970815,128762,7445980,107445
"UNITED ST7",11165,19930506,38012,3025781,57000
"UNITED ST4",27212,19941119,91503,5649210,89670
"UNITED ST3",27212,19941119,11630,5133627,92497
"UNITED ST1",16630,19960825,151562,5518375,96813
"UNITED ST0",10382,19980505,3418,6024308,79284
"UNITED ST1",16687,19980731,134350,1245915,83061
"UNITED ST6",6727,19970621,109797,5485414,108407
"UNITED ST1",15169,19950610,96706,7764312,102162
"UNITED ST3",19984,19961129,100091,4567302,65465
"UNITED ST4",17771,19930417,9893,2711546,108173
"UNITED ST4",22195,19930419,50356,4655831,78381
"UNITED ST5",4447,19931030,185272,1954468,81436
"UNITED ST4",3304,19971011,168394,5001373,87743
"UNITED ST4",3487,19930713,117247,1251597,75854
"UNITED ST1",15815,19950727,157895,5468092,117173
"UNITED ST1",14903,19930816,195754,5554799,110985
"UNITED ST5",22867,19920430,81602,864645,95016
"UNITED ST3",16784,19930610,16598,6967114,90875
"UNITED ST3",22657,19930102,9169,2182195,64689
"UNITED ST0",12457,19941011,165276,6169842,80476
"UNITED ST4",24445,19920516,14234,2784457,68893
"UNITED ST6",19093,19921113,31569,976864,90033
"UNITED ST4",12598,19930402,17484,4669731,84088
"UNITED ST4",5878,19951108,185576,7028441,99694
"UNITED ST9",4069,19960827,63524,4810639,89251
"UNITED ST4",10894,19940131,195148,3804008,74588
"UNITED ST3",10894,19940131,157965,2002730,121377
"UNITED ST5",5680,19971021,107599,623356,96395
"UNITED ST3",13036,19930114,159440,1619395,89966
"UNITED ST0",5696,19921019,193534,4086727,97651
"UNITED ST1",28063,19980411,82815,5398823,107868
"UNITED ST0",18695,19940923,185751,1553890,110205
"UNITED ST1",2006,19960215,145542,3857722,95252
"UNITED ST7",4282,19961108,59810,2070677,106188
"UNITED ST4",24704,19961010,191765,2935537,111405
"UNITED ST4",29551,19980204,185217,3480807,78132
"UNITED ST4",22252,19960516,109661,2840122,100239
"UNITED ST0",19612,19931005,41906,8601974,110874
"UNITED ST3",26380,19970510,192306,5260404,83898
"UNITED ST0",24481,19920618,178934,7000970,120775
"UNITED ST4",2110,19940430,146181,3652087,73630
"UNITED ST3",319,19930310,173847,5647269,115250
"UNITED ST0",15808,19971220,154419,6166220,88404
"UNITED ST5",18466,19951017,125460,4783181,89127
"UNITED ST9",17203,19921022,93295,1198109,77297
"UNITED ST9",16621,19980626,170060,2879392,67803
"UNITED ST9",17791,19950102,153950,7641061,120237
"UNITED ST8",8026,19960707,93375,5273697,82102
"UNITED ST0",5203,19940219,185878,4772204,117832
"UNITED ST4",26234,19940320,31755,3400488,101205
"UNITED ST0",24935,19940804,64301,3188556,75918
"UNITED ST9",24935,19940804,100736,4897578,104203
"UNITED ST6",27356,19921117,84386,2368016,82222
"UNITED ST1",16894,19931003,152445,2545648,89846
"UNITED ST1",5080,19921227,54545,697286,89972
"UNITED ST4",11299,19971029,66325,2975201,77479
"UNITED ST0",1408,19960731,34581,2205168,90934
"UNITED ST7",19471,19930313,39438,1586799,82645
"UNITED ST5",14653,19930211,130082,3051547,66724
"UNITED ST6",24668,19950731,137252,3001374,77355
"UNITED ST3",15772,19930318,47000,4094828,56820
"UNITED ST0",25681,19980215,62730,6161537,101563
"UNITED ST0",15103,19950707,192823,7854862,114949
"UNITED ST0",29458,19920822,27486,1272132,84808
"UNITED ST1",8371,19960727,130642,2955554,100358
"UNITED ST0",4894,19970708,150599,6086987,98975
"UNITED ST5",20143,19960211,96880,853980,112612
"UNITED ST1",20143,19960211,98067,4121782,63903
"UNITED ST0",22066,19920228,104231,3947795,74113
"UNITED ST1",17663,19940605,104829,7443475,110029
"UNITED ST9",10393,19940323,135348,1992009,83000
"UNITED ST9",4172,19960706,178852,7520660,115851
"UNITED ST1",25945,19980223,11325,3204541,74179
"UNITED ST4",28616,19930704,42085,3415041,61624
"UNITED ST1",1360,19931112,192067,4520334,69543
"UNITED ST3",28567,19930906,99411,3283434,84624
"UNITED ST9",15995,19921025,45687,1040017,97960
"UNITED ST5",4105,19971027,151373,2512588,85462
"UNITED ST0",19091,19920430,91584,1871789,94534
"UNITED ST9",28898,19950529,143519,1889074,93750
"UNITED ST1",29510,19941211,134052,2257897,65163
"UNITED ST9",17819,19940218,74705,2633769,100782
"UNITED ST6",21994,19960101,132955,8035293,119277
"UNITED ST1",17560,19930914,55635,5408142,95437
"UNITED ST9",2521,19920304,12273,2666857,71116
"UNITED ST1",25277,19950531,108069,2477238,64623
"UNITED ST8",27560,19940323,23212,4654361,68112
"UNITED ST7",27668,19980709,151713,635295,105882
"UNITED ST0",27668,19980709,48666,4747100,96879
"UNITED ST8",28742,19921011,50394,4037203,80663
"UNITED ST1",22927,19960407,133538,1590388,94291
"UNITED ST1",20485,19940615,181533,1763066,96871
"UNITED ST5",346,19940814,59042,2844955,60062
"UNITED ST0",22891,19940124,199927,8561710,121615
"UNITED ST0",29251,19951216,42159,2431339,66069
"UNITED ST4",21286,19970730,22340,3441138,75740
"UNITED ST7",7429,19920501,153925,5699289,118735
"UNITED ST4",7429,19920501,3967,6174168,112257
"UNITED ST3",1348,19930808,195874,3510308,118192
"UNITED ST8",29320,19950209,196439,1257517,92125
"UNITED ST2",29320,19950209,162398,1314351,87623
"UNITED ST4",832,19960518,97268,867968,75915
"UNITED ST0",1610,19941206,39874,4621740,108832
"UNITED ST3",27034,19921205,35317,6198934,75138
"UNITED ST2",14323,19920324,158325,5217883,82999
"UNITED ST3",15610,19941015,88579,4455033,94054
"UNITED ST4",24994,19920913,123465,148846,89307
"UNITED ST6",6001,19951215,115220,239632,74113
"UNITED ST7",20591,19950614,155953,5223270,120537
"UNITED ST0",9625,19960701,40743,3199106,101024
"UNITED ST4",3245,19980311,149329,1281837,82699
"UNITED ST3",17101,19940108,24009,3722670,55980
"UNITED ST0",16676,19951018,196339,3938545,86119
"UNITED ST9",11674,19940118,112941,2571385,117236
"UNITED ST4",3163,19950728,10331,1633590,74479
"UNITED ST6",8213,19941109,179109,5193185,71286
"UNITED ST9",18460,19920720,177072,3450657,68944
"UNITED ST3",12136,19980630,158295,5039651,81197
"UNITED ST9",25453,19950519,123246,5311769,76154
"UNITED ST6",27577,19931114,7542,943650,86972
"UNITED ST8",10163,19980128,190315,3856170,84318
"UNITED ST0",10372,19960224,3750,4051687,99225
"UNITED ST5",15289,19980802,100726,3733168,103603
"UNITED ST3",26375,19970915,191746,2536081,110264
"UNITED ST3",20275,19951103,149377,5134932,85582
"UNITED ST7",20650,19960119,48764,3058989,102765
"UNITED ST1",17956,19950222,57074,4553205,61864
"UNITED ST9",16831,19931223,17143,3746534,63608
"UNITED ST6",16831,19931223,122546,6901576,94112
"UNITED ST3",16540,19940819,9008,2567600,55020
"UNITED ST4",15745,19970626,101043,3407746,62642
"UNITED ST5",26785,19950205,148556,5699361,96273
"UNITED ST4",3772,19930404,86417,138937,84204
"UNITED ST3",5633,19920209,168510,2812904,94710
"UNITED ST1",8423,19950721,77470,1211532,86848
"UNITED ST9",18184,19960613,70407,4820900,82644
"UNITED ST6",19318,19930415,124360,5260568,83061
"UNITED ST4",19318,19930415,57727,1940797,101083
"UNITED ST6",24686,19920224,3829,7173874,103969
"UNITED ST5",22532,19940415,56833,520840,107389
"UNITED ST4",9280,19971013,38583,3314001,91294
"UNITED ST3",10895,19980408,866,2883515,106011
"UNITED ST6",23659,19920928,91182,4955512,70390
"UNITED ST9",27281,19940816,103974,3532654,118678
"UNITED ST4",8323,19930722,92031,558574,61381
"UNITED ST9",6487,19940115,135590,6690928,97535
"UNITED ST0",14743,19940821,116303,120056,79158
"UNITED ST1",9026,19930908,450,3335611,81027
"UNITED ST7",8027,19930401,21250,4030271,70275
"UNITED ST4",6607,19960615,109806,3055991,108948
"UNITED ST5",11909,19980625,100010,3892578,60600
"UNITED ST8",14662,19930201,162676,2879237,104320
"UNITED ST8",16204,19940621,30644,4520791,94478
"UNITED ST3",4307,19920412,43334,4470655,76639
"UNITED ST9",23317,19930524,159921,6863887,118855
"UNITED ST7",7222,19940620,12674,1713603,95200
"UNITED ST9",14656,19950507,138668,324265,102399
"UNITED ST6",13658,19950124,169822,7919158,113509
"UNITED ST8",3023,19970615,115907,1038366,115374
"UNITED ST1",12049,19960718,144532,6306120,94591
"UNITED ST7",823,19980113,153788,1082966,110506
"UNITED ST6",11722,19970506,85736,626709,103303
"UNITED ST0",62,19950618,181153,4813185,74049
"UNITED ST3",62,19950618,57364,5708275,79281
"UNITED ST4",13744,19950217,196856,937368,117171
"UNITED ST4",28736,19940408,56431,3156403,83245
"UNITED ST1",19498,19970106,158757,8107323,108945
"UNITED ST0",21154,19941006,34839,7588444,106429
"UNITED ST5",18493,19940522,105965,3090465,118257
"UNITED ST4",26084,19970126,88572,6014436,93634
"UNITED ST3",839,19920405,92186,3925695,70690
"UNITED ST9",6925,19980711,180109,3575623,71346
"UNITED ST9",7460,19980630,163885,8769960,116932
"UNITED ST0",14933,19960111,101111,1584756,66726
"UNITED ST3",2333,19940508,178184,2817185,75730
"UNITED ST7",16675,19951212,190689,8458819,106780
"UNITED ST1",28753,19980317,160849,7257392,114590
"UNITED ST0",26594,19950820,1434,388610,80125
"UNITED ST1",19528,19940702,111276,2747034,77236
"UNITED ST6",1036,19980206,107518,141872,91530
"UNITED ST8",17392,19930429,8020,3925524,55681
"UNITED ST7",28180,19930621,32618,893151,93036
"UNITED ST9",20158,19920215,83471,1832632,87268
"UNITED ST7",10472,19930313,97263,1077522,75615
"UNITED ST1",24032,19980310,83383,2253160,81982
"UNITED ST2",10951,19970526,33529,3632899,87751
"UNITED ST0",16985,19970916,65234,2206583,71953
"UNITED ST5",24451,19930913,183525,7720896,96511
"UNITED ST1",15439,19980112,97198,1893180,71711
"UNITED ST1",17869,19920208,42255,2729730,71835
"UNITED ST4",17024,19970803,190858,9262884,116931
"UNITED ST5",17024,19970803,144747,7450054,107504
"UNITED ST4",8924,19980618,186841,7252534,115670
"UNITED ST0",20806,19931111,15827,5465483,104569
"UNITED ST1",19702,19950305,89357,1077080,80781
"UNITED ST8",19327,19970623,133232,5408858,75913
"UNITED ST0",19327,19970623,60081,3570904,62464
"UNITED ST6",24782,19980715,176515,6047738,95490
"UNITED ST1",7123,19931223,166293,3262296,81557
