"d_year","s_city","lo_partkey","lo_revenue","lo_supplycost"
1992,"UNITED ST9",38659,5615739,95859
1992,"UNITED ST9",81918,4195001,113994
1992,"UNITED ST0",20734,5175995,99283
1992,"UNITED ST5",14648,5550497,93758
1993,"UNITED ST3",55627,4961513,94957
1993,"UNITED ST5",111704,5265483,102942
1992,"UNITED ST2",65910,3939411,112554
1993,"UNITED ST1",76024,4400088,60001
1992,"UNITED ST1",140533,1573530,94411
1992,"UNITED ST9",78094,2749910,64325
1993,"UNITED ST7",35513,4875684,86910
1993,"UNITED ST9",149314,801626,81798
1993,"UNITED ST4",170669,4578785,104379
1992,"UNITED ST0",148726,3098661,106483
1993,"UNITED ST9",166431,2964911,89845
1992,"UNITED ST4",143426,133717,88165
1993,"UNITED ST0",116477,6045566,89608
1992,"UNITED ST1",106040,1826385,62762
1992,"UNITED ST1",30056,2319189,59163
1993,"UNITED ST9",53878,8168308,109912
1992,"UNITED ST4",118719,3475420,104262
1992,"UNITED ST9",131136,1108773,70027
1993,"UNITED ST9",8939,5820979,110875
1992,"UNITED ST9",192108,4469172,72006
1992,"UNITED ST9",110835,1162872,110749
1992,"UNITED ST7",101625,3996605,97597
1992,"UNITED ST9",94933,5797285,115675
1992,"UNITED ST8",33062,3980240,59703
1992,"UNITED ST2",93557,2307218,93033
1993,"UNITED ST2",175225,2246780,78013
1993,"UNITED ST5",4382,1344267,77182
1992,"UNITED ST9",45088,194219,61984
1993,"UNITED ST2",126897,8570929,115433
1993,"UNITED ST9",90267,5227687,75435
1992,"UNITED ST3",160179,4355682,74350
1993,"UNITED ST0",52734,8015340,101203
1992,"UNITED ST7",112050,2163395,63723
1992,"UNITED ST0",26488,1509250,84868
1992,"UNITED ST3",199985,1801422,125098
1993,"UNITED ST2",89306,6093091,77718
1993,"UNITED ST4",45100,2006592,62706
1992,"UNITED ST5",160895,3716191,117353
1992,"UNITED ST9",85474,6722318,87568
1993,"UNITED ST0",186630,7664752,102997
1992,"UNITED ST7",120907,6246396,115674
1992,"UNITED ST5",140681,5016975,103300
1993,"UNITED ST6",15010,271952,55500
1993,"UNITED ST4",157186,5594310,74590
1992,"UNITED ST8",157607,6620114,99876
1993,"UNITED ST4",180331,4657389,84679
1993,"UNITED ST3",171406,4585849,88644
1993,"UNITED ST0",95676,6716770,100300
1993,"UNITED ST7",1775,1373274,100606
1992,"UNITED ST4",176000,1820592,64560
1992,"UNITED ST1",11711,7235663,97362
1992,"UNITED ST1",185922,8587873,120475
1992,"UNITED ST1",184076,3452368,69604
1992,"UNITED ST7",29040,3798636,58142
1993,"UNITED ST9",123332,3984670,81319
1992,"UNITED ST2",144740,3355311,107084
1993,"UNITED ST9",34726,3886084,99643
1993,"UNITED ST9",196429,5079648,91525
1993,"UNITED ST0",106779,350010,107146
1992,"UNITED ST5",114941,1103150,117356
1993,"UNITED ST4",191066,208270,69423
1993,"UNITED ST5",14381,4095991,77722
1993,"UNITED ST7",112316,2996667,79698
1992,"UNITED ST6",196107,471615,72186
1992,"UNITED ST7",101912,7636500,114834
1993,"UNITED ST4",174120,1655050,71647
1992,"UNITED ST5",187326,4249853,84799
1993,"UNITED ST5",191274,3243881,81916
1992,"UNITED ST7",141022,3252841,63781
1992,"UNITED ST7",170437,7160292,90445
1993,"UNITED ST1",178163,121633,74469
1992,"UNITED ST7",150116,876914,69966
1992,"UNITED ST0",193371,4018231,87862
1992,"UNITED ST8",145449,2555492,89666
1992,"UNITED ST7",136725,3625619,105703
1993,"UNITED ST0",114101,2508975,66906
1992,"UNITED ST6",104135,911304,68347
1992,"UNITED ST3",5229,1077509,68053
1992,"UNITED ST1",113810,8024764,109428
1992,"UNITED ST0",170206,2905907,76572
1993,"UNITED ST9",46266,3840439,72735
1992,"UNITED ST1",36913,1498427,110994
1993,"UNITED ST4",177405,1830764,88944
1992,"UNITED ST3",103641,3618208,98678
1993,"UNITED ST0",143670,3187426,102820
1993,"UNITED ST6",44444,4261122,83306
1992,"UNITED ST4",194444,2363043,92306
1993,"UNITED ST0",42947,1322958,113396
1993,"UNITED ST8",38963,3849567,114117
1993,"UNITED ST7",99389,3465396,83302
1992,"UNITED ST1",186445,6891480,91886
1992,"UNITED ST6",41523,994409,87871
1993,"UNITED ST6",192581,8118536,100414
1992,"UNITED ST5",4658,5766178,93759
1992,"UNITED ST0",148491,3922620,92369
1993,"UNITED ST8",116511,6158920,91650
1993,"UNITED ST0",123365,2998857,83301
1993,"UNITED ST7",68505,2519685,88410
1993,"UNITED ST4",64946,8989061,114656
1992,"UNITED ST6",56936,8707478,113575
1992,"UNITED ST1",87354,1674004,80481
1992,"UNITED ST9",63604,7297178,94056
1993,"UNITED ST5",163501,1783530,93870
1993,"UNITED ST0",119437,5036334,87385
1992,"UNITED ST0",143083,3276892,67564
1992,"UNITED ST9",18343,3303449,75680
1992,"UNITED ST5",144286,3426801,79816
1993,"UNITED ST0",33861,8435842,107691
1993,"UNITED ST5",60363,898561,79401
1993,"UNITED ST0",55281,2184506,74176
1993,"UNITED ST4",178281,3539565,81556
1993,"UNITED ST6",37248,3899439,71114
1993,"UNITED ST3",136990,8651193,121619
1992,"UNITED ST0",49727,2230037,100603
1993,"UNITED ST3",4228,3056994,67933
1993,"UNITED ST9",67043,3492718,60602
1993,"UNITED ST0",55712,4502817,100062
1992,"UNITED ST1",9910,3809071,109194
1992,"UNITED ST7",100633,6603132,98017
1992,"UNITED ST3",69938,7853039,114475
1993,"UNITED ST5",116956,7463669,118377
1993,"UNITED ST1",132909,8486103,116514
1992,"UNITED ST4",62746,6233483,102524
1993,"UNITED ST5",23052,472899,58503
1992,"UNITED ST2",65423,5685579,83305
1992,"UNITED ST3",92002,381696,59640
1992,"UNITED ST3",160201,4540320,75672
1992,"UNITED ST2",144570,734629,96874
1992,"UNITED ST9",62382,2274690,80662
1993,"UNITED ST4",121368,5121180,83361
1993,"UNITED ST4",3160,3646638,63789
1993,"UNITED ST1",134111,439722,68706
1993,"UNITED ST3",188188,4252231,76570
1992,"UNITED ST7",135186,478702,73270
1992,"UNITED ST9",191686,1023943,106660
1992,"UNITED ST8",102925,4303117,115675
1992,"UNITED ST5",191626,4831665,103057
1992,"UNITED ST3",55083,2049169,62284
1992,"UNITED ST1",117170,5021729,71230
1993,"UNITED ST7",193040,1019736,67982
1992,"UNITED ST1",114622,5080068,98197
1993,"UNITED ST1",193041,4850289,68042
1992,"UNITED ST0",9437,6003731,80785
1992,"UNITED ST6",198387,855578,89122
1993,"UNITED ST4",124255,2302650,76755
1993,"UNITED ST5",79561,5379635,92433
1993,"UNITED ST0",41508,391365,86970
1993,"UNITED ST0",48565,1225983,90813
1993,"UNITED ST6",61607,153722,94116
1992,"UNITED ST3",75093,1606407,64085
1992,"UNITED ST6",16452,4109455,82107
1992,"UNITED ST9",155811,3511469,112008
1992,"UNITED ST3",35472,1114716,84448
1992,"UNITED ST3",136949,1179648,119156
1993,"UNITED ST1",108153,5350579,69669
1992,"UNITED ST6",43544,1660094,89252
1992,"UNITED ST4",59946,1494256,114356
1992,"UNITED ST5",84588,5724191,94354
1992,"UNITED ST7",176199,3028576,76511
1992,"UNITED ST5",180462,4835612,92547
1992,"UNITED ST1",38782,1294026,103246
1993,"UNITED ST4",56680,2726708,98200
1992,"UNITED ST0",195012,5041323,66420
1992,"UNITED ST9",152581,313647,98014
1992,"UNITED ST4",165266,5564666,79875
1992,"UNITED ST8",24280,1618552,72256
1992,"UNITED ST9",132036,4718556,64081
1992,"UNITED ST1",21993,4705130,114899
1992,"UNITED ST0",197892,3044531,119393
1993,"UNITED ST0",138693,7650606,103901
1992,"UNITED ST6",6488,5816376,83668
1993,"UNITED ST3",43427,4715615,82225
1992,"UNITED ST3",76025,1275299,60061
1993,"UNITED ST5",7320,2538097,73639
1993,"UNITED ST8",22661,158366,95019
1993,"UNITED ST8",32679,2520651,96700
1993,"UNITED ST9",198326,414477,85459
1992,"UNITED ST4",185916,2802674,120114
1992,"UNITED ST0",81047,4397955,61682
1992,"UNITED ST1",155889,190598,116692
1993,"UNITED ST1",54223,5200957,70633
1993,"UNITED ST1",23829,1700235,105169
1993,"UNITED ST5",42578,1064399,91234
1992,"UNITED ST8",39175,551514,66850
1992,"UNITED ST8",155130,2116642,71107
1992,"UNITED ST5",125177,2308166,72130
1992,"UNITED ST5",93242,1318001,74114
1992,"UNITED ST8",101915,3985255,115014
1993,"UNITED ST4",8126,4281256,62047
1993,"UNITED ST8",12124,1436062,62167
1993,"UNITED ST7",150559,7564885,96573
1992,"UNITED ST3",81354,5888893,80121
1992,"UNITED ST4",178441,1326471,91166
1993,"UNITED ST4",150865,1839225,114951
1992,"UNITED ST7",114327,1877848,80479
1992,"UNITED ST9",9093,1603344,60125
1992,"UNITED ST8",36065,1101166,60063
1992,"UNITED ST3",109564,4343025,94413
1992,"UNITED ST0",9392,5268026,78083
1992,"UNITED ST0",105011,3143534,60960
1992,"UNITED ST3",69665,5503900,98079
1993,"UNITED ST0",176923,7143714,119995
1992,"UNITED ST9",42765,3381364,102465
1992,"UNITED ST4",76091,2718945,64025
1993,"UNITED ST3",108095,933214,66185
1993,"UNITED ST7",7663,3769584,94239
1993,"UNITED ST3",62366,3142899,79701
1992,"UNITED ST7",24423,6273587,80845
1993,"UNITED ST1",118903,6970731,115314
1993,"UNITED ST9",92823,5287667,108949
1992,"UNITED ST1",120007,821600,61620
1993,"UNITED ST5",5148,195884,63188
1993,"UNITED ST6",70202,1044430,70332
1992,"UNITED ST6",65324,5021901,77359
1992,"UNITED ST0",181747,3686739,109724
1992,"UNITED ST0",127415,2492484,86544
1993,"UNITED ST4",87648,2486172,98138
1992,"UNITED ST7",181941,8277870,121376
1993,"UNITED ST4",135853,755540,113331
1993,"UNITED ST5",79244,3376142,73394
1992,"UNITED ST5",85678,4891189,99820
1992,"UNITED ST1",154032,4778532,65161
1993,"UNITED ST7",17442,255574,81566
1993,"UNITED ST9",55212,1519707,70032
1993,"UNITED ST4",116,1930609,60966
1993,"UNITED ST4",154206,1261460,75612
1993,"UNITED ST7",186140,4325821,73568
1992,"UNITED ST5",1790,5406960,101507
1992,"UNITED ST9",108665,1338928,100419
1993,"UNITED ST1",152999,1887830,123119
1993,"UNITED ST5",131859,3743883,113451
1992,"UNITED ST7",158329,5493787,83239
1993,"UNITED ST7",123331,3792124,81259
1992,"UNITED ST9",81511,2895469,89550
1992,"UNITED ST8",121010,2845587,61860
1993,"UNITED ST2",79687,2730021,100000
1993,"UNITED ST1",150292,6107419,80537
1992,"UNITED ST3",109757,671365,106005
1992,"UNITED ST7",75127,2975724,66127
1992,"UNITED ST1",184771,4559626,111346
1992,"UNITED ST4",144915,7921956,117594
1993,"UNITED ST9",47538,6176833,89131
1992,"UNITED ST4",77562,5029742,92373
1992,"UNITED ST2",156671,2052471,103660
1993,"UNITED ST9",44901,2082175,110754
1993,"UNITED ST9",9137,1255356,62767
1993,"UNITED ST4",176107,2476228,70986
1993,"UNITED ST3",29133,691446,63727
1992,"UNITED ST6",161343,3405524,84260
1993,"UNITED ST6",138576,1469258,96874
1993,"UNITED ST1",158591,465184,98975
1993,"UNITED ST5",166100,214562,69966
1992,"UNITED ST7",87745,7329490,103964
1992,"UNITED ST5",55676,3565198,97900
1993,"UNITED ST5",166087,1106956,69184
1992,"UNITED ST9",50981,2225640,115918
1993,"UNITED ST8",41455,4331787,83787
1992,"UNITED ST9",51190,4293156,68471
1993,"UNITED ST4",25280,5377959,72316
1993,"UNITED ST9",53826,8030547,106789
1993,"UNITED ST5",40652,1404717,95559
1992,"UNITED ST1",33497,3982484,85829
1993,"UNITED ST8",58479,4880210,86248
1993,"UNITED ST3",94565,1703039,93573
1992,"UNITED ST8",41162,2610076,66189
1993,"UNITED ST0",92395,1977030,83243
1993,"UNITED ST4",87163,105814,69009
1993,"UNITED ST0",128266,2554869,77655
1993,"UNITED ST3",141477,7142882,91108
1992,"UNITED ST7",13707,1640148,97242
1993,"UNITED ST1",8599,3542836,90455
1992,"UNITED ST7",64663,2937926,97659
1993,"UNITED ST0",48437,3441408,83125
1993,"UNITED ST0",48560,286626,90513
1993,"UNITED ST0",38434,2709176,82345
1993,"UNITED ST0",144339,2012745,82999
1993,"UNITED ST2",123620,1081501,98617
1993,"UNITED ST0",138092,3836655,67805
1992,"UNITED ST4",3837,1653788,104449
1992,"UNITED ST2",182767,172027,110985
1993,"UNITED ST8",189930,8087799,121195
1993,"UNITED ST1",151664,6557252,102939
1993,"UNITED ST9",23465,2374266,83307
1992,"UNITED ST1",178337,2420214,84919
1993,"UNITED ST1",128806,511909,110088
1993,"UNITED ST9",13847,2391220,105650
1993,"UNITED ST4",92593,3229846,95135
1992,"UNITED ST4",196559,4767984,99333
1992,"UNITED ST6",117398,4812326,84923
1993,"UNITED ST8",136706,3680582,104562
1993,"UNITED ST2",174072,4380279,68764
1992,"UNITED ST8",29883,4350912,108772
1992,"UNITED ST9",161136,351956,71827
1993,"UNITED ST3",118693,5451732,102701
1993,"UNITED ST6",132843,7278259,112550
1992,"UNITED ST3",34866,8103870,108051
1993,"UNITED ST3",64283,3165596,74836
1993,"UNITED ST3",28799,4319475,103667
1993,"UNITED ST2",29931,4548112,111655
1992,"UNITED ST9",73223,580166,71773
1992,"UNITED ST7",103523,3077464,91591
1993,"UNITED ST6",162191,1531398,75191
1992,"UNITED ST7",139531,848086,94231
1992,"UNITED ST8",67497,6959256,87869
1993,"UNITED ST9",48325,2154457,76399
1992,"UNITED ST7",54861,2941693,108951
1993,"UNITED ST4",29306,1089534,74118
1993,"UNITED ST6",145315,2656685,81618
1992,"UNITED ST5",34050,4073967,59043
1992,"UNITED ST3",70476,5438727,86788
1992,"UNITED ST1",141088,1823464,67744
1993,"UNITED ST0",47396,3409523,80603
1993,"UNITED ST4",64226,1071198,71413
1992,"UNITED ST8",178353,4251109,85881
1993,"UNITED ST3",42070,2705263,60724
1993,"UNITED ST8",82779,1183909,105706
1992,"UNITED ST4",145499,1278837,92669
1992,"UNITED ST6",73948,9225312,115316
1993,"UNITED ST3",93705,6879735,101922
1993,"UNITED ST9",5666,6638691,94299
1992,"UNITED ST0",97806,7799631,108228
1992,"UNITED ST1",81588,1883496,94174
1992,"UNITED ST9",108872,3889639,112852
1992,"UNITED ST4",96347,5496947,80600
1992,"UNITED ST6",9266,2143674,70515
1992,"UNITED ST9",194064,3265729,69483
1992,"UNITED ST6",50318,5593247,76098
1992,"UNITED ST9",70818,1359495,107328
1992,"UNITED ST5",98825,2400147,109429
1993,"UNITED ST7",15871,2546289,107212
1992,"UNITED ST1",90470,5432948,87628
1993,"UNITED ST7",22958,6750729,112857
1992,"UNITED ST3",199414,1006417,90804
1992,"UNITED ST0",66760,5527358,103605
1992,"UNITED ST6",51606,2663496,93456
1992,"UNITED ST3",3972,2588838,112558
1992,"UNITED ST1",98257,2711340,75315
1993,"UNITED ST3",84417,6180218,84084
1993,"UNITED ST5",82799,1172417,106907
1993,"UNITED ST6",41364,1174824,78321
1992,"UNITED ST0",110229,4609898,74353
1993,"UNITED ST1",19979,3987837,113938
1992,"UNITED ST0",37435,1825331,82345
1993,"UNITED ST6",150932,4872059,118975
1993,"UNITED ST3",78355,4813393,80001
1993,"UNITED ST8",134173,4918010,72430
1992,"UNITED ST0",157492,582608,92969
1993,"UNITED ST6",88627,1227871,96937
1992,"UNITED ST8",9960,1933538,112197
1993,"UNITED ST8",5362,235728,76041
1992,"UNITED ST3",158277,1255153,80116
1993,"UNITED ST4",108031,3948314,62341
1992,"UNITED ST1",37575,140669,90754
1992,"UNITED ST9",176158,3787606,74049
1992,"UNITED ST1",104081,3569913,65104
1993,"UNITED ST6",66152,3578080,67089
1992,"UNITED ST0",112333,3164216,80719
1992,"UNITED ST8",66683,4074709,98980
1992,"UNITED ST9",176820,3063364,113809
1993,"UNITED ST4",89492,6814854,88889
1993,"UNITED ST9",76759,6949943,104145
1992,"UNITED ST7",121106,2454823,67626
1992,"UNITED ST1",107773,5520387,106846
1993,"UNITED ST4",109084,804506,65584
1993,"UNITED ST8",92443,4455605,86126
1993,"UNITED ST3",1603,2658628,90276
1992,"UNITED ST1",187295,1194298,82937
1993,"UNITED ST3",161683,7953996,104680
1992,"UNITED ST3",62834,8534942,107809
1993,"UNITED ST9",156758,8347850,108885
1993,"UNITED ST9",165504,7536739,94170
1993,"UNITED ST3",129635,6741751,99877
1992,"UNITED ST9",147569,2230852,96993
1992,"UNITED ST0",58826,4283568,107089
1993,"UNITED ST1",170505,4928164,94530
1993,"UNITED ST6",108188,4385195,71770
1992,"UNITED ST4",154937,9162878,119515
1993,"UNITED ST6",197420,147189,91045
1992,"UNITED ST3",186111,4248543,71826
1993,"UNITED ST5",125604,5783450,97776
1993,"UNITED ST9",150068,420390,67083
1993,"UNITED ST3",111775,6346607,107206
1993,"UNITED ST4",166065,3359248,67863
1993,"UNITED ST4",97869,3802793,112011
1992,"UNITED ST4",133447,6963989,88826
1992,"UNITED ST1",64098,4639209,63725
1992,"UNITED ST9",117692,4089578,102581
1993,"UNITED ST0",150075,3645226,67504
1992,"UNITED ST9",96480,2220625,88588
1992,"UNITED ST7",53566,3956934,91173
