"s_nation","d_year","lo_custkey","lo_partkey","lo_revenue","lo_supplycost"
"ARGENTINA",1992,138850,142455,1497450,89847
"CANADA",1992,138850,232668,6921210,96039
"PERU",1992,133015,338282,5762978,79216
"BRAZIL",1992,133015,494969,903412,117836
"CANADA",1992,160385,382868,5600890,117051
"BRAZIL",1992,160385,53549,2884876,90152
"UNITED STATES",1993,114781,450561,3079006,90692
"BRAZIL",1993,114781,567977,7770810,122697
"PERU",1993,222694,316651,2778288,100058
"CANADA",1992,288820,194936,8310565,121855
"CANADA",1992,226499,204984,2198761,113338
"PERU",1992,244940,483064,1809285,62822
"BRAZIL",1992,244940,50698,3099537,98921
"UNITED STATES",1993,94936,223699,1898535,97360
"UNITED STATES",1993,162334,400081,2737157,58863
"ARGENTINA",1993,162334,53291,2861867,74657
"ARGENTINA",1993,269164,11414,3944420,79524
"UNITED STATES",1993,85072,111767,7572181,106725
"PERU",1993,85072,458166,2697936,67448
"UNITED STATES",1992,200228,563713,7995105,106601
"CANADA",1993,131965,73070,4850275,62584
"UNITED STATES",1993,120148,222362,635753,77061
"PERU",1993,93194,224317,1737820,74478
"UNITED STATES",1992,138751,43083,2797094,61564
"PERU",1992,138751,414918,7672477,109973
"PERU",1993,279115,17834,679710,105109
"UNITED STATES",1993,161332,513898,1217861,114712
"UNITED STATES",1993,38401,240675,6378625,96939
"CANADA",1993,38401,416936,5858901,111174
"ARGENTINA",1993,38401,28027,185273,57301
"PERU",1993,38401,33771,3204967,102286
"CANADA",1992,84370,149386,674628,86122
"UNITED STATES",1992,196738,14750,4634664,99885
"PERU",1992,196738,87405,3755302,83544
"BRAZIL",1993,25565,450593,1148416,92614
"ARGENTINA",1993,35632,128173,5589044,72070
"BRAZIL",1993,35632,425164,1638066,65348
"CANADA",1992,258712,586661,6013629,104858
"ARGENTINA",1992,197725,289591,1073213,94834
"BRAZIL",1993,270967,252243,4838291,71713
"PERU",1993,270967,276935,1101265,114715
"UNITED STATES",1992,112727,44786,4673106,103846
"BRAZIL",1992,112727,595065,2881539,69602
"UNITED STATES",1992,274765,593363,138352,87380
"UNITED STATES",1992,274765,39992,6676957,115919
"UNITED STATES",1992,274765,580952,7318548,121975
"BRAZIL",1992,274765,273218,2240647,71472
"CANADA",1993,278176,234888,2180152,109372
"BRAZIL",1993,278176,359362,2198828,85281
"UNITED STATES",1992,234322,401487,2828293,83307
"CANADA",1992,38222,128257,809707,77115
"PERU",1993,280465,436710,3194578,98801
"PERU",1993,280031,383110,3328749,71586
"ARGENTINA",1993,135212,401586,6012717,89253
"PERU",1993,252422,348994,8539656,122578
"ARGENTINA",1992,64394,502410,3283806,84743
"ARGENTINA",1993,264695,147457,3755107,90267
"BRAZIL",1993,264695,295945,3266585,116455
"ARGENTINA",1992,9280,52406,1695283,81504
"BRAZIL",1992,149939,91817,2469025,108528
"BRAZIL",1993,237676,321461,1467625,88947
"ARGENTINA",1992,110642,385392,2632691,88642
"UNITED STATES",1992,23941,578834,8529219,114768
"CANADA",1992,43772,537655,7163210,101557
"PERU",1992,43772,363494,4345369,93448
"PERU",1992,43772,29485,2715801,84868
"UNITED STATES",1993,142768,488784,4946000,106365
"UNITED STATES",1993,142768,89110,404472,65946
"PERU",1992,77509,95548,2031298,92612
"CANADA",1993,258700,392893,2502208,119152
"BRAZIL",1992,75538,252708,7253893,99641
"BRAZIL",1992,23806,239383,4231584,79342
"UNITED STATES",1993,256418,283364,3790095,80841
"UNITED STATES",1993,210490,513018,587664,61859
"CANADA",1992,275176,212931,857422,110635
"PERU",1993,88067,513556,2683896,94171
"PERU",1992,29587,15931,520834,110815
"UNITED STATES",1993,202981,476815,6979022,107507
"UNITED STATES",1993,186478,142872,7429695,114892
"UNITED STATES",1992,226742,340014,3356990,63240
"BRAZIL",1992,123688,411844,1306330,105349
"PERU",1992,123688,235563,557460,89913
"PERU",1992,247129,162174,4865565,74170
"CANADA",1992,292715,523800,547134,109426
"ARGENTINA",1992,28835,184332,3314212,84979
"PERU",1992,239720,486441,5903809,85645
"ARGENTINA",1992,239720,597896,1874237,119632
"PERU",1993,286946,23555,2528320,88713
"ARGENTINA",1993,186295,573009,4771531,64918
"PERU",1993,186295,552777,7809373,109785
"BRAZIL",1992,30577,309427,1215202,86184
"PERU",1992,176755,360707,7077830,106061
"BRAZIL",1992,50164,579736,1024060,108942
"ARGENTINA",1993,199409,23310,3315137,73998
"UNITED STATES",1993,211231,368812,1608084,112848
"CANADA",1992,63518,220948,2018444,112135
"PERU",1992,145460,121910,8175843,115914
"PERU",1992,266779,70929,3799840,113995
"ARGENTINA",1992,266779,590618,2460369,102515
"ARGENTINA",1992,143413,431415,490085,80783
"UNITED STATES",1993,297808,477766,5963590,104624
"ARGENTINA",1993,276115,316564,3120005,94833
"CANADA",1993,276115,318488,1233798,90388
"ARGENTINA",1992,169634,447945,1550301,113575
"PERU",1992,169634,395087,2695119,70924
"PERU",1993,58663,411950,7794038,111715
"UNITED STATES",1992,258646,323459,1532842,88946
"BRAZIL",1993,168884,234482,4815998,84988
"ARGENTINA",1993,168884,270550,4917426,91232
"ARGENTINA",1993,49499,516938,8812734,117294
"CANADA",1993,24182,131918,2807870,116994
"ARGENTINA",1992,152287,419761,5529634,100844
"BRAZIL",1992,152287,431760,7536701,101504
"ARGENTINA",1992,68102,206620,3975292,91596
"UNITED STATES",1992,283456,527429,3539052,87384
"CANADA",1992,283456,93217,220258,72612
"UNITED STATES",1993,41785,516286,4774085,78135
"CANADA",1992,262967,71352,4700539,79401
"PERU",1993,260689,546895,2499186,116512
"ARGENTINA",1993,67202,223104,1700861,61625
"ARGENTINA",1993,168880,407230,5294849,68232
"BRAZIL",1993,168880,597970,10132955,124077
"UNITED STATES",1992,40538,38789,855251,103666
"ARGENTINA",1992,223487,272440,129943,84745
"UNITED STATES",1992,85603,351684,2188679,104140
"CANADA",1993,90157,336845,931505,112909
"ARGENTINA",1993,270988,281683,1937675,99880
"BRAZIL",1992,201031,532315,4225101,80837
"CANADA",1993,107099,337486,425048,91408
"ARGENTINA",1993,107099,158009,4129290,64020
"ARGENTINA",1993,113275,160077,4644930,68224
"PERU",1993,21382,579206,5911828,77110
"ARGENTINA",1993,142783,188187,4315209,76510
"CANADA",1993,142783,292774,164308,106005
"ARGENTINA",1993,142783,43161,2055945,66249
"ARGENTINA",1993,208967,466794,7613569,105646
"ARGENTINA",1993,208967,579329,2408193,84498
"ARGENTINA",1993,208967,568237,5883886,78312
"CANADA",1992,29141,23241,2543864,69854
"PERU",1993,8518,194547,3742711,98492
"ARGENTINA",1992,56044,461251,5880527,72733
"CANADA",1993,33218,51242,687306,71594
"CANADA",1993,33218,160878,5998863,116332
"PERU",1992,258646,22193,1377259,66911
"ARGENTINA",1992,258646,387651,1634321,104318
"PERU",1992,258646,441299,2356513,74416
"ARGENTINA",1992,258646,305884,4042431,113392
"CANADA",1992,148960,365880,2831240,116752
"PERU",1993,104657,397999,6972458,125818
"PERU",1992,77755,130366,5524000,83781
"ARGENTINA",1992,77755,575902,2907483,118672
"UNITED STATES",1993,33766,144527,3988517,94291
"BRAZIL",1992,186946,41623,1189111,93877
"ARGENTINA",1993,197111,308931,7715061,116395
"ARGENTINA",1993,237602,62624,6156085,95197
"ARGENTINA",1993,237602,490849,2855400,110389
"ARGENTINA",1992,232444,468541,5026701,90571
"ARGENTINA",1992,232444,361830,1634532,113509
"ARGENTINA",1992,232444,265534,1799424,89971
"UNITED STATES",1993,110176,308969,9296365,118677
"UNITED STATES",1993,110176,82859,6439107,110511
"UNITED STATES",1993,127979,597151,567899,74887
"ARGENTINA",1993,53194,178293,5187590,82277
"UNITED STATES",1993,36743,569003,2971528,64318
"ARGENTINA",1993,50227,44164,2242915,66489
"BRAZIL",1992,255503,278926,2253508,114294
"CANADA",1992,28291,243135,754684,64687
"CANADA",1993,191188,71582,1817688,93214
"BRAZIL",1992,92809,487508,6879208,89728
"CANADA",1992,92809,282975,7385425,117477
"CANADA",1992,92809,176149,245028,73508
"UNITED STATES",1993,114073,38413,3302846,81084
"CANADA",1992,259969,447307,353706,75256
"CANADA",1992,259969,320989,5969610,120598
"PERU",1993,161260,326525,3649151,93090
"UNITED STATES",1992,72037,555756,344228,108703
"BRAZIL",1992,72037,107150,1157150,69429
"UNITED STATES",1993,104402,276068,4604260,62643
"CANADA",1993,104402,67945,374936,114776
"ARGENTINA",1993,4498,7901,6749005,108534
"ARGENTINA",1993,4498,183625,3895653,102517
"CANADA",1993,198458,429903,3445814,109972
"CANADA",1993,198458,292153,2342956,68708
"CANADA",1993,198458,158491,5996526,92969
"CANADA",1993,146668,510463,4084375,88406
"PERU",1993,55582,229566,3936287,89733
"PERU",1993,55582,308638,4696160,98797
"UNITED STATES",1993,229366,456733,6556074,101382
"BRAZIL",1993,229366,508531,2438583,92370
"ARGENTINA",1993,167837,99146,1490972,68708
"CANADA",1992,105376,125955,8201133,118857
"ARGENTINA",1992,105376,116427,5710169,86605
"PERU",1992,105376,184132,1313420,72967
"UNITED STATES",1992,105376,79600,5876112,94776
"BRAZIL",1993,229420,247300,1676357,74837
"ARGENTINA",1993,229420,158185,602942,74590
"UNITED STATES",1992,232786,396854,2984785,117050
"UNITED STATES",1992,134735,350062,2615541,66723
"ARGENTINA",1993,248917,70877,2827241,110872
"UNITED STATES",1992,38005,461168,308255,67748
"PERU",1992,237890,291576,2233773,94053
"PERU",1993,208285,229262,5370155,71475
"PERU",1993,76480,516733,2229130,104982
"CANADA",1993,192592,169454,1316260,91407
"ARGENTINA",1993,192592,117854,6570193,112311
"ARGENTINA",1993,192592,168862,8515092,115851
"PERU",1992,261563,446411,2809797,81443
"UNITED STATES",1992,229630,227775,1532484,102165
"PERU",1993,203474,175862,2550223,116271
"UNITED STATES",1993,203474,103214,4958913,73032
"CANADA",1993,84623,63481,5489024,86668
"BRAZIL",1992,206515,245448,557372,83605
"BRAZIL",1993,230327,116004,872100,61200
"CANADA",1992,205789,328786,1742179,108886
"UNITED STATES",1993,163034,349353,807747,84140
"BRAZIL",1993,199867,304337,3755696,80479
"PERU",1993,199867,117388,3103079,84322
"UNITED STATES",1993,282118,317176,2803926,71589
"ARGENTINA",1993,282118,596926,2662136,121374
"PERU",1992,136504,586360,3290423,86780
"PERU",1992,98318,316049,479263,63901
"BRAZIL",1992,98318,543864,3516149,114470
"PERU",1992,205345,511370,3885737,82881
"CANADA",1993,256529,118407,6286014,85524
"BRAZIL",1993,256529,456108,4541493,63844
"ARGENTINA",1993,256529,281035,4729573,60961
"BRAZIL",1993,83378,492064,4156573,63362
"ARGENTINA",1992,121084,107059,2577708,63963
"UNITED STATES",1992,121084,440638,781411,94716
"PERU",1992,121084,203793,5422908,101806
"UNITED STATES",1992,160585,475774,3380517,104985
"CANADA",1992,273676,540356,5529466,83779
"ARGENTINA",1993,230374,196137,2249229,73987
"PERU",1993,230374,552070,333248,67323
"ARGENTINA",1992,185753,201063,1721793,57843
"ARGENTINA",1992,247582,160643,4891150,102218
"CANADA",1993,173287,158351,6767698,84561
"CANADA",1992,37102,471897,5920580,112132
"UNITED STATES",1993,280066,496760,3878881,105404
"ARGENTINA",1993,280066,29706,5741307,98142
"ARGENTINA",1993,221509,249414,1267962,81804
"CANADA",1993,221509,71969,5135780,116457
"CANADA",1993,221509,235330,5354834,75919
"PERU",1992,192166,176519,3749448,95730
"BRAZIL",1992,192166,322064,3225568,65163
"PERU",1992,192166,316747,8289531,105823
"BRAZIL",1992,109171,76617,2009542,95616
"UNITED STATES",1992,200113,481470,5689684,87087
"PERU",1992,200113,284993,8459820,118678
"PERU",1993,127078,565161,5708907,73568
"PERU",1993,123742,239270,770298,72555
"UNITED STATES",1992,196723,228556,3847927,89072
"CANADA",1993,298001,122466,1095506,89307
"CANADA",1993,298001,523398,5116932,85282
"CANADA",1992,197714,492042,2455797,62041
"BRAZIL",1993,95165,171254,5194980,79515
"BRAZIL",1993,95165,62082,4134556,62644
"PERU",1992,32575,6652,2394086,93519
"CANADA",1992,32575,191236,2747366,79633
"PERU",1993,12043,528654,6365389,100957
"PERU",1993,139126,98728,690688,103603
"CANADA",1993,139126,138915,976955,117234
"CANADA",1992,227920,458897,3841650,111352
"PERU",1992,227920,571857,5381435,115729
"CANADA",1993,227179,344596,2953044,98434
"ARGENTINA",1993,72737,550540,1068829,95431
"CANADA",1993,72737,309887,2219337,113812
"CANADA",1993,30001,545393,6558967,86302
"PERU",1992,222764,358551,6591066,96572
"ARGENTINA",1993,93679,225652,6338957,94658
"UNITED STATES",1993,173074,285104,1150079,65345
"ARGENTINA",1993,100046,251469,3937487,85227
"PERU",1993,100046,26736,977685,99763
"BRAZIL",1993,100046,538422,6583483,87624
"PERU",1993,100046,71681,6445452,99160
"ARGENTINA",1993,269623,122287,6284544,78556
"ARGENTINA",1993,269623,268001,2658908,58139
"PERU",1993,269623,389553,4783076,98552
"PERU",1993,166747,512869,7282720,112910
"PERU",1993,166747,236516,1869367,87150
"CANADA",1992,123947,87031,3057144,61081
"ARGENTINA",1992,262817,453688,2314740,98499
"CANADA",1993,49682,374420,3698664,89664
"CANADA",1993,49682,76755,1103124,103905
"ARGENTINA",1993,49682,17455,4347921,82347
"UNITED STATES",1992,185401,214207,1580877,67271
"UNITED STATES",1993,66631,381892,1354081,118432
"PERU",1993,224797,269196,1677859,69910
"ARGENTINA",1992,95996,452159,3272277,66667
"BRAZIL",1992,95996,434378,2078762,78741
"UNITED STATES",1992,288895,378035,4118174,66781
"CANADA",1993,224867,56269,485202,73515
"PERU",1993,224867,97397,4880365,83663
"CANADA",1992,225565,413055,1220685,58081
"ARGENTINA",1992,167212,34927,6014001,111715
"ARGENTINA",1992,182867,3781,4739286,101086
"ARGENTINA",1993,121288,570583,481185,99213
"CANADA",1993,266848,228301,1770177,73757
"ARGENTINA",1993,244852,139509,6689520,92910
"ARGENTINA",1993,244852,512900,7372239,114772
"CANADA",1993,113984,532511,7254403,92609
"BRAZIL",1993,113984,290161,1036035,69069
"ARGENTINA",1993,113984,112452,6814085,87867
"UNITED STATES",1993,113984,571391,2149683,87742
"ARGENTINA",1993,113984,361364,6565162,85521
"ARGENTINA",1992,72518,50353,1264249,78201
"BRAZIL",1992,72518,24933,1880225,111475
"CANADA",1993,1330,544647,4499709,101497
"PERU",1993,1330,280692,4967859,100360
"BRAZIL",1993,1330,380242,1586676,79333
"CANADA",1993,31343,512667,478697,100778
"BRAZIL",1992,296701,512627,3016864,98376
"ARGENTINA",1993,42451,589090,808842,70744
"PERU",1993,53513,394336,6579472,85819
"PERU",1993,252019,101622,738747,97417
"UNITED STATES",1993,252019,357572,7026662,97773
"UNITED STATES",1993,252019,595957,2122729,123175
"ARGENTINA",1993,223594,93823,4952651,109009
"ARGENTINA",1993,50293,115494,4999430,90569
"CANADA",1993,15073,547577,3216609,97473
"ARGENTINA",1993,266098,332953,4567662,119156
"ARGENTINA",1993,266098,337470,3328471,90447
"PERU",1993,266098,423407,5475844,79822
"ARGENTINA",1992,196438,584473,4532179,93447
"BRAZIL",1993,97021,98584,5855546,94954
"UNITED STATES",1992,2848,252458,2679836,84626
"PERU",1992,2848,433038,2411988,58260
"PERU",1992,35662,319486,2860393,90328
"CANADA",1993,257219,334302,4985697,80177
"ARGENTINA",1992,271802,55275,358008,73816
"PERU",1993,287191,441680,786505,97299
"CANADA",1993,59359,131152,4969230,70989
"BRAZIL",1993,31732,272821,5682790,107628
"CANADA",1993,31732,93112,4007128,66306
"PERU",1992,190450,399672,666144,106299
"UNITED STATES",1993,173554,234849,8216320,107029
"UNITED STATES",1992,292070,229293,1466736,73336
"BRAZIL",1992,73537,343654,2933521,101858
"ARGENTINA",1992,73537,178896,391028,118493
"PERU",1993,39631,269486,4191753,87328
"BRAZIL",1993,239902,544943,4293907,119275
"BRAZIL",1992,142426,450217,3186428,70031
"PERU",1992,142426,191891,8462974,118973
"PERU",1992,142426,98453,5547441,87087
"PERU",1992,142426,48992,8940199,116459
"ARGENTINA",1992,142426,195274,6642328,82156
"UNITED STATES",1993,184588,2616,3140485,91116
"PERU",1993,69385,41857,2316918,107931
"BRAZIL",1993,182992,582768,6107442,111044
"ARGENTINA",1993,182992,208897,6280850,108352
"ARGENTINA",1993,214520,79648,161136,97658
"UNITED STATES",1993,66724,528354,2167493,82939
"BRAZIL",1992,25240,66179,2267436,68710
"ARGENTINA",1992,78403,517014,4113650,61859
"PERU",1992,167342,535344,4895206,82759
"PERU",1993,5356,148809,6955603,111468
"PERU",1993,5356,390385,1180296,88522
"BRAZIL",1992,110057,493303,1687756,77776
"CANADA",1993,191872,439010,3835817,56939
"PERU",1993,191872,173590,6055467,99815
"UNITED STATES",1993,209281,192692,3690738,107081
"PERU",1992,213487,231585,7356881,90994
"ARGENTINA",1993,97312,446078,983088,61443
"PERU",1993,190402,312299,3245418,78676
"UNITED STATES",1993,30389,234313,5862310,74838
"CANADA",1993,30389,57968,8115995,115557
"ARGENTINA",1993,147266,289548,3677771,92251
"ARGENTINA",1993,41578,570948,7873788,121135
"UNITED STATES",1993,41578,357616,3656816,100416
"PERU",1993,139924,246295,1166803,74476
"PERU",1993,139924,441608,1729331,92974
"UNITED STATES",1993,297598,397466,1378962,93807
"BRAZIL",1993,123064,471462,6385975,86006
"BRAZIL",1993,143180,579515,2726577,95669
"UNITED STATES",1993,143180,94982,2087690,118618
"BRAZIL",1992,79628,235792,6446347,103666
"CANADA",1993,47467,249109,5237545,63485
"CANADA",1992,98393,65156,4175162,67269
"UNITED STATES",1993,283139,434196,2339451,67810
"ARGENTINA",1993,172931,352097,951438,68944
"BRAZIL",1993,34553,456716,8196181,100361
"BRAZIL",1993,223070,385952,8624562,122276
"BRAZIL",1993,223070,93061,4321646,63243
"UNITED STATES",1993,22513,451239,4296658,71412
"BRAZIL",1993,65792,322734,6434865,105403
"BRAZIL",1993,65792,180713,4733600,107622
"CANADA",1993,65792,13004,1292970,55020
"ARGENTINA",1992,87416,353165,609075,73089
"UNITED STATES",1993,8915,211209,212836,67211
"UNITED STATES",1993,8915,183216,244251,77952
"ARGENTINA",1993,8915,105314,3841830,79158
"UNITED STATES",1992,121588,185378,4981311,87802
"CANADA",1992,121588,535056,410227,65461
"CANADA",1992,183233,201207,4574608,66491
"ARGENTINA",1992,223429,439419,3337564,81503
"UNITED STATES",1992,284309,155619,6797241,100476
"CANADA",1992,228059,107341,1092155,80900
"PERU",1992,179089,263201,2436649,69851
"UNITED STATES",1992,179089,410223,3407532,67992
"UNITED STATES",1992,96256,166551,313804,97053
"CANADA",1993,47954,358690,6917778,104920
"CANADA",1993,47954,299470,5081392,88167
"BRAZIL",1993,256177,304851,4314828,111350
"UNITED STATES",1993,256177,214661,7878250,94539
"UNITED STATES",1993,256177,2867,4906051,106191
"BRAZIL",1993,273014,285355,2080207,80420
"PERU",1992,269954,155552,630159,96453
"PERU",1993,142621,588719,6023223,108461
"UNITED STATES",1992,162686,412298,2556090,72616
"ARGENTINA",1992,183035,461781,2483433,104565
"PERU",1992,183035,252961,5251878,114837
"ARGENTINA",1993,181087,331123,3246511,69246
"ARGENTINA",1993,181087,181001,4877656,64920
"UNITED STATES",1993,181087,69989,3263660,117538
"BRAZIL",1992,55721,55058,3999521,60783
"PERU",1993,202180,505213,2945583,73091
"CANADA",1993,11101,372093,3616408,69904
"PERU",1992,113575,258160,4011922,67089
"PERU",1993,294757,597110,5105990,72425
"ARGENTINA",1992,143785,8658,2450240,93999
"UNITED STATES",1992,103567,405318,348637,73397
"CANADA",1993,178744,27672,2857010,95980
"CANADA",1993,178744,139437,398636,88585
"UNITED STATES",1993,178744,434061,1791072,59702
"PERU",1992,118429,217999,2317628,115018
"PERU",1993,149587,316398,6861157,84862
"PERU",1993,149587,491647,4876533,98317
"ARGENTINA",1993,103553,251667,1673684,97119
"PERU",1993,57304,155887,7602489,116572
"PERU",1992,297133,245806,2417470,105107
"ARGENTINA",1992,283013,497454,2155373,87085
"CANADA",1992,283013,301476,3217907,88647
"UNITED STATES",1992,283013,497772,5047327,106185
"CANADA",1993,84814,170393,5143815,87803
"BRAZIL",1993,178441,24794,1871762,103127
"CANADA",1992,232505,258356,4474013,78860
"UNITED STATES",1993,288115,430903,3832809,110032
"ARGENTINA",1993,288115,170793,175196,111827
"PERU",1993,288115,116977,2931135,119638
"BRAZIL",1993,123934,46448,1704005,83666
"UNITED STATES",1992,271178,174627,5222271,102097
"ARGENTINA",1992,271178,5849,4169499,105290
"BRAZIL",1993,212314,431120,580207,63066
"UNITED STATES",1993,212314,222326,3134506,74898
"BRAZIL",1993,212314,553700,5439915,105220
"BRAZIL",1993,266149,374585,6717939,99574
"CANADA",1993,144109,291462,1832800,87207
"ARGENTINA",1993,248743,502437,5501425,86364
"PERU",1992,95903,324509,4091351,92009
"PERU",1993,206155,297166,4651436,69789
"UNITED STATES",1992,218218,378146,2791016,73447
"ARGENTINA",1993,293602,126226,3067939,75133
"ARGENTINA",1993,293602,6129,1332199,62107
"UNITED STATES",1992,138010,75542,6841070,91052
"PERU",1992,19996,162143,4555429,72308
"CANADA",1992,19996,307731,1740458,104323
"PERU",1993,83729,320918,4414875,116334
"CANADA",1993,13550,431116,207323,62825
"CANADA",1993,13550,154513,4125686,94050
"PERU",1993,13550,29014,3404266,56580
"UNITED STATES",1993,239821,182614,7166480,101796
"ARGENTINA",1993,239821,93730,2980329,103423
"ARGENTINA",1992,65456,493949,7577388,116575
"CANADA",1992,65456,565269,1717166,80054
"UNITED STATES",1993,14194,504737,1943748,104502
"ARGENTINA",1992,176587,246539,5882659,89131
"PERU",1993,175085,541092,4792886,67984
"CANADA",1993,175085,219594,844577,90814
"UNITED STATES",1992,61060,195372,2641266,88042
"ARGENTINA",1993,237340,97307,1780369,78258
"BRAZIL",1993,237340,427730,7161307,99462
"UNITED STATES",1993,59884,314962,7117020,118617
"CANADA",1992,31453,64885,6659568,110992
"ARGENTINA",1992,31453,267862,3663359,109791
"ARGENTINA",1992,4651,373832,4657824,114349
"UNITED STATES",1992,4651,384086,1474288,70204
"UNITED STATES",1993,105890,263054,3478276,61022
"CANADA",1992,211954,405410,6380956,78923
"PERU",1992,252898,368687,5790199,105340
"BRAZIL",1992,18539,300080,3528588,64804
"CANADA",1993,208297,362967,6564858,121797
"CANADA",1993,208297,177570,5759904,98854
"UNITED STATES",1992,295703,503963,2033815,118016
"ARGENTINA",1992,280477,339647,6152826,101197
"PERU",1992,280477,321464,6218093,89127
"CANADA",1992,280477,210497,5870599,84448
"PERU",1992,139253,415474,3827934,83367
"UNITED STATES",1992,120356,536493,412956,91768
"ARGENTINA",1992,120356,22330,3036900,75139
"PERU",1993,235174,4152,3241324,63369
"CANADA",1993,235174,176810,7383087,113208
"ARGENTINA",1993,143368,162500,2909375,93750
"CANADA",1992,278866,112961,2937252,118437
"PERU",1993,21778,137862,3928910,113991
"CANADA",1993,292523,224676,3521452,96039
"BRAZIL",1993,292523,314992,6358112,120418
"UNITED STATES",1992,214468,309299,761418,78496
"UNITED STATES",1993,36587,563126,3745665,71346
"UNITED STATES",1992,229447,337947,1572064,119095
"CANADA",1992,229447,121577,3069254,95914
"PERU",1992,45205,368734,356938,108163
"CANADA",1993,12841,101436,4415784,86245
"UNITED STATES",1993,12841,224360,5671689,77061
"PERU",1992,9404,489464,2616192,87206
"UNITED STATES",1992,186134,300659,1126895,99578
"PERU",1992,72413,385118,2988500,72186
"ARGENTINA",1992,72413,476555,3066123,91891
"CANADA",1993,175543,340605,4176507,98735
"UNITED STATES",1993,242518,511982,7497289,119637
"ARGENTINA",1992,85150,70186,439348,69370
"ARGENTINA",1992,213007,550040,3052056,65401
"CANADA",1992,44740,236587,3016668,91414
"ARGENTINA",1992,44740,116958,2227743,118497
"UNITED STATES",1992,44740,108484,4835635,89548
"UNITED STATES",1993,191596,338218,791406,75372
"UNITED STATES",1993,191596,381673,8253920,105279
"PERU",1993,191596,167965,8981617,121977
"ARGENTINA",1993,131390,222678,5992871,96039
"UNITED STATES",1993,131390,338722,7002343,105642
"ARGENTINA",1993,261626,351212,1424889,75792
"PERU",1992,88720,557980,1326711,122277
"CANADA",1992,88720,559323,5977065,82938
"ARGENTINA",1992,143641,553345,251697,83899
"CANADA",1992,143641,64063,2717600,61623
"ARGENTINA",1992,65165,138393,2865642,85883
"CANADA",1992,297097,298310,5513176,78498
"ARGENTINA",1993,93755,517458,3181027,88525
"BRAZIL",1993,93755,519120,5296815,68346
"UNITED STATES",1992,30964,161008,2612636,64140
"PERU",1993,201640,473598,1430128,94294
"PERU",1993,201640,157322,275864,82759
"PERU",1992,155603,103283,5531004,77176
"ARGENTINA",1993,7802,347659,810654,102398
"UNITED STATES",1993,15982,317664,4796065,100899
"UNITED STATES",1993,15982,464334,118146,77898
"PERU",1992,87482,395612,2984884,102456
"PERU",1992,87482,446306,1840851,75136
"BRAZIL",1992,87482,483081,1327946,63843
"ARGENTINA",1993,65186,387108,2602906,71705
"PERU",1993,65186,166920,8762317,119215
"PERU",1993,65186,515339,2627361,81258
"BRAZIL",1993,114334,236890,8860368,109612
"BRAZIL",1993,114334,396198,1941270,77650
"ARGENTINA",1992,296734,16155,3075271,64269
"PERU",1992,296734,313910,1306328,115434
"BRAZIL",1993,5708,263634,750881,95857
"BRAZIL",1992,225745,317008,710318,61499
"ARGENTINA",1993,295910,1844,6264073,104750
"PERU",1993,295910,137267,2172897,78255
"UNITED STATES",1993,256582,38502,5301040,86430
"CANADA",1993,172646,447264,2301356,72674
"BRAZIL",1992,4835,8545,6285106,87212
"PERU",1992,4835,205145,2539214,63007
"BRAZIL",1993,245527,308982,1481281,119458
"CANADA",1992,162938,365671,156299,104199
"UNITED STATES",1992,139627,396849,180962,116749
"CANADA",1992,139627,374260,2759229,80055
"BRAZIL",1993,52819,88104,4927555,65526
"ARGENTINA",1992,57872,465082,2337037,62823
"ARGENTINA",1992,57872,416430,1627809,80784
"ARGENTINA",1992,57872,261553,1028372,90872
"UNITED STATES",1993,84800,491928,570210,115194
"UNITED STATES",1993,84800,428015,1506898,56579
"ARGENTINA",1993,230458,344989,6293103,122038
"UNITED STATES",1993,230458,308942,8435821,117055
"ARGENTINA",1992,40856,496064,2226084,63602
"UNITED STATES",1992,40856,493127,3548476,67206
"ARGENTINA",1992,249109,235697,6529087,97960
"BRAZIL",1993,286210,594515,3278531,96569
"BRAZIL",1993,286210,57450,1793091,84447
"CANADA",1992,174623,241414,520473,81324
"ARGENTINA",1992,174623,8815,3583800,103428
"BRAZIL",1992,274460,168375,3758535,86602
"BRAZIL",1993,204098,384425,5895755,90564
"BRAZIL",1992,237322,539969,8120135,120536
"UNITED STATES",1992,237322,244478,5810749,85347
"BRAZIL",1992,167530,114472,5030214,89188
"PERU",1992,81532,127404,6057684,85884
"ARGENTINA",1992,180145,317337,4420500,81259
"CANADA",1992,228224,533283,1303097,78975
"BRAZIL",1992,228224,77939,3922038,115015
"BRAZIL",1992,228224,109087,3189592,65764
"ARGENTINA",1992,81739,179094,2348526,70385
"ARGENTINA",1993,53726,65090,2998565,63305
"BRAZIL",1992,168179,219092,291191,60664
"BRAZIL",1993,68864,475116,2184362,65465
"BRAZIL",1993,293680,574095,1010076,70144
"ARGENTINA",1993,295975,273002,1310386,58499
"ARGENTINA",1993,96844,339012,4496178,63060
"UNITED STATES",1992,140027,21243,3353011,69854
"CANADA",1993,221962,273261,1508253,74055
"CANADA",1993,221962,427257,538824,71053
"CANADA",1993,258659,259957,5290754,115016
"CANADA",1993,258659,338373,1490396,84681
"PERU",1992,75043,530319,5343188,80957
"ARGENTINA",1992,100436,576183,468407,75549
"PERU",1993,175543,32779,1314639,102706
"PERU",1993,28066,298651,7670826,98978
"ARGENTINA",1993,262415,465326,2301096,77478
"BRAZIL",1993,248176,340540,5234715,94831
