"s_nation","d_year","lo_partkey","lo_revenue","lo_supplycost"
"ARGENTINA",1992,554794,3401736,110926
"CANADA",1992,292230,4296103,73333
"UNITED STATES",1992,43311,2264029,75258
"CANADA",1992,114012,4977174,61560
"CANADA",1993,145916,6203559,117714
"ARGENTINA",1992,342802,2951664,110687
"ARGENTINA",1992,550198,3871823,74890
"UNITED STATES",1992,486571,6308077,93453
"UNITED STATES",1993,151281,5143933,79936
"CANADA",1993,54613,5643396,94056
"CANADA",1992,239795,1332311,104086
"CANADA",1993,505805,6127679,108646
"CANADA",1993,161704,985260,105942
"CANADA",1993,265664,6657120,97779
"CANADA",1992,116765,1015603,106905
"UNITED STATES",1992,156595,7219099,99095
"BRAZIL",1992,146684,6687347,103840
"CANADA",1992,553405,6930221,87502
"CANADA",1993,193625,5492709,103117
"CANADA",1992,465508,6353645,88408
"CANADA",1992,384832,1456783,115009
"ARGENTINA",1992,504380,5021073,83061
"ARGENTINA",1992,419931,6829857,111054
"UNITED STATES",1992,278981,8067236,117598
"ARGENTINA",1992,425500,1442585,85528
"ARGENTINA",1992,6866,5708609,106371
"PERU",1992,188409,6750279,89844
"CANADA",1993,451291,5257286,74536
"BRAZIL",1992,306837,6106731,110629
"ARGENTINA",1993,292471,5700176,87807
"ARGENTINA",1993,5471,3968363,82588
"ARGENTINA",1993,144149,1374497,71588
"PERU",1993,347053,3663133,66002
"PERU",1993,33917,695942,111054
"CANADA",1993,29569,4699484,89913
"BRAZIL",1993,152217,1827662,76152
"CANADA",1992,371236,475828,78433
"BRAZIL",1993,349757,4321722,108404
"PERU",1992,466777,8195625,104625
"ARGENTINA",1992,107867,9093071,112491
"ARGENTINA",1993,328068,295933,65763
"UNITED STATES",1993,362115,1631460,70626
"BRAZIL",1992,593277,3357112,82215
"ARGENTINA",1992,184227,3170529,78673
"PERU",1992,482809,1376087,107506
"CANADA",1992,346467,605380,90807
"UNITED STATES",1992,63912,6059189,112554
"BRAZIL",1993,239919,7469060,111534
"UNITED STATES",1992,448019,3090500,58019
"UNITED STATES",1993,429724,826850,99222
"CANADA",1993,162677,5566944,104380
"UNITED STATES",1993,509165,4968960,70448
"UNITED STATES",1993,242313,3735772,75318
"ARGENTINA",1992,153987,2847167,122458
"UNITED STATES",1993,452347,5363592,77959
"CANADA",1992,538303,5096864,80476
"ARGENTINA",1993,431008,557754,56338
"UNITED STATES",1993,246380,6239244,79582
"PERU",1993,448362,1556683,78620
"ARGENTINA",1993,552149,1530226,72067
"CANADA",1993,367116,1064790,70986
"UNITED STATES",1993,286039,652937,61501
"BRAZIL",1993,241544,2139163,89131
"PERU",1993,372402,4250666,88463
"CANADA",1992,233524,1571195,87450
"ARGENTINA",1992,232764,6176170,101805
"UNITED STATES",1993,44797,8273502,104507
"ARGENTINA",1993,340156,5228327,71768
"ARGENTINA",1993,201269,3325850,70215
"CANADA",1993,345200,6101431,74711
"UNITED STATES",1993,371959,5830828,121856
"CANADA",1992,265762,1693195,103665
"UNITED STATES",1993,238423,4447726,81684
"PERU",1992,452437,6530227,83364
"CANADA",1993,362583,4591140,98734
"BRAZIL",1993,328634,4844874,99757
"BRAZIL",1992,197733,7813555,109843
"PERU",1992,591863,7428392,117290
"BRAZIL",1992,355740,835014,107743
"ARGENTINA",1992,518822,3827023,110448
"BRAZIL",1992,25375,2055884,78022
"CANADA",1992,289274,2905498,75795
"BRAZIL",1992,26286,5644375,72736
"BRAZIL",1992,111135,3374206,68767
"PERU",1992,150893,8667805,116633
"PERU",1993,208717,5519251,97542
"ARGENTINA",1993,301367,2339878,82101
"ARGENTINA",1992,407660,147358,94058
"BRAZIL",1992,574402,411910,88582
"PERU",1993,258178,2806315,68169
"CANADA",1993,538733,7908913,106302
"BRAZIL",1992,196587,7589578,101014
"UNITED STATES",1993,543107,3533045,69004
"ARGENTINA",1993,494565,5712595,93572
"ARGENTINA",1992,413154,4313339,64027
"PERU",1993,336528,6264298,93870
"PERU",1993,411845,1335183,105409
"PERU",1993,83871,8107636,111292
"CANADA",1992,103662,2308604,99939
"CANADA",1992,290448,2071339,86305
"CANADA",1993,394000,3623294,65639
"CANADA",1993,314343,4771014,81439
"UNITED STATES",1993,284022,3983799,60360
"PERU",1993,179788,7373995,112066
"PERU",1993,553921,2490348,118494
"UNITED STATES",1993,306506,2365534,90749
"PERU",1993,315186,5010080,72070
"UNITED STATES",1993,593245,3345550,80293
"UNITED STATES",1992,20257,541535,70635
"CANADA",1992,342780,7630115,109366
"UNITED STATES",1992,258876,6422010,110091
"UNITED STATES",1992,576749,7894413,109543
"PERU",1992,115878,9090576,113632
"PERU",1992,85132,3034125,67027
"ARGENTINA",1993,82754,1910425,104205
"BRAZIL",1993,14903,3108609,109074
"CANADA",1993,553979,3862605,121977
"ARGENTINA",1992,387482,4865357,94168
"CANADA",1992,59322,1549115,76879
"PERU",1993,48811,2961760,105588
"CANADA",1992,390462,4086048,93147
"CANADA",1992,245229,3822053,70452
"PERU",1992,162710,6498754,106362
"BRAZIL",1993,237065,4320839,60123
"UNITED STATES",1993,349175,3878138,73449
"ARGENTINA",1993,229202,3950115,67871
"BRAZIL",1993,114294,3333522,78497
"CANADA",1993,207283,4733703,71416
"ARGENTINA",1993,463401,1506275,81862
"UNITED STATES",1993,517890,5914397,114472
"PERU",1992,332319,2490445,81078
"ARGENTINA",1992,490852,3770430,110569
"ARGENTINA",1992,344209,1579019,75191
"ARGENTINA",1992,563595,447813,99514
"PERU",1992,137208,3093076,74712
"CANADA",1992,90610,1872713,96036
"BRAZIL",1992,228568,5926338,89793
"UNITED STATES",1992,238166,1153836,66249
"BRAZIL",1992,484713,166373,101861
"BRAZIL",1993,31873,8482889,108292
"PERU",1993,301980,5708073,118918
"BRAZIL",1993,566076,3426150,68523
"CANADA",1992,159144,4526212,72188
"BRAZIL",1992,531797,5266857,109726
"PERU",1992,168145,823722,72788
"BRAZIL",1992,341117,3231099,69486
"ARGENTINA",1992,98240,891532,74294
"ARGENTINA",1992,178934,6376962,120775
"PERU",1992,499603,3014452,96154
"UNITED STATES",1993,58706,3752233,99882
"PERU",1993,265092,1707184,63424
"ARGENTINA",1993,486657,7416058,98617
"BRAZIL",1993,418411,3338098,79763
"ARGENTINA",1993,430534,2699091,87870
"PERU",1993,591352,1131570,86599
"PERU",1993,55223,5360901,70693
"UNITED STATES",1993,532291,3705156,79396
"PERU",1993,417966,7614885,113036
"PERU",1992,67260,558403,73635
"UNITED STATES",1993,386976,9283320,123777
"BRAZIL",1992,31740,4216128,100304
"UNITED STATES",1992,48940,7102414,113336
"PERU",1993,169401,882240,88224
"ARGENTINA",1993,308674,2078085,100959
"CANADA",1993,554377,1402723,85881
"PERU",1993,348271,5704480,79155
"PERU",1993,381479,5561479,93627
"CANADA",1993,253812,2851767,105948
"CANADA",1993,538997,1197150,122158
"UNITED STATES",1993,213974,3779695,113277
"CANADA",1993,454071,4972517,61503
"ARGENTINA",1993,165645,3120207,102638
"UNITED STATES",1993,317571,2001585,95313
"UNITED STATES",1992,197768,8496671,111945
"CANADA",1992,329063,108112,65523
"BRAZIL",1992,213075,790448,59283
"CANADA",1993,34204,1176898,68292
"ARGENTINA",1992,501091,1362903,65524
"BRAZIL",1992,194925,4114577,121195
"PERU",1993,572065,3929610,68222
"PERU",1993,107733,3070647,104443
"UNITED STATES",1993,467211,4010558,70691
"PERU",1993,397850,5857154,116870
"UNITED STATES",1993,495592,3730789,95254
"UNITED STATES",1992,50268,793087,73095
"ARGENTINA",1993,578030,5052525,66480
"BRAZIL",1993,19965,5937624,113097
"CANADA",1992,181190,818646,76271
"CANADA",1992,12960,6240702,112377
"BRAZIL",1992,417113,2905883,61805
"CANADA",1992,381082,2782063,69784
"ARGENTINA",1992,391299,3795464,83416
"UNITED STATES",1993,354033,929402,65221
"ARGENTINA",1993,207441,3139145,80905
"PERU",1992,375519,5663664,95670
"UNITED STATES",1992,430623,4190059,93216
"CANADA",1992,433256,4875843,71353
"UNITED STATES",1992,488614,3141076,96155
"PERU",1992,74249,2207948,73394
"UNITED STATES",1992,498435,421422,86004
"PERU",1992,583279,867753,81735
"UNITED STATES",1992,361340,902456,84079
"PERU",1992,431702,1367390,98020
"PERU",1992,391730,728688,109303
"BRAZIL",1993,316046,309050,63721
"UNITED STATES",1993,426933,9113559,111594
"UNITED STATES",1993,29329,2319083,75499
"ARGENTINA",1993,243063,4635878,60363
"ARGENTINA",1993,214401,242031,78923
"BRAZIL",1993,249701,3377311,99041
"CANADA",1993,460323,3079920,76998
"PERU",1992,270908,6324343,112733
"PERU",1993,568406,1155913,88462
"ARGENTINA",1993,8134,193836,62527
"ARGENTINA",1993,501531,4934682,91950
"PERU",1992,73092,1618936,63905
"CANADA",1993,131377,1440762,84502
"PERU",1992,349256,352414,78314
"BRAZIL",1992,135438,5304348,88405
"BRAZIL",1992,528992,183908,121258
"PERU",1992,151581,1188518,97954
"PERU",1992,346975,1273834,121317
"UNITED STATES",1992,187417,1715027,90264
"PERU",1992,506634,4385350,98436
"BRAZIL",1992,561701,3770372,105760
"UNITED STATES",1992,440002,2622472,56518
"PERU",1993,97540,152216,92252
"ARGENTINA",1993,140608,4752913,98916
"ARGENTINA",1992,151476,6960680,91648
"BRAZIL",1992,299879,7102090,112731
"CANADA",1993,599411,2516309,90623
"UNITED STATES",1992,145359,4044528,84261
"BRAZIL",1992,433528,5812385,87690
"ARGENTINA",1992,302308,2712300,78617
"BRAZIL",1992,57289,1970368,74776
"BRAZIL",1992,328779,4606172,108465
"ARGENTINA",1993,241034,1389403,58501
"BRAZIL",1993,447516,2338657,87809
"PERU",1992,272457,2405747,85766
"BRAZIL",1992,558776,1155892,110085
"BRAZIL",1992,363336,3438129,83959
"UNITED STATES",1992,592887,728588,118791
"CANADA",1992,437058,2835835,59701
"ARGENTINA",1992,571822,7764580,113628
"BRAZIL",1992,410276,2583652,71175
"CANADA",1992,42022,701806,57841
"ARGENTINA",1992,163883,7398144,116812
"PERU",1992,370409,6213438,88763
"ARGENTINA",1992,160220,4122308,76813
"CANADA",1993,434377,5250645,78681
"ARGENTINA",1993,359503,4407784,93749
"ARGENTINA",1993,212015,3620862,55620
"CANADA",1993,520922,4950509,116574
"PERU",1993,94655,2227027,98979
"BRAZIL",1992,385059,744770,68642
"UNITED STATES",1993,481397,6154422,82702
"BRAZIL",1992,102576,3558096,94714
"BRAZIL",1992,178908,6687905,119214
"UNITED STATES",1992,213337,2160552,75019
"UNITED STATES",1993,237289,465982,73576
"CANADA",1993,587944,6839442,121915
"ARGENTINA",1993,171703,4786365,106482
"ARGENTINA",1993,512734,3493420,104802
"BRAZIL",1993,284028,1113211,60720
"PERU",1993,49041,372255,59402
"ARGENTINA",1992,157362,766454,85161
"CANADA",1992,454534,428690,89310
"ARGENTINA",1992,576399,5972297,88522
"CANADA",1992,543628,628521,100296
"PERU",1992,262844,7473048,108409
"BRAZIL",1992,405249,342803,69253
"PERU",1992,77029,3753460,60361
"BRAZIL",1992,48689,1444433,98260
"ARGENTINA",1993,226625,6234368,93096
"BRAZIL",1992,278392,5207444,82222
"ARGENTINA",1993,4350,5231893,75261
"PERU",1992,218128,4425045,62766
"BRAZIL",1993,35168,1451758,66189
"BRAZIL",1993,464338,371158,78138
"UNITED STATES",1992,281507,571580,89309
"UNITED STATES",1993,77004,2854710,58860
"PERU",1993,80055,3955961,62103
"BRAZIL",1992,245319,3413610,75858
"ARGENTINA",1992,170464,690507,92067
"PERU",1993,537059,2016695,65761
"PERU",1993,115679,4472234,101680
"BRAZIL",1993,123346,1495319,82160
"ARGENTINA",1993,66583,1974164,92974
"BRAZIL",1993,398146,2463377,74647
"ARGENTINA",1993,210838,7170162,104929
"PERU",1993,328297,3535847,79516
"UNITED STATES",1993,120811,5854464,109908
"CANADA",1992,35797,7896324,103967
"PERU",1993,46286,2510154,73936
"BRAZIL",1992,598817,1287410,114947
"CANADA",1992,205808,4366736,102827
"PERU",1992,519961,4183745,118856
"PERU",1993,496790,4824279,107206
"BRAZIL",1993,539226,3448935,75912
"UNITED STATES",1992,494864,3925870,111530
"BRAZIL",1992,485822,1771644,108468
"BRAZIL",1992,569065,834653,68042
"PERU",1992,404952,5823332,111415
"ARGENTINA",1992,174374,4200273,86902
"CANADA",1992,254795,3055115,104986
"ARGENTINA",1992,132201,811445,73992
"BRAZIL",1992,297194,750443,71470
"PERU",1993,58712,5225980,100242
"UNITED STATES",1992,505317,5585352,79337
"ARGENTINA",1992,117395,2982967,84743
"CANADA",1992,244236,3329400,70813
"BRAZIL",1993,326225,4804646,75072
"PERU",1992,595190,3689723,77110
"BRAZIL",1992,396212,125587,78492
"UNITED STATES",1993,564072,5289448,68163
"UNITED STATES",1993,457503,3148794,87628
"UNITED STATES",1993,249563,3618019,90753
"CANADA",1992,143618,4466407,99696
"BRAZIL",1993,39959,4956259,113937
"UNITED STATES",1992,150793,4203841,110627
"PERU",1992,491718,812102,102581
"PERU",1992,514767,165701,106904
"ARGENTINA",1993,332939,4973182,118315
"PERU",1992,184878,6412696,117772
"UNITED STATES",1992,437279,1992217,72975
"BRAZIL",1992,580720,2565997,108042
"ARGENTINA",1992,556278,1665144,80055
"BRAZIL",1992,17421,738807,80305
"BRAZIL",1993,370253,1796959,79394
"CANADA",1993,316849,2806208,111949
"UNITED STATES",1993,320056,511119,64562
"ARGENTINA",1993,165478,771735,92608
"BRAZIL",1993,524881,6403689,114351
"PERU",1993,360258,913540,79094
"BRAZIL",1992,42745,951885,101264
"BRAZIL",1992,6997,2945472,114239
"ARGENTINA",1992,112678,608641,101440
"BRAZIL",1993,62205,2124304,70032
"UNITED STATES",1992,83316,1157685,77958
"UNITED STATES",1993,66435,1210835,84085
"ARGENTINA",1992,561332,3887334,83598
"ARGENTINA",1993,230541,1165451,88291
"CANADA",1993,552688,1336826,104439
"PERU",1993,593676,1114879,106179
"ARGENTINA",1993,474027,4554550,60060
"PERU",1993,242812,3427124,105288
"UNITED STATES",1992,79092,3568871,64265
"BRAZIL",1992,288020,4036072,60480
"BRAZIL",1992,291893,1715240,113092
"BRAZIL",1993,351495,5121941,92788
"BRAZIL",1992,309171,329264,70809
"ARGENTINA",1992,585640,621223,103537
"ARGENTINA",1992,351316,5968264,82038
"ARGENTINA",1992,225512,2941125,86250
"PERU",1993,42040,571547,58922
"PERU",1993,189122,569226,72667
"PERU",1992,20613,6763220,92016
"CANADA",1992,279733,6146952,102763
"ARGENTINA",1993,598645,5523788,104617
"BRAZIL",1993,13062,538233,58503
"UNITED STATES",1993,454680,3432786,98079
"PERU",1993,204902,3415022,108413
"PERU",1992,359299,4259566,81496
"PERU",1992,35152,3522366,65229
"CANADA",1992,216714,3675597,97842
"BRAZIL",1992,57976,3601052,116038
"ARGENTINA",1993,401580,2893486,88893
"BRAZIL",1992,178087,1625286,69904
"PERU",1992,284522,6791347,90390
"ARGENTINA",1992,385550,5932103,98132
"ARGENTINA",1993,118147,5537910,69908
"UNITED STATES",1993,44220,3284264,69853
"CANADA",1993,403954,7084287,111475
"UNITED STATES",1993,251972,2251033,115437
"ARGENTINA",1992,87345,5510558,79940
"PERU",1992,342492,7135332,92068
"UNITED STATES",1993,434130,2873097,63846
"BRAZIL",1993,407382,3393595,77361
"ARGENTINA",1993,124571,1174339,95734
"BRAZIL",1992,351634,3539802,101137
"ARGENTINA",1993,297619,4321171,96996
"UNITED STATES",1993,549274,4454059,79395
"CANADA",1992,480114,109409,65645
"UNITED STATES",1992,147525,584977,94351
"UNITED STATES",1992,326292,2999087,79096
"BRAZIL",1993,406652,3516269,93517
"CANADA",1993,586711,7766020,107861
"ARGENTINA",1993,264222,971505,71172
"PERU",1993,46898,3796783,110693
"ARGENTINA",1992,553365,1404156,85100
"ARGENTINA",1992,297036,1747869,61981
"BRAZIL",1992,259811,1359974,106248
"UNITED STATES",1992,359841,7823816,114049
"UNITED STATES",1992,442301,5848389,74596
"UNITED STATES",1992,386126,5185406,72726
"PERU",1993,86836,5198711,109369
"PERU",1992,587105,2632112,71524
"UNITED STATES",1992,171220,712753,77473
"BRAZIL",1992,790,4226975,101447
"CANADA",1993,261692,2063792,99220
"PERU",1993,289419,785887,84504
"UNITED STATES",1993,366685,6416367,105100
"UNITED STATES",1993,417291,1135773,72496
"BRAZIL",1993,532203,4387359,74110
"BRAZIL",1993,221595,4119031,90994
"PERU",1993,376563,4726822,98373
"PERU",1992,221814,3672952,104148
"CANADA",1992,219608,6667930,91655
"UNITED STATES",1992,248311,4813044,75558
"PERU",1992,511620,890853,97896
"PERU",1992,381913,8350651,119694
"ARGENTINA",1993,24965,7699697,113397
"UNITED STATES",1993,22011,1612241,55980
"UNITED STATES",1993,586167,1515046,75188
"PERU",1993,296121,2338111,67026
"PERU",1993,475088,631457,63783
"BRAZIL",1993,20580,558215,90034
"BRAZIL",1992,262645,4335778,96457
"UNITED STATES",1992,67318,5380307,77118
"PERU",1992,118323,2146112,80479
"UNITED STATES",1992,400627,3111721,91656
"PERU",1992,457602,6303822,93574
"CANADA",1993,331764,2312926,107745
"PERU",1993,152756,1513923,108525
"UNITED STATES",1993,582663,7548147,104738
"CANADA",1992,59229,2233853,71293
"UNITED STATES",1993,595430,887788,91524
"UNITED STATES",1993,549985,2014610,122097
"CANADA",1993,346545,3151229,95491
"BRAZIL",1993,405461,270555,81986
"BRAZIL",1993,514053,4321471,64021
"UNITED STATES",1992,469766,3402050,104144
"ARGENTINA",1992,350961,4225095,120717
"ARGENTINA",1992,507822,709962,109788
"ARGENTINA",1992,553332,5984539,83118
"BRAZIL",1992,441590,3302064,91894
"ARGENTINA",1992,359550,289717,96572
"BRAZIL",1992,69931,2651797,114055
"ARGENTINA",1993,3797,1377639,102047
"CANADA",1993,213220,3365633,67992
"ARGENTINA",1992,307040,2793476,62821
"UNITED STATES",1993,136386,3763617,85342
"ARGENTINA",1993,593564,7127422,99452
"UNITED STATES",1993,523960,3213982,119036
"PERU",1993,393564,3117851,99453
"PERU",1992,264689,4010149,99220
"CANADA",1993,92270,2158481,75736
"PERU",1993,216460,2944226,82587
"PERU",1993,104900,6857640,114294
"ARGENTINA",1993,150073,3342256,67384
"PERU",1993,134795,7987033,109787
"ARGENTINA",1993,457380,984296,80241
"PERU",1993,570145,4136268,72907
"UNITED STATES",1992,295566,843237,93693
"CANADA",1992,165134,3419918,71947
"ARGENTINA",1992,224618,2869236,92556
"ARGENTINA",1993,88211,5410835,71952
"BRAZIL",1992,158073,1051895,67864
"PERU",1993,580341,3342944,85279
"UNITED STATES",1993,487987,4724104,118497
"BRAZIL",1993,192935,3583352,121675
"CANADA",1993,269584,2336569,93214
"PERU",1992,394211,4437680,78312
"ARGENTINA",1993,109213,5744387,73332
"ARGENTINA",1992,46992,2646721,116339
"ARGENTINA",1992,537634,3242923,100296
"ARGENTINA",1992,99413,2598834,84744
"ARGENTINA",1993,168428,142159,89785
"BRAZIL",1993,566847,4269732,114829
"BRAZIL",1992,77209,3819564,71172
"PERU",1992,453087,1243911,62403
"PERU",1992,96065,954954,63663
"BRAZIL",1993,47059,91550,60363
"UNITED STATES",1993,388861,7674609,116991
"CANADA",1993,184896,931018,118853
"BRAZIL",1992,231025,2716980,57360
"UNITED STATES",1992,442115,1847793,63425
"ARGENTINA",1993,277922,7088564,113994
"UNITED STATES",1993,412675,5334504,95259
"PERU",1992,532663,2991108,101738
"ARGENTINA",1992,453163,2678736,66968
"ARGENTINA",1992,507131,5235306,68286
"UNITED STATES",1992,156892,6706130,116933
"CANADA",1992,365537,158649,96151
"ARGENTINA",1993,171693,345879,105881
"PERU",1992,340094,1428940,68044
"UNITED STATES",1992,353904,890839,117473
"UNITED STATES",1992,161654,1914665,102939
"BRAZIL",1992,516351,2239686,82039
"BRAZIL",1993,59042,4328496,60062
"UNITED STATES",1993,566835,4598576,114108
"ARGENTINA",1992,7865,3499625,106371
"CANADA",1993,548197,2520224,74710
"PERU",1993,534765,170975,107984
"PERU",1993,124058,398194,64923
"BRAZIL",1993,27314,2193394,74478
"CANADA",1993,248635,3449124,95017
"UNITED STATES",1993,395058,3009434,69182
"UNITED STATES",1992,553678,3740364,103899
"CANADA",1992,482996,9103262,118738
"PERU",1992,302548,5736961,93031
"ARGENTINA",1993,117953,8985561,118257
"UNITED STATES",1993,31540,691623,88292
"CANADA",1993,199617,7580549,102996
"UNITED STATES",1993,360145,3974518,72307
"UNITED STATES",1993,537698,5783252,104140
"BRAZIL",1993,482058,2344227,62401
"PERU",1992,391162,3928625,75189
"ARGENTINA",1993,288987,2440322,118558
"UNITED STATES",1993,56451,4737476,84447
"BRAZIL",1992,211971,7155248,112977
"PERU",1992,387256,1813374,80594
"BRAZIL",1993,150357,562940,84441
"CANADA",1993,302301,3320782,78197
"UNITED STATES",1992,343573,2677023,96993
"BRAZIL",1992,301314,1834843,78918
"PERU",1993,330799,2331139,109786
"UNITED STATES",1993,362192,2189798,75250
"CANADA",1993,352521,5298008,94410
"UNITED STATES",1993,162026,4350991,65281
"CANADA",1992,10127,3802081,62227
"CANADA",1992,163097,2180969,69605
"CANADA",1992,81637,3172514,97117
"ARGENTINA",1992,472782,500106,105285
"ARGENTINA",1992,34283,2125370,73036
"ARGENTINA",1992,19767,6178601,101205
"ARGENTINA",1992,412419,1997085,79883
"ARGENTINA",1992,134651,8428250,101139
"UNITED STATES",1992,104732,2716245,104203
"ARGENTINA",1992,414116,2653511,61805
"CANADA",1992,538439,2777530,88644
"CANADA",1992,342819,4624711,111708
"PERU",1993,23845,5486941,106130
"CANADA",1993,562567,7745203,97772
"UNITED STATES",1993,416009,2521495,55498
"BRAZIL",1993,88506,2869440,89670
"BRAZIL",1992,211586,1515540,89854
"UNITED STATES",1993,76797,7588273,106427
"BRAZIL",1993,3789,3698724,101566
"UNITED STATES",1993,330623,5172492,99216
"CANADA",1992,97521,4836486,91111
"CANADA",1992,431890,6070470,109312
"PERU",1992,99437,2585574,86185
"BRAZIL",1993,184364,2085638,86901
"UNITED STATES",1993,576790,8422866,112006
"CANADA",1993,499142,758844,68467
"ARGENTINA",1992,382197,5065552,76750
"UNITED STATES",1993,206851,3445366,105470
"PERU",1993,135992,3394855,121679
"CANADA",1993,490147,4412025,68227
"BRAZIL",1993,125602,2628574,97656
"CANADA",1993,292221,2041832,72792
"ARGENTINA",1993,105568,3084177,94413
"UNITED STATES",1993,333864,1503097,113871
"PERU",1992,23529,3791077,87151
"ARGENTINA",1993,235519,6423072,87270
"UNITED STATES",1992,295318,4899922,78798
"BRAZIL",1992,207266,1013688,70395
"BRAZIL",1992,472647,4956037,97177
"UNITED STATES",1992,66991,2290848,117479
"ARGENTINA",1992,135021,811023,63361
"PERU",1992,326688,1388882,102880
"PERU",1993,477215,2265161,71531
"CANADA",1993,322651,6244350,100418
"ARGENTINA",1993,31095,1726909,61565
"BRAZIL",1993,226925,5316833,111114
"BRAZIL",1992,132169,1902637,72069
"PERU",1992,155096,1989083,69065
"ARGENTINA",1992,87941,2719805,115736
"CANADA",1993,483302,3181068,77116
"BRAZIL",1992,526265,3195819,77474
"BRAZIL",1992,323283,2944332,78376
"BRAZIL",1993,205015,1517080,55200
"CANADA",1993,554510,7129380,93869
"CANADA",1993,436210,2722201,68771
"UNITED STATES",1993,293827,8193645,109248
"CANADA",1993,495299,3319802,77656
"PERU",1993,155030,309233,65101
"CANADA",1992,462021,831618,58980
"BRAZIL",1992,218419,668700,80244
"UNITED STATES",1992,165339,4571094,84259
"BRAZIL",1992,74519,3727800,89610
"UNITED STATES",1993,95360,504193,81321
"PERU",1993,298861,7597487,111591
"ARGENTINA",1993,348344,1603964,83539
"PERU",1992,304834,901021,110329
"PERU",1992,511944,6161148,117355
"CANADA",1993,378683,4213914,105700
"ARGENTINA",1992,437635,3695633,94356
"PERU",1993,188665,4545486,105219
"UNITED STATES",1993,485381,4495324,81981
"PERU",1993,52475,2857794,85648
"CANADA",1992,148691,6179378,104381
"ARGENTINA",1992,392504,4109365,95789
"PERU",1993,118142,2534905,69608
"ARGENTINA",1992,28070,3655930,59884
"ARGENTINA",1992,275349,497948,79459
"CANADA",1993,209628,6115074,92256
"PERU",1992,513010,288483,61379
"ARGENTINA",1992,382096,1661092,70684
"UNITED STATES",1993,118481,4508936,89968
"UNITED STATES",1993,179434,6192955,90805
"CANADA",1992,13554,2069245,88053
"UNITED STATES",1992,177105,1969378,70926
"ARGENTINA",1993,96659,7548108,99339
"ARGENTINA",1993,142510,4867118,93150
"BRAZIL",1992,28711,4294400,98382
"CANADA",1992,128987,592698,120958
"BRAZIL",1992,304963,8590101,118077
"BRAZIL",1992,231126,1474668,63426
"CANADA",1992,533149,3915181,70927
"PERU",1992,221315,3338010,74178
"ARGENTINA",1992,265942,5918398,114475
"UNITED STATES",1992,273537,4037619,90631
"CANADA",1993,268248,4864920,72973
"UNITED STATES",1993,175179,4221536,75250
"UNITED STATES",1993,26518,1063159,86670
"BRAZIL",1993,476071,2902422,62823
"BRAZIL",1992,334546,450451,94831
"BRAZIL",1993,183730,2192799,108823
"PERU",1992,218615,1366437,92016
"UNITED STATES",1993,378606,980431,101075
"ARGENTINA",1993,536983,5799305,121197
"PERU",1993,192849,8487782,116510
"UNITED STATES",1993,526656,3230649,100957
"CANADA",1993,292840,527855,109969
"CANADA",1992,16704,2431050,97242
"BRAZIL",1993,196608,4806972,102276
"UNITED STATES",1993,388851,3575125,116390
"UNITED STATES",1992,71718,6228271,101382
"UNITED STATES",1992,540614,6624978,99275
"CANADA",1993,170510,7207125,94830
"ARGENTINA",1992,203273,1129209,70575
"PERU",1992,597992,4551954,125398
"PERU",1993,159977,1411620,122218
"BRAZIL",1993,440183,817660,67389
"ARGENTINA",1992,126844,8261629,112250
"ARGENTINA",1992,548584,3918144,97953
"UNITED STATES",1992,444146,2747102,65407
"PERU",1993,407311,3880253,73097
"UNITED STATES",1993,273405,1791907,82703
"UNITED STATES",1993,303284,3733083,77236
"UNITED STATES",1993,283579,5512711,93753
"PERU",1993,508586,937601,95673
"UNITED STATES",1993,346134,5088677,70807
"CANADA",1993,318792,6355837,108646
"UNITED STATES",1993,107350,6181371,81441
"BRAZIL",1993,358244,6511150,78133
"BRAZIL",1992,199381,879345,88822
"PERU",1993,486250,5396143,74173
"CANADA",1993,280367,264080,80841
"BRAZIL",1993,323387,5305811,84622
"PERU",1993,247838,3189474,107149
"BRAZIL",1992,409347,1507584,75379
"CANADA",1993,150547,6307087,95852
"ARGENTINA",1993,481988,179266,118197
"PERU",1992,471701,5516498,100360
"PERU",1993,375197,1017744,76330
"CANADA",1993,341024,4853250,63900
"CANADA",1993,266460,265319,85587
"UNITED STATES",1993,553975,6865966,121737
"PERU",1993,512036,1656903,62880
"BRAZIL",1993,79524,2799554,90211
"CANADA",1993,353447,3312949,90025
"UNITED STATES",1993,368930,4781416,119935
"BRAZIL",1992,448087,4139204,62103
"PERU",1993,228824,6310116,105168
"ARGENTINA",1992,115365,1987718,82821
"ARGENTINA",1993,263454,1224668,85046
"ARGENTINA",1993,462426,933004,83304
"CANADA",1993,207997,4065227,114298
"CANADA",1993,111843,2136775,111290
"ARGENTINA",1992,408056,4386336,57841
"ARGENTINA",1992,195132,1904505,73627
"PERU",1992,515566,1518278,94892
"CANADA",1993,352466,6495929,91107
"UNITED STATES",1993,9175,917207,65050
"CANADA",1993,50214,782349,69852
"ARGENTINA",1993,338615,6612746,99216
"UNITED STATES",1993,94422,4487218,84985
"ARGENTINA",1993,45644,906094,95378
"PERU",1992,457589,6260474,92793
"UNITED STATES",1992,497191,2305049,71290
"ARGENTINA",1993,303803,6618271,108407
"ARGENTINA",1993,376653,1695047,103778
"PERU",1992,479803,1444051,106966
"PERU",1993,144121,2191590,69907
"BRAZIL",1993,217806,4649061,103427
"ARGENTINA",1992,346896,2448028,116572
