"d_year","s_nation","lo_custkey","lo_partkey","lo_revenue","lo_supplycost"
1993,"ARGENTINA",28928,60239,1798845,71953
1993,"BRAZIL",28928,165199,1511971,75851
1993,"UNITED STATES",12119,104990,4538602,119699
1993,"ARGENTINA",28684,17732,2639568,98983
1993,"ARGENTINA",17053,85488,5342838,88408
1992,"ARGENTINA",22963,196037,5163217,67981
1992,"UNITED STATES",11860,104050,4148740,63243
1992,"BRAZIL",11860,187391,3766937,88703
1992,"CANADA",11860,80122,3625974,66127
1993,"CANADA",15571,145883,925862,115732
1993,"CANADA",15571,31836,7893360,106069
1993,"CANADA",15571,64580,2201026,92674
1993,"ARGENTINA",22684,69543,3743536,90752
1993,"BRAZIL",22684,196626,1901772,103357
1993,"PERU",17422,59977,6453984,116218
1993,"CANADA",17422,121886,6143373,114472
1993,"CANADA",17422,132023,1775598,63301
1993,"PERU",17422,104976,1289611,118858
1992,"CANADA",27965,8748,2180269,99404
1993,"ARGENTINA",13492,145995,4355472,122459
1992,"BRAZIL",21316,166979,1675649,122758
1992,"BRAZIL",3757,33411,2477747,80664
1993,"ARGENTINA",20198,19500,3616886,85170
1992,"CANADA",16639,96450,390541,86787
1992,"ARGENTINA",8806,174006,3775680,64800
1993,"PERU",9548,104024,4397869,61681
1993,"UNITED STATES",9548,128827,5756753,111349
1992,"PERU",8314,150328,4144608,82699
1992,"CANADA",28771,99398,3898718,83843
1993,"UNITED STATES",2149,150029,2231413,64741
1992,"BRAZIL",13400,105464,3705978,88167
1992,"PERU",13400,122237,5855419,75553
1993,"UNITED STATES",27403,55308,5457456,75798
1993,"BRAZIL",27403,154652,7295928,102399
1993,"ARGENTINA",27403,35859,3711749,107691
1992,"CANADA",6940,79137,4419874,66967
1992,"CANADA",13060,115461,6655881,88587
1992,"BRAZIL",11468,27350,3525486,76641
1992,"BRAZIL",11468,192581,5234958,100414
1993,"UNITED STATES",16675,181476,448551,93448
1993,"UNITED STATES",16675,57244,840868,72074
1992,"ARGENTINA",7726,135673,3265268,102520
1993,"PERU",3620,194824,2494466,115129
1993,"PERU",29083,121231,1765644,75133
1993,"BRAZIL",29083,199926,6855713,121555
1992,"ARGENTINA",27065,140907,4345764,116874
1992,"BRAZIL",22399,95791,7316905,107207
1992,"BRAZIL",22399,149891,2472693,116453
1993,"CANADA",29749,83052,97294,62103
1993,"PERU",29749,44571,4701298,90934
1993,"BRAZIL",29749,91104,4992560,65706
1993,"UNITED STATES",6010,10239,436707,68953
1993,"ARGENTINA",6010,82846,2128769,109730
1993,"ARGENTINA",3059,57960,6457771,115077
1993,"BRAZIL",17206,193010,5023107,66180
1993,"UNITED STATES",17206,105117,2693064,67326
1992,"CANADA",6422,191243,3842611,80054
1992,"ARGENTINA",4697,94162,226607,69369
1992,"UNITED STATES",4697,167682,166219,104980
1992,"BRAZIL",10795,2210,4604549,66732
1992,"ARGENTINA",10795,20762,4122762,100965
1992,"ARGENTINA",10795,138585,1246909,97414
1992,"UNITED STATES",15260,113277,5364942,77416
1992,"UNITED STATES",8395,199931,4581778,121855
1992,"UNITED STATES",18946,21308,5598232,73758
1992,"BRAZIL",18946,55989,2559593,116698
1992,"CANADA",18946,96058,3234879,63243
1992,"BRAZIL",18946,32524,4655037,87391
1992,"ARGENTINA",8621,166286,2239375,81136
1992,"CANADA",8621,108480,3715246,89308
1993,"UNITED STATES",28117,81338,626681,79159
1992,"ARGENTINA",28697,165586,2378275,99094
1992,"BRAZIL",28697,194397,814298,89483
1992,"ARGENTINA",16363,154335,4729279,83359
1993,"CANADA",10411,156386,4240597,86542
1992,"UNITED STATES",6730,139515,4756800,93270
1992,"PERU",6730,143411,6253963,87264
1992,"BRAZIL",4781,29142,2857801,64268
1992,"PERU",4781,184671,688222,105340
1992,"BRAZIL",4781,163713,1758942,106602
1992,"ARGENTINA",21193,70302,2671830,76338
1992,"CANADA",21193,154697,651628,105101
1992,"PERU",21193,182694,5804446,106601
1992,"BRAZIL",21193,179354,5406596,86001
1992,"BRAZIL",3155,10753,5357275,99825
1993,"BRAZIL",16357,4181,2989670,65110
1993,"PERU",14860,121740,3974485,105704
1993,"ARGENTINA",14860,76805,6049211,106908
1993,"BRAZIL",14860,15310,5575160,73518
1992,"BRAZIL",26396,14375,2723149,77362
1993,"BRAZIL",26020,138158,5450855,71769
1993,"PERU",25096,36638,7025999,94477
1993,"ARGENTINA",28792,77884,4021660,111712
1992,"PERU",16285,31439,1745927,82225
1992,"CANADA",16285,61964,2118556,115557
1992,"PERU",5381,198471,753345,94168
1992,"UNITED STATES",5381,86996,6857179,118979
1993,"CANADA",15301,32358,1770360,77421
1992,"UNITED STATES",17374,45380,4406888,79522
1993,"CANADA",11416,89122,1900015,66667
1992,"UNITED STATES",21418,157858,2973399,114951
1993,"CANADA",26842,137395,2148585,85943
1993,"UNITED STATES",21214,81654,7298270,98139
1993,"ARGENTINA",21214,11047,810501,57482
1993,"CANADA",10820,113454,139407,88047
1993,"BRAZIL",29278,148732,7427424,106843
1992,"CANADA",9703,113501,2926014,90870
1992,"UNITED STATES",9703,67977,4064987,116698
1992,"ARGENTINA",12361,11908,540510,109194
1992,"ARGENTINA",12361,75861,2997755,110211
1993,"BRAZIL",18707,157165,4595321,73329
1993,"BRAZIL",4861,125982,7821082,120478
1993,"BRAZIL",4861,173367,1060104,86421
1992,"UNITED STATES",13744,110826,7582392,110209
1993,"ARGENTINA",23641,59234,1756434,71593
1993,"ARGENTINA",23641,139385,6837024,85462
1993,"CANADA",304,68314,5403654,76938
1992,"PERU",21373,180316,4976448,83778
1993,"ARGENTINA",11638,64785,6299208,104986
1993,"BRAZIL",28975,47668,1381389,96939
1993,"BRAZIL",19741,57530,2377072,89251
1992,"BRAZIL",16021,194888,1443536,118972
1992,"PERU",1090,45045,1104884,59402
1992,"ARGENTINA",15286,52774,1284716,103606
1992,"BRAZIL",15286,171892,6893253,117833
1993,"UNITED STATES",21260,45118,5156083,63786
1992,"UNITED STATES",14413,83612,5262321,95736
1992,"ARGENTINA",14413,186361,1276571,86841
1993,"ARGENTINA",12016,63142,4089018,66308
1993,"UNITED STATES",12016,18921,3422251,110395
1992,"PERU",18962,137992,3398203,121799
1992,"ARGENTINA",18095,177284,5574441,81676
1993,"BRAZIL",5971,189658,8137058,104859
1993,"UNITED STATES",24889,137805,4284510,110568
1993,"BRAZIL",24889,88025,2213448,60781
1993,"BRAZIL",16484,149428,3693550,88645
1993,"CANADA",16484,34648,6533137,94958
1993,"ARGENTINA",16484,121516,4921569,92250
1993,"ARGENTINA",16484,63389,2945483,81142
1992,"PERU",7402,15113,4492840,61686
1992,"PERU",7402,91708,458919,101982
1992,"ARGENTINA",16112,162697,7839418,105581
1992,"BRAZIL",20077,183028,2419801,66661
1992,"CANADA",20077,56692,1050215,98921
1992,"PERU",20077,19072,2794817,59464
1992,"BRAZIL",26578,136302,3725827,80298
1992,"BRAZIL",26086,14755,6802561,100185
1992,"PERU",26086,186382,4742867,88102
1993,"PERU",14485,177961,8221086,122337
1992,"UNITED STATES",25394,177455,1103364,91947
1992,"UNITED STATES",13273,154473,1136437,91648
1992,"BRAZIL",13273,24055,4558456,58743
1993,"BRAZIL",27646,33422,4293970,81325
1993,"PERU",27646,24925,897211,110995
1993,"PERU",4436,9379,3443813,77302
1993,"UNITED STATES",5909,124718,8108829,104562
1993,"UNITED STATES",5909,36022,2791670,57481
1993,"PERU",7882,136988,2421876,121498
1992,"ARGENTINA",28507,172174,448621,74770
1992,"CANADA",28507,27830,639850,105469
1993,"BRAZIL",22024,33536,418816,88171
1993,"BRAZIL",20875,186441,2346147,91646
1993,"ARGENTINA",20875,110730,5504188,104443
1993,"UNITED STATES",20875,26091,100691,61025
1993,"PERU",3923,151680,3581114,103900
1993,"ARGENTINA",3923,70584,2970802,93274
1993,"ARGENTINA",5776,154512,4661933,93990
1993,"BRAZIL",5776,159780,2877415,110386
1993,"UNITED STATES",21485,144878,1945944,115372
1993,"ARGENTINA",23051,169923,1395044,119575
1992,"CANADA",21683,63451,2059439,84867
1993,"ARGENTINA",10682,106020,3453583,61561
1993,"PERU",10682,175576,2080978,99094
1992,"BRAZIL",1534,198861,8835048,117591
1992,"UNITED STATES",3617,113950,392790,117837
1992,"BRAZIL",9259,1671,5491763,94360
1992,"UNITED STATES",9259,48731,488801,100783
1993,"UNITED STATES",6368,98052,1835487,63003
1993,"ARGENTINA",6368,160829,7993938,113389
1992,"UNITED STATES",6943,159562,3932283,97293
1993,"PERU",21124,199679,3845484,106720
1993,"BRAZIL",21124,51319,4223780,76218
1992,"PERU",17542,16773,3531619,101386
1992,"BRAZIL",17542,171876,6106572,116872
1992,"ARGENTINA",17542,107248,3891244,75314
1993,"BRAZIL",10367,66247,5299432,72794
1993,"CANADA",10367,9512,2686653,85290
1993,"CANADA",10367,21666,3756403,95259
1993,"CANADA",27214,120101,4080804,67266
1993,"ARGENTINA",23861,75340,4209088,78920
1992,"PERU",22951,155351,3583379,84381
1992,"BRAZIL",247,63693,328024,99401
1992,"PERU",13864,112090,3833069,66125
1993,"PERU",1190,172512,1354756,95070
1993,"ARGENTINA",1190,69581,2018855,93034
1992,"PERU",17833,54762,5708227,103005
1992,"PERU",569,66491,1154332,87449
1992,"UNITED STATES",569,108072,2030531,64804
1992,"BRAZIL",569,165158,1913006,73389
1992,"ARGENTINA",3875,99311,4067202,78618
1992,"BRAZIL",9739,27848,3267545,106550
1992,"UNITED STATES",5152,172597,4102182,100175
1992,"BRAZIL",5152,92314,2027393,78378
1992,"UNITED STATES",5152,87193,1259262,70811
1992,"PERU",25699,101446,1667450,86846
1992,"CANADA",21370,117339,3221283,81379
1993,"UNITED STATES",28057,40147,817529,65228
1993,"CANADA",28057,136442,5360823,88706
1992,"CANADA",12622,39713,6964519,99162
1992,"BRAZIL",12622,48416,1215689,81864
1993,"PERU",6664,16933,4869015,110995
1992,"BRAZIL",23435,108761,1164502,106185
1992,"BRAZIL",3550,88852,1172621,110451
1992,"BRAZIL",3550,134967,7495338,120117
1993,"PERU",28081,146165,4699300,72669
1992,"UNITED STATES",1211,112248,2178954,75614
1992,"BRAZIL",3614,131755,350203,107205
1993,"UNITED STATES",25727,149564,5824951,96813
1992,"ARGENTINA",13646,89790,6692010,106787
1992,"CANADA",13646,154707,2621409,105702
1993,"UNITED STATES",17239,195830,173324,115549
1993,"ARGENTINA",17239,30377,5589006,78442
1993,"UNITED STATES",14881,73779,4778051,105166
1993,"PERU",18781,192322,6435156,84859
1993,"ARGENTINA",18781,145233,5350670,76693
1993,"UNITED STATES",18781,63446,6159252,84566
1993,"BRAZIL",18781,133028,1381448,63661
1993,"UNITED STATES",9616,179758,5873449,110265
1992,"PERU",6967,100697,2521069,101861
1993,"PERU",21752,22473,2031804,83728
1993,"ARGENTINA",12484,176420,5063885,89785
1993,"ARGENTINA",12484,79271,1500324,75016
1992,"ARGENTINA",25934,198900,3526059,119934
1993,"ARGENTINA",20069,96401,1157047,83844
1993,"ARGENTINA",20069,195469,4355456,93867
1993,"UNITED STATES",20069,40769,954046,102585
1993,"PERU",22970,17505,6543500,85350
1993,"UNITED STATES",22970,113985,727628,119938
1993,"BRAZIL",22970,141064,308311,66303
1993,"ARGENTINA",22970,58555,2300596,90813
1993,"CANADA",8422,86920,6521666,114415
1992,"UNITED STATES",18049,41897,4144858,110333
1992,"UNITED STATES",27887,33928,3396142,111715
1992,"BRAZIL",27887,176381,3462734,87442
1993,"UNITED STATES",25082,111808,8036236,109188
1993,"ARGENTINA",15215,85899,8670494,113093
1993,"PERU",14065,47525,4417560,88351
1992,"UNITED STATES",7864,33347,4743659,76820
1993,"BRAZIL",21445,114372,6931850,83182
1992,"BRAZIL",4469,149376,6699239,85522
1992,"PERU",17698,194632,5342193,103597
1992,"ARGENTINA",21325,101119,824400,67206
1992,"PERU",21325,158182,2238524,74410
1993,"CANADA",5638,177866,4202625,116631
1993,"PERU",5638,134929,4289201,117835
1993,"ARGENTINA",11248,78959,7098710,116277
1992,"UNITED STATES",24016,158171,4343886,73750
1993,"PERU",21163,119622,2363932,98497
1993,"BRAZIL",12859,123503,2129467,91590
1993,"BRAZIL",16753,107378,2956379,83122
1993,"UNITED STATES",3409,150817,1774419,112068
1992,"ARGENTINA",25096,7446,6233944,81206
1993,"ARGENTINA",14363,8409,490072,79044
1993,"ARGENTINA",10166,127069,1396380,65763
1993,"UNITED STATES",11480,171058,3951675,67743
1992,"PERU",24964,4587,4531420,89494
1992,"ARGENTINA",18239,158051,3194064,66543
1993,"PERU",1283,69193,1380681,69731
1992,"CANADA",3364,64365,3832544,79761
1992,"PERU",23254,67088,2104884,63304
1992,"ARGENTINA",23254,105716,4218189,103302
1993,"UNITED STATES",17581,196791,2484331,113267
1993,"CANADA",17581,61902,2035378,111834
1992,"PERU",27232,29825,2611172,105289
1992,"UNITED STATES",27232,109801,1318262,108648
1992,"CANADA",28969,129675,2386538,102280
1992,"BRAZIL",28969,38245,819985,70994
1993,"ARGENTINA",18526,156497,5965401,93209
1992,"BRAZIL",13006,135739,1229887,106483
1992,"CANADA",20914,169637,1553033,102397
1993,"CANADA",12206,9175,1029961,65050
1992,"PERU",27139,83037,3682308,61201
1993,"UNITED STATES",25019,124684,5942789,102520
1993,"CANADA",7,24960,3204432,113097
1993,"BRAZIL",13015,52467,1958854,85167
1993,"ARGENTINA",13015,135943,4369499,118736
1992,"PERU",11083,46178,320388,67450
1993,"PERU",7807,153417,3565744,88224
1993,"PERU",16582,62260,113670,73335
1992,"PERU",8213,38848,3323522,107210
1992,"ARGENTINA",24946,111789,4260645,108046
1992,"ARGENTINA",24946,5376,1367221,76882
1993,"PERU",17099,12253,4538648,69915
1993,"BRAZIL",29713,63375,2007555,80302
1992,"ARGENTINA",17957,81438,3679162,85165
1993,"BRAZIL",8530,15532,2887822,86851
1993,"UNITED STATES",8530,45042,2969016,59222
1993,"ARGENTINA",8530,161753,3005226,108885
1993,"UNITED STATES",8530,166778,5146908,110686
1992,"UNITED STATES",11362,27750,4603746,100665
1993,"PERU",3124,137924,3806124,117715
1992,"BRAZIL",28030,120837,1727781,111469
1992,"BRAZIL",28030,101607,2995213,96516
1992,"UNITED STATES",28030,92545,3324161,92252
1992,"ARGENTINA",20941,83817,2317642,108048
1993,"UNITED STATES",8581,182526,7724113,96511
1993,"PERU",22354,148548,750373,95792
1993,"PERU",22354,43108,3811288,63066
1993,"BRAZIL",25627,162407,2298141,88164
1993,"UNITED STATES",17096,94845,6921478,110390
1992,"ARGENTINA",1978,7407,4334891,78864
1992,"UNITED STATES",1978,110508,4560055,91110
1993,"PERU",18793,14041,3687409,57302
1992,"CANADA",1315,89554,6320837,92613
1992,"CANADA",9856,9163,1543910,64329
1993,"PERU",4843,29467,3766252,83787
1993,"BRAZIL",26032,152447,727228,89966
1993,"UNITED STATES",26032,195126,2307916,73267
1993,"UNITED STATES",12721,16092,4149298,60485
1992,"CANADA",27109,89641,2348121,97838
1993,"PERU",10271,143475,1093298,91108
1993,"CANADA",322,164688,3154824,105160
1992,"ARGENTINA",18671,115654,7438290,100179
1992,"ARGENTINA",25805,68194,4490702,69731
1992,"ARGENTINA",25805,165336,1198137,84079
1993,"CANADA",3799,110355,6623312,81921
1993,"BRAZIL",3799,89681,5894159,100240
1993,"UNITED STATES",9769,71926,8199014,113875
1992,"UNITED STATES",22648,162088,113857,69004
1992,"PERU",22648,23507,6115387,85830
1993,"BRAZIL",20869,176075,2843142,69064
1993,"PERU",20869,72075,1071152,62824
1993,"CANADA",25717,135411,5050863,86784
1992,"ARGENTINA",19240,38222,2784528,69613
1993,"UNITED STATES",9592,75964,6675402,116397
1992,"UNITED STATES",11155,58150,4437032,66489
1992,"BRAZIL",8792,156501,7086625,93450
1993,"ARGENTINA",8630,172789,5417779,111706
1992,"PERU",9241,79649,4788201,97718
1992,"UNITED STATES",2194,34558,1823896,89553
1993,"PERU",26311,99151,3135308,69009
1993,"UNITED STATES",3931,176977,2146398,123238
1992,"CANADA",2735,110420,1223009,85825
1993,"UNITED STATES",1450,8550,4798629,87513
1993,"ARGENTINA",5842,158879,6668210,116272
1992,"ARGENTINA",10498,16091,1296124,60425
1992,"BRAZIL",10498,193155,2808337,74889
1993,"CANADA",22874,127234,3016862,75673
1992,"UNITED STATES",28706,66485,6827761,87088
1992,"ARGENTINA",28706,11662,4198524,94419
1992,"UNITED STATES",18496,119478,6325313,89848
1992,"UNITED STATES",280,198434,5102991,91945
1992,"UNITED STATES",11153,103344,2290478,80840
1993,"BRAZIL",26752,99405,5932185,84264
1993,"ARGENTINA",26752,46847,8169147,107630
1993,"ARGENTINA",22357,71747,5114970,103124
1993,"BRAZIL",5288,147944,1147357,119516
1993,"BRAZIL",19177,164348,1937730,84740
1993,"PERU",1246,173221,2562555,77653
1993,"BRAZIL",1720,70173,4889338,68590
1993,"PERU",1720,68602,4771482,94236
1993,"UNITED STATES",1720,3701,3851280,96282
1993,"CANADA",23855,139505,5751718,92670
1992,"BRAZIL",24040,181985,1692856,124018
1993,"CANADA",24295,2782,2299724,101086
1993,"ARGENTINA",4231,52898,7899598,111053
1993,"CANADA",4231,51169,1596228,67209
1992,"UNITED STATES",7243,75165,4765868,68409
1992,"BRAZIL",7243,171240,5911069,78674
1992,"CANADA",7243,121008,1337700,61740
1992,"UNITED STATES",7073,63519,6619407,88950
1992,"BRAZIL",4033,175398,4001727,88403
1992,"ARGENTINA",4033,109264,695199,76395
1992,"ARGENTINA",5444,177992,1713951,124199
1993,"CANADA",7778,149302,4370104,81078
1993,"ARGENTINA",7778,106391,4678461,83843
1993,"CANADA",28397,147268,128895,78915
1993,"PERU",28397,118006,2331648,61440
1993,"PERU",28397,141966,9740613,120477
1992,"CANADA",11653,70969,4461908,116397
1993,"BRAZIL",14548,43154,2767012,65829
1993,"ARGENTINA",3085,27737,7041807,99883
1993,"CANADA",3085,192045,3564620,68222
1992,"ARGENTINA",5591,72558,1349945,91833
1993,"CANADA",29926,5625,5730641,91837
1992,"CANADA",26038,193435,6725092,91705
1992,"UNITED STATES",21256,169189,739809,75490
1992,"BRAZIL",18193,91844,9087408,110150
1993,"PERU",5338,85054,4987440,62343
1993,"UNITED STATES",24992,116874,2964884,113452
1993,"CANADA",25768,37751,3455182,101325
1992,"UNITED STATES",21797,186405,5327280,89484
1992,"PERU",18989,84972,7436486,117418
1992,"BRAZIL",27287,128659,5964155,101259
1993,"UNITED STATES",8819,120702,4823560,103362
1993,"UNITED STATES",439,122452,2441689,88467
1992,"ARGENTINA",29404,83024,2246661,60421
1992,"UNITED STATES",29404,141665,1087142,102399
1993,"BRAZIL",11741,27746,3618625,100424
1992,"BRAZIL",6523,140175,3733002,72910
1992,"CANADA",24860,146600,1738809,98796
1992,"UNITED STATES",10852,31890,1173297,109313
1992,"ARGENTINA",10852,154313,4959233,82038
1992,"PERU",15967,136260,715535,77775
1992,"ARGENTINA",28930,128647,8043072,100538
1992,"PERU",16000,34440,1786772,82466
1992,"BRAZIL",3266,78746,3585734,103484
1992,"UNITED STATES",229,194556,1670356,99033
1992,"CANADA",18220,169098,5375616,70025
1993,"PERU",20011,136801,5298377,110268
1993,"ARGENTINA",27859,76435,4110084,84685
1993,"BRAZIL",27859,58684,7096377,98560
1992,"UNITED STATES",29467,144402,6248448,86784
1993,"ARGENTINA",6923,103015,3335000,61080
1993,"PERU",23882,113975,4964469,119338
1992,"CANADA",6562,135058,2295405,65583
1993,"UNITED STATES",20485,74728,3759605,102163
1992,"PERU",7921,186138,3194979,73447
1992,"UNITED STATES",24895,82390,3999144,82343
1992,"BRAZIL",5563,190409,4985505,89964
1992,"ARGENTINA",5563,193110,238215,72186
1992,"ARGENTINA",5563,194232,6108615,79573
1993,"PERU",14002,146427,5095086,88405
1993,"ARGENTINA",1715,39174,3066783,66790
1992,"PERU",29152,48268,1191934,72975
1992,"ARGENTINA",29152,24385,254019,78562
1993,"BRAZIL",23035,41068,2131134,60543
1992,"ARGENTINA",11452,68841,164695,108590
1992,"BRAZIL",11452,194628,5229874,103357
1992,"BRAZIL",21643,149820,4812916,112189
1992,"ARGENTINA",21643,9813,661559,103368
1992,"BRAZIL",5615,20455,2723391,82527
1992,"UNITED STATES",16064,78685,7411694,99820
1992,"BRAZIL",16064,43686,2493410,97780
1993,"ARGENTINA",2297,25781,4608306,102406
1992,"ARGENTINA",3245,34250,852660,71055
1992,"UNITED STATES",21307,61812,869166,106428
1992,"BRAZIL",21307,64859,2527856,109431
1992,"ARGENTINA",21307,195414,7027812,90564
1993,"ARGENTINA",8530,171347,4586911,85100
1993,"CANADA",7069,58665,3968225,97419
1993,"ARGENTINA",7069,68874,4468959,110572
1992,"ARGENTINA",11962,2062,2805414,57843
1992,"ARGENTINA",15911,125137,3302773,69727
1993,"ARGENTINA",10825,172838,5098094,114649
1992,"CANADA",27772,11049,2978044,57602
1992,"CANADA",27772,92715,5379286,102462
1992,"CANADA",27772,137912,7335561,116994
1993,"BRAZIL",2722,163430,815412,89605
1992,"PERU",9782,41343,732073,77060
1992,"ARGENTINA",9782,185325,6292847,84619
1993,"PERU",25042,62777,7842883,104386
1993,"BRAZIL",25042,83916,2143098,113994
1993,"PERU",2387,19371,1320048,77422
1993,"UNITED STATES",23764,40779,2751632,103186
1993,"BRAZIL",27037,189463,1998016,93147
1992,"BRAZIL",7028,55619,732193,94476
1992,"CANADA",22987,80505,6132144,89130
1992,"CANADA",22987,182124,5909988,72367
1992,"UNITED STATES",22987,154672,8115349,103600
1993,"UNITED STATES",5296,197689,5145638,107200
1993,"CANADA",5296,108622,7663914,97837
1993,"ARGENTINA",5296,170585,8277900,99334
1992,"CANADA",10360,14447,2152436,81686
1993,"BRAZIL",2305,11836,2763319,104869
1993,"UNITED STATES",23326,199025,4648946,67441
1993,"CANADA",13414,57550,2442231,90453
1993,"UNITED STATES",6250,99979,1175508,118738
1993,"UNITED STATES",13778,195999,2032140,125699
1993,"PERU",13778,96487,5815241,89008
1993,"BRAZIL",12871,108159,1167150,70029
1993,"PERU",14530,11197,5000153,66491
1993,"PERU",29275,156194,2047811,75011
1993,"ARGENTINA",22640,117724,2731016,104503
1993,"BRAZIL",22640,72645,446468,97058
1993,"UNITED STATES",15481,101332,6399984,79999
1993,"UNITED STATES",15481,113363,4720914,82581
1993,"BRAZIL",15481,89901,1512720,113454
1992,"CANADA",26875,150581,4353055,97894
1993,"CANADA",6953,16629,2055674,92737
1992,"ARGENTINA",24539,176448,6338621,91466
1992,"UNITED STATES",8515,137488,993087,91528
1993,"ARGENTINA",6448,176108,2723430,71046
1992,"BRAZIL",4099,173134,3395656,72427
1992,"BRAZIL",4099,46118,1548280,63846
1992,"BRAZIL",24143,40526,6599340,87991
1993,"UNITED STATES",5849,32000,3380364,55920
1993,"UNITED STATES",24946,54288,4504507,74536
1993,"UNITED STATES",8686,118537,5823904,93331
1993,"UNITED STATES",8686,47856,5871531,108231
1993,"UNITED STATES",25807,177021,2993202,65881
1993,"BRAZIL",25807,185074,3083126,69544
1992,"PERU",28498,25598,4575340,91415
1992,"CANADA",28498,20481,1513598,84088
1992,"PERU",13345,142191,1726466,73991
1992,"PERU",3187,6031,3485751,56221
1992,"ARGENTINA",18667,137059,3649846,65763
1993,"ARGENTINA",20290,35861,1617174,107811
1993,"CANADA",23372,144113,989329,69426
1993,"ARGENTINA",23372,86962,4788594,116937
1992,"PERU",23071,88528,3269617,90991
1992,"ARGENTINA",14149,190431,1328208,91285
1993,"ARGENTINA",23674,112356,4233674,82101
1992,"PERU",13526,25446,246859,82286
1993,"UNITED STATES",12172,59364,5292116,79401
1992,"UNITED STATES",1916,67896,2301904,111833
1992,"PERU",1916,18946,3401650,111896
1993,"ARGENTINA",26782,98954,5077670,117177
1993,"ARGENTINA",8977,90251,115436,74475
1993,"CANADA",14731,34595,4796794,91775
1993,"BRAZIL",24866,44403,735680,80844
1993,"UNITED STATES",24866,67253,4652813,73215
1992,"CANADA",6263,161217,1380466,76692
1993,"PERU",16789,150476,6105880,91588
1993,"PERU",16789,40210,1748319,69012
1993,"BRAZIL",16789,196239,2691823,80113
1993,"ARGENTINA",25870,21968,4488655,113397
1992,"PERU",5558,197830,2868611,115669
1992,"PERU",5558,86895,6571559,112913
1992,"CANADA",24533,172361,391307,86001
1992,"BRAZIL",24533,64199,446664,69791
1993,"CANADA",10708,130041,944657,64262
1992,"PERU",2975,93185,5205199,70690
1992,"BRAZIL",2975,147597,6473106,98675
1992,"PERU",9751,55818,7753323,106428
1993,"BRAZIL",15433,164521,3607058,95131
1993,"UNITED STATES",15433,90305,6220030,77718
1993,"PERU",25010,146142,1293884,71288
1993,"BRAZIL",24455,46632,7419561,94717
1993,"PERU",24455,142730,4036506,106363
1992,"UNITED STATES",2536,184838,7306754,115369
1992,"CANADA",2536,15387,3646664,78142
1992,"PERU",2536,5792,1303902,101867
1993,"PERU",8833,85751,4001472,104205
1992,"PERU",27745,120528,1296111,92911
1993,"CANADA",28271,122611,1040609,98016
1993,"PERU",28271,117187,3023695,72250
1993,"UNITED STATES",25588,117522,1961348,92371
1993,"CANADA",4093,61535,592625,89791
1992,"ARGENTINA",29978,74338,2362194,78739
1993,"UNITED STATES",14383,195321,3161226,84979
1993,"UNITED STATES",7837,102200,4830439,72132
1992,"BRAZIL",21944,164939,3579018,120235
1992,"PERU",21944,124202,5532614,73572
1993,"BRAZIL",18938,190521,6807060,96691
1993,"CANADA",17527,42606,3794070,92916
1993,"ARGENTINA",17527,149789,535084,110326
1993,"UNITED STATES",17527,103543,3779743,92792
1993,"CANADA",15308,178119,3744560,71826
1992,"PERU",27505,2355,5136274,75441
1992,"CANADA",27505,179431,860945,90625
1992,"UNITED STATES",24697,192438,4820854,91825
1992,"CANADA",15730,98653,5648643,99099
1992,"BRAZIL",15730,47416,5210953,81804
1992,"PERU",15730,112532,7041512,92671
1993,"UNITED STATES",7354,26675,760793,96100
1992,"CANADA",27842,23536,1444934,87571
1993,"UNITED STATES",16630,138384,3918656,85342
1993,"CANADA",5354,87811,501867,107928
1992,"BRAZIL",21539,107095,198376,66125
1993,"BRAZIL",4763,111433,5641943,86665
1993,"UNITED STATES",4763,52016,1393934,58080
1993,"ARGENTINA",4763,24501,553094,85530
1992,"BRAZIL",8380,177775,5050651,111166
1992,"UNITED STATES",22543,162438,2100602,90025
1992,"CANADA",22543,87045,4504854,61922
1992,"UNITED STATES",22543,187094,4621605,70865
1992,"UNITED STATES",26905,129352,1519485,82881
1992,"ARGENTINA",27400,51788,1108239,104386
1992,"PERU",21880,16822,3004680,104329
1992,"BRAZIL",10159,76665,1526743,98499
1992,"UNITED STATES",10159,59447,5745307,84386
1992,"CANADA",3440,142867,7333862,114591
1992,"ARGENTINA",10148,78773,2427953,105106
1992,"UNITED STATES",10148,137109,5054301,68766
1993,"UNITED STATES",25729,101469,977855,88227
1992,"PERU",12766,170537,4822590,96451
1992,"UNITED STATES",8459,28233,1479407,69673
1993,"PERU",29680,191858,5264595,116991
1993,"ARGENTINA",28234,29306,5929440,74118
1993,"BRAZIL",28234,123454,6805134,88647
1993,"BRAZIL",28234,86973,3649464,117598
1993,"CANADA",13894,77828,2427022,108349
1993,"CANADA",12364,192561,297640,99213
1992,"ARGENTINA",25166,167784,6049765,111106
1993,"BRAZIL",17476,58475,5217830,86008
1992,"PERU",1949,189073,4383328,69724
1992,"CANADA",28702,26982,2993280,114538
1992,"UNITED STATES",2327,71414,2995256,83124
1993,"PERU",25648,52603,7238206,93336
1993,"BRAZIL",25648,167656,341282,103419
1992,"UNITED STATES",29878,54985,5457163,116398
1993,"PERU",26506,113892,3506837,114353
1993,"UNITED STATES",21772,167523,3936537,95431
1993,"ARGENTINA",21772,27679,2956272,96400
1993,"BRAZIL",15026,192520,3708796,96751
