"d_year","s_nation","lo_partkey","lo_revenue","lo_supplycost"
1993,"CANADA",143669,657661,102759
1992,"PERU",116575,6501563,95494
1992,"PERU",118784,1590051,108166
1992,"UNITED STATES",190507,1782810,95850
1992,"BRAZIL",159257,3340642,78975
1992,"CANADA",10573,2818783,89014
1992,"CANADA",126949,9682106,118556
1992,"UNITED STATES",22797,5379503,103187
1993,"BRAZIL",34084,1325540,61084
1993,"PERU",12930,3291472,110575
1993,"BRAZIL",2578,3304632,88834
1993,"ARGENTINA",66310,3368182,76578
1993,"CANADA",113425,3866472,86305
1993,"PERU",74051,2558524,61503
1992,"PERU",72,4199342,58324
1992,"UNITED STATES",197701,6691164,107922
1992,"CANADA",153871,6513760,115492
1992,"UNITED STATES",104877,5961764,112912
1993,"CANADA",18550,1850373,88113
1993,"ARGENTINA",45577,5062545,91354
1993,"PERU",122600,2180774,97356
1993,"UNITED STATES",131308,2266095,80358
1992,"CANADA",181865,885821,116811
1992,"UNITED STATES",3524,6440970,85651
1992,"CANADA",22484,2109720,84388
1992,"UNITED STATES",154372,670393,85582
1993,"ARGENTINA",148234,241059,76933
1993,"ARGENTINA",165598,1996308,99815
1993,"CANADA",70640,7191507,96638
1992,"BRAZIL",175747,3186149,109364
1992,"UNITED STATES",191254,3628139,80715
1993,"PERU",12572,1255946,89074
1993,"BRAZIL",175161,3405620,74169
1993,"PERU",40686,5717780,97600
1992,"UNITED STATES",89757,1016608,104805
1993,"BRAZIL",199241,1972833,80414
1993,"BRAZIL",31699,4112600,97841
1993,"PERU",149070,1790512,67144
1993,"BRAZIL",9921,1230378,109855
1992,"ARGENTINA",6358,5467049,75861
1992,"PERU",166765,3791743,109905
1993,"CANADA",173426,2763431,89965
1993,"UNITED STATES",158566,1114448,97473
1992,"CANADA",77639,4854739,96997
1992,"UNITED STATES",81816,704741,107868
1993,"PERU",45732,7809833,100663
1992,"ARGENTINA",22234,4467672,69373
1992,"PERU",166168,2810182,74049
1993,"PERU",41246,3442996,71234
1993,"PERU",20756,3940362,100605
1992,"UNITED STATES",50307,709117,75438
1993,"UNITED STATES",96653,7349190,98979
1993,"PERU",28196,2266367,67451
1992,"UNITED STATES",177770,166299,110866
1992,"BRAZIL",169557,7495142,97593
1992,"PERU",35438,1565710,82405
1993,"UNITED STATES",123662,7524786,101139
1993,"UNITED STATES",172525,1952169,95851
1993,"UNITED STATES",76728,3141798,102283
1993,"PERU",116068,1544785,65043
1992,"UNITED STATES",177125,3887656,72127
1992,"BRAZIL",11151,3224687,63729
1993,"CANADA",143220,5229730,75793
1992,"UNITED STATES",180013,734502,65580
1993,"UNITED STATES",45563,3530030,90513
1992,"ARGENTINA",120497,3569136,91049
1992,"ARGENTINA",80664,3315634,98679
1992,"PERU",135362,3647109,83841
1993,"UNITED STATES",82405,2322507,83244
1993,"CANADA",83804,5545755,107268
1993,"BRAZIL",92937,7376192,115795
1992,"PERU",87591,6677435,94715
1992,"BRAZIL",15934,184993,110995
1992,"BRAZIL",63656,1243891,97179
1993,"ARGENTINA",61074,2981001,62104
1993,"BRAZIL",153392,3257909,86723
1993,"CANADA",45094,1283276,62345
1993,"BRAZIL",3993,512187,113819
1993,"UNITED STATES",96823,4231081,109189
1993,"BRAZIL",101014,4567545,60900
1992,"UNITED STATES",84925,7861230,114595
1993,"PERU",50246,1870919,71774
1992,"BRAZIL",129761,5329301,107445
1992,"ARGENTINA",83042,4477374,61502
1992,"CANADA",134238,4515144,76333
1992,"UNITED STATES",153303,1529906,81378
1992,"PERU",142902,7787379,116694
1993,"CANADA",124508,4465705,91950
1993,"UNITED STATES",544,6861565,86672
1993,"BRAZIL",172381,7194231,87202
1993,"BRAZIL",28496,5165200,85469
1992,"CANADA",182858,6404805,116451
1992,"ARGENTINA",152772,6503480,109486
1993,"ARGENTINA",160068,1547698,67683
1993,"ARGENTINA",60457,5306932,85047
1992,"CANADA",65452,4961075,85047
1992,"PERU",174912,5062646,119214
1992,"ARGENTINA",90311,5621659,78078
1992,"PERU",32590,5957894,91355
1992,"CANADA",169780,4126859,110986
1992,"ARGENTINA",88964,3937167,117177
1993,"CANADA",98484,5101213,88948
1993,"CANADA",191542,891912,98012
1993,"ARGENTINA",38049,3731011,59222
1993,"UNITED STATES",34011,439429,56700
1992,"ARGENTINA",57877,176147,110092
1992,"ARGENTINA",134604,3657355,98316
1993,"PERU",24446,5317307,82226
1993,"UNITED STATES",52679,2551931,97900
1993,"PERU",150837,6528116,113269
1993,"BRAZIL",123457,6395544,88827
1993,"ARGENTINA",92566,4588400,93513
1993,"BRAZIL",143902,3800342,116754
1992,"BRAZIL",63933,2761930,113815
1993,"UNITED STATES",140087,4959152,67624
1992,"CANADA",40635,6368696,94537
1993,"ARGENTINA",198245,1563531,80594
1992,"ARGENTINA",185235,6020248,79213
1993,"PERU",35858,5740320,107631
1993,"UNITED STATES",66296,3559657,75737
1992,"CANADA",186696,4542294,106961
1992,"BRAZIL",174508,902025,94950
1992,"BRAZIL",30100,4030781,61806
1992,"BRAZIL",77745,5292257,103364
1993,"ARGENTINA",187433,3217229,91225
1992,"PERU",183862,2696961,116751
1993,"UNITED STATES",113685,6285116,101920
1992,"PERU",542,6576539,86552
1992,"PERU",130218,4325047,74892
1992,"BRAZIL",50700,6470744,99042
1992,"UNITED STATES",195209,3599592,78252
1993,"BRAZIL",108490,3521451,89909
1992,"UNITED STATES",66024,2548311,59401
1992,"ARGENTINA",161731,2581531,107563
1992,"UNITED STATES",174756,8329912,109845
1992,"BRAZIL",119220,3345894,74353
1992,"ARGENTINA",141050,1405272,65463
1992,"ARGENTINA",18162,4551794,64809
1992,"ARGENTINA",126384,3655704,84622
1992,"BRAZIL",8990,3570101,113939
1992,"BRAZIL",173039,2833452,66721
1992,"BRAZIL",188298,6376934,83177
1992,"BRAZIL",116285,3434077,78076
1992,"PERU",65805,1629136,106248
1993,"CANADA",104693,4838416,101861
1993,"CANADA",171025,3956632,65761
1993,"BRAZIL",23877,3763818,108052
1992,"BRAZIL",94744,5174490,104324
1993,"ARGENTINA",79803,1492203,106968
1993,"UNITED STATES",70138,319141,66487
1992,"BRAZIL",149059,3368472,66483
1993,"PERU",128201,3581888,73752
1993,"ARGENTINA",65543,5973818,90512
1992,"CANADA",19803,4279435,103368
1992,"PERU",121718,3914347,104382
1992,"UNITED STATES",138606,3947040,98676
1992,"ARGENTINA",145880,7472414,115552
1992,"BRAZIL",39868,2928733,108471
1992,"CANADA",52896,4348589,110933
1992,"UNITED STATES",9431,4825548,80425
1993,"CANADA",183365,2724365,86901
1992,"ARGENTINA",64159,3695163,67389
1992,"CANADA",193592,6149032,101135
1992,"BRAZIL",114195,1993954,72551
1992,"PERU",138513,5529581,93090
1993,"CANADA",107121,2741331,67687
1993,"BRAZIL",174714,4829517,107322
1992,"UNITED STATES",160124,4162181,71047
1992,"ARGENTINA",20746,3800167,100004
1992,"ARGENTINA",104880,8576204,113092
1992,"PERU",178650,5977671,103719
1993,"CANADA",151948,4783856,119996
1992,"UNITED STATES",136092,1725977,67685
1992,"PERU",150078,3079631,67684
1993,"CANADA",100548,1238832,92912
1992,"ARGENTINA",98914,6788917,114774
1993,"CANADA",3895,3315354,107933
1993,"BRAZIL",49194,3248945,68591
1992,"PERU",94854,1294195,110931
1993,"ARGENTINA",14525,138193,86371
1993,"ARGENTINA",115142,2418422,69428
1993,"BRAZIL",172668,5235905,104439
1992,"BRAZIL",2875,6944360,106672
1992,"CANADA",75976,6183840,117118
1993,"UNITED STATES",44294,1480994,74297
1993,"BRAZIL",46043,4369578,59342
1993,"ARGENTINA",105175,1298187,70810
1993,"BRAZIL",20100,1499547,61206
1992,"BRAZIL",145447,5319056,89546
1993,"PERU",124758,2595684,106965
1992,"BRAZIL",151534,1490398,95131
1993,"PERU",49827,4797414,106609
1993,"BRAZIL",37616,2336629,93216
1993,"ARGENTINA",9780,7435032,101386
1993,"ARGENTINA",184048,4256470,67922
1992,"BRAZIL",118270,937860,77296
1992,"UNITED STATES",117495,4641831,90749
1992,"UNITED STATES",95621,1324011,96997
1992,"PERU",111551,4440767,93753
1993,"PERU",63982,8414417,116758
1993,"ARGENTINA",183251,5016780,80055
1992,"ARGENTINA",107134,4249568,68467
1992,"BRAZIL",52168,1182888,67209
1992,"ARGENTINA",123550,1609741,94413
1993,"BRAZIL",163977,2087912,122458
1993,"PERU",93498,1288647,89489
1993,"BRAZIL",12134,3138390,62767
1992,"CANADA",83938,7643515,115315
1992,"UNITED STATES",144866,1719774,114651
1992,"ARGENTINA",79573,706419,93154
1993,"ARGENTINA",130436,3642612,87985
1992,"CANADA",118851,8257257,112191
1993,"PERU",57492,139151,86969
1993,"PERU",39981,8836508,115258
1993,"UNITED STATES",152571,6268603,97414
1993,"UNITED STATES",143661,7851663,102279
1992,"PERU",147493,1694539,92429
1993,"UNITED STATES",165357,4841679,85341
1992,"CANADA",194529,6562267,97411
1992,"UNITED STATES",17922,2914433,110395
1992,"CANADA",64128,1987658,65527
1992,"ARGENTINA",194489,3309473,95008
1993,"UNITED STATES",31059,1805851,59403
1993,"UNITED STATES",75030,3376900,60301
1992,"UNITED STATES",1024,3330072,55501
1993,"BRAZIL",188894,396578,118973
1992,"PERU",147897,1347808,116693
1993,"PERU",104319,1190979,79398
1993,"UNITED STATES",156816,1816625,112368
1993,"CANADA",172545,6405458,97052
1992,"PERU",69460,4437043,85767
1992,"UNITED STATES",1879,5994408,106852
1993,"PERU",26450,2452833,82587
1993,"CANADA",136569,5226097,96333
1992,"ARGENTINA",20666,6049934,95199
1993,"CANADA",98028,923418,61561
1993,"BRAZIL",26092,4632309,61085
1993,"ARGENTINA",167162,4756849,73749
1993,"UNITED STATES",91104,1295503,65706
1992,"PERU",15474,3812705,83368
1992,"CANADA",16802,4475755,103128
1992,"ARGENTINA",111274,2010162,77116
1992,"CANADA",124810,5460394,110088
1993,"PERU",57022,1116082,58741
1992,"ARGENTINA",8219,105957,67632
1992,"BRAZIL",9278,1602814,71236
1992,"BRAZIL",73040,4028860,60782
1992,"BRAZIL",178964,7808193,122577
1992,"ARGENTINA",100403,6051460,84204
1992,"CANADA",140426,2925507,87985
1993,"PERU",93405,6376704,83904
1993,"ARGENTINA",4096,665059,60005
1992,"ARGENTINA",30646,2752813,94598
1993,"BRAZIL",114084,1171651,65884
1992,"ARGENTINA",137869,4660365,114411
1992,"PERU",62496,5631229,87509
1993,"CANADA",98260,1121109,75495
1993,"BRAZIL",146498,2131396,92669
1993,"CANADA",33497,4856513,85829
1993,"UNITED STATES",131739,3984142,106243
1992,"PERU",65998,8861522,117839
1993,"CANADA",22040,1989498,57722
1993,"BRAZIL",18943,4926693,111716
1993,"PERU",27105,1341730,61926
1993,"CANADA",187040,1352448,67622
1992,"UNITED STATES",285,4078548,71116
1992,"BRAZIL",25843,8667316,106130
1992,"PERU",190459,6626997,92967
1993,"CANADA",186808,5000377,113688
1992,"PERU",36439,1361675,82525
1992,"ARGENTINA",39047,4263636,59162
1992,"CANADA",163358,4590960,85281
1993,"ARGENTINA",11926,5811503,110275
1992,"UNITED STATES",2232,3965268,68053
1992,"UNITED STATES",181686,8228550,106060
1992,"PERU",58673,2099959,97900
1992,"BRAZIL",2855,2387160,105471
1993,"CANADA",52273,668997,73516
1993,"BRAZIL",27911,2118424,110334
1992,"BRAZIL",77534,1646056,90691
1992,"CANADA",102975,6764657,118678
1992,"CANADA",160799,4329591,111587
1992,"ARGENTINA",17260,4920946,70635
1993,"CANADA",119871,7005673,113452
1992,"ARGENTINA",14406,2976181,79224
1992,"BRAZIL",70635,2239853,96337
1992,"UNITED STATES",38478,6189973,84988
1993,"PERU",149334,890864,82999
1992,"ARGENTINA",163486,2429584,92968
1992,"UNITED STATES",186573,6148706,99574
1993,"UNITED STATES",29458,693725,83247
1993,"UNITED STATES",56253,1870709,72555
1993,"ARGENTINA",5746,2452833,99104
1993,"CANADA",172005,4738800,64620
1993,"UNITED STATES",109352,4312756,81681
1992,"ARGENTINA",145259,1278165,78255
1993,"CANADA",69597,620369,93995
1993,"CANADA",179297,3133812,82577
1993,"ARGENTINA",54079,2851273,61984
1993,"PERU",3679,288045,94960
1993,"BRAZIL",3301,5433801,72258
1993,"PERU",97933,179576,115855
1993,"BRAZIL",66744,2360821,102644
1993,"ARGENTINA",143784,7318431,109666
1993,"PERU",42971,6247198,114838
1993,"BRAZIL",170308,5808156,82698
1993,"CANADA",156477,558183,92008
1993,"UNITED STATES",92167,2426121,69549
1993,"CANADA",186725,3826352,108703
1993,"CANADA",163167,5605839,73809
1993,"ARGENTINA",143177,5163759,73210
1992,"BRAZIL",36156,102662,65529
1993,"PERU",51711,4845136,99762
1993,"BRAZIL",86573,5882698,93574
1992,"BRAZIL",70492,3498276,87749
1992,"CANADA",61937,3797860,113935
1992,"BRAZIL",167611,4320742,100716
1992,"ARGENTINA",183769,3890796,111165
1992,"UNITED STATES",18394,2507977,78743
1992,"UNITED STATES",152717,6487756,106182
1992,"ARGENTINA",194840,5572339,116090
1992,"ARGENTINA",112128,3320029,68407
1993,"CANADA",88404,4014289,83544
1993,"BRAZIL",184968,3966318,123177
1993,"ARGENTINA",38910,3401994,110934
1992,"ARGENTINA",89983,7457864,118378
1992,"UNITED STATES",191567,1787927,99513
1993,"UNITED STATES",22955,9014160,112677
1992,"ARGENTINA",72896,2259488,112133
1992,"ARGENTINA",157735,1756875,107563
1992,"CANADA",134972,8112172,120418
1993,"PERU",50177,4410616,67630
1993,"UNITED STATES",178825,7025095,114229
1992,"ARGENTINA",17271,5176104,71296
1992,"CANADA",63981,7468723,116698
1992,"BRAZIL",118017,4049994,62100
1993,"BRAZIL",34313,1606535,74838
1992,"PERU",91825,2365499,109009
1992,"BRAZIL",54389,4691082,80602
1992,"ARGENTINA",105044,3682130,62942
1993,"PERU",94617,4206302,96696
1992,"ARGENTINA",168566,1912435,98073
1993,"CANADA",150489,4920178,92368
1993,"CANADA",91465,131081,87387
1993,"UNITED STATES",43742,5583170,101144
1993,"ARGENTINA",58906,2010362,111894
1993,"BRAZIL",122790,8094107,108767
1993,"BRAZIL",115851,1829513,112011
1992,"ARGENTINA",74936,8216999,114655
1993,"UNITED STATES",7173,972153,64810
1993,"PERU",67371,2441186,80302
1993,"BRAZIL",19492,928760,84689
1993,"BRAZIL",21162,597904,64989
1993,"PERU",131007,1623432,62280
1992,"BRAZIL",193485,4302936,94708
1992,"ARGENTINA",149583,7199677,97954
1992,"ARGENTINA",100921,2071829,115315
1992,"PERU",39207,2025335,68772
1992,"UNITED STATES",101834,3800168,110149
1992,"UNITED STATES",91317,497157,78498
1992,"PERU",69268,2850647,74235
1992,"CANADA",135985,2974882,121258
1992,"CANADA",88974,7914695,117778
1992,"BRAZIL",169376,961171,86722
1992,"CANADA",69766,2862268,104145
1993,"UNITED STATES",17426,1746446,80605
1993,"BRAZIL",43677,304685,97240
1992,"BRAZIL",124264,6312474,77295
1992,"BRAZIL",128004,1972152,61920
1992,"ARGENTINA",25501,3894345,85590
1993,"UNITED STATES",126321,2534308,80839
1992,"CANADA",179095,1528665,70445
1993,"BRAZIL",121738,2069442,105583
1993,"UNITED STATES",26424,261981,81025
1993,"PERU",95655,1842125,99039
1993,"UNITED STATES",4558,1882301,87753
1992,"UNITED STATES",162644,4095936,102398
1992,"UNITED STATES",151541,4618366,95552
1992,"CANADA",72704,6015999,100602
1993,"BRAZIL",138024,2628499,63721
1993,"CANADA",8369,1440862,76641
1993,"CANADA",22668,1463407,95439
1993,"CANADA",174437,5184204,90685
1993,"UNITED STATES",78705,1515330,101022
1993,"UNITED STATES",63012,3241908,58500
1993,"BRAZIL",181393,1326951,88463
1993,"CANADA",118159,2707445,70629
1992,"ARGENTINA",111848,4063750,111590
1992,"ARGENTINA",24475,1655573,83968
1993,"BRAZIL",125959,5295846,119097
1992,"ARGENTINA",115742,163469,105464
1992,"PERU",134674,642459,102520
1992,"PERU",113829,3770409,110569
1992,"CANADA",193158,475437,75069
1992,"BRAZIL",129069,322829,65883
1992,"CANADA",133996,6910085,121799
1992,"CANADA",69938,4155471,114475
1993,"PERU",122511,3570011,92010
1993,"UNITED STATES",184470,6684221,93268
1993,"PERU",143854,5951657,113871
1992,"UNITED STATES",159464,3083483,91407
1993,"BRAZIL",73442,6250583,84926
1993,"PERU",14719,1040673,98022
1992,"UNITED STATES",192653,4399038,104739
1992,"PERU",73068,1299242,62463
1992,"ARGENTINA",35129,677844,63847
1992,"PERU",148037,2320879,65101
1992,"UNITED STATES",95434,537465,85765
1992,"PERU",182427,1035462,90565
1993,"PERU",65103,4819267,64086
1992,"ARGENTINA",96050,2654874,62763
1992,"ARGENTINA",186067,3943465,69183
1992,"CANADA",165916,7113074,118914
1992,"PERU",42999,541815,116519
1993,"UNITED STATES",149537,4086901,95191
1993,"PERU",8527,1435520,86131
1992,"PERU",179159,557167,74289
1992,"ARGENTINA",129953,3727946,118977
1992,"BRAZIL",157722,6620558,106783
1992,"BRAZIL",130436,1734786,87985
1992,"UNITED STATES",68973,8564087,116518
1993,"BRAZIL",13834,6921406,104869
1993,"PERU",106563,4087134,94173
1992,"PERU",118655,1124692,100419
1992,"CANADA",167052,956787,67143
1993,"PERU",185613,5775274,101916
1992,"UNITED STATES",115802,5758790,109068
1993,"CANADA",62432,2091645,83665
1992,"BRAZIL",151473,1158597,91468
1993,"UNITED STATES",129021,966018,63001
1993,"BRAZIL",166326,3207905,83539
1992,"PERU",75653,5693760,97719
1993,"CANADA",16311,338737,73638
1993,"BRAZIL",138776,6689242,108886
1993,"PERU",197208,4127042,78312
1992,"UNITED STATES",117863,1574279,112851
1993,"UNITED STATES",109142,4949902,69068
1993,"BRAZIL",128319,1239525,80838
1993,"ARGENTINA",84357,637141,80481
1993,"BRAZIL",148743,5665481,107504
1993,"ARGENTINA",57247,3099713,72254
1993,"BRAZIL",195106,1898939,72066
1992,"BRAZIL",167097,2141925,69845
1993,"BRAZIL",45804,4922187,104988
1993,"BRAZIL",191398,6714170,89363
1992,"BRAZIL",47256,2743410,72195
1992,"PERU",24037,1249339,57661
1992,"BRAZIL",177187,3089655,75850
1993,"CANADA",139629,3837826,100117
1993,"CANADA",95673,1321586,100120
1993,"ARGENTINA",56000,87952,57360
1992,"CANADA",74301,4999176,76518
1993,"PERU",84217,1806619,72072
1992,"CANADA",187959,2046950,122817
1992,"PERU",194806,1900800,114048
1993,"PERU",122142,4237469,69848
1992,"BRAZIL",178599,164403,100655
1992,"BRAZIL",31387,3239259,79102
1992,"PERU",25967,5451724,113577
1993,"CANADA",129096,1175719,67505
1993,"ARGENTINA",127680,7028810,102460
1993,"ARGENTINA",133576,482871,96574
1993,"BRAZIL",54838,8695225,107569
1992,"BRAZIL",114123,3056578,68227
1992,"UNITED STATES",13203,1948885,66972
1992,"BRAZIL",120436,1009305,87385
1992,"PERU",155909,7466620,117894
1992,"BRAZIL",22334,3658432,75379
1993,"BRAZIL",130004,3647952,62040
1993,"ARGENTINA",188248,3487586,80174
1993,"PERU",81936,6954414,115075
1993,"BRAZIL",80655,323858,98139
1993,"PERU",74886,6513080,111652
1993,"UNITED STATES",198254,2974950,81135
1993,"BRAZIL",188855,4952929,116631
1993,"ARGENTINA",82024,3309805,60361
1993,"ARGENTINA",107858,358243,111951
1992,"ARGENTINA",172067,994399,68343
1992,"ARGENTINA",166887,3634216,117232
1992,"CANADA",66789,6320808,105346
1992,"PERU",117091,5158158,66485
1992,"UNITED STATES",169353,2230244,85341
1992,"BRAZIL",42742,7075908,101084
1992,"UNITED STATES",50665,450769,96939
1993,"CANADA",18849,4949952,106070
1993,"UNITED STATES",188962,3183089,123057
1993,"BRAZIL",130422,2511234,87145
1993,"ARGENTINA",197722,7337111,109183
1993,"CANADA",129942,7572249,118316
1992,"BRAZIL",2784,3172833,101206
1993,"BRAZIL",13942,5345107,111356
1993,"CANADA",114277,3563905,77476
1992,"CANADA",184927,2897164,120715
1992,"CANADA",178185,2652678,75790
1992,"BRAZIL",190415,3278782,90324
1992,"ARGENTINA",53793,691728,104807
1993,"PERU",180945,2886964,121556
1992,"PERU",50422,2470356,82345
1993,"ARGENTINA",57916,5968403,112434
1993,"CANADA",47189,5126444,68170
1993,"PERU",151553,5198742,96273
1993,"CANADA",135907,4468670,116574
1993,"UNITED STATES",182790,6816955,112367
1992,"CANADA",199112,440844,72666
1993,"BRAZIL",47815,6806209,105768
1993,"CANADA",109593,3958397,96155
1993,"PERU",157770,1970336,109666
1993,"CANADA",27504,6728050,85890
1993,"BRAZIL",46294,5085189,74417
1993,"BRAZIL",38392,866083,79823
1992,"CANADA",70951,8222102,115317
1992,"PERU",133546,6741476,94772
1992,"PERU",100437,140868,86245
1992,"UNITED STATES",81720,6272539,102103
1993,"UNITED STATES",193456,6613052,92967
1993,"ARGENTINA",199434,3907179,92005
1993,"CANADA",134839,5008747,112429
1993,"UNITED STATES",32139,2506444,64267
1993,"CANADA",190749,6672736,110384
1993,"ARGENTINA",115016,1313506,61860
1992,"BRAZIL",194300,3552676,83658
1992,"CANADA",148141,4024049,71348
1992,"UNITED STATES",96213,4621600,72552
1993,"BRAZIL",34839,3551207,106429
1993,"PERU",135594,5532458,97775
1993,"BRAZIL",370,4916331,76222
1992,"UNITED STATES",34118,880616,63126
1993,"BRAZIL",185867,3450703,117171
1993,"CANADA",124290,1402347,78857
1992,"UNITED STATES",195156,5078417,75069
1992,"BRAZIL",149669,2000520,103119
1993,"ARGENTINA",148604,2105412,99156
1993,"UNITED STATES",172583,2284700,99334
1993,"BRAZIL",31140,616976,64268
1993,"PERU",159332,133567,83479
1992,"PERU",65135,1210143,66007
1992,"CANADA",131652,6061140,101019
1992,"ARGENTINA",72769,5803544,104505
1993,"CANADA",179149,4598156,73688
1993,"ARGENTINA",47535,3912396,88951
1993,"ARGENTINA",114406,1176091,85224
1993,"PERU",9859,6933892,106131
1993,"PERU",66306,604342,76338
1993,"UNITED STATES",180848,1041573,115730
1993,"PERU",2895,2366023,107873
1993,"CANADA",124194,5372217,73091
1993,"BRAZIL",90036,3021658,61561
1993,"CANADA",28575,4510710,90214
1993,"BRAZIL",82361,5212236,80601
1993,"PERU",144893,9022815,116273
1993,"UNITED STATES",3972,2042931,112558
1992,"ARGENTINA",3367,1120457,76221
1992,"UNITED STATES",181252,479970,79995
1993,"CANADA",29814,1269493,104628
1993,"UNITED STATES",75277,3043016,75136
1992,"BRAZIL",33367,6501800,78021
1992,"PERU",100205,1417315,72312
1992,"ARGENTINA",8424,4396986,79945
1993,"ARGENTINA",49755,5983672,102285
1993,"UNITED STATES",10500,136818,84630
1992,"PERU",110973,5658282,119038
1992,"CANADA",29036,3281102,57901
1992,"CANADA",107395,5359934,84143
1992,"UNITED STATES",147831,7254162,112729
1992,"CANADA",116230,4380498,74773
1993,"CANADA",36509,4391429,86730
1993,"PERU",123902,8689660,115554
1993,"PERU",12809,3874050,103308
1993,"PERU",152158,222667,72609
1993,"BRAZIL",2447,4420765,80966
1992,"UNITED STATES",34655,1090499,95379
1993,"PERU",87217,4720503,72252
1993,"UNITED STATES",132446,5112445,88706
1993,"ARGENTINA",150053,3038902,66183
1993,"CANADA",138651,5656948,101379
1992,"ARGENTINA",164832,2966642,113809
1992,"ARGENTINA",121296,4777810,79037
1993,"UNITED STATES",94288,2308104,76936
1992,"BRAZIL",88692,484038,100841
1992,"UNITED STATES",71345,3958234,78980
1992,"BRAZIL",141443,5731422,89066
1993,"BRAZIL",110237,3557099,74833
1992,"ARGENTINA",148951,189995,119997
1992,"CANADA",91002,983070,59580
1992,"PERU",192341,695169,86000
1993,"CANADA",44801,3247188,104748
1993,"PERU",162124,2186019,71167
1993,"PERU",154999,2429870,123239
1992,"PERU",22638,2846589,93637
1993,"UNITED STATES",76053,2794899,61743
1992,"BRAZIL",13644,755455,93458
1992,"PERU",109895,8326274,114293
1992,"BRAZIL",163382,1717111,86722
1992,"CANADA",190113,962488,72186
1992,"PERU",112312,2781051,79458
1992,"PERU",100796,3967312,107807
1993,"BRAZIL",72572,2316855,92674
1993,"ARGENTINA",135238,5187139,76393
1992,"PERU",27759,5566275,101205
1993,"ARGENTINA",15454,1259894,82167
1993,"PERU",83534,846781,91051
1993,"ARGENTINA",153264,3912262,79035
1992,"UNITED STATES",101899,2858938,114053
1992,"BRAZIL",3433,6158269,80185
1993,"CANADA",52358,6163886,78621
1993,"PERU",171133,452752,72247
1992,"UNITED STATES",192494,7615152,95189
1992,"BRAZIL",121266,5684540,77235
1993,"UNITED STATES",132782,7142974,108886
1993,"ARGENTINA",105490,2297072,89729
1993,"UNITED STATES",87045,2803020,61922
1992,"BRAZIL",56137,3463035,65587
1992,"PERU",151044,2312724,65702
1992,"CANADA",173121,5212333,71647
1992,"PERU",175504,3901365,94770
1993,"ARGENTINA",143484,5595159,91648
1992,"PERU",165188,1152925,75190
1992,"ARGENTINA",23071,3721798,59644
1992,"CANADA",120126,2131783,68767
1993,"ARGENTINA",12802,857400,102888
1993,"BRAZIL",88193,2083619,70871
1992,"CANADA",5709,3642763,96882
1992,"CANADA",151158,3791894,72549
1993,"ARGENTINA",145095,4332342,68405
1993,"PERU",33728,4586347,99703
1993,"UNITED STATES",129332,2858793,81679
1993,"PERU",171550,5691640,97293
1992,"ARGENTINA",65520,3244375,89131
1992,"UNITED STATES",191870,9036373,117712
1992,"BRAZIL",165544,1059077,96572
1993,"BRAZIL",78728,1382443,102403
1993,"UNITED STATES",168634,5363284,102157
1992,"PERU",162376,3826064,86302
1992,"ARGENTINA",21793,4525330,102887
1992,"BRAZIL",177322,6296940,83959
1992,"CANADA",6541,1864431,86852
1992,"UNITED STATES",130019,4728937,62940
1993,"PERU",103714,7588842,103062
1992,"UNITED STATES",68173,3431498,68470
1992,"BRAZIL",178987,2944021,123958
1992,"ARGENTINA",28171,2610528,65950
1992,"CANADA",19625,1306748,92677
1992,"BRAZIL",9604,3167964,90816
1992,"PERU",6671,141990,94660
1992,"BRAZIL",14904,1382364,109134
1992,"CANADA",12012,4169133,55440
1993,"PERU",164716,2457379,106842
1992,"CANADA",50322,5486243,76339
1992,"BRAZIL",147092,5182859,68345
1993,"PERU",67172,3684075,68350
1993,"CANADA",155554,7645362,96573
1992,"UNITED STATES",125407,4354496,85944
1992,"PERU",61146,5092844,66428
1992,"ARGENTINA",116327,499715,80599
1992,"PERU",143657,7482860,102039
1993,"CANADA",14592,949151,90395
1992,"UNITED STATES",99076,1182577,64504
1992,"BRAZIL",114523,7011091,92251
1992,"BRAZIL",99916,957955,114954
1992,"BRAZIL",121409,1001280,85824
1993,"CANADA",51430,2572222,82885
1992,"CANADA",100685,1962131,101140
1992,"CANADA",138183,117233,73270
1992,"ARGENTINA",84121,1083017,66307
1993,"ARGENTINA",93092,781264,65105
1992,"UNITED STATES",103075,1568591,64684
1993,"PERU",153620,471960,100417
1993,"PERU",36520,4108842,87391
1992,"PERU",154469,6078605,91407
1992,"UNITED STATES",76861,2150296,110271
1992,"BRAZIL",111425,3519229,86185
1992,"UNITED STATES",103779,7624907,106966
1992,"PERU",171080,5469932,69064
1992,"CANADA",112020,206404,61921
1993,"PERU",103292,5310689,77717
1993,"PERU",193192,4986537,77111
1993,"CANADA",16069,3822032,59103
1993,"ARGENTINA",68813,6058154,106908
1992,"CANADA",167614,1210759,100896
1993,"PERU",114589,3367518,96214
1993,"UNITED STATES",95905,6253961,114054
1992,"UNITED STATES",141413,6562297,87264
1992,"UNITED STATES",113510,7239719,91410
1992,"PERU",148019,418267,64020
1993,"BRAZIL",189322,508075,84679
1993,"BRAZIL",126646,2890321,100358
1993,"CANADA",132066,1976508,65883
1993,"CANADA",179668,5767278,104859
1993,"PERU",69947,2791064,115016
1992,"BRAZIL",133802,3058442,110148
1992,"PERU",142457,6835992,89967
