"s_nation","lo_custkey","lo_orderdate","lo_partkey","lo_revenue","lo_supplycost"
"CANADA",9560,19930927,38268,1031352,72375
"UNITED STATES",20296,19931220,121650,6950720,100299
"CANADA",20296,19931220,164414,3193365,88704
"PERU",5377,19931030,52776,1711482,103726
"CANADA",5377,19931030,1907,2865297,108534
"UNITED STATES",4232,19980312,25425,5501611,81025
"ARGENTINA",11134,19960112,72863,2819880,110151
"BRAZIL",11134,19960112,4684,7168124,95320
"ARGENTINA",11134,19960112,107209,3762922,72972
"CANADA",15697,19980330,25173,3697538,65890
"CANADA",15697,19980330,113531,3160108,92671
"ARGENTINA",6818,19971202,197331,5579056,85699
"UNITED STATES",6818,19971202,94862,5043231,111411
"CANADA",6697,19930205,8730,3179136,98323
"CANADA",19987,19970330,123881,1240076,114292
"CANADA",19987,19970330,19580,1007717,89974
"ARGENTINA",15491,19950722,118545,3752496,93812
"CANADA",17090,19920410,160765,4633778,109545
"PERU",17090,19920410,161566,1082327,97653
"UNITED STATES",11887,19950518,97553,3039078,93033
"CANADA",11887,19950518,170675,6633546,104740
"BRAZIL",10351,19941227,193338,3085947,85879
"UNITED STATES",4817,19920607,114252,759750,75975
"BRAZIL",10027,19960911,26771,7181567,101866
"BRAZIL",2360,19960621,107743,7641980,105044
"CANADA",2360,19960621,31771,6436470,102166
"CANADA",7306,19980613,169599,7688862,100115
"ARGENTINA",6260,19960516,184307,4382595,83478
"ARGENTINA",15887,19970122,18808,5871120,103608
"ARGENTINA",27325,19970926,148828,7060596,112609
"PERU",19463,19940819,90786,4219852,106606
"ARGENTINA",21383,19980630,174772,3434992,110806
"BRAZIL",21383,19980630,127706,7900470,104022
"UNITED STATES",21383,19980630,151865,5643235,115011
"PERU",13216,19951025,7428,906750,80125
"CANADA",13475,19930801,153638,1860793,101497
"CANADA",13475,19930801,188329,3367552,85039
"PERU",9988,19930301,89934,7080062,115435
"PERU",9988,19930301,108184,2603721,71530
"UNITED STATES",15503,19970120,13631,5763014,92677
"BRAZIL",15503,19970120,101582,5320828,95014
"BRAZIL",16744,19980503,167154,1658321,73269
"PERU",4369,19970805,184921,7088921,120355
"BRAZIL",4369,19970805,160111,3161997,70266
"CANADA",221,19971122,100640,6792249,98438
"UNITED STATES",221,19971122,45592,5316986,92255
"ARGENTINA",221,19971122,122845,8592064,112070
"PERU",563,19930131,33205,2403878,68292
"UNITED STATES",24145,19940424,80729,670210,102583
"ARGENTINA",24145,19940424,195556,7848165,99093
"BRAZIL",11630,19950821,103109,5122332,66726
"UNITED STATES",7787,19940418,16193,2423580,66551
"CANADA",26032,19930101,142543,5631838,95132
"ARGENTINA",26032,19930101,106566,155683,94353
"UNITED STATES",17090,19930119,177400,5108849,88644
"PERU",17090,19930119,156953,3183760,120597
"ARGENTINA",29354,19970630,147660,1765720,102459
"ARGENTINA",12181,19930727,94312,3887578,78378
"PERU",12181,19930727,43856,7332588,107991
"PERU",19687,19961120,193208,2834013,78072
"PERU",15718,19960902,182448,5524888,91826
"CANADA",24533,19960803,136167,2628904,72189
"CANADA",892,19930115,65493,5431416,87509
"PERU",28363,19920412,92061,4085872,63183
"BRAZIL",8965,19941223,31221,725898,69133
"ARGENTINA",1906,19940726,105050,5066350,63303
"UNITED STATES",22675,19970817,95982,3607835,118678
"CANADA",27305,19940722,120685,4584867,102340
"BRAZIL",14332,19930105,192815,8241739,114468
"BRAZIL",24013,19950715,183117,2256206,72006
"BRAZIL",26731,19960122,10482,1900735,83548
"UNITED STATES",2671,19950603,110529,7389696,92371
"BRAZIL",2671,19950603,145364,828703,84561
"UNITED STATES",5735,19940603,97193,5712912,71411
"BRAZIL",5735,19940603,103266,700631,76155
"UNITED STATES",20392,19980612,190806,3823948,113808
"PERU",11639,19930315,80553,1487543,92013
"BRAZIL",11639,19930315,51958,6852900,114597
"CANADA",10567,19950718,65404,2588166,82164
"ARGENTINA",5305,19940312,142130,1856653,70327
"UNITED STATES",29863,19930626,23695,3237380,97121
"PERU",29863,19930626,1692,6521379,95621
"UNITED STATES",9836,19960911,17382,4519243,77962
"UNITED STATES",6190,19940319,48909,7858917,111474
"PERU",6190,19940319,3254,4050375,69435
"UNITED STATES",22531,19950831,189409,2616206,89904
"ARGENTINA",24094,19950518,153422,1860504,88525
"PERU",24094,19950518,150756,4731878,108405
"UNITED STATES",6889,19960122,71687,2896055,99520
"PERU",16418,19970703,65714,3695362,100782
"CANADA",29563,19940226,38891,5123692,109793
"BRAZIL",29563,19940226,24257,3366562,70875
"CANADA",29563,19940226,76652,789895,97719
"PERU",28933,19970317,125791,4629180,109007
"BRAZIL",26861,19930912,149834,8769228,113029
"UNITED STATES",7762,19980627,75687,6095384,99760
"BRAZIL",7762,19980627,64947,1066862,114716
"ARGENTINA",10261,19960502,158051,309424,66543
"CANADA",17188,19970612,150983,9468176,122038
"ARGENTINA",9682,19980119,75335,5304215,78619
"PERU",12812,19970307,9896,1527782,108353
"CANADA",12812,19970307,94014,4790063,60480
"CANADA",21164,19940316,145999,1345603,122699
"PERU",6038,19951117,67133,1344358,66007
"BRAZIL",8360,19971002,192554,2631186,98793
"BRAZIL",8360,19971002,110685,3655886,101740
"PERU",1529,19970906,139666,1458339,102339
"UNITED STATES",1529,19970906,48037,1910958,59101
"BRAZIL",3991,19971106,156894,3728150,117053
"PERU",9077,19970929,73516,7006655,89370
"CANADA",9077,19970929,170557,309234,97653
"UNITED STATES",3457,19930129,178225,2599923,78193
"CANADA",2989,19980521,33269,4568588,72135
"CANADA",2989,19980521,148521,291930,94171
"ARGENTINA",2989,19980521,176135,3870771,72667
"UNITED STATES",21163,19940521,25275,1015428,72016
"ARGENTINA",21163,19940521,194835,5017558,115789
"BRAZIL",12916,19951016,32676,598425,96520
"ARGENTINA",7513,19941115,180351,3471023,85881
"ARGENTINA",13279,19940701,155303,1624526,81498
"PERU",17590,19970201,62417,4950702,82764
"BRAZIL",17590,19970201,99956,8825246,117357
"ARGENTINA",14548,19970328,98067,2169527,63903
"ARGENTINA",14338,19970327,100058,740635,63483
"BRAZIL",14338,19970327,108562,1342828,94233
"BRAZIL",14377,19980419,106235,1297085,74473
"ARGENTINA",8419,19951125,34443,396702,82646
"ARGENTINA",12467,19960612,21087,4939592,60484
"BRAZIL",8750,19940412,50128,1638742,64687
"CANADA",8750,19940412,131437,5599123,88105
"BRAZIL",6716,19951001,174282,2924139,81376
"PERU",6716,19951001,179884,2323270,117832
"ARGENTINA",11338,19920604,97381,4912546,82702
"ARGENTINA",11338,19920604,148017,4089638,63900
"UNITED STATES",11338,19920604,118899,6457535,115073
"BRAZIL",13811,19931227,26404,1788057,79824
"UNITED STATES",2912,19970914,190736,2981223,109603
"ARGENTINA",2912,19970914,145382,6171991,85642
"UNITED STATES",7838,19920324,185715,3385334,108042
"UNITED STATES",6751,19961012,145621,319991,99997
"CANADA",595,19950325,10203,5009400,66792
"CANADA",595,19950325,78371,1943092,80962
"UNITED STATES",12946,19931111,116400,134558,84984
"ARGENTINA",12946,19931111,122781,6854364,108226
"CANADA",22825,19970123,74675,5552789,98980
"CANADA",22825,19970123,59323,2158144,76939
"BRAZIL",22825,19970123,34374,621475,78502
"CANADA",13010,19970322,196037,785189,67981
"UNITED STATES",13010,19970322,33413,1034042,80784
"UNITED STATES",10426,19960705,109889,3499635,113932
"PERU",26461,19940524,153092,1958103,68705
"ARGENTINA",4258,19940513,129095,3169933,67445
"BRAZIL",25810,19970729,39453,5152065,83547
"BRAZIL",739,19980305,174734,510061,108523
"CANADA",23111,19950115,129158,3532958,71229
"ARGENTINA",14846,19930321,94600,4090149,95676
"CANADA",12587,19980414,116728,492011,104683
"ARGENTINA",5615,19970415,755,6228931,99345
"ARGENTINA",5615,19970415,81331,5401550,78739
"PERU",5615,19970415,111131,2104945,68527
"BRAZIL",13388,19960415,36935,3788786,112315
"PERU",25480,19950623,108516,1372059,91470
"CANADA",25480,19950623,197074,2451049,70264
"CANADA",6965,19941026,10916,4247565,109614
"ARGENTINA",4610,19940420,82994,1245503,118619
"BRAZIL",4610,19940420,63532,4953195,89731
"ARGENTINA",10304,19930207,16605,602553,91296
"CANADA",5728,19940430,853,6138475,105231
"UNITED STATES",5728,19940430,132164,2613609,71769
"BRAZIL",22132,19960117,6157,2999146,63789
"CANADA",17368,19970112,74562,6607208,92193
"BRAZIL",9608,19950913,70502,7143097,88350
"PERU",9608,19950913,100858,1223123,111531
"UNITED STATES",24082,19921218,150160,464701,72609
"BRAZIL",24082,19921218,4967,2875330,112317
"CANADA",21776,19920617,174877,2732618,117112
"BRAZIL",21776,19920617,37252,3146755,71355
"UNITED STATES",21776,19920617,83465,6118295,86907
"BRAZIL",8023,19970705,46967,7579281,114837
"ARGENTINA",25814,19970706,37561,3239886,89913
"ARGENTINA",29884,19930306,98671,8097899,100180
"UNITED STATES",29884,19930306,33861,2939980,107691
"ARGENTINA",14393,19961222,147398,4998158,86723
"BRAZIL",12479,19950313,167447,6548438,90866
"PERU",23017,19941020,27412,4018230,80364
"BRAZIL",23017,19941020,104910,8088579,114894
"PERU",7469,19971101,52363,3471235,78921
"UNITED STATES",12430,19960527,122904,963450,115614
"ARGENTINA",4348,19940925,40285,2205504,73516
"CANADA",21991,19980202,60900,7871607,111654
"ARGENTINA",21991,19980202,131866,2163560,113871
"CANADA",1796,19941011,82707,3494299,101382
"BRAZIL",29341,19980407,124502,2869820,91590
"PERU",29341,19980407,88571,4591374,93574
"ARGENTINA",22430,19931011,187973,7596735,123658
"CANADA",22346,19920115,93772,2034167,105946
"PERU",22346,19920115,66665,6489111,97899
"BRAZIL",28502,19920313,48374,3570399,79342
"BRAZIL",17962,19971212,94097,3814450,65465
"PERU",28471,19970605,152083,1477874,68104
"PERU",28471,19970605,175118,1145385,71586
"BRAZIL",9409,19930613,63436,2961193,83965
"CANADA",16090,19920906,4661,3867180,93939
"BRAZIL",2015,19930107,573,5010138,88414
"ARGENTINA",18433,19950131,16185,2765062,66070
"UNITED STATES",49,19961208,38660,2455541,95919
"CANADA",49,19961208,188882,2459658,118252
"BRAZIL",20296,19920625,151965,3340085,121017
"CANADA",20296,19920625,192334,2118100,85579
"BRAZIL",10157,19940714,117470,5448602,89248
"CANADA",29621,19920213,155693,3023485,104921
"ARGENTINA",19330,19970115,169510,900320,94770
"UNITED STATES",19330,19970115,148029,2303745,64621
"UNITED STATES",7726,19950205,63411,6597168,82464
"PERU",25870,19961026,93180,5015344,70390
"BRAZIL",16798,19961027,153140,665772,71588
"PERU",16798,19961027,21122,2994797,62587
"PERU",12475,19970711,9103,3407740,60726
"CANADA",18193,19930730,95290,1773700,77117
"ARGENTINA",3478,19931124,171525,6532959,95791
"PERU",9400,19970309,89204,2833850,71592
"CANADA",244,19960214,89044,1394604,61982
"CANADA",2330,19971014,53167,2316490,67209
"BRAZIL",11299,19940328,198887,2613418,119152
"UNITED STATES",16663,19980711,154484,3461580,92308
"ARGENTINA",29807,19940403,7465,3396838,82347
"PERU",18146,19950322,177487,287864,93868
"CANADA",16651,19960830,112349,1045509,81680
"BRAZIL",17306,19960131,119846,7052875,111950
"ARGENTINA",17306,19960131,38432,4385376,82225
"CANADA",17306,19960131,176112,3445519,71286
"PERU",17306,19960131,101641,4257722,98558
"UNITED STATES",27340,19971107,125342,2264315,82040
"UNITED STATES",27340,19971107,19287,1458392,72376
"BRAZIL",26485,19931211,141664,5910111,102339
"PERU",26485,19931211,180344,2227667,85460
"UNITED STATES",21866,19960502,138015,1819601,63180
"UNITED STATES",21866,19960502,13333,2407909,74779
"CANADA",21859,19950515,89985,5474644,118498
"ARGENTINA",27629,19930311,198351,2365339,86961
"UNITED STATES",27629,19930311,81004,1170180,59100
"BRAZIL",27629,19930311,28071,2197954,59944
"CANADA",27629,19930311,183748,3375896,109904
"UNITED STATES",14348,19920726,12791,3066822,102227
"CANADA",14348,19920726,30407,4274330,80244
"ARGENTINA",18580,19931003,19270,4745187,71356
"ARGENTINA",26099,19931205,130588,475862,97114
"CANADA",26099,19931205,176941,8475348,121076
"CANADA",26099,19931205,43792,3265020,104147
"PERU",26248,19931202,12654,986989,93999
"CANADA",24523,19980605,130819,8790297,110988
"PERU",7897,19980612,115885,558858,114052
"CANADA",7897,19980612,67279,5982096,74776
"CANADA",7897,19980612,146642,1843994,101318
"BRAZIL",1934,19940813,135485,2507271,91228
"BRAZIL",4429,19971125,171067,4779852,68283
"UNITED STATES",4429,19971125,121376,2951245,83842
"PERU",4912,19970611,137704,6656777,104502
"CANADA",12415,19960616,139580,3242399,97174
"BRAZIL",899,19960813,177893,2246814,118253
"UNITED STATES",899,19960813,123217,4313450,74412
"PERU",13867,19920515,159688,7474827,104860
"BRAZIL",11965,19950311,102963,8217712,117957
"CANADA",22741,19961209,21881,3151434,108172
"ARGENTINA",22741,19961209,153953,6392135,120417
"ARGENTINA",5585,19960821,185248,253315,79994
"ARGENTINA",16544,19960106,7232,1731629,68353
"ARGENTINA",13195,19930808,167509,1210752,94590
"BRAZIL",19528,19960103,126325,6216072,81079
"CANADA",19528,19960103,103815,6911478,109128
"UNITED STATES",4702,19970804,21627,5296280,92917
"ARGENTINA",14623,19950712,141916,4233001,117474
"CANADA",14623,19950712,172218,2023049,77412
"BRAZIL",14623,19950712,15866,5880138,106911
"PERU",14623,19950712,50654,7012320,96279
"UNITED STATES",27529,19970912,39206,1685734,68712
"UNITED STATES",27529,19970912,41520,3723952,87691
"UNITED STATES",29945,19920812,108058,2204591,63963
"BRAZIL",29945,19920812,71400,2822341,82284
"UNITED STATES",11125,19960328,164017,4166212,64860
"CANADA",1232,19940828,99703,8009500,102162
"BRAZIL",169,19941126,191237,5140250,79693
"BRAZIL",169,19941126,104093,394952,65825
"UNITED STATES",17267,19980401,113224,734908,74233
"ARGENTINA",6791,19950601,99165,4955829,69849
"CANADA",5285,19931126,1244,2292770,68714
"PERU",23981,19951224,164850,5750294,114891
"ARGENTINA",23981,19951224,197305,2064185,84138
"BRAZIL",5587,19940702,95634,3898074,97777
"ARGENTINA",5587,19940702,127138,5138223,69907
"CANADA",13454,19970616,199550,7132654,98973
"PERU",26932,19941025,101479,1498235,88828
"PERU",26932,19941025,39732,6389352,100303
"BRAZIL",2071,19960625,27217,4130598,68652
"BRAZIL",26983,19980228,59605,6222414,93876
"BRAZIL",1828,19920703,10550,2497540,87633
"CANADA",1828,19920703,171859,2259094,115851
"ARGENTINA",16982,19930614,129903,4018499,115974
"BRAZIL",23507,19921216,103134,2967909,68227
"ARGENTINA",23507,19921216,167273,2291861,80416
"ARGENTINA",24506,19931004,183571,8026319,99274
"ARGENTINA",24506,19931004,40753,804531,101625
"ARGENTINA",595,19921028,74689,4991040,99820
"PERU",9431,19980528,97594,5086721,95495
"BRAZIL",9431,19980528,51292,3804467,74597
"BRAZIL",6374,19970205,5917,1864836,109374
"PERU",16025,19960914,196721,6947325,109063
"ARGENTINA",19939,19920504,157575,4479772,97954
"UNITED STATES",20986,19960920,59998,3496970,117479
"BRAZIL",21997,19980731,181514,7897774,95730
"PERU",13240,19970307,22160,2014981,64929
"UNITED STATES",13240,19970307,107546,6369514,93212
"UNITED STATES",25219,19930721,160420,3553008,88825
"CANADA",25219,19930721,174999,8449435,124439
"ARGENTINA",17518,19951210,151831,6947642,112969
"CANADA",3548,19951013,41774,3906808,102946
"BRAZIL",20666,19951117,10134,3646101,62647
"ARGENTINA",16433,19920612,54665,6477020,97179
"CANADA",16814,19941025,109344,3448310,81200
"BRAZIL",16814,19941025,79160,5240136,68349
"UNITED STATES",18227,19960727,26888,8097994,108892
"BRAZIL",29063,19970702,54910,3877147,111894
"PERU",29063,19970702,3123,2054292,61567
"ARGENTINA",997,19980117,198726,4868352,109483
"UNITED STATES",997,19980117,84687,7301898,100300
"BRAZIL",27874,19980311,121250,3114562,76275
"PERU",27874,19980311,125894,5122266,115193
"ARGENTINA",16147,19930825,187148,3050795,74108
"UNITED STATES",22913,19930516,158457,827435,90927
"CANADA",21265,19960326,6236,3534059,68533
"CANADA",1628,19941102,58378,1202733,80182
"ARGENTINA",1628,19941102,143192,4179882,74111
"PERU",5948,19951121,191477,5279470,94108
"UNITED STATES",5948,19951121,71611,4811134,94956
"BRAZIL",5948,19951121,165470,282526,92128
"BRAZIL",28108,19921014,590,5697034,89435
"BRAZIL",28108,19921014,135700,5783352,104142
"CANADA",11383,19940630,196300,4285244,83778
"PERU",1064,19920207,27921,1932121,110935
"BRAZIL",26455,19970202,90520,5567776,90631
"UNITED STATES",13247,19920619,53740,5311568,101624
"ARGENTINA",13247,19920619,90913,4883529,114234
"BRAZIL",13247,19920619,165747,2238733,108764
"UNITED STATES",26200,19951214,142928,8707524,118255
"BRAZIL",8656,19960724,171968,3378173,122397
"ARGENTINA",6802,19921218,177807,2774425,113088
"PERU",7156,19950828,104341,3378148,80720
"UNITED STATES",18859,19920127,160402,2199449,87744
"BRAZIL",25876,19980121,152961,4031947,120837
"ARGENTINA",25876,19980121,198931,3741160,121795
"BRAZIL",8618,19971123,94892,1449131,113213
"BRAZIL",22726,19921119,171628,4378221,101977
"UNITED STATES",22726,19921119,35780,8578900,102946
"ARGENTINA",22726,19921119,15814,5630531,103788
"BRAZIL",7781,19950108,88266,3511928,75255
"PERU",26113,19930406,40482,6213392,85348
"ARGENTINA",5704,19920928,43818,7177613,105708
"UNITED STATES",5704,19920928,36468,4092596,84267
"PERU",2845,19940217,50202,1036980,69132
"PERU",9065,19980628,198382,1015540,88822
"BRAZIL",9065,19980628,5390,722827,77723
"ARGENTINA",1273,19940320,6564,5823417,88233
"ARGENTINA",24661,19980523,192128,5500300,73207
"PERU",2323,19980502,168346,5985486,84860
"PERU",7549,19951125,10125,2811385,62107
"PERU",7549,19951125,186162,3066729,74889
"BRAZIL",8183,19961105,36186,639642,67330
"CANADA",8183,19961105,9142,2865407,63068
"UNITED STATES",1456,19961215,9669,3062600,94719
"ARGENTINA",20125,19980624,96844,1185500,110450
"BRAZIL",5533,19921112,54313,1191271,76038
"PERU",8164,19970620,24359,1809523,77001
"BRAZIL",8164,19970620,18824,1505796,104569
"BRAZIL",13040,19920424,132174,3073321,72370
"CANADA",4075,19961208,158227,4511122,77113
"UNITED STATES",28948,19921118,13500,5834928,84810
"CANADA",5290,19980202,54412,530167,81984
"CANADA",8356,19950117,96604,1893509,96036
"UNITED STATES",12190,19960710,27406,5264263,80004
"PERU",27850,19920124,176638,5821168,102877
"BRAZIL",19450,19980530,146620,1668286,99997
"PERU",19450,19980530,28510,3560312,86310
"ARGENTINA",20192,19980302,178132,3713888,72607
"CANADA",2294,19971201,48424,782279,82345
"UNITED STATES",2294,19971201,62094,422436,63365
"UNITED STATES",10220,19940620,132188,2928432,73210
"CANADA",3301,19970223,174839,1286093,114829
"CANADA",11234,19940402,69230,3601287,71953
"BRAZIL",9490,19940325,189610,6071006,101976
"PERU",25589,19920613,46224,4865774,70213
"UNITED STATES",18616,19961230,21004,1599325,55500
"UNITED STATES",2848,19960905,96271,3730842,76036
"PERU",22690,19951031,76605,5693760,94896
"BRAZIL",4777,19980725,71994,6582134,117959
"PERU",9154,19970514,65246,1894379,72674
"BRAZIL",1054,19960301,161166,3725657,73629
"BRAZIL",1054,19960301,107282,3465584,77356
"PERU",10061,19930426,59377,376856,80182
"CANADA",26305,19960117,4227,2633480,67873
"CANADA",26305,19960117,35767,7928050,102165
"UNITED STATES",22517,19940320,52202,3324096,69252
"PERU",19975,19931223,151179,3579794,73810
"BRAZIL",25709,19920720,29359,5275793,77301
"CANADA",25709,19920720,84708,3483576,101562
"CANADA",29705,19951110,156711,848500,106062
"PERU",14380,19920314,11139,2806997,63007
"CANADA",19811,19980416,114275,5995105,77356
"PERU",19811,19980416,10400,262080,78624
"UNITED STATES",20369,19940327,163265,725229,79695
"BRAZIL",3835,19960604,55744,5201204,101984
"BRAZIL",14242,19960705,78171,804419,68950
"CANADA",9613,19920727,106472,5650712,88708
"PERU",9613,19920727,62097,415163,63545
"ARGENTINA",9613,19920727,54755,5142928,102585
"UNITED STATES",17014,19980307,154950,8853859,120297
"CANADA",17014,19980307,197484,5859383,94888
"BRAZIL",21230,19930624,80334,3666980,78859
"PERU",14458,19931107,28528,524347,87391
"BRAZIL",14458,19931107,55693,2585145,98921
"PERU",24229,19980729,176235,2171396,78673
"ARGENTINA",24229,19980729,64383,4225383,80842
"CANADA",12940,19920225,59830,7560241,107389
"BRAZIL",12940,19920225,150473,140159,91408
"ARGENTINA",28831,19960915,92522,4701070,90871
"BRAZIL",28831,19960915,103385,1616074,83302
"BRAZIL",25765,19940310,10650,6531320,93639
"BRAZIL",10141,19931126,77306,3015755,76998
"UNITED STATES",5830,19951019,192810,5308839,114168
"BRAZIL",11704,19941003,121324,511221,80719
"PERU",11704,19941003,82265,4819412,74835
"BRAZIL",1900,19950711,4014,1942509,55080
"CANADA",20113,19930207,103707,656908,102642
"CANADA",20113,19930207,189304,4179900,83598
"UNITED STATES",20113,19930207,114671,7681598,101140
"ARGENTINA",4001,19980623,29250,4185158,70755
"UNITED STATES",7964,19951009,114150,3317827,69849
"BRAZIL",13729,19970630,73446,3029084,85166
"BRAZIL",27493,19920621,35759,945670,101685
"CANADA",27139,19940413,140082,888687,67324
"ARGENTINA",27139,19940413,65762,5302495,103665
"PERU",21067,19970523,103116,402879,67146
"CANADA",19706,19930529,112186,3992335,71890
"UNITED STATES",6818,19950222,151427,6874653,88705
"PERU",6535,19971122,145081,1481921,67564
"BRAZIL",19324,19961011,53018,87390,58260
"PERU",25183,19920421,91491,4669843,88949
"BRAZIL",25183,19920421,107148,5094167,69308
"PERU",19988,19921028,85956,5359782,116517
"PERU",19988,19921028,195885,1782792,118852
"BRAZIL",16997,19920510,18232,4140828,69013
"BRAZIL",16997,19920510,160623,4736023,101017
"UNITED STATES",4132,19980802,198240,377383,80294
"UNITED STATES",17099,19970510,182228,2311228,78613
"ARGENTINA",9304,19980613,132126,3518368,69487
"CANADA",22822,19950606,26966,5141279,113577
"PERU",5677,19960412,58844,5421139,108170
"BRAZIL",5677,19960412,186329,6935068,84919
"BRAZIL",2839,19950217,58768,1367593,103605
"PERU",18592,19920629,175711,4852704,107202
"CANADA",24718,19970324,67606,5037093,94416
"UNITED STATES",24718,19970324,40781,8006277,103306
"CANADA",19004,19920121,25428,803931,81205
"CANADA",10066,19960527,177416,6100579,89604
"CANADA",3385,19950401,181663,5457296,104679
"BRAZIL",23476,19930314,52948,4547048,114056
"BRAZIL",5386,19960826,19628,5901075,92857
"UNITED STATES",6061,19920704,149170,4586517,73150
"ARGENTINA",11209,19920501,137077,1905059,66844
"PERU",22100,19940303,96557,4334404,93213
"BRAZIL",413,19980619,36430,6422221,81985
"UNITED STATES",413,19980619,191040,1934078,67862
"UNITED STATES",413,19980619,83816,4470728,107988
"ARGENTINA",11020,19960413,176134,5566598,72607
"UNITED STATES",11020,19960413,193717,6020610,108642
"BRAZIL",27817,19941111,156674,6811917,103840
"PERU",27817,19941111,194650,7222851,104679
"CANADA",10,19920418,114539,5872343,93211
"BRAZIL",10234,19950703,72449,5048954,85286
"BRAZIL",10234,19950703,42532,7152945,88471
"BRAZIL",20557,19980727,165047,3705317,66722
"ARGENTINA",20557,19980727,42000,1200108,56520
"BRAZIL",25306,19920324,76087,1467050,63784
"UNITED STATES",6535,19970305,157167,5293267,73449
"UNITED STATES",3613,19940217,114065,4970150,64743
"UNITED STATES",3613,19940217,34367,2472584,78081
"CANADA",27104,19960725,187762,1892304,110985
"UNITED STATES",15502,19950109,175140,2124064,72908
"CANADA",11098,19931101,174998,2670011,124379
"BRAZIL",10592,19940201,22565,721466,89253
"UNITED STATES",16894,19930427,129039,4859536,64081
"CANADA",3823,19950531,55054,642764,60543
"PERU",3823,19950531,87077,2553768,63844
"PERU",20639,19970204,139625,2829854,99877
"CANADA",14219,19970512,71310,973795,76878
"UNITED STATES",1091,19970824,44424,2163472,82105
"BRAZIL",1091,19970824,74269,2659333,74595
"ARGENTINA",1091,19970824,23705,1596126,97722
"CANADA",21193,19941216,149489,7230856,92308
"UNITED STATES",15653,19920626,60548,1024298,90512
"UNITED STATES",5089,19970107,108047,516969,63302
"UNITED STATES",1174,19920105,25120,4865033,62707
"CANADA",13144,19970205,179251,1375478,79815
"PERU",13144,19970205,156757,4527120,108825
"PERU",13144,19970205,184895,1081019,118793
"UNITED STATES",6130,19980616,119168,4330759,71229
"UNITED STATES",6130,19980616,53289,2218712,74536
"ARGENTINA",6130,19980616,20951,7214495,112317
"PERU",7142,19930924,2504,6413640,84390
"CANADA",7142,19930924,92384,5549564,82582
"PERU",27134,19970215,177320,1576176,83839
"UNITED STATES",29725,19950428,50633,633452,95017
"PERU",29725,19950428,18867,4580730,107151
"PERU",2708,19970921,78244,113668,73334
"CANADA",2708,19970921,36336,5007890,76339
"PERU",4999,19930608,117685,5952569,102160
"BRAZIL",11236,19921128,169396,1200154,87923
"ARGENTINA",26695,19960518,179472,1855558,93088
"CANADA",26695,19960518,139020,696835,63541
"CANADA",26695,19960518,97008,1157760,60300
"ARGENTINA",4084,19941116,182051,1926185,67983
"PERU",16007,19970620,66150,3428812,66969
"UNITED STATES",11879,19940404,107441,1003768,86906
"BRAZIL",12649,19950226,26790,7423399,103007
"CANADA",28157,19940613,180004,2705664,65040
"PERU",28157,19940613,66955,5004757,115317
"BRAZIL",3133,19970527,97485,3446766,88948
"PERU",9425,19970623,12656,2484741,94119
"UNITED STATES",28651,19921220,77256,1720383,73995
"BRAZIL",8119,19920611,92617,1434162,96576
"PERU",8119,19920611,163723,487774,107203
"UNITED STATES",26528,19940322,49446,1705227,83726
"CANADA",5582,19980303,118709,6072865,103662
"BRAZIL",26888,19970511,72340,616799,78740
"BRAZIL",15391,19961218,186839,5284477,115549
"ARGENTINA",15391,19961218,197782,5893110,112786
"PERU",15391,19961218,112341,852604,81200
"CANADA",6410,19960501,120766,2744463,107205
"PERU",24274,19920910,132355,5289965,83241
"BRAZIL",24022,19920712,90343,1333340,80000
"BRAZIL",24022,19920712,50766,7826708,103005
"CANADA",70,19931113,144166,3369085,72609
"ARGENTINA",70,19931113,88984,3630283,118378
"ARGENTINA",15920,19921102,71027,1839350,59881
"BRAZIL",25766,19940224,121064,1835921,65103
"PERU",25766,19940224,113473,3772660,89188
"ARGENTINA",5905,19930320,94778,659470,106366
"PERU",5905,19930320,182283,5836572,81916
"CANADA",5905,19930320,15084,3004233,59944
"ARGENTINA",439,19920320,121695,1514120,103001
"BRAZIL",16685,19940402,134517,4375258,93090
"UNITED STATES",3127,19980723,118108,810792,67566
"BRAZIL",16516,19971010,97491,1661154,89309
"ARGENTINA",13403,19980402,181244,715629,79514
"PERU",24133,19950126,164696,2788932,105641
"BRAZIL",25061,19950510,64620,4706321,95077
"PERU",10243,19940118,2834,1389464,104209
"PERU",10243,19940118,15180,3191354,65710
"PERU",22976,19930208,34820,8082700,105289
"BRAZIL",22976,19930208,5637,3045151,92557
"CANADA",22930,19951201,21410,1001220,79884
"UNITED STATES",22930,19951201,22642,4462353,93878
"ARGENTINA",4340,19970825,106747,3872257,105224
"CANADA",8191,19980624,181772,6992420,111226
"ARGENTINA",334,19980403,105756,810405,105705
"CANADA",7033,19940206,98379,3340122,82642
"ARGENTINA",7033,19940206,52021,1307738,58381
"ARGENTINA",12388,19960114,98672,3967841,100240
"ARGENTINA",11486,19960131,39876,8007986,108952
"ARGENTINA",6985,19920805,188703,489134,107502
"PERU",18023,19930107,74767,6444512,104505
"ARGENTINA",20848,19980203,117409,5841108,85584
"UNITED STATES",4874,19980329,34475,6028303,84568
"CANADA",21419,19980517,27198,1046426,67511
"ARGENTINA",17174,19980710,107197,5151524,72251
"ARGENTINA",26597,19930208,115134,5460665,68947
"CANADA",23473,19941031,95739,1889120,104083
