"s_nation","d_year","lo_partkey","lo_revenue","lo_supplycost"
"CANADA",1992,388722,6094849,108642
"PERU",1992,620933,7667730,111234
"PERU",1993,96200,1210554,71772
"BRAZIL",1992,590614,3068262,102275
"ARGENTINA",1992,38251,4583369,71355
"PERU",1993,502806,3472857,108526
"UNITED STATES",1992,6750,5700876,99405
"BRAZIL",1992,646441,3229890,83244
"BRAZIL",1993,782715,4832163,107860
"ARGENTINA",1992,508161,1346849,70148
"ARGENTINA",1992,725399,1269104,85461
"CANADA",1993,226774,3393016,102045
"UNITED STATES",1993,227199,4065509,67570
"BRAZIL",1993,475959,890067,116095
"ARGENTINA",1993,705253,5284524,75493
"CANADA",1993,45710,1657365,99342
"BRAZIL",1992,222947,2036353,112195
"ARGENTINA",1992,660376,4101227,80180
"CANADA",1992,81982,186578,117838
"UNITED STATES",1993,92980,1298220,118378
"PERU",1993,26610,6914745,92196
"ARGENTINA",1993,20992,6865721,114779
"BRAZIL",1992,29778,1747048,102466
"CANADA",1992,756796,1270993,111165
"PERU",1992,118117,4115908,68106
"PERU",1993,152127,5320189,70747
"CANADA",1993,794908,6799743,120172
"PERU",1992,154606,7811462,99636
"PERU",1993,474424,5918028,83904
"PERU",1993,123929,1066294,117175
"CANADA",1992,3827,318470,103849
"BRAZIL",1993,445009,3423834,57238
"ARGENTINA",1993,118126,2660079,68647
"ARGENTINA",1993,187249,6413952,80174
"BRAZIL",1992,332232,6070784,75853
"CANADA",1992,383264,4305811,80835
"ARGENTINA",1992,698116,2485512,66844
"CANADA",1993,315775,3300370,107445
"PERU",1992,454270,1575609,73455
"UNITED STATES",1992,382451,3606650,92006
"BRAZIL",1993,87733,2080362,103243
"PERU",1992,750036,2317524,65160
"CANADA",1993,103645,306647,98918
"PERU",1993,535180,2500799,72909
"UNITED STATES",1992,373510,5475743,95010
"BRAZIL",1992,366520,3940890,95190
"UNITED STATES",1992,610331,4936650,74478
"PERU",1992,48247,2827937,71714
"UNITED STATES",1993,24506,2832390,85830
"CANADA",1992,445783,6337634,103725
"CANADA",1993,628154,4977752,64927
"ARGENTINA",1992,151147,5574945,71888
"CANADA",1992,671488,2745225,87567
"ARGENTINA",1992,574169,5096874,74588
"PERU",1992,335725,3887647,105642
"BRAZIL",1993,640153,3443328,65587
"ARGENTINA",1993,289947,5404034,116215
"PERU",1993,3714,2060962,97062
"BRAZIL",1993,471878,3229838,110991
"UNITED STATES",1993,195067,111557,69723
"BRAZIL",1992,152969,404392,121317
"BRAZIL",1993,207510,1944810,85050
"ARGENTINA",1992,207431,1987553,80305
"ARGENTINA",1992,484546,6198606,91831
"CANADA",1992,519465,2185095,89066
"CANADA",1992,243066,853656,60543
"CANADA",1992,400544,4063434,86671
"ARGENTINA",1992,482050,594449,61921
"PERU",1993,5458,4543015,81807
"BRAZIL",1993,651603,7233414,93274
"PERU",1993,380642,3240267,103357
"BRAZIL",1992,641263,4602567,72253
"UNITED STATES",1993,439331,3658492,76218
"BRAZIL",1992,92051,3442065,62583
"BRAZIL",1992,506943,8891635,116995
"CANADA",1992,179719,7439464,107922
"CANADA",1992,307870,7135868,112671
"UNITED STATES",1992,766839,943371,114348
"BRAZIL",1993,80865,6766922,110751
"CANADA",1992,519764,8026830,107024
"BRAZIL",1993,716932,3901697,116934
"PERU",1993,96379,3696994,82522
"ARGENTINA",1992,681730,4108080,102702
"PERU",1992,485783,6544412,106125
"ARGENTINA",1992,544703,8039328,104860
"CANADA",1992,559922,5959573,118914
"CANADA",1992,623432,1878584,81324
"PERU",1993,153862,4276199,114951
"PERU",1993,166248,4994112,78854
"CANADA",1993,533684,7238219,103059
"ARGENTINA",1992,431996,7368701,115678
"BRAZIL",1993,485307,1881559,77536
"PERU",1993,197845,7308964,116570
"BRAZIL",1993,7059,556444,57963
"PERU",1993,573351,3708955,85459
"BRAZIL",1993,15695,306031,96641
"UNITED STATES",1993,579568,1649187,98852
"ARGENTINA",1993,171132,2917590,72187
"CANADA",1993,172726,1057647,107923
"PERU",1993,763923,1680908,119213
"CANADA",1993,177674,1401336,105100
"CANADA",1993,155165,937082,73209
"UNITED STATES",1993,350317,2161701,82038
"UNITED STATES",1992,786684,694094,106239
"ARGENTINA",1992,492665,7074807,99458
"PERU",1992,286816,1135764,108168
"CANADA",1992,76223,239844,71953
"PERU",1992,269634,6826610,96217
"PERU",1992,25352,940129,76641
"CANADA",1992,539418,1897521,87443
"ARGENTINA",1992,122457,4784541,88767
"CANADA",1992,526540,5413893,93991
"ARGENTINA",1993,650656,3547416,96397
"PERU",1992,691211,461637,72130
"ARGENTINA",1992,220873,2192096,107631
"ARGENTINA",1993,528870,8035933,113931
"BRAZIL",1993,466584,1269908,93033
"PERU",1992,389120,1430377,72546
"ARGENTINA",1992,739528,5501889,94049
"PERU",1993,470497,3275393,88048
"ARGENTINA",1993,190883,3304275,118432
"PERU",1993,119901,7422357,115254
"CANADA",1993,509513,5322625,91349
"CANADA",1993,786718,3930593,108280
"ARGENTINA",1993,570470,7019830,92427
"BRAZIL",1993,687706,3485572,101620
"BRAZIL",1993,224954,3669569,112736
"ARGENTINA",1993,566192,3944362,75490
"PERU",1993,276526,1352259,90150
"UNITED STATES",1992,333076,4331988,66543
"ARGENTINA",1993,689156,2107020,68707
"PERU",1993,242555,3952008,89852
"ARGENTINA",1992,584837,1460575,115308
"CANADA",1992,588032,4256038,67200
"UNITED STATES",1992,567266,4914322,79994
"BRAZIL",1992,208641,1425659,92977
"UNITED STATES",1992,229624,3144506,93216
"UNITED STATES",1992,208617,585830,91536
"UNITED STATES",1993,324757,7376403,106904
"BRAZIL",1993,324225,4823199,74952
"PERU",1992,84886,8082201,112252
"BRAZIL",1993,510767,1279972,106664
"PERU",1992,719762,169264,106903
"UNITED STATES",1992,228289,2402890,73036
"CANADA",1992,316135,460448,69067
"BRAZIL",1993,130756,8492422,107205
"CANADA",1992,523800,5642775,109426
"ARGENTINA",1992,171570,6730437,98494
"PERU",1993,754696,1593100,105039
"UNITED STATES",1993,461612,5727867,94415
"BRAZIL",1993,563655,2021108,103117
"ARGENTINA",1993,537847,4387860,113089
"CANADA",1993,445845,651858,107449
"ARGENTINA",1993,760705,6172782,105940
"UNITED STATES",1992,371705,7355496,106601
"UNITED STATES",1993,643217,1174102,69610
"ARGENTINA",1993,506212,3157548,73091
"PERU",1993,79238,443071,73033
"CANADA",1992,30159,3332799,65349
"CANADA",1992,638098,4674702,62163
"UNITED STATES",1992,506899,9151987,114352
"PERU",1992,669866,835302,110149
"UNITED STATES",1992,29812,6725128,104508
"CANADA",1993,668328,2832393,77777
"CANADA",1993,439934,6206389,112434
"PERU",1993,98491,288961,89369
"PERU",1992,532283,2191223,78915
"PERU",1992,310724,336533,104082
"ARGENTINA",1992,85867,4632150,111171
"BRAZIL",1993,114812,3721211,109608
"CANADA",1993,37235,3399467,70333
"PERU",1993,772158,3917932,73807
"BRAZIL",1993,52692,5720231,98681
"UNITED STATES",1993,699495,732285,89667
"CANADA",1992,78871,1775875,110992
"BRAZIL",1992,13309,5500350,73338
"BRAZIL",1992,449254,3454473,72193
"ARGENTINA",1992,473412,378211,83123
"BRAZIL",1993,396665,2416983,105699
"ARGENTINA",1993,759849,1496507,114528
"BRAZIL",1993,365970,3713591,122157
"ARGENTINA",1992,68709,458012,100662
"PERU",1992,380710,5141099,107442
"BRAZIL",1992,710859,5497270,112189
"CANADA",1992,283009,2797411,59519
"CANADA",1993,152543,1597135,95732
"BRAZIL",1993,399299,4071791,83896
"PERU",1993,613992,4296033,114357
"CANADA",1993,245758,1686702,102224
"PERU",1993,388645,1466650,104017
"BRAZIL",1992,202249,828885,69073
"CANADA",1992,385702,3754149,107261
"UNITED STATES",1993,300983,8392193,119038
"ARGENTINA",1993,426868,5564004,107690
"CANADA",1993,85236,241803,73273
"PERU",1993,365366,526736,85881
"CANADA",1992,162699,8031544,105701
"PERU",1993,753608,164495,99694
"BRAZIL",1993,84543,1680294,91652
"UNITED STATES",1993,133740,7094960,106424
"BRAZIL",1993,35492,6566454,85649
"BRAZIL",1992,543664,2175533,102458
"PERU",1992,326943,1755207,118195
"PERU",1993,687697,6738640,101079
"ARGENTINA",1993,457493,1174880,87028
"CANADA",1993,784673,2411482,105458
"CANADA",1992,401513,920832,84869
"BRAZIL",1992,215374,1547232,77361
"PERU",1992,418598,5532447,90994
"PERU",1992,156481,1697377,92248
"CANADA",1992,230114,588872,62646
"UNITED STATES",1992,662805,6595549,106066
"PERU",1993,166343,1457257,84560
"BRAZIL",1993,603272,683989,70514
"BRAZIL",1992,492037,1646416,61740
"PERU",1992,674305,2046832,76756
"PERU",1992,229273,1399430,72135
"PERU",1993,599997,6228000,125818
"PERU",1992,534919,3868702,117233
"ARGENTINA",1992,227114,824551,62466
"BRAZIL",1993,775329,1404290,84257
"ARGENTINA",1993,162954,5506273,121017
"ARGENTINA",1993,616153,4321383,64147
"CANADA",1992,268776,6391055,104685
"UNITED STATES",1993,743781,6278964,109485
"BRAZIL",1993,175164,858737,74349
"UNITED STATES",1993,406904,4346112,108652
"CANADA",1993,654860,5030708,108889
"CANADA",1993,172042,3492515,66842
"CANADA",1993,596938,6780320,122094
"ARGENTINA",1993,89720,5141128,102583
"CANADA",1993,714880,6234056,113691
"ARGENTINA",1993,159110,907229,70146
"UNITED STATES",1993,667441,130982,84504
"CANADA",1993,4303,4889565,72438
"CANADA",1992,308031,1496188,62341
"CANADA",1992,557231,1249563,77292
"CANADA",1992,358639,2037144,101857
"CANADA",1992,443660,5195793,96218
"PERU",1992,584539,4821824,97410
"PERU",1992,747364,6638896,84679
"CANADA",1992,131970,7607486,120118
"CANADA",1992,705345,1883682,81018
"CANADA",1993,193901,3854146,119694
"BRAZIL",1992,346245,3920174,77473
"CANADA",1993,170117,2115430,71226
"BRAZIL",1992,583125,4947169,72486
"BRAZIL",1992,527909,193688,116212
"ARGENTINA",1992,551082,5551994,67983
"CANADA",1992,735248,1847822,76992
"BRAZIL",1992,640405,5322283,80722
"ARGENTINA",1993,516084,2079113,66003
"CANADA",1992,243033,780816,58561
"ARGENTINA",1992,645135,2639764,64806
"UNITED STATES",1993,385281,6096296,81976
"BRAZIL",1993,589966,4350369,123356
"CANADA",1993,584328,4520772,84738
"UNITED STATES",1993,734569,2488678,96211
"BRAZIL",1993,715571,1256539,95192
"ARGENTINA",1993,741347,1804803,83298
"ARGENTINA",1993,506690,1187669,101800
"BRAZIL",1993,28633,4528727,93697
"ARGENTINA",1993,262655,3639690,97058
"BRAZIL",1993,38844,1961124,106970
"ARGENTINA",1993,66807,4381286,106428
"UNITED STATES",1992,493430,4190519,85404
"PERU",1992,254199,3915046,69190
"ARGENTINA",1992,307169,3609604,70569
"ARGENTINA",1992,696193,5086037,71349
"ARGENTINA",1993,643016,469900,57538
"BRAZIL",1992,708853,7685592,111709
"UNITED STATES",1992,56891,6273586,110873
"CANADA",1992,158077,3841076,68104
"CANADA",1992,164058,3665737,67323
"ARGENTINA",1993,286887,8904630,112432
"UNITED STATES",1993,689231,1087198,73212
"CANADA",1992,186350,5573038,86181
"ARGENTINA",1993,263728,314658,101502
"UNITED STATES",1993,460893,4530858,111232
"UNITED STATES",1992,571023,2488850,65640
"CANADA",1992,301605,3904013,96395
"PERU",1993,157906,1767510,117834
"ARGENTINA",1993,76649,3140736,97538
"UNITED STATES",1992,59688,790886,98860
"PERU",1992,773180,2706804,75189
"UNITED STATES",1993,196624,2080229,103237
"ARGENTINA",1993,659413,5191713,82342
"BRAZIL",1993,186728,8180757,108883
"PERU",1992,103292,861367,77717
"ARGENTINA",1992,454104,1771225,63484
"ARGENTINA",1993,21213,3062367,68052
"UNITED STATES",1992,315834,5382976,110989
"UNITED STATES",1993,787624,6846360,102695
"PERU",1993,320326,1715198,80778
"ARGENTINA",1993,114765,5351738,106785
"BRAZIL",1993,298634,1782821,97957
"BRAZIL",1993,536882,2849507,115131
"UNITED STATES",1993,370247,4905364,79033
"PERU",1992,444328,2926290,76338
"BRAZIL",1992,619699,3107827,97119
"BRAZIL",1993,127591,1340192,97115
"PERU",1992,238400,730760,80303
"PERU",1992,382328,1946227,84618
"ARGENTINA",1993,621408,3421798,79762
"BRAZIL",1993,588493,6800321,94888
"BRAZIL",1993,84806,1389660,107448
"BRAZIL",1993,164096,1952431,69605
"PERU",1992,636349,4966437,77118
"PERU",1993,742581,1233898,97413
"BRAZIL",1992,212726,1959897,98322
"BRAZIL",1992,255926,346271,112914
"BRAZIL",1992,75358,5217398,80001
"UNITED STATES",1992,585088,2671057,70383
"BRAZIL",1992,470083,1700691,63183
"CANADA",1992,789389,5322060,88701
"ARGENTINA",1992,174285,5872089,81556
"PERU",1992,8923,5792531,109915
"CANADA",1992,368437,6575674,90325
"CANADA",1992,345427,3318812,88344
"PERU",1992,265429,546608,83664
"UNITED STATES",1993,144882,1612798,115612
"BRAZIL",1993,628463,4184030,83485
"ARGENTINA",1993,672279,5130084,75074
"UNITED STATES",1992,630086,4011365,60963
"CANADA",1992,80079,101670,63544
"UNITED STATES",1993,566162,5482416,73688
"CANADA",1992,364276,6433248,80415
"PERU",1993,556909,6483472,117952
"PERU",1993,758832,8049135,113448
"CANADA",1993,273923,6191514,113814
"UNITED STATES",1993,612011,1447232,55378
"UNITED STATES",1992,536686,6180904,103359
"CANADA",1992,183054,5287282,68223
"CANADA",1993,631795,785675,103605
"ARGENTINA",1993,89625,2877252,96877
"ARGENTINA",1993,711189,5238654,72009
"CANADA",1992,673178,4817520,69068
"CANADA",1992,234343,5640689,76639
"PERU",1993,637085,2820858,61323
"BRAZIL",1993,640693,5649196,98019
"ARGENTINA",1993,33702,4167763,98142
"BRAZIL",1993,670865,697615,110149
"UNITED STATES",1993,14087,2095260,60064
"PERU",1993,585025,1356420,66600
"BRAZIL",1993,458446,1959165,84265
"PERU",1993,541157,4997400,71887
"ARGENTINA",1993,495574,7533840,94173
"ARGENTINA",1992,332246,5511727,76693
"ARGENTINA",1992,317358,2859331,82520
"ARGENTINA",1992,224855,3588157,106790
"BRAZIL",1992,734916,4083191,117052
"BRAZIL",1993,624914,7524696,110332
"CANADA",1993,341262,4457115,78195
"ARGENTINA",1992,67756,1085962,103425
"BRAZIL",1992,366991,3095201,123478
"UNITED STATES",1992,16849,635702,105950
"CANADA",1992,782028,4747427,66599
"BRAZIL",1993,588852,5178134,116449
"CANADA",1993,35392,4567548,79643
"CANADA",1992,631840,4238169,106308
"ARGENTINA",1992,484269,5035518,75194
"UNITED STATES",1992,690125,100358,66905
"BRAZIL",1992,22690,2235188,96761
"PERU",1992,536424,1880995,87624
"CANADA",1992,471570,5549580,92493
"UNITED STATES",1992,139593,455492,97955
"CANADA",1993,330007,954030,62219
"PERU",1993,20285,3156628,72316
"UNITED STATES",1993,236360,3892939,77781
"UNITED STATES",1993,356472,3477246,91707
"PERU",1992,628522,3269404,87029
"CANADA",1992,271881,539185,111172
"PERU",1992,457979,9103665,116217
"ARGENTINA",1993,353173,1544961,73569
"ARGENTINA",1993,570907,5621134,118672
"UNITED STATES",1993,21133,1669741,63247
"CANADA",1993,607654,3669807,93697
"UNITED STATES",1993,72376,5231675,80902
"UNITED STATES",1992,401899,2816560,108052
"PERU",1992,302332,1734616,80059
"BRAZIL",1993,428485,4995167,84807
"ARGENTINA",1993,717674,2571292,101498
"ARGENTINA",1993,341430,999094,88285
"ARGENTINA",1993,201510,6298113,84690
"PERU",1992,73798,1332386,106307
"UNITED STATES",1993,486030,1971059,60960
"ARGENTINA",1993,699015,190628,60838
"PERU",1992,638313,2049596,75076
"BRAZIL",1993,624895,4495054,109191
"BRAZIL",1993,202552,3887985,87272
"PERU",1993,775579,4616166,99272
"PERU",1993,215702,1766517,97061
"BRAZIL",1993,491981,5749205,118377
"UNITED STATES",1992,460126,4796217,65166
"UNITED STATES",1992,650749,4742190,101982
"ARGENTINA",1992,321853,5328295,112490
"PERU",1992,689082,1711537,64263
"BRAZIL",1992,690525,4091823,90929
"ARGENTINA",1992,734074,1648763,66482
"UNITED STATES",1992,471527,1762236,89910
"UNITED STATES",1992,164227,5061582,77473
"ARGENTINA",1992,182682,6072263,105880
"BRAZIL",1992,469544,1548330,90811
"ARGENTINA",1992,414476,4630198,83427
"ARGENTINA",1992,467826,6436154,107628
"BRAZIL",1992,348691,3757708,104380
"ARGENTINA",1993,99919,188053,115134
"CANADA",1993,727123,1604375,69005
"BRAZIL",1993,423927,2565347,111054
"UNITED STATES",1993,456062,4682984,61082
"CANADA",1993,217447,6551992,81865
"ARGENTINA",1993,752690,6423444,104559
"PERU",1992,449258,1522317,72433
"PERU",1992,262907,6047224,112193
"UNITED STATES",1993,121830,170368,111109
"CANADA",1992,298675,3916364,100419
"ARGENTINA",1992,788872,2941260,117650
"PERU",1992,105972,3164752,118678
"PERU",1993,748538,577486,95190
"CANADA",1993,672227,1439028,71951
"UNITED STATES",1993,638759,7028560,101863
"UNITED STATES",1993,133624,1508434,99457
"BRAZIL",1992,736929,3660487,117953
"BRAZIL",1992,293397,517221,83422
"CANADA",1993,428419,3799639,80843
"BRAZIL",1992,42893,1878115,110153
"PERU",1993,634829,2095382,105827
"ARGENTINA",1993,123933,9784650,117415
"BRAZIL",1993,416516,6589454,85949
"BRAZIL",1993,184758,5343975,110565
"ARGENTINA",1993,28669,4383979,95859
"ARGENTINA",1993,239127,3629038,63966
"BRAZIL",1992,678393,5739141,82281
"BRAZIL",1993,678880,5336758,111531
"UNITED STATES",1993,174575,6433323,98974
"PERU",1992,399844,2116830,116629
"BRAZIL",1993,444354,642673,77899
"ARGENTINA",1993,37967,7263612,114297
"ARGENTINA",1992,135729,5781222,105883
"PERU",1993,565915,3575506,118853
"UNITED STATES",1993,136556,756461,95553
"BRAZIL",1993,386973,4894464,123597
"UNITED STATES",1993,440720,7893307,99642
"UNITED STATES",1993,10400,4219488,78624
"PERU",1993,117619,1270009,98196
"BRAZIL",1992,668974,5770531,116576
"PERU",1993,358800,6357061,111527
"UNITED STATES",1993,722349,2850953,82278
"PERU",1993,511728,5887144,104382
"UNITED STATES",1993,436922,7361244,111534
"CANADA",1993,244621,5354386,93936
"CANADA",1992,235422,2307597,81444
"BRAZIL",1992,734975,1350679,120596
"UNITED STATES",1993,635952,173688,113275
"PERU",1993,400560,3864588,87632
"ARGENTINA",1993,727592,7935844,97173
"ARGENTINA",1993,518626,6249480,98676
"CANADA",1993,535491,6447809,91588
"PERU",1993,15939,704873,111295
"BRAZIL",1993,331248,1381568,76753
"PERU",1993,666787,3125182,105225
"ARGENTINA",1992,742354,4462638,83779
"BRAZIL",1992,34158,4324914,65529
"CANADA",1992,598792,1032360,113446
"PERU",1992,690633,2047359,97416
"CANADA",1992,774500,5345325,94468
"BRAZIL",1992,529423,5870600,87144
"UNITED STATES",1993,109276,3665590,77116
"ARGENTINA",1993,582757,1841569,110383
"ARGENTINA",1992,67567,437349,92073
"UNITED STATES",1992,412579,4253900,89493
"CANADA",1992,409334,1218443,74598
"ARGENTINA",1992,469508,2171895,88648
"ARGENTINA",1992,495431,2981196,85584
"UNITED STATES",1992,304069,4837309,64383
"CANADA",1992,755832,8517753,113268
"UNITED STATES",1992,309811,5353152,109248
"CANADA",1992,585136,439599,73266
"CANADA",1992,780132,3345396,72726
"PERU",1992,587623,4502299,102636
"UNITED STATES",1992,620810,6715426,103846
"CANADA",1993,1915,981131,109014
"BRAZIL",1992,447214,1463099,69671
"PERU",1993,624308,4054168,73936
"ARGENTINA",1993,81927,4260709,114535
"CANADA",1993,643277,2525896,73214
"CANADA",1993,729906,3420682,116152
"CANADA",1992,487372,4529354,81561
"CANADA",1992,746939,7347830,119154
"PERU",1992,561040,1045969,66061
"PERU",1992,467252,5735257,73153
"UNITED STATES",1993,717200,3505449,73030
"PERU",1993,291468,2282579,87567
"CANADA",1993,636688,4224090,97479
"ARGENTINA",1992,122838,7443320,111649
"PERU",1992,560711,823835,106301
"PERU",1992,543428,1456686,88284
"BRAZIL",1992,696348,912786,80658
"BRAZIL",1992,452591,561859,92614
"UNITED STATES",1992,187093,5310405,70805
"ARGENTINA",1993,357552,5900573,96572
"BRAZIL",1993,296806,865339,108167
"CANADA",1993,519479,6041750,89907
"ARGENTINA",1992,643621,5820274,93875
"PERU",1992,596732,1389819,109722
"BRAZIL",1992,474665,6404433,98378
"UNITED STATES",1992,588799,6320253,113266
"CANADA",1992,430613,6459924,92615
"UNITED STATES",1992,500022,275940,61320
"CANADA",1993,220039,1150824,57541
"UNITED STATES",1992,394840,9287184,116089
"BRAZIL",1992,755146,1016139,72066
"ARGENTINA",1992,274013,2576070,59220
"CANADA",1992,365047,5064184,66721
"UNITED STATES",1992,142284,3453633,79576
"ARGENTINA",1993,499585,6336655,95073
"PERU",1993,519015,3209504,62039
"ARGENTINA",1993,600282,1979086,70935
"ARGENTINA",1993,291809,2949694,108047
"CANADA",1993,182785,3698204,112066
"PERU",1992,437987,7122352,115497
"BRAZIL",1992,421659,4071702,94837
"BRAZIL",1992,550898,366387,116932
"UNITED STATES",1993,752724,4008212,106601
"BRAZIL",1992,577113,2600346,71405
"UNITED STATES",1993,295383,6891850,82702
"BRAZIL",1992,300028,4487263,61680
"BRAZIL",1993,613198,723365,66669
"ARGENTINA",1992,389965,4109900,123297
"BRAZIL",1993,39658,3565954,95859
"BRAZIL",1992,494378,3093276,82341
"ARGENTINA",1993,381582,938253,99814
"ARGENTINA",1992,574162,479622,74168
"PERU",1992,304824,1755657,109728
"UNITED STATES",1993,74133,4207094,66427
"BRAZIL",1993,735561,5587855,95791
"CANADA",1993,379059,523498,68282
"UNITED STATES",1992,395109,1944605,72245
"BRAZIL",1993,453294,3866537,74836
"UNITED STATES",1992,94685,6611220,100780
"PERU",1992,216289,679772,72316
"UNITED STATES",1993,143605,1533198,98916
"ARGENTINA",1993,389884,3552966,118432
"BRAZIL",1992,504445,3977208,86965
"BRAZIL",1992,698869,7725344,112069
"BRAZIL",1992,276262,5881687,74295
"PERU",1993,9678,4528034,95260
"PERU",1993,304083,1239259,65224
"PERU",1992,524695,2613898,103180
"CANADA",1993,107116,1941857,67386
"UNITED STATES",1993,435601,1021825,92194
"PERU",1993,736953,5539937,119395
"ARGENTINA",1993,357751,4467587,108524
"UNITED STATES",1993,131236,5531458,76033
"BRAZIL",1993,282908,8524132,113453
"PERU",1993,425318,5318794,74597
"UNITED STATES",1993,240855,7644890,107750
"PERU",1993,42502,137227,86670
"CANADA",1993,515372,3558552,83241
"BRAZIL",1993,255798,6902878,105226
"BRAZIL",1993,481402,3988284,83002
"CANADA",1992,386541,3189958,97651
"PERU",1992,131315,5331387,80778
"PERU",1992,172713,1199997,107142
"CANADA",1992,540118,2770151,69485
"BRAZIL",1992,362463,6066714,91527
"PERU",1992,172806,7180773,112728
"ARGENTINA",1992,324898,4245719,115372
"ARGENTINA",1992,557353,4421384,84619
"PERU",1992,116192,3066386,72491
"ARGENTINA",1993,536665,980144,102098
"CANADA",1993,327082,1552698,66544
"PERU",1993,413471,4763892,83067
"UNITED STATES",1992,689370,6117030,81560
"UNITED STATES",1993,614563,3909544,88651
"ARGENTINA",1993,144509,1623407,93210
"CANADA",1993,300864,839182,111891
"CANADA",1993,341535,5038557,94591
"CANADA",1992,762711,8173117,106420
"CANADA",1992,481506,6782908,89248
"ARGENTINA",1993,249374,1339240,79401
"PERU",1993,266722,3769200,101322
"PERU",1992,791412,1353042,90202
"PERU",1993,768728,1379857,107801
"CANADA",1993,102233,5573357,74113
"UNITED STATES",1992,382611,7717735,101616
"CANADA",1992,130901,6240037,115914
"CANADA",1992,147975,1505089,121378
"UNITED STATES",1992,457024,1165428,58860
"CANADA",1992,549268,4241512,79034
"BRAZIL",1992,260314,5041130,76458
"CANADA",1992,696174,115843,70208
"UNITED STATES",1993,358680,3199152,104320
"PERU",1993,332499,3418263,91888
"PERU",1992,51430,2121876,82885
"ARGENTINA",1992,181124,1181017,72307
"PERU",1992,667102,2694056,64144
"PERU",1992,694920,2642548,114893
"CANADA",1992,306660,5459945,99999
"PERU",1993,78306,1964979,77058
"CANADA",1992,642174,2179821,66968
"ARGENTINA",1992,203139,1938343,62527
"ARGENTINA",1992,241915,4679388,111414
"UNITED STATES",1992,264058,4006396,61322
"ARGENTINA",1992,419087,1951756,60363
"UNITED STATES",1992,385856,7112959,116510
"UNITED STATES",1992,66320,1833006,77179
"PERU",1992,439111,4725405,63005
"PERU",1993,614904,7664718,109132
"UNITED STATES",1993,37169,4506495,66369
"UNITED STATES",1993,538252,2519819,77413
"CANADA",1992,445426,4388480,82284
"CANADA",1992,659082,843250,62463
"PERU",1993,413623,5162976,92196
"BRAZIL",1993,551283,1441000,80055
"BRAZIL",1992,431522,5215158,87210
"UNITED STATES",1992,44177,1208621,67270
"BRAZIL",1992,757994,3980802,123117
"CANADA",1993,750571,157289,97292
"UNITED STATES",1992,769321,3614754,83417
"CANADA",1993,688875,4555224,111830
"CANADA",1992,534661,4934312,101738
"UNITED STATES",1992,437123,2194407,63606
"ARGENTINA",1992,658850,4386388,108529
"ARGENTINA",1992,382356,5465692,86300
"BRAZIL",1992,210285,2868648,71716
"PERU",1993,195114,3830460,72546
"UNITED STATES",1993,70590,574297,93635
"PERU",1993,527854,4198362,112909
"UNITED STATES",1993,440468,5678830,84506
"UNITED STATES",1993,514369,2490012,83000
"UNITED STATES",1992,534925,1275894,117594
"CANADA",1992,75839,2640577,108889
"ARGENTINA",1993,774239,3939600,78792
"ARGENTINA",1993,618888,7711635,108411
"CANADA",1993,35420,4506771,81325
"CANADA",1993,92962,4269632,117297
"PERU",1993,182624,317431,102397
"UNITED STATES",1992,456639,3596504,95736
"BRAZIL",1992,577172,4711793,74949
"PERU",1992,345528,5799957,94410
"BRAZIL",1993,28404,1319076,79944
"ARGENTINA",1993,469305,1639998,76456
"CANADA",1993,552017,2619025,64139
"CANADA",1992,608803,311542,102706
"CANADA",1993,681905,709463,113212
"UNITED STATES",1993,182379,3945699,87682
"ARGENTINA",1993,748146,3343508,71646
"UNITED STATES",1993,8340,2202071,74900
"ARGENTINA",1993,166217,5430544,76992
"CANADA",1993,114577,897645,95494
"ARGENTINA",1993,571215,4665011,77171
"ARGENTINA",1993,606010,799650,54958
"ARGENTINA",1993,549043,3577457,65521
"BRAZIL",1993,552847,1709838,113989
"UNITED STATES",1993,376334,3790940,84619
"CANADA",1992,630554,418634,89071
"UNITED STATES",1992,493695,6785076,101320
"UNITED STATES",1992,66364,5308136,79821
"CANADA",1992,561708,7358329,106180
"ARGENTINA",1993,669372,3440537,80480
"BRAZIL",1993,69094,3618758,63785
"ARGENTINA",1993,462158,336039,67207
"UNITED STATES",1993,281009,1781982,59399
"BRAZIL",1993,691693,1280341,101079
"CANADA",1992,520429,3013302,86964
"UNITED STATES",1992,678466,3626963,86665
"UNITED STATES",1993,655068,2378544,61381
"BRAZIL",1993,135989,5499845,121498
"PERU",1993,764819,8405426,113026
"ARGENTINA",1993,694282,5819700,76575
"ARGENTINA",1993,338949,3399360,119275
"UNITED STATES",1993,774568,2184564,98551
"PERU",1993,216582,1870215,89914
"UNITED STATES",1993,82560,2915438,92553
"BRAZIL",1993,500670,2330556,100239
"PERU",1993,359038,1771687,65821
"PERU",1992,749046,4993245,65700
"UNITED STATES",1992,207899,5713354,108412
"BRAZIL",1993,157629,931014,101197
"BRAZIL",1993,787560,6484678,98851
"PERU",1993,622113,2941697,62104
"ARGENTINA",1993,453048,2606656,60061
"ARGENTINA",1993,469276,1064688,74715
"ARGENTINA",1993,143065,3466011,66483
"ARGENTINA",1993,135351,4841134,83181
"PERU",1993,343103,4290960,68765
"PERU",1993,534035,105831,64140
"PERU",1992,698836,5401651,110088
"BRAZIL",1993,35143,1242017,64688
"CANADA",1992,782481,5822287,93807
