"s_nation","d_year","lo_custkey","lo_partkey","lo_revenue","lo_supplycost"
"ARGENTINA",1993,339460,750729,2915132,106781
"BRAZIL",1992,692920,245986,3251505,115918
"CANADA",1993,832375,106949,1957895,117356
"ARGENTINA",1993,242461,179481,4775068,93628
"PERU",1993,835349,155814,3887334,112188
"PERU",1993,792346,606822,4192315,103727
"ARGENTINA",1992,401597,545019,2949380,63839
"CANADA",1992,538886,338967,9050846,120357
"ARGENTINA",1993,858920,493236,1352131,73752
"BRAZIL",1992,18365,391904,3412971,119753
"ARGENTINA",1992,18365,172288,856976,81616
"BRAZIL",1992,68633,249016,1154140,57900
"UNITED STATES",1992,68633,774739,2045853,108822
"BRAZIL",1992,26929,7703,1275674,96642
"CANADA",1992,26929,663500,3810875,87808
"UNITED STATES",1992,108745,163115,5657284,70686
"CANADA",1992,108745,669267,2017527,74173
"ARGENTINA",1992,108745,364450,5409579,90866
"ARGENTINA",1992,734888,170480,1914842,93028
"PERU",1992,31778,784375,4071558,87560
"ARGENTINA",1993,381482,585391,693893,88582
"PERU",1993,381482,48730,6177726,100723
"PERU",1992,142306,410055,3995224,57901
"UNITED STATES",1992,142306,695363,5123620,81499
"UNITED STATES",1993,477775,261488,2226385,86968
"BRAZIL",1993,477775,421492,6106190,84808
"ARGENTINA",1993,477775,6041,809719,56822
"ARGENTINA",1993,505363,80710,2366994,101442
"BRAZIL",1993,505363,589193,1119334,76930
"UNITED STATES",1993,505363,152842,852678,113690
"UNITED STATES",1993,505363,11566,2151327,88653
"ARGENTINA",1993,583379,425581,753280,90393
"UNITED STATES",1992,196087,630991,3955393,115317
"BRAZIL",1992,722942,223448,3868804,82285
"BRAZIL",1993,266947,433522,4849726,87330
"CANADA",1993,387976,389511,470547,96030
"ARGENTINA",1993,671549,279770,1114597,104985
"BRAZIL",1992,379772,7334,3617235,74479
"PERU",1992,379772,522464,6700871,89186
"ARGENTINA",1992,379772,244396,2292049,80422
"BRAZIL",1992,473815,114130,1132688,68647
"UNITED STATES",1992,473815,480569,4653268,92972
"PERU",1992,757975,511981,9366912,119577
"BRAZIL",1992,222643,364913,6942429,118674
"ARGENTINA",1992,222643,289291,5473197,76816
"UNITED STATES",1992,222643,504417,1547893,85283
"UNITED STATES",1993,647902,721664,151706,101137
"PERU",1992,875636,602438,1889964,80424
"ARGENTINA",1992,55462,265667,1175508,97959
"CANADA",1992,371617,331165,3827680,71769
"PERU",1992,430604,780242,3807964,79332
"ARGENTINA",1992,743164,691997,2100341,119337
"PERU",1992,743164,657666,2362381,97417
"CANADA",1992,743164,583232,4428312,78912
"BRAZIL",1992,810211,420450,3220510,82225
"CANADA",1993,582962,225990,1456144,114958
"ARGENTINA",1993,688588,649800,5427786,104986
"PERU",1992,673012,550347,1313480,83839
"CANADA",1993,159793,765070,4205323,68102
"CANADA",1992,672787,503282,6234796,77115
"UNITED STATES",1993,644509,262669,2945128,97899
"PERU",1993,644509,172640,171264,102758
"UNITED STATES",1992,701929,233622,2565200,93336
"PERU",1992,701929,26108,558414,62046
"UNITED STATES",1993,609307,741853,2091881,113689
"PERU",1992,445183,348596,7265754,98674
"PERU",1992,611290,396918,386860,120894
"PERU",1992,498598,369943,7614914,120775
"UNITED STATES",1993,203647,481045,3786013,61561
"PERU",1993,203647,562940,3370914,120175
"PERU",1992,236533,476764,7936033,104444
"PERU",1992,236533,686374,2350667,81620
"ARGENTINA",1992,273595,443031,1336341,58440
"ARGENTINA",1992,273595,405074,3780112,58743
"PERU",1993,205916,118661,4236102,100779
"PERU",1992,488443,366445,4443604,90685
"CANADA",1992,115027,313867,1749190,112851
"UNITED STATES",1992,115027,747866,6189326,114829
"PERU",1992,171040,558409,3548124,88042
"ARGENTINA",1992,171040,555452,3429403,90445
"BRAZIL",1992,443251,714625,5918919,98375
"ARGENTINA",1992,575332,486132,955984,67086
"UNITED STATES",1993,887350,220007,2089435,55619
"CANADA",1993,788164,653047,1683016,60000
"CANADA",1993,788164,196008,2812992,66240
"CANADA",1992,753623,539330,1287151,82158
"PERU",1993,122785,747348,2842246,83718
"CANADA",1992,353221,268879,1663074,110871
"PERU",1992,170593,699506,2520156,90328
"CANADA",1992,170593,202800,5823541,102167
"ARGENTINA",1993,641866,654865,7277500,109189
"BRAZIL",1992,409808,496577,5189567,94413
"ARGENTINA",1993,330011,459483,6714651,86547
"BRAZIL",1993,348889,90292,3696842,76937
"BRAZIL",1992,300580,35914,5447984,110994
"CANADA",1992,122779,477601,315716,94714
"PERU",1992,122779,238710,7109194,98922
"UNITED STATES",1993,647854,752925,4796383,118673
"UNITED STATES",1993,258982,711109,987901,67204
"ARGENTINA",1993,258982,408958,7561066,112015
"PERU",1992,295069,59818,8355707,106668
"BRAZIL",1992,496838,27611,5538996,92316
"CANADA",1992,333256,482702,6934142,101080
"ARGENTINA",1993,462085,3806,6367295,102588
"CANADA",1993,462085,35127,399357,63727
"CANADA",1992,642577,221506,3468800,85649
"CANADA",1992,638032,378514,780325,95550
"PERU",1993,770906,179837,5756240,115009
"BRAZIL",1993,144530,709841,6785069,111048
"BRAZIL",1993,607394,306134,2143425,68407
"BRAZIL",1993,607394,390698,7083172,107320
"CANADA",1993,607394,179841,4285394,115250
"ARGENTINA",1992,772612,742082,4797445,67443
"ARGENTINA",1993,890611,524462,6992213,89186
"UNITED STATES",1992,143824,280781,1171577,105706
"PERU",1992,143824,608353,2837970,75679
"ARGENTINA",1992,143824,246761,7625103,102465
"BRAZIL",1993,807143,370985,4728731,123358
"UNITED STATES",1993,842915,728598,3863080,97593
"PERU",1993,842915,370988,3599079,123538
"ARGENTINA",1992,224872,140907,2929641,116874
"BRAZIL",1992,317542,369364,272336,86001
"PERU",1992,667955,312810,4597101,109368
"CANADA",1993,609349,746148,3744728,71646
"UNITED STATES",1993,889043,379363,274046,86541
"PERU",1992,471433,40287,1354917,73636
"PERU",1992,471433,569985,5086026,123297
"PERU",1992,522895,405912,1521573,109073
"PERU",1992,522895,553489,2105457,92547
"UNITED STATES",1993,434864,608513,5754151,85288
"PERU",1993,434864,76648,3475104,97478
"UNITED STATES",1993,434864,616330,3626733,74778
"UNITED STATES",1992,32666,287278,1611941,75915
"BRAZIL",1992,32666,266032,2506028,59881
"ARGENTINA",1993,477923,226248,1265819,70453
"PERU",1993,477923,552020,3121664,64320
"CANADA",1993,782017,577398,3036311,88522
"UNITED STATES",1993,782017,682519,7135032,90088
"BRAZIL",1992,430270,195560,3082652,99333
"ARGENTINA",1992,658864,411790,1347801,102106
"ARGENTINA",1992,658864,103530,3350763,92011
"BRAZIL",1992,669260,792706,7777449,107920
"ARGENTINA",1992,669260,603733,2985340,98202
"PERU",1992,50765,10057,2320920,58023
"CANADA",1992,446366,491161,798433,69128
"PERU",1992,446366,467456,6288713,85405
"UNITED STATES",1993,110122,458590,4791275,92914
"CANADA",1992,776818,245661,7324717,96399
"ARGENTINA",1992,776818,326578,5968963,96273
"ARGENTINA",1993,97630,661447,2675979,84504
"ARGENTINA",1993,97630,75993,5237513,118139
"BRAZIL",1993,140902,311040,3518848,63061
"PERU",1992,623269,676787,7950985,105825
"PERU",1993,491960,598752,2813109,111043
"CANADA",1992,307733,440370,4064705,78621
"PERU",1993,594463,74832,2764449,108409
"PERU",1993,594463,91699,1100639,101441
"BRAZIL",1992,297736,425794,165097,103186
"ARGENTINA",1993,366991,361233,5707510,77653
"PERU",1993,796711,364228,4217773,77532
"ARGENTINA",1992,819944,279079,933208,63483
"BRAZIL",1992,819944,68964,7499884,115977
"CANADA",1993,841558,762424,3531662,89183
"CANADA",1993,841558,445160,703974,66308
"PERU",1993,886013,162605,7602588,100056
"UNITED STATES",1993,886013,625280,361575,72315
"CANADA",1993,223546,467087,4205699,63243
"CANADA",1993,740605,423552,960570,88531
"CANADA",1993,740605,233173,1543093,66369
"ARGENTINA",1993,309851,622832,680862,105288
"UNITED STATES",1993,309851,487113,3465283,66005
"PERU",1993,486067,512728,3202888,104442
"BRAZIL",1993,486067,500107,1472416,66424
"ARGENTINA",1992,245026,155436,6800920,89485
"BRAZIL",1992,245026,462819,983548,106907
"BRAZIL",1992,245026,183027,3774068,66601
"ARGENTINA",1992,646960,281792,1021697,106426
"BRAZIL",1992,646960,66406,3594315,82344
"BRAZIL",1993,510868,595381,3259802,88581
"PERU",1993,510868,155804,4790844,111588
"PERU",1993,510868,517329,885865,80778
"PERU",1992,129191,456770,4496457,103605
"ARGENTINA",1992,508093,848,1315127,104930
"UNITED STATES",1993,312250,217598,2764417,90934
"BRAZIL",1992,63409,460582,1110643,92553
"BRAZIL",1993,90107,156268,1477874,79455
"UNITED STATES",1993,90107,731622,3174892,99215
"ARGENTINA",1992,639454,775929,8137848,120293
"PERU",1992,197911,344372,3860997,84981
"PERU",1993,324955,645738,3872510,101022
"BRAZIL",1992,247976,441557,3000057,89911
"CANADA",1992,469219,358339,2920398,83839
"CANADA",1993,346423,450572,1181498,91353
"CANADA",1992,214018,651156,936623,66427
"CANADA",1992,214018,773195,240950,76089
"ARGENTINA",1992,658621,232657,7399774,95378
"CANADA",1992,658621,142038,2540230,64801
"UNITED STATES",1992,420499,499860,7867123,111590
"BRAZIL",1992,420499,342896,5454069,116332
"CANADA",1993,277063,655416,1343952,82282
"UNITED STATES",1993,277063,369109,4198712,70685
"BRAZIL",1993,642787,744398,4947294,86541
"CANADA",1992,315655,409728,1100534,98262
"UNITED STATES",1992,315655,275880,7794654,111352
"PERU",1992,612086,272881,2543509,111232
"PERU",1992,318767,350593,468420,98614
"ARGENTINA",1993,258763,414522,1057264,86190
"PERU",1992,400303,470234,3814937,72252
"ARGENTINA",1993,18124,697606,622185,96214
"ARGENTINA",1993,565004,763971,2081743,122096
"BRAZIL",1993,115966,428060,98804,59282
"PERU",1992,225565,9321,3694650,73819
"BRAZIL",1992,225565,541403,3680280,86662
"ARGENTINA",1993,569303,166269,4518519,80115
"BRAZIL",1993,168034,140579,903720,97174
"UNITED STATES",1993,824305,374044,2515567,67081
"CANADA",1993,824305,141088,519376,67744
"PERU",1993,131968,508,3574773,84510
"UNITED STATES",1992,872138,340233,5804609,76393
"BRAZIL",1992,872138,682523,590152,90329
"CANADA",1993,491459,432688,5788997,97239
"UNITED STATES",1992,585244,463351,2294820,78859
"BRAZIL",1992,585244,331585,4164284,96994
"ARGENTINA",1993,757933,797289,5545000,83175
"ARGENTINA",1993,263864,574366,4637894,86420
"BRAZIL",1993,102577,193008,200382,66060
"BRAZIL",1993,102577,675503,962483,88708
"PERU",1993,775669,761412,2357408,88402
"PERU",1993,775669,32588,3322467,91234
"CANADA",1993,775669,497573,6596310,94233
"UNITED STATES",1993,294697,690805,7764909,107746
"ARGENTINA",1993,134377,685544,4925022,91770
"ARGENTINA",1993,134377,369708,3598044,106661
"UNITED STATES",1993,134377,160039,2088157,65941
"UNITED STATES",1993,81463,37663,2950016,96039
"BRAZIL",1992,656242,311953,4428974,117896
"ARGENTINA",1992,720959,148941,4759936,119396
"PERU",1992,720959,40529,4680421,88171
"BRAZIL",1992,720959,356860,7912756,115011
"ARGENTINA",1992,678130,171484,5497066,93328
"BRAZIL",1992,678130,529434,2476089,87804
"ARGENTINA",1992,678130,584250,4978012,80053
"ARGENTINA",1992,678130,283452,3341704,86126
"UNITED STATES",1993,37978,777131,217458,72486
"UNITED STATES",1992,15049,369762,2667028,109905
"BRAZIL",1992,734452,145634,3476834,100777
"UNITED STATES",1992,734452,47355,6186162,78141
"UNITED STATES",1992,1780,189186,2869155,76510
"BRAZIL",1992,1780,137260,3523358,77835
"ARGENTINA",1992,524476,477896,7502975,112432
"CANADA",1992,706603,779245,1761199,79452
"UNITED STATES",1992,706603,74236,2965063,72613
"ARGENTINA",1992,706603,476607,6758719,95014
"ARGENTINA",1992,38308,740524,1858614,93869
"PERU",1992,339856,660118,4661617,64684
"CANADA",1992,659491,385552,466698,98252
"PERU",1992,659491,195718,8709435,108822
"ARGENTINA",1993,600577,624688,4699262,96759
"BRAZIL",1993,600577,488385,1785368,82401
"BRAZIL",1993,203107,304268,3988503,76335
"UNITED STATES",1993,106091,623918,8575793,110512
"BRAZIL",1992,704074,610863,1979594,106429
"UNITED STATES",1993,382640,478463,663062,86486
"CANADA",1993,382640,524383,3743577,84441
"CANADA",1992,611600,365072,2030789,68223
"UNITED STATES",1992,611600,563762,8413009,109544
"BRAZIL",1992,611600,205321,1321962,73578
"UNITED STATES",1993,391249,688398,5406804,83181
"UNITED STATES",1992,378604,469169,3135575,68288
"UNITED STATES",1992,378604,218891,3746451,108592
"PERU",1992,173368,30289,1219280,73156
"BRAZIL",1993,853376,397316,3674580,84798
"ARGENTINA",1993,459869,645952,2444520,113875
"UNITED STATES",1992,681307,89501,4382070,89430
"UNITED STATES",1992,681307,756493,4183542,92967
"BRAZIL",1992,798346,72857,8600295,109791
"ARGENTINA",1993,42706,276711,4556790,101262
"BRAZIL",1992,603721,368626,6310727,101676
"CANADA",1992,685192,383802,9428950,113147
"CANADA",1992,685192,157526,921608,95011
"CANADA",1992,685192,287866,2169004,111231
"CANADA",1992,103961,322292,244456,78856
"UNITED STATES",1993,627179,317792,6515208,108586
"PERU",1992,827023,447189,1726963,68169
"UNITED STATES",1992,651034,323090,3846804,66784
"ARGENTINA",1992,845785,526476,2826108,90147
"UNITED STATES",1992,498626,708480,294713,89307
"ARGENTINA",1992,179846,523574,4902880,95853
"PERU",1993,465509,387775,2741982,111765
"CANADA",1992,204253,227773,2500117,102045
"PERU",1993,869173,509162,1288254,70268
"UNITED STATES",1993,557017,515273,4622241,77295
"PERU",1993,473252,752764,7766520,109003
"BRAZIL",1992,633146,609310,4150429,73156
"ARGENTINA",1992,633146,427369,2986767,77780
"BRAZIL",1993,584257,623811,7416184,104086
"UNITED STATES",1993,584257,269363,129237,79941
"CANADA",1993,323401,603038,2450364,56460
"ARGENTINA",1993,323401,371932,4328467,120235
"PERU",1993,898258,554636,1846146,101436
"ARGENTINA",1993,898258,162494,6291332,93389
"BRAZIL",1993,403451,440041,2233782,58861
"BRAZIL",1992,31627,464655,5027331,97177
"UNITED STATES",1992,70957,21457,5334601,82707
"UNITED STATES",1993,563177,192552,1700464,98673
"PERU",1992,400048,665342,2525722,78438
"UNITED STATES",1992,400048,259,5448475,69555
"ARGENTINA",1993,454681,425813,5918841,104327
"PERU",1993,858199,644284,5834187,73695
"ARGENTINA",1993,858199,471762,5894716,104024
"ARGENTINA",1992,685879,747970,5880277,121076
"CANADA",1993,142384,750660,2654897,102637
"UNITED STATES",1992,31093,338204,4844541,74531
"ARGENTINA",1993,579913,482156,5299133,68287
"UNITED STATES",1993,579913,386221,5037987,78432
"UNITED STATES",1992,142684,604387,4907130,77481
"BRAZIL",1993,174904,16753,7597362,100185
"PERU",1993,674536,642662,2536920,96277
"BRAZIL",1993,674536,408154,2996268,63727
"PERU",1993,674536,501005,2458615,60358
"PERU",1992,123055,264525,7006655,89370
"ARGENTINA",1992,123055,259087,1769950,62764
"BRAZIL",1993,430849,580370,1044252,87021
"CANADA",1993,299500,601280,3061800,70875
"ARGENTINA",1993,299500,109579,876890,95314
"PERU",1992,829906,39255,4633690,71655
"ARGENTINA",1993,350863,190050,2257299,68403
"CANADA",1993,350863,558529,3079750,95250
"BRAZIL",1993,350863,787923,3667863,120653
"BRAZIL",1993,815017,463354,1916715,79039
"PERU",1993,505978,695964,7682925,117595
"UNITED STATES",1993,505978,259560,2063548,91173
"UNITED STATES",1993,402380,148595,4623418,98615
"BRAZIL",1993,242605,483501,4512819,89068
"PERU",1993,242605,598274,4466673,82335
"ARGENTINA",1993,466877,428961,2812230,113396
"UNITED STATES",1993,466877,743077,3259316,67202
"ARGENTINA",1993,112181,294691,1705908,101140
"UNITED STATES",1992,760645,179460,2112139,92367
"UNITED STATES",1992,402163,272575,5037307,92853
"ARGENTINA",1992,745930,682069,3062701,63061
"ARGENTINA",1992,728137,193955,2610362,122937
"PERU",1993,363068,229994,6726234,115438
"BRAZIL",1992,1169,546474,5838528,91227
"CANADA",1992,738793,50762,4569643,102765
"CANADA",1992,519961,646362,5718710,78499
"UNITED STATES",1993,685000,426299,5763670,73516
"BRAZIL",1992,660187,258738,2161621,101803
"BRAZIL",1993,552857,596982,8981107,124737
"ARGENTINA",1992,30764,723910,3343678,116032
"ARGENTINA",1992,291971,686717,6245690,102220
"ARGENTINA",1992,351892,148396,6584974,86663
"ARGENTINA",1992,337340,337833,4596604,112249
"UNITED STATES",1992,561380,381008,300561,65339
"PERU",1992,135577,226604,5357065,91835
"UNITED STATES",1992,135577,650865,3842296,108949
"ARGENTINA",1993,256624,609457,2954200,81985
"PERU",1993,256624,734237,2074598,76272
"CANADA",1993,256624,310389,6239790,83962
"ARGENTINA",1993,124771,631393,3133435,79461
"ARGENTINA",1992,715154,280981,2888019,117718
"PERU",1993,798178,737704,4913251,104500
"UNITED STATES",1993,798178,199905,3969702,120294
"UNITED STATES",1993,423965,302577,7352851,94773
"UNITED STATES",1993,273502,518514,1728648,91949
"PERU",1992,443546,345145,4363016,71407
"UNITED STATES",1992,870526,758844,7078453,114168
"CANADA",1992,803296,560448,6018595,90505
"ARGENTINA",1993,151742,660843,4408511,108228
"BRAZIL",1993,612940,48996,1431512,116699
"CANADA",1992,515045,147204,4279104,75072
"CANADA",1993,833539,372069,3569204,68463
"ARGENTINA",1993,223796,153121,1841020,70447
"PERU",1993,223796,699304,4076628,78196
"UNITED STATES",1993,299449,588949,5748972,122275
"BRAZIL",1993,299449,62600,890682,93756
"CANADA",1992,837106,492938,5375653,115854
"ARGENTINA",1992,476425,605689,4401234,95679
"PERU",1993,349319,194546,1919431,98432
"ARGENTINA",1993,291085,681199,4777287,70809
"BRAZIL",1992,389659,160790,3808925,111047
"CANADA",1992,577762,81535,6976038,90991
"UNITED STATES",1992,839624,85354,4312707,80361
"CANADA",1992,615398,707786,3427856,107625
"UNITED STATES",1992,685729,410566,5872199,88592
"CANADA",1993,462074,622258,859200,70813
"ARGENTINA",1992,50098,183250,3695769,79995
"CANADA",1992,7970,735791,8145522,109605
"BRAZIL",1992,677104,599407,1247282,90382
"BRAZIL",1992,144158,291630,481621,97297
"CANADA",1993,725492,51217,3331734,70092
"BRAZIL",1992,413762,489851,4373812,110449
"BRAZIL",1992,413762,115972,5510652,119278
"ARGENTINA",1993,162043,488563,3030157,93092
"PERU",1993,42112,467841,3993874,108529
"CANADA",1993,706891,523281,4648382,78255
"CANADA",1993,157049,683394,1424190,82641
"UNITED STATES",1993,721408,788351,6143017,86359
"CANADA",1993,721408,201929,3907161,109854
"CANADA",1993,168337,17740,6788445,99464
"BRAZIL",1993,110536,135736,823854,106303
"ARGENTINA",1993,110536,556611,5117833,100055
"BRAZIL",1993,110536,551878,5503932,115791
"PERU",1992,372991,38278,729762,72976
"CANADA",1992,372991,133395,707053,85703
"ARGENTINA",1992,669176,516325,4332399,80478
"UNITED STATES",1993,732727,300872,1112478,112371
"ARGENTINA",1993,732727,201789,6424926,101446
"CANADA",1993,557365,682142,3844456,67446
"ARGENTINA",1992,282535,309208,4278422,73031
"ARGENTINA",1992,282535,707475,6066144,88946
"ARGENTINA",1992,136100,206149,2815086,63307
"PERU",1992,523288,782743,2546865,109542
"UNITED STATES",1993,759878,388639,3973526,103657
"PERU",1993,262658,497635,7434905,97956
"UNITED STATES",1993,262658,124451,3850924,88527
"ARGENTINA",1993,262658,442415,3493921,81443
"UNITED STATES",1993,404936,459770,678062,103785
"BRAZIL",1992,449098,438134,3290305,64326
"ARGENTINA",1992,872017,237906,542103,110633
"CANADA",1992,872017,541183,5458529,73449
"PERU",1992,256021,22395,2711188,79043
"BRAZIL",1992,256021,382764,5881898,110805
"PERU",1992,256021,723573,4491067,95792
"PERU",1992,755185,551602,3125266,99214
"BRAZIL",1993,405730,63400,3374415,81804
"PERU",1992,191075,425046,2769349,58261
"CANADA",1992,191075,214272,1239641,71175
"ARGENTINA",1992,186145,619100,201775,61144
"ARGENTINA",1992,663010,256058,3967938,60842
"ARGENTINA",1992,303253,132886,2855293,115132
"BRAZIL",1992,303253,614646,1236003,93636
"ARGENTINA",1993,377098,680984,1768455,117897
"CANADA",1993,377098,46483,1157878,85768
"BRAZIL",1993,96911,410021,4329150,55860
"CANADA",1993,708277,529759,2522109,107323
"UNITED STATES",1993,321892,78788,6646626,106006
"PERU",1993,725218,696094,2737140,65403
"PERU",1993,273340,689484,692521,88407
"PERU",1993,273340,146158,1679789,72249
"PERU",1993,419312,262954,5058804,115016
"UNITED STATES",1993,579382,85125,3737774,66607
"PERU",1993,579382,147249,5783822,77774
"BRAZIL",1993,579382,759123,989409,70925
"CANADA",1993,333946,456701,5036031,99460
"CANADA",1992,120520,344875,8447384,115191
"PERU",1992,120520,113048,5147105,63662
"PERU",1992,673219,289589,3299211,94714
"UNITED STATES",1992,213980,147630,966314,100657
"UNITED STATES",1992,213980,747200,2132660,74830
"ARGENTINA",1993,36232,106122,1821913,67687
"PERU",1993,36232,391926,1517468,121074
"UNITED STATES",1993,536549,381951,3746708,121976
"BRAZIL",1992,302665,265539,692079,90271
"ARGENTINA",1992,60925,15303,241223,73098
"UNITED STATES",1993,637150,385546,2078569,97891
"ARGENTINA",1993,637150,657981,7135336,116337
"UNITED STATES",1993,570274,47841,3541903,107330
"CANADA",1993,732718,17348,1562694,75920
"PERU",1992,76567,665519,2078272,89068
"ARGENTINA",1992,641674,612285,538762,71835
"CANADA",1992,725896,660083,3977149,62583
"PERU",1993,608345,131927,5283207,117535
"ARGENTINA",1993,131605,344577,5253854,97293
"PERU",1992,473431,629583,5368039,90753
"BRAZIL",1992,473431,127250,2467647,76635
"CANADA",1992,473431,282908,7752649,113453
"PERU",1992,345052,224963,5905507,113277
"BRAZIL",1992,301310,69542,861577,90692
"ARGENTINA",1992,301310,330900,1054265,115853
"BRAZIL",1993,617134,507882,2721398,113391
"UNITED STATES",1992,270205,61844,343109,108350
"BRAZIL",1992,281719,776981,391010,123477
"UNITED STATES",1993,402256,439254,4352903,71593
"BRAZIL",1993,402256,69878,1849717,110872
"ARGENTINA",1993,743674,386464,7054547,93027
"BRAZIL",1992,604513,347376,3626721,85401
"UNITED STATES",1992,604513,701090,4717743,65463
"UNITED STATES",1992,552769,483629,6226248,96756
"UNITED STATES",1993,357403,792626,7316037,103115
"ARGENTINA",1993,357403,62875,1819491,110272
"BRAZIL",1993,357403,738242,2024012,76812
"PERU",1992,37778,755064,1661759,67141
"ARGENTINA",1992,426331,348579,2210226,97653
"PERU",1992,426331,189273,2176907,81736
"PERU",1993,691513,238862,994069,108051
"UNITED STATES",1993,722497,676746,6651383,103362
"CANADA",1993,722497,401601,2528842,90154
"CANADA",1993,168688,625296,5051131,73275
"ARGENTINA",1993,168688,540981,4707122,121317
"UNITED STATES",1993,363665,436464,560176,84026
"CANADA",1993,363665,488178,4823196,69969
"UNITED STATES",1993,180925,57848,2687089,108350
"PERU",1993,214249,144632,1301064,100597
"PERU",1992,850693,768007,1123343,64498
"PERU",1992,850693,689883,3914256,112371
"CANADA",1993,329618,385833,7838379,115129
"CANADA",1993,329618,342426,2458118,88104
"BRAZIL",1992,572218,423089,552584,60723
"UNITED STATES",1992,572218,726078,3060398,66242
"BRAZIL",1992,679156,217433,879123,81025
"ARGENTINA",1993,755617,43183,772559,67570
"CANADA",1992,347674,479783,8376635,105765
"UNITED STATES",1992,347674,624940,1174893,111894
"CANADA",1993,639121,40386,643294,79582
"ARGENTINA",1993,564817,354280,245505,80056
"ARGENTINA",1992,563924,194966,4876231,123657
"PERU",1993,875746,146255,3997440,78075
"ARGENTINA",1993,758798,382670,2380112,105159
"UNITED STATES",1992,639260,392896,914884,119332
"UNITED STATES",1992,639260,222219,2729750,68472
"CANADA",1992,735125,764278,6120614,80534
"CANADA",1992,331019,603141,601407,62646
"ARGENTINA",1993,34813,589407,290297,89782
"CANADA",1993,34813,794488,6228523,94947
"ARGENTINA",1993,34813,143734,3967893,106663
"ARGENTINA",1992,11059,144913,1603528,117474
"PERU",1992,322405,788368,3696165,87379
"ARGENTINA",1992,322405,496276,4978314,76335
"PERU",1992,625669,317873,7487805,113451
"BRAZIL",1993,416021,633113,1868298,62764
"UNITED STATES",1992,405107,301859,508009,111650
"CANADA",1993,125030,2901,4646846,108234
"UNITED STATES",1993,125030,763350,5346589,84799
"UNITED STATES",1993,125030,21889,2086133,108652
"ARGENTINA",1992,773918,608485,1365581,83607
"BRAZIL",1992,373997,280318,1133415,77898
"UNITED STATES",1992,166393,14288,4813929,72136
"ARGENTINA",1993,599273,641596,7157341,92253
"BRAZIL",1992,230783,285763,5246250,104925
"PERU",1992,230783,209559,5736117,88112
"ARGENTINA",1993,877696,363792,341463,111346
"PERU",1992,284092,441910,6233461,111113
"BRAZIL",1993,226322,311904,1456076,114953
"CANADA",1992,377047,378502,6026408,94829
"UNITED STATES",1993,823111,558873,2179126,115911
"UNITED STATES",1993,294928,68330,5736021,77899
"ARGENTINA",1993,552637,606107,1695879,60784
"CANADA",1992,143380,209701,3633716,96641
"PERU",1992,478879,113009,3009790,61320
"ARGENTINA",1992,478879,225043,801528,58081
"PERU",1993,161860,364924,560872,119334
"BRAZIL",1992,564929,728222,1725262,75011
"CANADA",1992,705085,39978,2946001,115078
"UNITED STATES",1993,364901,35447,4288328,82946
"PERU",1993,76819,221132,3649060,63187
"BRAZIL",1992,458516,713139,2543836,69126
"ARGENTINA",1992,458516,120025,1236258,62701
"BRAZIL",1992,458516,419899,7864793,109132
"BRAZIL",1992,27295,453532,6617947,89130
"PERU",1992,27295,798725,6255256,109421
"PERU",1992,200686,601257,104239,69493
"ARGENTINA",1993,680678,470150,4816559,67207
"ARGENTINA",1993,680678,283215,4416565,71892
"UNITED STATES",1993,680678,779758,5276094,110263
"CANADA",1993,680678,590841,7524438,115909
"CANADA",1993,680678,648842,2686215,107448
"PERU",1992,443098,184684,5486445,106120
"BRAZIL",1992,443098,152782,6142843,110086
"ARGENTINA",1992,279971,393840,9381009,116029
"ARGENTINA",1993,726448,634443,5449033,82644
"BRAZIL",1992,658700,534174,4336050,72489
"PERU",1992,647173,316342,3689224,81499
"ARGENTINA",1992,612287,249254,985453,72194
"CANADA",1992,612287,460343,234597,78199
"PERU",1992,106192,768344,838912,84738
"PERU",1992,464299,158907,1096972,117954
"ARGENTINA",1992,527425,320687,648914,102460
"BRAZIL",1993,881851,253067,2350195,61203
"CANADA",1993,536956,254099,1979790,63184
"UNITED STATES",1992,202441,68351,2481697,79161
"ARGENTINA",1992,202441,82269,1486496,75075
"BRAZIL",1992,202441,285810,1916118,107748
"CANADA",1993,423430,479376,3990150,81321
"CANADA",1993,305902,407264,1492159,70274
"UNITED STATES",1993,569321,160952,1006475,120777
"CANADA",1993,303577,679792,7661090,106305
"BRAZIL",1993,133534,191727,8555258,109123
"UNITED STATES",1993,808817,301640,5770329,98497
"CANADA",1993,808817,62046,3911195,60482
"CANADA",1992,311044,320897,9589400,115072
"ARGENTINA",1992,311044,507297,5008396,78256
"UNITED STATES",1992,56291,407227,2295620,68052
"ARGENTINA",1992,176761,221565,4519112,89193
"CANADA",1993,351904,473310,5174225,76997
"CANADA",1993,351904,518583,456444,96093
"UNITED STATES",1992,522908,745926,3091923,118313
"PERU",1993,353188,170680,6024089,105040
"ARGENTINA",1993,353188,607847,1000241,105288
"PERU",1993,353188,773609,4522748,100954
"PERU",1993,213265,598791,6349627,113386
"PERU",1993,512926,401004,915839,54298
"PERU",1993,512926,491019,2547194,60599
"CANADA",1992,716257,566900,1947211,118012
"PERU",1992,716257,673109,4181118,64924
"PERU",1992,125038,699177,5763086,70568
"CANADA",1992,314858,767597,8073116,99873
"PERU",1992,92060,54749,851870,102224
"ARGENTINA",1992,92060,427219,1031571,68771
