"s_nation","d_yearmonthnum","lo_custkey","lo_partkey","lo_revenue","lo_supplycost"
"SAUDI ARABIA",199208,208339,51345,1143371,77780
"SAUDI ARABIA",199212,168854,201122,4411650,61386
"IRAN",199212,168854,452154,4336029,66367
"IRAN",199207,20731,113400,1837420,84804
"IRAQ",199210,153449,161844,5849022,114350
"EGYPT",199210,153449,377906,8641824,119033
"IRAN",199202,63503,490447,2419177,86245
"EGYPT",199212,175276,573077,5290230,69003
"IRAQ",199201,39257,337692,7783560,103780
"SAUDI ARABIA",199203,275305,386708,6101946,107681
"JORDAN",199203,235457,122113,3225982,68106
"JORDAN",199206,124582,808,2734080,102528
"JORDAN",199208,158599,567475,6478290,92547
"IRAQ",199203,22924,95435,2431731,85825
"IRAQ",199203,69896,470354,3504177,79459
"SAUDI ARABIA",199207,184393,351879,7379746,115851
"IRAN",199208,157856,560096,1156070,69364
"JORDAN",199205,45166,42611,4614221,93216
"JORDAN",199208,138364,183031,441155,66841
"SAUDI ARABIA",199207,251317,313807,5098212,109247
"JORDAN",199208,233642,31618,2634337,92976
"SAUDI ARABIA",199206,281278,350128,461819,70686
"SAUDI ARABIA",199211,84898,566841,6543822,114469
"SAUDI ARABIA",199209,229945,90253,492327,74595
"IRAQ",199205,35566,425542,1452844,88051
"IRAQ",199205,7453,471047,5039199,61081
"EGYPT",199209,168463,564246,4879259,78613
"EGYPT",199210,225868,16397,6306898,78803
"IRAN",199209,53447,313670,166682,101019
"IRAQ",199202,175972,405568,2310510,88412
"SAUDI ARABIA",199202,175972,223988,1529576,114718
"JORDAN",199209,209326,108800,6804705,108528
"EGYPT",199209,209326,395289,4476729,83056
"SAUDI ARABIA",199201,146716,107432,6045606,86365
"IRAN",199208,128771,2985,4440528,113278
"IRAN",199206,116222,253123,532674,64566
"IRAQ",199210,45166,23891,3912902,108893
"SAUDI ARABIA",199210,45166,11678,3815208,95380
"SAUDI ARABIA",199206,3073,78727,3377325,102343
"EGYPT",199204,267901,15822,8167754,104269
"EGYPT",199205,226028,394179,378128,76389
"EGYPT",199203,217976,224303,2065529,73637
"EGYPT",199201,137462,562550,5643855,96751
"SAUDI ARABIA",199205,220439,509611,810295,97235
"JORDAN",199205,210121,12773,7080234,101146
"IRAN",199205,172112,359841,7339104,114049
"JORDAN",199208,42937,150225,5049871,76513
"IRAN",199201,6766,581487,6148363,94107
"EGYPT",199210,221398,383939,2775446,121375
"IRAQ",199206,32597,428746,3446573,100483
"EGYPT",199209,8885,348793,7219777,110506
"EGYPT",199205,157091,349955,1964841,120296
"JORDAN",199203,156520,22075,3454847,59824
"JORDAN",199206,190147,152490,3206836,92549
"JORDAN",199206,190147,118797,1452632,108947
"EGYPT",199206,190147,417532,6108235,86970
"SAUDI ARABIA",199203,111037,312814,180853,109608
"IRAN",199202,19501,337666,1855274,102219
"SAUDI ARABIA",199211,21667,400401,2550704,78082
"JORDAN",199211,21667,528152,3776416,70807
"JORDAN",199208,90962,162043,2382466,66302
"IRAQ",199211,4429,146449,6594890,89726
"SAUDI ARABIA",199211,99914,371955,9230684,121616
"IRAQ",199209,279772,425068,681225,59582
"SAUDI ARABIA",199212,170386,556335,2226096,83478
"IRAQ",199205,84106,352796,7428398,110926
"JORDAN",199209,159224,38221,1817656,69553
"IRAQ",199203,119837,407573,6009552,88833
"JORDAN",199202,213700,90824,3448158,108889
"SAUDI ARABIA",199202,213700,328682,7544054,102640
"JORDAN",199202,52600,200465,4779075,81927
"JORDAN",199202,299275,395776,741216,112305
"IRAN",199204,104926,237092,1029080,61744
"EGYPT",199207,137284,458004,2952316,57718
"IRAQ",199207,137284,27162,2881917,65349
"EGYPT",199208,239209,162539,5336297,96091
"IRAQ",199208,219130,422496,4493712,85108
"IRAQ",199207,169777,31324,4017024,75319
"EGYPT",199207,223177,57186,3734769,68590
"JORDAN",199202,98947,392601,5419488,101615
"IRAN",199204,157756,93821,544446,108889
"IRAN",199204,157756,289570,5502127,93573
"IRAQ",199205,210298,504813,178143,109067
"IRAQ",199204,234502,217933,4947509,111055
"EGYPT",199202,133408,598591,1351656,101374
"IRAQ",199202,254419,562218,3168470,76811
"JORDAN",199202,105952,299512,592508,90690
"IRAQ",199206,72329,127407,4686184,86064
"EGYPT",199211,285158,302179,1535508,70869
"IRAQ",199212,251275,384562,6256890,98793
"JORDAN",199201,194746,46963,8130699,114597
"IRAQ",199205,125596,334177,3916891,72669
"JORDAN",199202,252202,595419,5451804,90863
"EGYPT",199204,126265,226416,805440,80544
"EGYPT",199206,176761,438494,3649933,85948
"SAUDI ARABIA",199210,219850,205187,856261,65530
"SAUDI ARABIA",199209,135496,483955,2660211,116335
"IRAN",199212,94270,589194,4876046,76990
"IRAN",199203,145084,598601,4879494,101974
"IRAN",199202,255778,427432,4844937,81564
"IRAN",199210,79324,207322,3196206,73758
"IRAN",199210,79324,416787,4554150,102225
"EGYPT",199201,278338,52737,669133,101383
"JORDAN",199209,209971,347717,1058820,105882
"IRAQ",199209,209971,155063,3242374,67083
"IRAN",199202,38392,326467,1330663,89607
"IRAN",199209,164165,520021,2164239,62460
"IRAQ",199209,164165,388684,8164918,106360
"JORDAN",199206,294379,69823,7632034,107569
"EGYPT",199210,178076,274930,1904920,114295
"SAUDI ARABIA",199211,119608,217891,5014215,108532
"IRAN",199202,221408,134167,1545892,72069
"IRAN",199209,9211,138451,1916922,89367
"JORDAN",199202,84961,495505,2058658,90028
"JORDAN",199203,209056,302663,989396,99939
"EGYPT",199205,207388,402048,4375792,57001
"JORDAN",199204,118417,245420,3003902,81924
"SAUDI ARABIA",199212,28618,51737,4468379,101323
"IRAN",199209,167834,64580,1529134,92674
"IRAN",199209,264940,309170,466947,70749
"EGYPT",199210,27505,57050,598187,60423
"JORDAN",199204,30185,357317,4122900,82458
"EGYPT",199201,194617,492495,2082458,89248
"SAUDI ARABIA",199212,166724,333950,392820,119036
"SAUDI ARABIA",199203,82891,567470,3228645,92247
"EGYPT",199210,84796,375141,3891616,72967
"IRAN",199205,221191,133448,5426514,88886
"EGYPT",199205,147508,383303,1921397,83177
"SAUDI ARABIA",199205,243025,553942,197596,119755
"IRAQ",199203,143122,48962,3216145,114657
"IRAN",199209,186022,166941,196778,120476
"JORDAN",199206,43313,304253,502896,75434
"IRAQ",199201,99787,332894,5476192,115612
"IRAQ",199204,148528,509799,1418075,108526
"IRAQ",199209,235340,102516,892883,91110
"IRAQ",199211,274040,170719,175391,107382
"IRAQ",199202,119800,223061,295215,59043
"EGYPT",199209,235096,242071,3039180,60783
"EGYPT",199211,135608,133210,4307722,74592
"EGYPT",199211,135608,301738,4133574,104383
"JORDAN",199209,142829,402752,4378415,99283
"IRAN",199203,181745,166155,2296983,73269
"IRAQ",199201,55846,205373,4935747,76701
"IRAQ",199208,252943,72279,3801358,75076
"SAUDI ARABIA",199210,40699,541744,3928584,107143
"SAUDI ARABIA",199210,145720,108248,4924460,75374
"EGYPT",199211,130915,210202,2532456,66731
"IRAQ",199204,199889,594521,3358624,96930
"EGYPT",199209,206641,557858,4318280,114949
"EGYPT",199211,61975,211237,2273475,68893
"SAUDI ARABIA",199211,61975,57795,2233054,105167
"EGYPT",199211,225386,95489,1039136,89068
"IRAN",199204,272818,362174,4450176,74169
"IRAN",199202,9622,191794,3696148,113147
"EGYPT",199204,82976,510657,6837283,100057
"IRAN",199201,137467,354800,8263089,111287
"JORDAN",199206,260741,374315,2450725,83358
"IRAN",199204,273032,387619,7509040,102396
"IRAQ",199202,45880,421952,8719396,112435
"JORDAN",199211,111985,421357,1406163,76699
"IRAQ",199210,2185,522531,1217951,93210
"IRAN",199201,174665,266285,867130,75076
"IRAN",199209,198535,464459,427029,85405
"IRAQ",199203,123793,255925,7711731,112854
"IRAN",199203,123793,82476,4909210,87508
"SAUDI ARABIA",199209,148897,521797,6060141,109126
"IRAQ",199202,210886,370769,5703225,110385
"EGYPT",199207,215114,67087,3756741,63244
"IRAQ",199209,248513,494508,4859020,90148
"IRAN",199203,4699,135329,1364320,81859
"IRAQ",199207,206447,347222,5224068,76152
"IRAQ",199210,96490,39321,126032,75619
"EGYPT",199202,188927,309577,4083805,95193
"SAUDI ARABIA",199206,63887,19509,424264,85710
"IRAN",199212,293513,291688,7815504,100780
"IRAN",199206,221336,558501,6393868,93568
"JORDAN",199211,17290,500249,2844473,74953
"IRAQ",199211,53794,38153,1710923,65469
"EGYPT",199211,22624,72728,8000186,102043
"EGYPT",199206,148085,165454,2886955,91167
"SAUDI ARABIA",199202,141854,8,269676,54480
"EGYPT",199203,282742,40400,663498,80424
"IRAN",199204,139972,317465,3261390,88947
"EGYPT",199209,120191,336707,1394952,104621
"IRAN",199209,260624,255484,6045774,86368
"IRAN",199208,203932,337561,1266051,95913
"IRAN",199202,272263,260558,1353019,91112
"IRAQ",199212,38222,414426,3184790,80424
"IRAQ",199206,115675,18398,6450311,78983
"IRAN",199205,261634,314993,8945550,120478
"EGYPT",199205,94817,142152,1755400,71649
"SAUDI ARABIA",199206,31324,163916,4900277,118794
"SAUDI ARABIA",199206,31324,414304,955131,73096
"JORDAN",199203,162589,7614,7230690,91296
"EGYPT",199209,102283,201376,3832080,76641
"SAUDI ARABIA",199211,288721,97588,3139448,95134
"IRAQ",199211,288721,153099,2822620,69125
"IRAN",199208,11014,468671,2249599,98379
"IRAQ",199207,20785,496552,5311457,92911
"SAUDI ARABIA",199207,20785,141688,2397336,103780
"IRAN",199206,161116,103520,1218816,91411
"IRAN",199201,21376,143566,1419631,96573
"EGYPT",199203,56221,190943,5084850,122036
"EGYPT",199207,22573,241813,5385481,105288
"JORDAN",199207,22573,338166,2769545,72249
"EGYPT",199201,101936,329680,4062175,102580
"JORDAN",199206,176075,269232,3243294,72073
"IRAN",199211,71989,250794,4187472,104686
"SAUDI ARABIA",199212,283399,425106,4899692,61864
"JORDAN",199203,27491,527516,1234792,92609
"EGYPT",199203,113341,586735,5534354,109302
"EGYPT",199208,218011,42041,3538944,58982
"JORDAN",199204,270493,507135,4454229,68526
"SAUDI ARABIA",199203,169519,424453,3272773,82645
"IRAQ",199212,42352,440215,4301927,69311
"IRAN",199209,211822,40321,5993792,75679
"JORDAN",199203,204145,47415,4139001,81744
"JORDAN",199206,143194,205309,5409661,72857
"EGYPT",199206,143194,28202,2325951,67812
"IRAN",199205,263330,488201,2972950,71350
"IRAQ",199212,273532,319150,2199152,70148
"IRAN",199206,187801,400316,1946064,72977
"IRAN",199209,263293,27603,606117,91836
"EGYPT",199206,299419,180146,5885472,73568
"EGYPT",199206,299419,160305,1216482,81918
"IRAQ",199205,196231,581727,6804329,108522
"IRAN",199202,279032,45653,7676717,95919
"SAUDI ARABIA",199202,279032,483399,6502668,82942
"EGYPT",199212,82478,434871,7765155,108351
"EGYPT",199204,193891,50320,3683928,76219
"IRAQ",199210,237685,269001,4033218,58199
"EGYPT",199201,53929,455151,4599288,66367
"IRAN",199209,50261,224833,3867204,105469
"SAUDI ARABIA",199207,187252,176380,3139955,87382
"IRAN",199207,187252,407243,4099384,69013
"SAUDI ARABIA",199209,282767,444232,2940525,70572
"JORDAN",199201,175568,395669,5470415,105879
"EGYPT",199206,284248,284465,5452830,86967
"JORDAN",199206,252563,371493,7589292,93868
"SAUDI ARABIA",199206,252563,66461,1837141,85647
"SAUDI ARABIA",199202,58114,375679,8081963,105279
"JORDAN",199206,101833,7412,4963620,79164
"SAUDI ARABIA",199207,62416,137106,4144880,68586
"JORDAN",199205,205702,113555,5533844,94113
"SAUDI ARABIA",199205,167764,540468,2240033,90506
"SAUDI ARABIA",199211,79546,120372,4230020,83542
"EGYPT",199205,241627,487399,6377302,83182
"JORDAN",199208,55495,548680,864330,103719
"IRAQ",199208,55495,256100,2483923,63365
"SAUDI ARABIA",199205,21937,509040,2596324,62941
"IRAQ",199205,287027,136191,5102656,73631
"IRAQ",199209,51454,224164,2369990,65289
"IRAQ",199206,158351,137990,9125955,121679
"JORDAN",199210,53825,312569,2372325,94893
"IRAQ",199212,241783,57121,5123226,64687
"EGYPT",199211,177313,284871,3307142,111351
"EGYPT",199201,1658,428075,884690,60183
"JORDAN",199202,73606,196604,1851953,102036
"IRAN",199204,33106,138848,5603914,113210
"SAUDI ARABIA",199205,72334,58363,3171264,79281
"IRAN",199201,228604,503608,966948,96694
"IRAQ",199201,228604,520551,4667444,94291
"IRAQ",199212,37192,476885,4282278,111711
"EGYPT",199208,94303,492890,4243988,112972
"JORDAN",199206,71389,121166,4936211,71229
"EGYPT",199206,18965,112917,578973,115794
"SAUDI ARABIA",199205,248438,53106,5189590,63546
"JORDAN",199209,263668,144127,344309,70267
"IRAN",199201,270298,238078,3657816,60963
"SAUDI ARABIA",199207,102850,533006,3532532,62338
"JORDAN",199207,65561,126251,2023164,76635
"SAUDI ARABIA",199203,219728,234545,4833624,88771
"EGYPT",199202,272443,405315,3050725,73217
"EGYPT",199204,270389,95365,5521701,81621
"JORDAN",199204,270389,34761,5256856,101745
"SAUDI ARABIA",199209,17221,151644,4486663,101738
"IRAQ",199203,13762,588080,3971404,70083
"EGYPT",199203,13762,56714,1670710,100242
"IRAQ",199204,209261,51328,2686572,76759
"IRAQ",199203,142639,476813,4116517,107387
"IRAN",199211,252049,552234,4456717,77172
"JORDAN",199203,95200,477751,2938841,103723
"EGYPT",199201,287248,339763,7932100,108165
"SAUDI ARABIA",199204,108832,538133,5279363,70266
"SAUDI ARABIA",199208,15235,167973,7200542,122458
"EGYPT",199202,26831,62899,744756,111713
"IRAN",199209,209536,289488,1013544,88648
"SAUDI ARABIA",199205,253405,552654,3010495,102397
"JORDAN",199201,182272,83286,5330976,76156
"JORDAN",199201,258406,2422,1297931,79465
"IRAN",199212,20624,344715,1034703,105582
"EGYPT",199211,112000,303789,7986790,107566
"EGYPT",199202,41324,395813,8503704,114528
"EGYPT",199208,87983,231048,4749274,58741
"JORDAN",199212,104503,389489,5840339,94708
"SAUDI ARABIA",199210,276094,419813,5198370,103967
"SAUDI ARABIA",199212,200068,426543,3637062,88171
"EGYPT",199203,152161,144208,4295046,75132
"EGYPT",199207,242899,475012,390848,59219
"IRAQ",199211,277063,280405,814609,83123
"SAUDI ARABIA",199203,45037,63398,3735654,81683
"IRAQ",199212,186502,459640,950174,95977
"EGYPT",199201,129419,208270,2886737,70695
"SAUDI ARABIA",199209,156743,163012,860008,64500
"SAUDI ARABIA",199207,14536,592355,716428,86839
"IRAQ",199202,84973,44812,4348104,105408
"EGYPT",199202,84973,65175,670419,68410
"EGYPT",199209,200965,436357,3329031,77599
"IRAN",199204,30175,111940,573870,117116
"JORDAN",199210,282220,166420,735777,89185
"JORDAN",199210,282220,277419,4887400,83784
"IRAN",199210,15796,319355,942797,82460
"EGYPT",199210,170789,94120,2620410,66847
"IRAN",199207,62854,358036,1732927,65641
"JORDAN",199204,163303,106546,7607446,93152
"IRAN",199212,298070,236141,4265434,64627
"SAUDI ARABIA",199208,47149,111330,1062333,80479
"SAUDI ARABIA",199206,141349,119415,7028609,86064
"IRAN",199201,6460,301768,1061850,106185
"IRAQ",199201,183343,599254,947261,81193
"IRAQ",199201,71566,67284,500512,75076
"IRAN",199203,10327,221806,8638950,103667
"JORDAN",199212,6938,529911,2717246,116453
"EGYPT",199206,93442,417903,2704006,109252
"SAUDI ARABIA",199203,75577,75442,280653,85046
"IRAN",199210,104804,32688,1123131,97240
"IRAQ",199206,276757,247234,701644,70873
"EGYPT",199209,171814,396101,3519444,71825
"IRAN",199211,101716,524065,1078149,65342
"JORDAN",199201,150097,157836,1325681,113629
"IRAN",199207,210034,401693,7016548,95680
"EGYPT",199209,242941,467899,186687,112012
"JORDAN",199201,279365,10804,6859200,102888
"EGYPT",199207,136567,297968,9829750,117957
"JORDAN",199205,155645,377101,471236,70685
"EGYPT",199212,125014,92442,284019,86066
"JORDAN",199204,66671,275997,7891920,118378
"JORDAN",199209,35693,588176,3754525,75849
"IRAQ",199209,35693,578169,1870710,74828
"JORDAN",199212,158047,325429,5416222,87264
"SAUDI ARABIA",199208,61579,444445,4814340,83365
"IRAN",199208,61579,434604,7006693,92314
"IRAQ",199206,64252,300629,6291924,97776
"SAUDI ARABIA",199204,24292,83043,4822388,61562
"SAUDI ARABIA",199205,267164,447473,3758510,85227
"IRAN",199211,69127,69935,6160543,114295
"JORDAN",199205,163144,427796,7432896,103426
"SAUDI ARABIA",199205,287357,221793,3734790,102886
"EGYPT",199202,192202,313690,1502645,102220
"IRAQ",199202,57869,102337,1988905,80359
"SAUDI ARABIA",199211,183394,34789,4778318,103426
"IRAQ",199211,183394,246126,1155734,64326
"EGYPT",199202,77440,509722,7127677,103902
"SAUDI ARABIA",199207,13934,4514,3370379,85110
"IRAN",199203,23299,139123,929696,69727
"IRAQ",199205,33337,225555,2198601,88832
"IRAQ",199212,175868,189280,2190848,82156
"IRAQ",199210,37450,570273,1448023,80595
"IRAQ",199212,47830,83809,7730553,107568
"SAUDI ARABIA",199212,8450,414128,3855770,62526
"IRAQ",199205,282649,572945,1384293,121075
"JORDAN",199207,296170,319682,6670546,102100
"EGYPT",199204,147229,439066,3681461,60302
"SAUDI ARABIA",199201,198794,112001,4467330,60780
"JORDAN",199201,198794,189142,2413034,73868
"JORDAN",199201,149215,93728,5795309,103303
"EGYPT",199211,230803,424534,5288557,87510
"JORDAN",199201,228451,180358,6904080,86301
"EGYPT",199205,72286,582638,8430989,103236
"JORDAN",199212,289280,495195,2238709,71410
"JORDAN",199209,37555,271046,2416463,61021
"EGYPT",199207,177526,474859,2156584,110029
"IRAQ",199201,58013,379223,4769995,78132
"IRAN",199207,80687,245957,7459524,114176
"SAUDI ARABIA",199211,101359,255454,976741,84566
"JORDAN",199204,36595,217784,1191239,102106
"IRAN",199202,236137,280254,4887590,74054
"JORDAN",199207,190496,420894,7366557,108892
"EGYPT",199208,95605,152103,3888066,69306
"IRAQ",199202,72620,366444,1661473,90625
"IRAQ",199206,268156,559547,7711296,96391
"IRAN",199211,178361,377115,1430520,71526
"IRAQ",199201,160789,462211,2555207,70391
"EGYPT",199203,273161,431274,1193197,72315
"IRAQ",199208,105689,280359,133934,80360
"JORDAN",199208,105689,353139,5428914,71527
"IRAN",199204,151451,115623,3604964,98317
"IRAQ",199211,78205,45484,1286532,85768
"EGYPT",199202,278048,321333,5043487,81259
"EGYPT",199201,168322,379547,5796952,97591
"IRAQ",199204,136486,393771,6944366,111885
"JORDAN",199203,87997,289079,213612,64083
"JORDAN",199203,87997,280157,4434846,68228
"IRAQ",199209,261919,234776,2514817,102645
"IRAN",199205,99106,526025,4325916,63060
"JORDAN",199210,143173,271074,1758835,62703
"IRAN",199212,285710,257800,1722634,105467
"IRAQ",199210,122437,589049,1251822,68281
"JORDAN",199210,122437,566117,1892944,70985
"IRAQ",199207,199216,403816,3370788,103187
"EGYPT",199204,146917,532897,5158542,115792
"SAUDI ARABIA",199205,40672,49899,6772484,110933
"JORDAN",199203,187810,323987,8361613,120658
"SAUDI ARABIA",199205,40729,169757,5907709,109605
"IRAN",199211,55705,132871,5654493,114232
"IRAQ",199212,93740,363783,5067536,110806
"SAUDI ARABIA",199205,272140,475601,7107222,94594
"EGYPT",199201,80821,588077,815535,69903
"JORDAN",199201,235762,81933,5308185,114895
"IRAQ",199212,111010,63510,5543344,88410
"IRAN",199206,291077,48801,6299280,104988
"SAUDI ARABIA",199206,101512,316042,1058030,63481
"IRAQ",199201,115450,204168,1061428,64329
"JORDAN",199201,111359,321545,4072978,93991
"IRAN",199212,131039,524600,796044,97474
"EGYPT",199202,189385,395670,4061018,105939
"IRAQ",199205,262942,583080,1046754,69783
"SAUDI ARABIA",199211,31274,270384,406311,81262
"EGYPT",199206,285298,531856,4342009,113269
"SAUDI ARABIA",199202,269458,51239,2356655,71413
"JORDAN",199206,287897,403259,1265668,69733
"SAUDI ARABIA",199201,108562,458223,5197280,70872
"IRAN",199206,157874,212648,5407582,93637
"JORDAN",199206,157874,417101,604739,61084
"IRAN",199204,36868,224916,2164898,110454
"SAUDI ARABIA",199201,253945,504692,2687525,101800
"IRAN",199205,11470,580829,4915825,114588
"IRAQ",199212,197833,418035,2615059,57180
"IRAN",199204,6785,114524,1846224,92311
"IRAN",199212,212723,152419,5972453,88284
"IRAN",199201,1606,395909,8336332,120293
"SAUDI ARABIA",199210,2077,532632,6325518,99876
"SAUDI ARABIA",199204,25840,545955,980455,120055
"EGYPT",199212,111916,111331,4966621,80539
"SAUDI ARABIA",199212,81752,44080,3953972,61444
"SAUDI ARABIA",199212,37030,515652,6170231,100057
"IRAQ",199202,230239,97686,3833739,101020
"SAUDI ARABIA",199203,151762,187993,6034871,124859
"IRAQ",199204,288127,11218,5081445,67752
"IRAQ",199205,90475,138316,4156377,81258
"SAUDI ARABIA",199209,293272,321820,360994,110508
"SAUDI ARABIA",199209,78583,243926,4998269,112194
"IRAQ",199202,118492,437934,5744891,112314
"IRAN",199207,67726,398008,4202762,66359
"SAUDI ARABIA",199206,277672,374731,3008329,108343
"JORDAN",199208,212416,477328,5372614,78318
"IRAN",199203,279896,462134,1844753,65766
"IRAN",199211,34966,424920,1265601,110694
"EGYPT",199208,265156,556795,2540628,111106
"SAUDI ARABIA",199208,265156,184561,6516417,98733
"IRAQ",199206,52462,82664,2743335,98799
"SAUDI ARABIA",199201,62660,67885,733740,111172
"SAUDI ARABIA",199212,230699,12807,1203860,103188
"JORDAN",199203,90844,39753,331779,101565
"IRAN",199203,98930,595283,4727431,82695
"EGYPT",199210,185584,205275,231330,70815
"EGYPT",199202,69724,111689,1666666,102040
"SAUDI ARABIA",199202,48080,167938,9239313,120355
"JORDAN",199204,299645,228073,4404664,60063
"IRAN",199211,83428,267973,4852400,116457
"JORDAN",199212,283586,298080,2774952,64684
"EGYPT",199212,283586,229644,1730993,94417
"IRAN",199211,212023,18860,3660893,106731
"SAUDI ARABIA",199204,294280,328202,4551703,73811
"IRAN",199203,126862,559864,942681,115430
"JORDAN",199209,50716,411781,7373662,101565
"EGYPT",199211,64304,228899,365576,109672
"EGYPT",199201,188021,487244,3499127,73873
"IRAN",199202,169894,127682,7108849,102580
"SAUDI ARABIA",199204,200906,352453,442599,90326
"IRAN",199212,228899,399662,4756455,105699
"EGYPT",199201,191977,510289,3118224,77955
"JORDAN",199212,257635,542245,2676130,77233
"SAUDI ARABIA",199206,229144,597890,5649526,119272
"IRAN",199207,92300,320163,4969230,70989
"SAUDI ARABIA",199209,121327,401515,1963255,84989
"JORDAN",199211,188090,504745,7523796,104983
"IRAQ",199203,5818,498145,2716053,68587
"SAUDI ARABIA",199209,113444,230562,5119446,89553
"IRAQ",199204,287329,114882,5633733,113812
"EGYPT",199208,127003,309916,4575938,115554
"JORDAN",199202,109394,434831,2768790,105948
"IRAQ",199205,83252,367358,2398847,85520
"IRAN",199205,83252,315867,7565291,112971
"SAUDI ARABIA",199206,292000,173414,2769557,89244
"JORDAN",199203,229426,201550,2730346,87092
"SAUDI ARABIA",199205,184955,239459,4707149,83906
"IRAN",199207,237869,227351,2045344,76700
"IRAN",199210,86767,501685,1335834,101199
"EGYPT",199212,6305,204542,3436955,86791
"IRAN",199204,18781,465500,4739362,87928
"EGYPT",199204,14143,297247,2737306,74653
"EGYPT",199202,180677,39675,6329506,96880
"SAUDI ARABIA",199208,179876,567555,2862142,97351
"JORDAN",199209,63109,320421,2162115,86484
"IRAN",199207,133202,458273,4510068,73875
"IRAQ",199204,39076,182506,157261,95310
"IRAQ",199209,35066,54400,4022568,81264
"SAUDI ARABIA",199205,204314,60597,2621423,93455
"JORDAN",199206,19658,266142,5046424,66487
"IRAN",199206,279410,370068,1251855,68283
"IRAN",199204,274399,489485,4045918,88467
"IRAQ",199207,190313,336214,5125820,75012
"SAUDI ARABIA",199209,56971,516853,7853286,112189
"SAUDI ARABIA",199208,90133,307287,4566184,77656
"JORDAN",199205,296207,96726,8186365,103363
"SAUDI ARABIA",199207,198820,251647,6330574,95917
"EGYPT",199209,38509,565687,3154788,105159
"EGYPT",199206,115399,318082,440028,66004
"JORDAN",199211,231679,29946,2626316,112556
"EGYPT",199211,251999,565584,3879765,98973
"EGYPT",199205,44327,482442,4415702,85465
"IRAN",199208,257968,445590,2128300,92134
"IRAN",199210,186053,494848,3611927,110569
"EGYPT",199210,186053,191992,4332615,125039
"SAUDI ARABIA",199207,283315,348520,7764124,94110
"IRAQ",199211,292769,325749,1932680,106483
"IRAQ",199206,179530,201289,4006448,71416
"IRAQ",199212,252772,481963,9530206,116696
"IRAQ",199202,169246,116017,2582525,61980
"IRAQ",199203,236575,22845,8750808,106070
"SAUDI ARABIA",199210,242308,471262,2930178,73994
"IRAQ",199204,31289,413683,2075658,95799
"IRAN",199201,206078,216771,7277621,101265
"SAUDI ARABIA",199201,206078,545233,4634789,76692
"IRAN",199207,277502,155015,1271171,64200
"IRAN",199203,254746,184015,5062040,65940
"IRAQ",199206,292727,106705,6038877,102702
"EGYPT",199207,138098,464365,5732114,79760
"IRAN",199212,134437,574653,5010127,103657
"EGYPT",199212,134437,295915,4395070,114654
"JORDAN",199208,259592,542582,6686688,97473
"EGYPT",199211,35389,518224,2069505,74532
"IRAN",199205,260660,298681,5206977,100780
"EGYPT",199205,260660,325887,8810679,114772
"IRAQ",199205,260660,455062,2746008,61022
"JORDAN",199210,164380,531701,4851504,103960
"EGYPT",199212,166198,164390,2879692,87263
"SAUDI ARABIA",199212,280285,164220,6356889,77053
"SAUDI ARABIA",199212,280285,2824,1692283,103609
"IRAN",199209,272575,533669,4086336,102158
"IRAQ",199209,272575,337367,6319575,84261
"JORDAN",199210,250091,416628,1987900,92676
"JORDAN",199201,196351,442658,5602205,96037
"EGYPT",199202,180689,472976,3819942,116937
"JORDAN",199211,223573,218665,1707174,95019
"EGYPT",199211,223573,89205,2691726,71652
"SAUDI ARABIA",199205,74476,493097,1510837,65404
"IRAN",199203,81061,470202,5392028,70330
"EGYPT",199203,81061,386697,6886788,107020
"SAUDI ARABIA",199210,149344,202997,6839928,113998
"IRAQ",199211,260740,471639,4624061,96636
"EGYPT",199205,150463,546346,682236,83539
"IRAQ",199209,54116,212596,4181783,90514
"JORDAN",199201,86573,314993,803192,120478
"SAUDI ARABIA",199212,220730,579806,7654381,113146
"IRAN",199203,176857,272447,3794136,85165
"SAUDI ARABIA",199209,116141,316132,4275598,68887
"IRAQ",199211,76100,193524,6816229,97051
"SAUDI ARABIA",199202,164818,268009,4352490,58619
"SAUDI ARABIA",199203,119371,343621,7830325,99876
"IRAN",199201,159593,178561,2434746,98373
"IRAQ",199205,100213,307899,6229776,114412
"IRAQ",199206,69101,308518,3968900,91590
"SAUDI ARABIA",199204,181109,376501,6029166,94649
"IRAQ",199204,181109,250473,1813488,85407
"JORDAN",199206,113450,344316,5169140,81618
"JORDAN",199206,113450,53500,2991303,87210
"EGYPT",199205,198244,113449,4241076,87746
"SAUDI ARABIA",199204,60193,100789,7264717,107386
"IRAQ",199205,87604,542481,4675498,91407
"IRAN",199212,40861,203458,6469562,81686
"IRAN",199212,40861,116844,2005985,111650
"IRAN",199201,91721,565376,3852728,86481
"SAUDI ARABIA",199201,91721,101381,5283456,82942
"IRAN",199201,91721,497494,1033588,89488
"EGYPT",199201,91721,379661,689297,104439
"JORDAN",199207,243205,40390,2346807,79823
"IRAQ",199205,91511,137883,6915168,115252
"IRAN",199205,91511,571426,5336733,89844
"JORDAN",199205,91511,348948,2174656,119815
"EGYPT",199203,216235,132299,1174197,79877
"EGYPT",199209,138638,529469,2847036,89906
"SAUDI ARABIA",199201,188459,256476,5896005,85947
"IRAQ",199205,98960,151947,1998940,119936
"JORDAN",199201,193523,367314,1093989,82878
"IRAN",199207,142148,246246,3934359,71533
"JORDAN",199205,94952,194240,533696,80054
"IRAQ",199207,63451,351815,8213920,112008
