"s_nation","d_yearmonthnum","lo_partkey","lo_revenue","lo_supplycost"
"IRAQ",199206,405919,3397945,109493
"EGYPT",199210,52213,5595338,69912
"IRAN",199203,273556,3447583,91772
"IRAN",199203,369049,4870138,67081
"SAUDI ARABIA",199207,24572,7183536,89794
"IRAN",199211,393821,750605,114888
"IRAN",199209,566011,527725,64619
"SAUDI ARABIA",199210,2955,8645041,111477
"SAUDI ARABIA",199210,220439,1087536,81565
"IRAN",199201,42300,860913,74538
"SAUDI ARABIA",199202,21138,1153392,63547
"IRAN",199206,493746,6958880,104383
"JORDAN",199202,18434,6626907,81145
"EGYPT",199211,163459,1342800,91347
"SAUDI ARABIA",199210,225939,8205648,111895
"JORDAN",199210,569790,3827406,111586
"EGYPT",199202,269919,6988930,113334
"SAUDI ARABIA",199205,75387,1079004,81742
"SAUDI ARABIA",199204,209835,6979280,104689
"IRAQ",199205,593705,4583036,107920
"SAUDI ARABIA",199205,412497,2651213,84568
"IRAN",199212,224283,3194436,72436
"IRAN",199204,514225,3345840,74352
"JORDAN",199203,139529,6302313,94111
"JORDAN",199202,178469,4136360,92847
"EGYPT",199202,125874,5027056,113992
"EGYPT",199211,200748,1615755,98923
"SAUDI ARABIA",199203,300748,1542379,104923
"IRAN",199203,231831,2073076,105769
"IRAN",199207,209508,6112216,85049
"JORDAN",199205,255011,2272032,57960
"IRAQ",199205,327691,2406152,103120
"IRAQ",199205,220279,239852,71955
"IRAN",199209,496401,2905153,83842
"SAUDI ARABIA",199204,454687,1287061,98499
"IRAQ",199209,464825,4116540,107388
"IRAN",199209,60231,4050182,71473
"SAUDI ARABIA",199210,47588,6080896,92134
"IRAN",199207,58969,6555064,115677
"SAUDI ARABIA",199208,211415,2494958,79584
"SAUDI ARABIA",199210,196384,1036266,88822
"EGYPT",199201,95667,5051161,99759
"EGYPT",199209,139893,4592546,115973
"IRAN",199208,544697,3755040,104500
"EGYPT",199210,56815,2981956,106308
"EGYPT",199209,334421,3602139,87324
"IRAN",199209,374212,5167951,77172
"IRAQ",199209,174048,1319519,67322
"EGYPT",199207,562368,2973676,85820
"SAUDI ARABIA",199209,358584,650457,98554
"EGYPT",199208,185495,948294,94829
"EGYPT",199209,333132,1027635,69907
"JORDAN",199206,306302,2093264,78497
"SAUDI ARABIA",199205,370235,1534938,78313
"SAUDI ARABIA",199203,441656,958578,95857
"IRAN",199206,296000,3253899,59759
"SAUDI ARABIA",199209,99875,5382751,112492
"IRAQ",199201,298761,6097533,105585
"IRAQ",199208,208018,3176180,55560
"EGYPT",199207,281069,630030,63003
"EGYPT",199203,40773,2399278,102826
"EGYPT",199205,541089,2990138,67803
"JORDAN",199208,399288,1631429,83236
"IRAN",199208,577487,2632986,93867
"SAUDI ARABIA",199206,198499,1423363,95849
"JORDAN",199207,207808,5044422,102947
"IRAQ",199206,555178,986520,73989
"IRAQ",199212,359455,7420756,90866
"EGYPT",199201,35496,1823718,85889
"IRAQ",199207,597293,6539830,83416
"JORDAN",199207,537892,6808581,115792
"JORDAN",199203,372721,4617009,107622
"IRAQ",199201,160278,2491858,80296
"JORDAN",199203,328057,4991184,65102
"JORDAN",199204,47075,2226068,61324
"EGYPT",199207,210737,988632,98863
"IRAN",199208,486127,3054346,66786
"EGYPT",199208,162791,2569352,111227
"IRAN",199201,433717,3558887,99041
"JORDAN",199205,236788,4656879,103486
"JORDAN",199212,421779,680300,102045
"JORDAN",199202,402152,4638172,63247
"IRAN",199201,41206,1124256,68832
"EGYPT",199201,404934,5643614,110334
"IRAQ",199202,361577,2130128,98313
"JORDAN",199203,240797,340604,104266
"IRAQ",199205,471852,6319570,109429
"IRAN",199205,512055,853624,64021
"JORDAN",199205,295017,2327600,60720
"IRAN",199207,182453,2763810,92127
"IRAN",199206,399034,4305476,67981
"EGYPT",199203,112373,6372702,83122
"IRAQ",199207,199062,1264394,69663
"JORDAN",199206,99099,1087109,65885
"SAUDI ARABIA",199211,357128,5807039,71106
"EGYPT",199206,337616,6158006,99216
"JORDAN",199205,400057,1031678,57421
"IRAN",199202,227198,1237698,67510
"IRAQ",199207,299369,1083733,82101
"SAUDI ARABIA",199206,419966,2427204,113156
"JORDAN",199201,335085,4989911,67204
"EGYPT",199208,378985,8786320,123838
"IRAN",199208,339724,8642179,105822
"IRAN",199208,126230,2736068,75373
"JORDAN",199208,542281,4978104,79395
"IRAQ",199204,450620,4309726,94236
"SAUDI ARABIA",199207,352093,2061144,68704
"SAUDI ARABIA",199203,249965,4021395,114897
"IRAQ",199202,460567,5897831,91652
"EGYPT",199201,188623,7964167,102697
"IRAN",199201,95040,2070080,62102
"EGYPT",199209,527026,2889432,63180
"EGYPT",199202,473665,4588192,98318
"IRAN",199208,224434,403450,81505
"IRAQ",199202,282262,4064964,74655
"SAUDI ARABIA",199207,488071,2594672,63543
"SAUDI ARABIA",199205,432114,2092180,62765
"IRAQ",199208,359099,4700646,69484
"EGYPT",199207,47273,2272142,73216
"IRAQ",199207,114605,2591360,97176
"IRAQ",199207,304722,7107138,103602
"IRAQ",199212,597846,9719100,116629
"SAUDI ARABIA",199210,220968,7293235,113337
"IRAN",199208,113517,4697135,91830
"SAUDI ARABIA",199208,463889,6787026,111171
"IRAQ",199212,311368,540705,82761
"EGYPT",199205,572827,1519840,113988
"JORDAN",199204,476367,2896241,80600
"SAUDI ARABIA",199204,28546,4671342,88472
"IRAQ",199205,578078,462420,69363
"EGYPT",199205,188168,124359,75369
"EGYPT",199207,181270,3972733,81076
"JORDAN",199210,146787,8252010,110026
"IRAQ",199204,115723,4303332,104323
"IRAQ",199202,459362,1683387,79280
"IRAN",199202,474711,1179983,101141
