"c_nation","d_year","lo_partkey","lo_revenue","lo_supplycost"
"CANADA",1997,65629,3508164,95677
"CANADA",1997,193113,3980163,72366
"PERU",1993,434033,3399040,58020
"BRAZIL",1994,216629,4068045,92736
"BRAZIL",1994,132060,635578,65523
"CANADA",1996,142936,3312728,118735
"CANADA",1996,510805,3758664,108946
"CANADA",1996,139643,1968688,100958
"PERU",1992,572088,5229550,69603
"PERU",1992,68836,7399803,108289
"PERU",1992,123837,5991872,111649
"BRAZIL",1997,493538,1566734,91890
"BRAZIL",1997,489837,4685767,109608
"BRAZIL",1997,114107,2958582,67266
"PERU",1996,395079,655125,70443
"UNITED STATES",1994,567002,1334087,64138
"UNITED STATES",1994,401048,3300691,56941
"CANADA",1994,488764,2800878,105164
"ARGENTINA",1998,335605,2537992,98435
"CANADA",1994,76613,2839043,95376
"CANADA",1994,25329,5192884,75259
"CANADA",1995,391951,6134948,122576
"UNITED STATES",1997,333905,6491403,116333
"PERU",1992,342752,3919712,107684
"UNITED STATES",1992,372526,6541102,95910
"ARGENTINA",1997,428339,722366,76038
"ARGENTINA",1997,168862,1351602,115851
"ARGENTINA",1992,467752,6729303,103183
"ARGENTINA",1992,300966,6294240,118017
"ARGENTINA",1992,238950,6360060,113336
"PERU",1992,130031,4201678,63661
"BRAZIL",1998,88334,5775937,79339
"BRAZIL",1994,215905,8194005,109253
"BRAZIL",1994,200249,4778498,68953
"UNITED STATES",1992,74981,7628322,117358
"ARGENTINA",1994,136276,4466967,78736
"ARGENTINA",1994,233338,2629089,76279
"UNITED STATES",1997,210645,3546836,93337
"BRAZIL",1993,407879,2079893,107211
"PERU",1994,529436,5715099,87924
"PERU",1994,193483,2317425,94588
"PERU",1994,460823,8300021,107028
"UNITED STATES",1998,299975,6754363,118497
"UNITED STATES",1994,159252,1993100,78675
"UNITED STATES",1994,545619,3129429,99875
"PERU",1992,489008,3964989,59818
"BRAZIL",1993,105823,2750545,109729
"BRAZIL",1995,387778,7621629,111945
"CANADA",1992,549546,1702419,95731
"CANADA",1992,411235,567373,68772
"BRAZIL",1994,444525,1440110,88170
"UNITED STATES",1992,462145,2208704,66427
"BRAZIL",1993,421912,1034313,110033
"BRAZIL",1998,465734,1094613,101982
"BRAZIL",1998,586465,1638320,93086
"UNITED STATES",1994,555982,6786406,122277
"CANADA",1995,107553,5992512,93633
"UNITED STATES",1995,567582,1633064,98973
"CANADA",1994,388816,2834342,114288
"CANADA",1994,180067,3234709,68823
"UNITED STATES",1997,277732,7616802,102583
"PERU",1996,209996,9053405,114358
"UNITED STATES",1992,537410,5340869,86843
"CANADA",1992,335250,3944401,77114
"CANADA",1992,457636,1249390,95616
"BRAZIL",1994,236956,5809432,113576
"ARGENTINA",1994,337384,1989918,85282
"ARGENTINA",1994,404087,753205,59463
"ARGENTINA",1994,238939,9201808,112675
"ARGENTINA",1996,172846,2469547,115130
"ARGENTINA",1997,299478,5052913,88647
"BRAZIL",1992,50936,5966472,113215
"ARGENTINA",1998,176398,6369364,88463
"CANADA",1992,362369,2408962,85881
"BRAZIL",1996,88152,2465004,68409
"BRAZIL",1996,155861,348868,115011
"BRAZIL",1996,226067,1200597,59583
"BRAZIL",1994,461164,4197897,67508
"CANADA",1993,157049,603897,66362
"BRAZIL",1994,452722,1160567,100482
"PERU",1993,167841,4302525,114530
"CANADA",1994,547117,4705251,69845
"CANADA",1994,381156,1013217,74228
"ARGENTINA",1998,21833,8247701,105289
"CANADA",1996,249451,4475806,84026
"PERU",1992,528751,6964083,106783
"UNITED STATES",1992,172183,338898,75310
"UNITED STATES",1992,209411,3168960,79224
"ARGENTINA",1992,145486,2508564,91888
"ARGENTINA",1992,131403,3855667,86064
"UNITED STATES",1996,343308,393225,81077
"UNITED STATES",1992,47552,3859841,89973
"UNITED STATES",1992,537472,567553,90567
"BRAZIL",1993,72895,4124301,112073
"CANADA",1997,134415,2043668,86964
"CANADA",1997,118202,732120,73212
"BRAZIL",1995,175444,5773872,91166
"CANADA",1992,384039,2287591,67381
"PERU",1995,569145,2950311,72847
"UNITED STATES",1994,42073,2314359,60904
"PERU",1996,30027,2411690,57421
"PERU",1996,532109,4870129,68464
"PERU",1996,145327,2964211,82339
"ARGENTINA",1995,100779,5403381,106786
"ARGENTINA",1995,512822,4953960,110088
"UNITED STATES",1998,574471,7572705,92727
"ARGENTINA",1994,410532,1696391,86550
"CANADA",1993,19090,3642814,60545
"CANADA",1993,325591,156808,96994
"UNITED STATES",1992,123462,1931098,89127
"CANADA",1995,316467,2403189,89007
"CANADA",1996,528189,1519015,73029
"CANADA",1996,367279,3134093,80775
"PERU",1995,373875,1701354,116931
"BRAZIL",1994,21046,870336,58022
"ARGENTINA",1995,7322,4391131,73759
"ARGENTINA",1994,168157,4491399,73509
"ARGENTINA",1994,169530,7447411,95971
"CANADA",1994,332235,4219842,76033
"ARGENTINA",1995,416469,2715462,83126
"PERU",1996,299180,116737,70750
"BRAZIL",1993,103755,6516168,105525
"BRAZIL",1993,209531,6228808,86431
"BRAZIL",1998,423195,2717153,67090
"UNITED STATES",1996,384919,4741227,120234
"PERU",1996,125673,3832199,101920
"UNITED STATES",1995,352021,1854161,64380
"UNITED STATES",1995,592132,3941634,73446
"UNITED STATES",1995,351803,3277413,111287
"ARGENTINA",1997,125969,7381352,119697
"UNITED STATES",1998,421210,2239756,67871
"BRAZIL",1997,240394,1718681,80062
"CANADA",1998,579232,2769275,78672
"CANADA",1998,135889,5967128,115492
"CANADA",1998,280584,4510655,93874
"UNITED STATES",1997,63620,2565464,95017
"PERU",1997,142248,4386816,77414
"UNITED STATES",1994,248794,2696080,104566
"UNITED STATES",1994,72800,1772800,106368
"ARGENTINA",1993,487454,4877799,86485
"ARGENTINA",1993,297484,2518499,88888
"ARGENTINA",1993,1831,5822308,103969
"ARGENTINA",1994,42966,1309546,114537
"BRAZIL",1994,301397,2958972,83902
"PERU",1993,340987,2186151,121678
"PERU",1993,415899,5945514,108892
"BRAZIL",1993,76746,4186258,103364
"PERU",1993,546757,6313055,108223
"PERU",1993,342823,2328530,111948
"UNITED STATES",1994,130080,3691016,66604
"UNITED STATES",1994,278470,6103810,86907
"PERU",1993,587964,5915743,123116
"CANADA",1996,155800,1169154,111348
"UNITED STATES",1994,507046,3737167,63181
"UNITED STATES",1994,110331,4944142,80479
"BRAZIL",1993,9229,5349634,68293
"CANADA",1996,225629,292266,93276
"UNITED STATES",1998,127786,8798646,108826
"CANADA",1995,374523,1188547,95850
"CANADA",1995,593449,7480737,92545
"BRAZIL",1996,406796,929712,102166
"UNITED STATES",1992,104929,5395636,116035
"UNITED STATES",1992,41060,1783888,60063
"ARGENTINA",1994,146124,2808288,70207
"BRAZIL",1992,175750,1358358,109545
"ARGENTINA",1998,184579,5147085,99814
"ARGENTINA",1998,323485,6504522,90508
"CANADA",1997,368612,7154314,100836
"CANADA",1997,479997,8451546,118618
"CANADA",1997,302507,4034866,90569
"ARGENTINA",1995,388390,4825432,88702
"ARGENTINA",1995,261071,2629688,61923
"ARGENTINA",1995,7500,418027,84450
"PERU",1993,524760,7244259,107084
"PERU",1996,187290,4495474,82637
"ARGENTINA",1992,557375,5895552,85941
"BRAZIL",1996,539969,8407413,120536
"UNITED STATES",1996,489949,3683948,116335
"UNITED STATES",1996,29134,2296360,63787
"UNITED STATES",1996,41898,5298883,110393
"CANADA",1995,488353,134133,80479
"PERU",1992,501866,6458990,112070
"PERU",1992,186787,7420168,112426
"PERU",1996,317325,1710102,80538
"PERU",1996,177902,5397207,118794
"CANADA",1994,60745,3309135,102344
"CANADA",1996,172296,1970337,82097
"CANADA",1992,302095,3633528,65824
"CANADA",1996,47775,323880,103366
"BRAZIL",1992,195184,6012146,76750
"UNITED STATES",1997,124401,778268,85524
"ARGENTINA",1997,462006,1287413,58078
"ARGENTINA",1997,327911,969450,116334
"ARGENTINA",1997,250365,3509353,78921
"ARGENTINA",1996,94845,728576,110390
"ARGENTINA",1996,444642,885333,95197
"BRAZIL",1992,22815,2724886,104268
"UNITED STATES",1997,343378,4832624,85281
"PERU",1998,427267,917176,71654
"CANADA",1996,487828,3086860,108948
"ARGENTINA",1996,213053,917738,57962
"ARGENTINA",1996,571041,2934620,66721
"ARGENTINA",1996,481064,102413,62702
"CANADA",1992,189233,2908906,79333
"UNITED STATES",1997,116874,7782820,113452
"BRAZIL",1997,33306,3125514,74358
"ARGENTINA",1996,311492,6562690,90208
"UNITED STATES",1994,109691,1814636,102041
"CANADA",1995,315258,4854864,76394
"BRAZIL",1993,417099,3084788,60964
"BRAZIL",1993,383332,4636588,84919
"ARGENTINA",1996,275907,6027130,112973
"UNITED STATES",1995,551124,569923,70506
"UNITED STATES",1995,531132,930488,69786
"UNITED STATES",1995,99153,3352756,69129
"CANADA",1994,281465,658134,86787
"CANADA",1994,176059,3028313,68103
"CANADA",1994,182055,972177,68223
"UNITED STATES",1993,596894,2536368,119452
"UNITED STATES",1996,275161,4101501,68169
"UNITED STATES",1996,97401,5789376,83904
"BRAZIL",1994,240639,4069101,94777
"UNITED STATES",1992,314686,7033971,102040
"CANADA",1992,211204,4667070,66911
"UNITED STATES",1994,168107,1546431,70506
"UNITED STATES",1994,234131,1725494,63907
"CANADA",1994,523707,1384544,103840
"ARGENTINA",1992,264120,2244107,65046
"BRAZIL",1996,174770,4335209,110686
"UNITED STATES",1994,223776,5770685,101985
"UNITED STATES",1994,190930,5802090,121255
"ARGENTINA",1994,438044,1399378,58921
"BRAZIL",1998,478890,1031616,112132
"BRAZIL",1998,296262,2836095,75495
"BRAZIL",1998,368253,1056992,79274
"BRAZIL",1998,222495,3946264,85048
"UNITED STATES",1998,249480,1765395,85768
"CANADA",1992,207808,4787054,102947
"CANADA",1992,18923,902540,110515
"CANADA",1992,27328,2596001,75319
"ARGENTINA",1992,251490,4800128,86488
"PERU",1994,540847,4213614,113269
"PERU",1994,96731,487219,103663
"UNITED STATES",1993,173739,4941501,108763
"UNITED STATES",1993,419868,4335512,107270
"CANADA",1992,439854,3837002,107629
"CANADA",1996,417256,2914303,70393
"PERU",1993,27019,1685789,56760
"PERU",1992,236527,2581631,87810
"PERU",1992,293091,3317284,65044
"UNITED STATES",1992,127966,4546228,119637
"ARGENTINA",1992,228848,161691,106609
"ARGENTINA",1992,235376,1602481,78681
"BRAZIL",1995,232878,4766183,108651
"BRAZIL",1994,99322,1189188,79279
"BRAZIL",1998,250031,529750,58861
"ARGENTINA",1998,423492,1184748,84928
"PERU",1997,506484,6718993,89427
"ARGENTINA",1994,54093,1407288,62825
"UNITED STATES",1993,199145,5028813,74648
"UNITED STATES",1993,564929,8805062,119634
"UNITED STATES",1997,294582,463511,94594
"PERU",1993,179960,7796727,122397
"UNITED STATES",1992,477182,3092638,69549
"PERU",1993,240075,4364758,60903
"CANADA",1992,451452,2218822,84205
"PERU",1997,82738,1617486,103243
"PERU",1997,26731,7960419,99463
"PERU",1997,467553,1216424,91231
"CANADA",1993,347518,735785,93930
"BRAZIL",1997,374132,4081510,72367
"CANADA",1998,478081,1016697,63543
"PERU",1994,215998,4545702,114838
"PERU",1994,261765,4102758,103605
"CANADA",1994,545169,5949286,72848
"UNITED STATES",1992,148536,1882421,95071
"ARGENTINA",1992,295720,1389725,102942
"BRAZIL",1993,45849,717936,107690
"ARGENTINA",1997,187268,5793736,81315
"CANADA",1996,353080,1849170,67984
"ARGENTINA",1992,64133,4002330,65827
"CANADA",1993,458411,2731933,82163
"CANADA",1993,414316,4921160,73817
"PERU",1998,157982,4602194,122398
"BRAZIL",1992,71362,5096101,80001
"BRAZIL",1992,515795,8425512,108646
"CANADA",1998,480030,2508864,60600
"UNITED STATES",1996,577970,5111683,122877
"ARGENTINA",1997,336430,4875846,87985
"PERU",1997,355354,4194195,84560
"PERU",1997,351407,145839,87503
"PERU",1997,294077,1574458,64263
"BRAZIL",1993,179172,1764149,75070
"CANADA",1997,38165,5019378,66189
"CANADA",1997,28418,5116358,80784
"CANADA",1997,563325,4906252,83298
"ARGENTINA",1993,1670,6846194,94300
"PERU",1992,433619,6427722,93155
"UNITED STATES",1996,144496,5545764,92429
"PERU",1994,43045,1286428,59282
"PERU",1992,349306,130107,81317
"PERU",1994,496211,1656264,72431
"BRAZIL",1997,505870,5756983,112551
"BRAZIL",1994,365088,954741,69184
"BRAZIL",1994,418391,4844669,78562
"BRAZIL",1994,21525,2556000,86791
"UNITED STATES",1996,290896,188688,113212
"UNITED STATES",1996,272387,1101089,81562
"PERU",1993,247441,1481454,83305
"PERU",1994,164962,3016116,121617
"PERU",1994,408042,1767037,57001
"PERU",1997,494435,385940,85764
"PERU",1997,33607,3685115,92436
"UNITED STATES",1997,274281,3185875,75316
"UNITED STATES",1995,376117,4307091,71586
"CANADA",1993,32566,1753315,89913
"CANADA",1993,548134,1909107,70926
"UNITED STATES",1995,332745,2991919,106663
"BRAZIL",1993,481530,6744357,90690
"BRAZIL",1993,171156,2797902,73629
"ARGENTINA",1995,54265,1247302,73155
"ARGENTINA",1995,28178,1393774,66370
"PERU",1995,127266,594899,77595
"PERU",1995,273065,3400651,62283
"ARGENTINA",1992,303806,4517235,108587
"PERU",1995,98731,2158703,103783
"PERU",1995,358806,7160793,111887
"PERU",1995,436929,3470574,111954
"CANADA",1996,37528,4176732,87931
"UNITED STATES",1997,525679,951194,102279
"UNITED STATES",1997,365043,3009409,66481
"UNITED STATES",1997,261866,4514789,109671
"ARGENTINA",1992,77910,1563189,113274
"ARGENTINA",1992,229264,340076,71595
"PERU",1997,504539,6890228,92610
"CANADA",1997,521423,4903738,86664
"CANADA",1997,553500,6212366,93208
"CANADA",1997,259946,8576685,114355
"CANADA",1996,413321,5110002,74058
"CANADA",1996,319150,659394,70148
"PERU",1993,186469,990828,93327
"PERU",1993,315374,1788106,83361
"CANADA",1998,34424,618081,81505
"CANADA",1998,291378,131458,82161
"PERU",1997,223825,3501117,104928
"BRAZIL",1993,290461,3004501,87087
"CANADA",1996,321793,1616968,108886
"PERU",1997,376186,4824013,75730
"UNITED STATES",1994,34713,6872598,98862
"PERU",1996,212405,4334213,79043
"BRAZIL",1993,133404,6215317,86244
"BRAZIL",1993,462452,4837350,84865
"BRAZIL",1993,535268,4431016,78194
"BRAZIL",1993,436083,4547045,61143
"CANADA",1996,27734,5310889,99703
"CANADA",1996,515748,2178194,105823
"UNITED STATES",1992,357244,5808690,78073
"BRAZIL",1993,489439,6570686,85704
"BRAZIL",1992,486595,5266628,94894
"PERU",1993,175361,914961,86181
"UNITED STATES",1994,314424,1739037,86304
"UNITED STATES",1994,313845,2938810,111529
"UNITED STATES",1994,190034,3737399,67441
"ARGENTINA",1994,59741,6122664,102044
"CANADA",1996,179699,4370241,106721
"CANADA",1995,235094,3260125,61744
"CANADA",1995,80070,3496733,63004
"CANADA",1995,534144,1257054,70687
"CANADA",1996,309194,3279868,72190
"CANADA",1996,578104,5319360,70924
"BRAZIL",1997,42943,6270750,113156
"ARGENTINA",1998,424510,3873123,86069
"ARGENTINA",1998,129194,1761393,73391
"ARGENTINA",1998,561773,6054675,110085
"CANADA",1997,533840,7832567,112429
"UNITED STATES",1993,60916,7939329,112614
"UNITED STATES",1993,295757,5363384,105164
"CANADA",1992,519473,4969858,89547
"CANADA",1992,138282,1579054,79216
"CANADA",1996,87628,6753291,96937
"UNITED STATES",1998,231347,736318,76699
"UNITED STATES",1998,440896,7758938,110212
"PERU",1997,472018,930590,59399
"PERU",1994,484755,347946,104383
"PERU",1994,172991,400414,123839
"CANADA",1994,119330,1177965,80959
"CANADA",1997,335619,4665972,99276
"PERU",1995,1104,689498,60306
"PERU",1996,596953,5719304,122995
"CANADA",1996,498360,4618356,81500
"CANADA",1996,168116,991100,71046
"CANADA",1996,74332,6139751,78379
"ARGENTINA",1995,303753,7058581,105404
"CANADA",1996,569482,153594,93087
"PERU",1992,348257,5403693,78314
"CANADA",1992,54219,2452008,70392
"BRAZIL",1993,196464,4447311,93627
"UNITED STATES",1993,309001,3032999,60599
"UNITED STATES",1995,170864,8457273,116091
"UNITED STATES",1995,103404,5697155,84444
"UNITED STATES",1995,309940,5923887,116995
"UNITED STATES",1995,324754,3884768,106724
"CANADA",1998,88768,1438786,105405
"PERU",1992,274272,1934195,74775
"PERU",1992,590043,3997294,67981
"ARGENTINA",1996,581391,2053956,88342
"PERU",1997,4634,2307945,92317
"CANADA",1992,181309,4537939,83418
"CANADA",1997,202444,4043329,80785
"CANADA",1997,460746,334517,102403
"PERU",1995,448846,172302,107689
"ARGENTINA",1998,182948,2481808,121856
"UNITED STATES",1993,168692,8197772,105641
"UNITED STATES",1993,202924,6576876,109614
"UNITED STATES",1993,463807,5135262,106246
"UNITED STATES",1998,227670,7283731,95859
"ARGENTINA",1997,263069,3071380,61923
"ARGENTINA",1997,596303,2419355,83956
"BRAZIL",1996,155164,4659629,73149
"UNITED STATES",1998,158162,2745360,73209
"UNITED STATES",1998,533396,4208065,85762
"ARGENTINA",1993,401636,3359677,92256
"ARGENTINA",1993,288750,4746760,104324
"ARGENTINA",1993,341148,2921692,71347
"CANADA",1996,495047,1979838,62521
"CANADA",1997,505843,6703821,110929
"CANADA",1997,325346,4037195,82279
"CANADA",1997,538159,3488436,71827
"CANADA",1997,432638,4382001,94236
"PERU",1998,590617,1135547,102455
"CANADA",1992,8105,4376592,60786
"CANADA",1992,320345,4571124,81919
"UNITED STATES",1996,357274,3461276,79875
"UNITED STATES",1992,574997,9149819,124318
"CANADA",1992,442331,846751,76398
"CANADA",1992,574304,2006775,82696
"ARGENTINA",1997,570611,3403538,100895
"ARGENTINA",1996,497936,6126626,116034
"UNITED STATES",1997,46377,5690491,79402
"UNITED STATES",1997,50874,6142512,109492
"CANADA",1997,521257,1661699,76693
"ARGENTINA",1995,504448,5895372,87145
"ARGENTINA",1995,74919,5687411,113634
"ARGENTINA",1995,362987,4714931,122998
"UNITED STATES",1997,146952,7016314,119937
"UNITED STATES",1995,132696,4494594,103721
"PERU",1996,253229,3980501,70932
"ARGENTINA",1998,80620,4456126,96037
"UNITED STATES",1993,156718,8000392,106482
"UNITED STATES",1992,141341,4323959,82940
"UNITED STATES",1992,350946,7166981,119815
"BRAZIL",1992,396485,2206150,94888
"BRAZIL",1992,290509,899694,89969
"ARGENTINA",1997,140382,5518834,85342
"CANADA",1992,530637,2701528,100056
"BRAZIL",1995,432892,8496594,109492
"PERU",1995,32071,1095352,60184
"CANADA",1993,567033,3018427,66000
"ARGENTINA",1995,573596,6511323,100174
"PERU",1992,214059,3051453,58382
"UNITED STATES",1994,172008,2109240,64800
"UNITED STATES",1992,473933,7398810,114414
"UNITED STATES",1995,9938,6120344,110875
"UNITED STATES",1995,130448,7025546,88706
"CANADA",1995,355319,4175123,82458
"ARGENTINA",1998,527614,2748021,98495
"ARGENTINA",1998,458870,2779852,109731
"PERU",1995,500407,2005516,84442
"CANADA",1995,105660,7753647,99939
"BRAZIL",1992,524911,2183683,116153
"UNITED STATES",1997,119504,3583272,91410
"CANADA",1996,268293,3829246,75676
"PERU",1994,15526,3149721,86491
"PERU",1994,538554,3861885,95551
"BRAZIL",1995,76399,5882543,82523
"ARGENTINA",1992,357082,5139483,68344
"ARGENTINA",1992,20319,4833309,74358
"CANADA",1993,428300,4053324,73696
"ARGENTINA",1994,330848,7515320,112729
"CANADA",1998,331662,3739579,101619
"PERU",1995,586180,824270,75969
"PERU",1995,11074,3378790,59104
"CANADA",1996,363219,3392701,76932
"PERU",1992,230574,3638026,90273
"ARGENTINA",1997,1973,749988,112498
"ARGENTINA",1997,90636,2682312,97597
"ARGENTINA",1995,389183,1404475,76330
"ARGENTINA",1995,128093,1937243,67265
"PERU",1992,404783,6057370,101265
"ARGENTINA",1994,357156,5701758,72788
"BRAZIL",1993,262211,4209441,70392
"PERU",1992,74249,1834860,73394
"BRAZIL",1994,447125,4434205,64326
"BRAZIL",1994,427864,1419137,107510
"ARGENTINA",1995,30599,550652,91775
"ARGENTINA",1995,484914,6638519,113933
"CANADA",1992,562064,4817199,67562
"CANADA",1992,78184,641523,69730
"BRAZIL",1994,456701,2599242,99460
"UNITED STATES",1996,446744,7151745,101443
"UNITED STATES",1996,18495,3218516,84809
"UNITED STATES",1996,22296,3618321,73097
"CANADA",1997,437602,6466236,92374
"BRAZIL",1994,413845,2427171,105529
"BRAZIL",1994,426026,3629976,57120
"BRAZIL",1994,403223,1857103,67572
"CANADA",1995,99394,3423559,83603
"ARGENTINA",1993,496728,4015101,103482
"BRAZIL",1994,272700,3311926,100361
"BRAZIL",1993,127666,636816,101619
"BRAZIL",1996,288412,138639,84024
"PERU",1992,285577,7115898,93753
"PERU",1992,178210,119803,77292
"ARGENTINA",1995,164272,3848457,80176
"PERU",1993,483021,1662624,60240
"PERU",1993,117541,732513,93512
"PERU",1993,182000,4877656,64920
"ARGENTINA",1998,19369,5507739,77301
"ARGENTINA",1998,333514,2940250,92850
"ARGENTINA",1998,72305,229914,76638
"ARGENTINA",1998,67200,2941344,70032
"UNITED STATES",1998,495532,973023,91650
"BRAZIL",1993,57045,565150,60122
"ARGENTINA",1998,222429,1382492,81084
"PERU",1995,29049,3912160,58682
"CANADA",1996,157569,5367648,97593
"CANADA",1996,448880,5552418,109731
"CANADA",1996,194149,248628,74588
"BRAZIL",1995,485310,1759003,77717
"CANADA",1997,142299,5987518,80477
"ARGENTINA",1995,562959,930087,121315
"ARGENTINA",1995,244325,1256616,76158
"ARGENTINA",1995,558612,7773255,100235
"ARGENTINA",1993,173915,9148986,119334
"UNITED STATES",1993,373448,1938301,91285
"ARGENTINA",1993,182763,6113157,110745
"BRAZIL",1994,214242,2608454,69373
"PERU",1993,366917,1767654,119034
"BRAZIL",1998,477003,665406,58798
"BRAZIL",1998,262983,7706041,116758
"BRAZIL",1995,208177,2962486,65109
"ARGENTINA",1992,166171,5814699,74230
"CANADA",1997,539753,1000343,107563
"CANADA",1995,421202,3780623,67390
"CANADA",1995,312390,1682856,84142
"PERU",1992,526486,4107841,90747
"UNITED STATES",1994,107830,2001396,110269
"PERU",1997,458810,7163599,106127
"CANADA",1997,113956,5557228,118197
"PERU",1993,112143,4435737,69308
"PERU",1993,185035,4480120,67201
"PERU",1993,14581,4886059,89734
"PERU",1996,453972,2927444,115557
"PERU",1996,530620,3644524,99036
"BRAZIL",1995,165657,1881133,103359
"BRAZIL",1995,264150,2199312,66848
"BRAZIL",1993,339322,3659201,81678
"BRAZIL",1994,116155,4633069,70269
"BRAZIL",1994,595251,3004785,80773
"BRAZIL",1996,481962,3007275,116636
"BRAZIL",1994,515514,5812062,91769
"UNITED STATES",1997,167830,8289721,113869
"CANADA",1997,125171,4454537,71770
"PERU",1992,143823,5497784,112009
"PERU",1995,467827,7929426,107688
"CANADA",1997,581167,3257645,74888
"UNITED STATES",1993,52174,2027106,67570
"ARGENTINA",1996,443290,5506550,73996
"PERU",1996,280261,5362200,74475
"CANADA",1995,385338,6154435,85399
"PERU",1995,154928,4287073,118975
"BRAZIL",1996,93998,5804658,119519
"UNITED STATES",1992,305956,2795764,117716
"UNITED STATES",1992,441511,4505623,87149
"UNITED STATES",1992,96895,7230803,113513
"CANADA",1995,497705,1280415,102160
"PERU",1994,175408,5139981,89004
"ARGENTINA",1993,330199,1806894,73750
"UNITED STATES",1993,82267,3597868,74955
"UNITED STATES",1995,24327,1626716,75079
"ARGENTINA",1996,131686,652718,103060
"ARGENTINA",1996,244601,2522402,92735
"ARGENTINA",1996,403494,1744042,83848
"ARGENTINA",1996,307036,1355926,62581
"UNITED STATES",1993,574718,6525391,107561
"BRAZIL",1997,482880,5840066,111771
"UNITED STATES",1992,489127,4312610,66966
"UNITED STATES",1992,143411,3044080,87264
"ARGENTINA",1995,582243,4505748,79513
"ARGENTINA",1995,343495,6797004,92308
"UNITED STATES",1996,408801,837792,102586
"BRAZIL",1997,543886,3628136,115791
"UNITED STATES",1997,331280,2543863,78676
"PERU",1995,570778,7711136,110925
"PERU",1995,249467,6524168,84987
"PERU",1995,532031,5051423,63780
"ARGENTINA",1995,250647,4792890,95857
"ARGENTINA",1995,548100,2159538,68884
"CANADA",1994,262366,2040345,79701
"PERU",1995,581912,5622769,119633
"PERU",1998,83628,2813888,96697
"UNITED STATES",1992,507532,2112207,92370
"UNITED STATES",1992,112980,773276,119578
"PERU",1992,324415,6765180,86364
"PERU",1995,38314,4786328,75138
"PERU",1995,456081,289339,62223
"UNITED STATES",1992,146431,5761977,88645
"PERU",1993,404728,600833,97962
"BRAZIL",1993,531994,9335669,121558
"BRAZIL",1993,23059,1369959,58923
"BRAZIL",1993,539148,3889005,71227
"CANADA",1996,518566,1977505,95072
"UNITED STATES",1997,591077,2174909,70083
"UNITED STATES",1997,20569,4468680,89373
"UNITED STATES",1992,185284,2875488,82156
"UNITED STATES",1992,61935,4131513,113815
"UNITED STATES",1992,278061,4492852,62343
"UNITED STATES",1992,561747,877229,108523
"ARGENTINA",1992,193451,5714465,92667
"ARGENTINA",1993,204921,1544719,109554
"BRAZIL",1998,234121,2968024,63306
"ARGENTINA",1997,176250,477450,79575
"ARGENTINA",1997,21047,2159697,58082
"BRAZIL",1994,465123,3551558,65286
"BRAZIL",1994,60107,99240,64026
"BRAZIL",1994,418041,4101728,57541
"ARGENTINA",1994,26369,3300577,77721
"UNITED STATES",1995,310121,712599,67866
"ARGENTINA",1997,537561,303722,95912
"ARGENTINA",1997,114023,4825254,62221
"CANADA",1995,245918,2180763,111834
"PERU",1992,451274,2756812,73515
"PERU",1992,560942,5898599,120175
"BRAZIL",1994,413221,3058937,68052
"BRAZIL",1994,265680,5213482,98740
"PERU",1995,263293,1600500,75376
"PERU",1995,163019,3923368,64920
"PERU",1995,243862,821661,108351
"CANADA",1996,417911,859578,109733
"CANADA",1996,38043,441468,58862
"ARGENTINA",1995,477462,3166768,86366
"ARGENTINA",1995,2860,5984909,105771
"BRAZIL",1995,423323,241782,74778
"BRAZIL",1992,576000,505710,64558
"BRAZIL",1995,89128,2865412,67027
"BRAZIL",1995,360366,1817169,85581
"BRAZIL",1995,12127,1147188,62347
"PERU",1997,139986,2502085,121558
"PERU",1997,421398,5224705,79162
"PERU",1995,187768,5220252,111345
"ARGENTINA",1994,216357,2840821,76400
"BRAZIL",1996,67045,460478,60722
"PERU",1997,161151,4795265,72729
"PERU",1997,408402,5578287,78622
"BRAZIL",1996,123166,3729205,71349
"BRAZIL",1996,30633,2852061,93817
"BRAZIL",1992,303830,2360126,110029
"UNITED STATES",1993,174705,3075321,106782
"PERU",1996,374426,5401476,90024
"UNITED STATES",1994,330813,3392592,110628
"UNITED STATES",1994,339816,167022,111348
"UNITED STATES",1994,61218,3431501,70752
"ARGENTINA",1996,481057,4531000,62281
"CANADA",1993,271828,3801198,107988
"UNITED STATES",1995,315588,4650353,96214
"UNITED STATES",1995,84710,610095,101682
"ARGENTINA",1996,293723,988824,103002
"BRAZIL",1997,547581,6351384,97713
"UNITED STATES",1994,581197,2129431,76690
"UNITED STATES",1994,288859,687396,110870
"UNITED STATES",1994,251709,3188524,99641
"ARGENTINA",1992,17848,649829,105950
"UNITED STATES",1996,506880,7194597,113211
"UNITED STATES",1996,414207,1530410,67270
"PERU",1992,145483,4033658,91708
"CANADA",1995,59331,2725176,77419
"UNITED STATES",1994,64826,3789375,107449
"UNITED STATES",1994,527885,1101807,114771
"CANADA",1992,105575,1820816,94834
"PERU",1996,10038,929069,56881
"ARGENTINA",1994,309610,785506,97176
"ARGENTINA",1994,341183,3643129,73450
"CANADA",1994,235921,891316,111414
"ARGENTINA",1997,74742,6897861,103004
"UNITED STATES",1996,586776,6270016,111765
"ARGENTINA",1992,418909,723840,109672
"UNITED STATES",1997,437843,1209176,106849
"PERU",1993,515922,2976614,116274
"UNITED STATES",1996,510654,154810,99877
