"s_nation","lo_custkey","lo_orderdate","lo_revenue"
"JAPAN",10552,19951027,9136571
"CHINA",28928,19931223,3407293
"INDIA",7369,19920915,2939991
"VIETNAM",7369,19920915,2567756
"INDIA",7369,19920915,1236939
"JAPAN",7369,19920915,2577095
"CHINA",7154,19951117,3905621
"CHINA",27109,19940130,3882011
"CHINA",9871,19960414,2721936
"INDONESIA",26870,19920220,1768131
"INDIA",26870,19920220,1374870
"JAPAN",26870,19920220,1436817
"INDIA",1750,19941212,5326470
"INDIA",1750,19941212,798589
"CHINA",1750,19941212,5145657
"CHINA",2518,19971220,6087450
"INDONESIA",16900,19940624,5341833
"VIETNAM",16900,19940624,422209
"CHINA",16900,19940624,981882
"VIETNAM",13276,19950908,3827860
"CHINA",14443,19960114,4447452
"INDONESIA",4915,19960507,3334608
"INDONESIA",27571,19970313,4322435
"VIETNAM",29909,19970621,1802250
"CHINA",29909,19970621,2214012
"INDONESIA",29909,19970621,839985
"VIETNAM",21848,19980629,6962040
"JAPAN",20470,19950726,2891691
"INDONESIA",25414,19980402,6574954
"INDIA",2659,19951230,5379245
"CHINA",2659,19951230,5308721
"INDIA",17053,19931114,1734661
"INDIA",17053,19931114,2505566
"INDONESIA",1571,19930928,4789500
"CHINA",1571,19930928,5890731
"INDONESIA",29770,19940504,9188831
"INDIA",29770,19940504,4116614
"CHINA",11860,19920518,4300266
"CHINA",11860,19920518,4555296
"INDIA",21328,19950827,1604288
"VIETNAM",21328,19950827,2589874
"INDIA",25471,19940716,8352063
"INDONESIA",21080,19971228,2614881
"INDONESIA",21080,19971228,4280586
"JAPAN",15571,19930626,6425017
"CHINA",15571,19930626,7345111
"CHINA",11107,19940117,5535022
"INDONESIA",361,19970614,4338969
"CHINA",361,19970614,4556854
"JAPAN",23782,19950729,455474
"JAPAN",23782,19950729,5505910
"CHINA",10261,19960514,752612
"VIETNAM",10261,19960514,4455090
"VIETNAM",27704,19960105,686499
"JAPAN",27704,19960105,3809562
"INDONESIA",27704,19960105,4625847
"INDONESIA",661,19940906,1410471
"INDONESIA",661,19940906,5985191
"JAPAN",14470,19950713,3044753
"JAPAN",14470,19950713,3792895
"JAPAN",29443,19960823,2406412
"INDIA",23638,19930830,868195
"CHINA",23638,19930830,4659983
"VIETNAM",22684,19930927,1673341
"CHINA",20690,19971125,1990824
"JAPAN",20690,19971125,852811
"CHINA",20791,19970404,2842092
"INDIA",27965,19920828,1903313
"INDIA",13492,19930119,1769328
"JAPAN",25099,19950423,8654819
"INDONESIA",25099,19950423,3174321
"JAPAN",21316,19921027,3664975
"CHINA",21316,19921027,1329857
"VIETNAM",21977,19961010,1460265
"CHINA",28598,19980103,2287075
"JAPAN",3757,19920423,1567238
"VIETNAM",16675,19940323,2460951
"INDONESIA",6088,19980625,3742900
"VIETNAM",6088,19980625,3446560
"INDONESIA",16298,19960123,1718793
"INDIA",15100,19930718,1975327
"INDIA",15370,19950914,152959
"JAPAN",631,19951010,194229
"JAPAN",20198,19930218,6223906
"INDIA",26534,19941205,7166866
"VIETNAM",26534,19941205,2673852
"INDONESIA",2546,19941214,3153712
"CHINA",26095,19971117,5866938
"CHINA",21284,19921110,4220352
"VIETNAM",21284,19921110,4707128
"CHINA",19567,19970720,3910088
"INDONESIA",428,19970630,2789668
"INDONESIA",428,19970630,4334377
"JAPAN",10151,19931118,2096934
"CHINA",21437,19960919,2205112
"INDONESIA",21437,19960919,2929275
"INDIA",21437,19960919,3103278
"JAPAN",298,19931012,1264186
"INDIA",298,19931012,3022437
"INDIA",298,19931012,3832008
"VIETNAM",1120,19980723,4931903
"INDIA",1120,19980723,2404004
"CHINA",9070,19921218,322563
"INDIA",8806,19920817,5016775
"VIETNAM",6298,19940527,5755085
"VIETNAM",11068,19940614,3941502
"CHINA",11068,19940614,2864044
"CHINA",20302,19980216,6130909
"VIETNAM",20302,19980216,4309085
"VIETNAM",20302,19980216,6447859
"JAPAN",1990,19950603,408631
"INDONESIA",11365,19970821,3677940
"INDONESIA",15514,19960528,7300911
"INDONESIA",28771,19920813,8657640
"JAPAN",28771,19920813,3713346
"INDONESIA",28771,19920813,443931
"CHINA",6316,19950418,259753
"INDIA",26740,19960918,5255214
"JAPAN",26740,19960918,4660462
"JAPAN",18400,19940202,8233099
"INDONESIA",22003,19971003,5960489
"INDONESIA",22003,19971003,2817954
"INDIA",22003,19971003,7265610
"INDIA",29576,19940810,3738549
"CHINA",29576,19940810,2777376
"INDIA",5866,19980529,3580226
"VIETNAM",5866,19980529,453758
"JAPAN",2942,19970303,2216234
"JAPAN",2942,19970303,5021728
"INDONESIA",3173,19960923,2002354
"CHINA",13282,19960924,4440230
"INDONESIA",3502,19950418,2635028
"JAPAN",25630,19960816,1275397
"CHINA",25630,19960816,5790069
"JAPAN",29137,19960207,3643271
"CHINA",3103,19980218,2224444
"INDONESIA",27403,19931012,3175547
"VIETNAM",11026,19961228,350886
"INDIA",20254,19951230,1743396
"VIETNAM",20254,19951230,1037776
"VIETNAM",14641,19950520,5322950
"INDIA",10969,19970405,5420454
"JAPAN",5476,19971220,2380482
"INDIA",5476,19971220,2050781
"INDONESIA",14222,19940803,7321868
"INDONESIA",4747,19970325,4864150
"JAPAN",25787,19971104,7209321
"INDONESIA",25787,19971104,1537958
"INDONESIA",10012,19951218,2673108
"INDIA",25544,19941005,1151376
"CHINA",10492,19960519,1735252
"VIETNAM",13060,19920111,2600171
"INDIA",5215,19941020,7163320
"JAPAN",11671,19930731,1413231
"INDIA",11468,19920505,2204788
"CHINA",26110,19921001,6851915
"INDONESIA",5377,19920324,3259648
"INDONESIA",5377,19920324,4047278
"CHINA",5377,19920324,3535120
"VIETNAM",5377,19920324,5368020
"INDONESIA",23975,19980115,6274559
"JAPAN",3355,19950811,4270768
"INDIA",3355,19950811,3943758
"VIETNAM",17920,19970331,5853328
"JAPAN",17920,19970331,4465266
"JAPAN",7726,19920609,3636892
"INDIA",7726,19920609,3154368
"CHINA",26347,19940221,659742
"INDONESIA",25811,19971126,127891
"INDIA",25811,19971126,7995758
"VIETNAM",11615,19950505,7719915
"INDIA",22459,19961126,908068
"JAPAN",22108,19950430,5676915
"VIETNAM",20956,19930316,4079160
"CHINA",4903,19940628,628882
"INDIA",4903,19940628,4389032
"CHINA",26213,19960405,6054792
"JAPAN",26213,19960405,7404660
"INDIA",25615,19921007,4587437
"CHINA",18587,19940124,8914298
"CHINA",2569,19960904,1817107
"JAPAN",28096,19970609,1109254
"VIETNAM",28096,19970609,5533949
"INDIA",29692,19920921,3233548
"JAPAN",16195,19980301,4294755
"JAPAN",14722,19940621,7862121
"VIETNAM",14722,19940621,4377204
"VIETNAM",16567,19940410,2685179
"CHINA",16567,19940410,6494665
"INDONESIA",23252,19960207,3866029
"CHINA",25249,19931220,1833422
"INDIA",25249,19931220,5157547
"INDIA",11672,19941202,6204876
"VIETNAM",11672,19941202,6242968
"INDIA",19282,19940907,2512815
"INDIA",3532,19940228,2456013
"JAPAN",3532,19940228,1805617
"CHINA",3059,19930405,2616307
"INDONESIA",10795,19920817,2888782
"JAPAN",13681,19950306,5785636
"JAPAN",13681,19950306,5305053
"CHINA",13681,19950306,1146679
"CHINA",13681,19950306,5030334
"VIETNAM",26377,19940203,3547484
"VIETNAM",6740,19970616,6331682
"INDIA",1942,19940511,1212552
"INDIA",1942,19940511,4180365
"JAPAN",23545,19960108,7087871
"INDIA",8395,19920727,4473251
"CHINA",18466,19941019,1034421
"CHINA",14233,19920112,3322479
"CHINA",22112,19960109,2075100
"INDIA",22112,19960109,5707756
"INDIA",25702,19971224,5305227
"INDONESIA",731,19940626,1448370
"CHINA",3755,19940109,3676427
"INDONESIA",3755,19940109,1735338
"CHINA",3755,19940109,2521034
"INDIA",8621,19920926,2188554
"INDIA",12856,19971110,3535625
"INDONESIA",21442,19960427,788154
"INDIA",12404,19980628,2638061
"INDIA",10294,19940301,6075014
"INDIA",10294,19940301,2621973
"VIETNAM",10294,19940301,2715716
"INDONESIA",28117,19930726,2167008
"VIETNAM",16363,19921201,1243904
"VIETNAM",16363,19921201,1908973
"INDIA",16363,19921201,4691639
"INDIA",16363,19921201,627281
"CHINA",656,19950311,814017
"INDIA",628,19960316,4744927
"INDONESIA",628,19960316,2535686
"JAPAN",10411,19930608,5128272
"VIETNAM",12127,19980719,2959286
"INDONESIA",14753,19941214,3901665
"CHINA",6730,19920218,736278
"JAPAN",6730,19920218,1221738
"INDONESIA",6730,19920218,6784476
"CHINA",22087,19970821,1825860
"INDONESIA",19948,19930421,923521
"VIETNAM",15865,19960830,3779434
"INDIA",1295,19940110,4203602
"JAPAN",1295,19940110,1999410
"INDONESIA",1295,19940110,2554263
"INDONESIA",4781,19920206,5728983
"CHINA",4781,19920206,6258425
"INDIA",28010,19980530,3225611
"CHINA",21193,19920205,4534022
"INDIA",2087,19950204,7585539
"INDIA",16135,19940210,1078290
"VIETNAM",16135,19940210,2064516
"INDIA",13282,19920224,5518035
"CHINA",13282,19920224,3571877
"CHINA",16357,19930727,1548380
"INDIA",6940,19941016,1735459
"INDIA",9656,19970809,2662754
"JAPAN",9656,19970809,1963819
"JAPAN",7291,19930125,4579552
"CHINA",7291,19930125,928751
"INDONESIA",14860,19930411,1035770
"CHINA",6172,19980306,3448989
"INDIA",6172,19980306,1859724
"INDIA",26396,19920919,2952495
"CHINA",13703,19980712,181322
"INDONESIA",13703,19980712,7128335
"INDONESIA",11836,19920903,1405380
"INDIA",11836,19920903,1643759
"CHINA",11836,19920903,4729270
"INDONESIA",11836,19920903,2587488
"VIETNAM",8542,19970110,2047314
"INDONESIA",9134,19960411,2835822
"CHINA",9134,19960411,4643204
"CHINA",9134,19960411,5137003
"VIETNAM",24209,19921110,4271322
"JAPAN",24209,19921110,6055416
"INDONESIA",8992,19940701,2372898
"INDIA",27311,19931014,4664887
"INDONESIA",27311,19931014,474451
"CHINA",27194,19970810,5927276
"VIETNAM",20345,19960210,4853326
"CHINA",20345,19960210,1340389
"CHINA",25096,19931005,2329203
"INDONESIA",25096,19931005,4687710
"INDONESIA",15988,19930822,4151184
"JAPAN",22877,19940410,5247606
"VIETNAM",28792,19931013,4648215
"VIETNAM",4927,19960630,2036652
"JAPAN",4927,19960630,5019454
"INDIA",4927,19960630,2908746
"JAPAN",4927,19960630,4136516
"INDIA",12925,19941105,3914899
"INDIA",12925,19941105,4816526
"CHINA",24589,19920723,3876230
"VIETNAM",24589,19920723,5136580
"INDIA",10141,19960922,7992540
"INDONESIA",10141,19960922,6651927
"INDIA",10141,19960922,2179209
"VIETNAM",2002,19960531,1538302
"VIETNAM",16285,19921127,7774101
"INDONESIA",16285,19921127,133391
"CHINA",1373,19960719,442793
"INDIA",1373,19960719,1281162
"JAPAN",10618,19980104,8240540
"VIETNAM",10618,19980104,3936693
"INDONESIA",15301,19930624,2089430
"INDIA",12011,19960131,918232
"JAPAN",12011,19960131,928093
"CHINA",19207,19970711,2485533
"INDONESIA",27308,19950514,5265667
"JAPAN",6217,19980419,7757366
"INDIA",23605,19940104,2254460
"INDONESIA",23605,19940104,1253208
"INDIA",23605,19940104,5843244
"CHINA",8699,19961013,1397973
"VIETNAM",17374,19920722,2284545
"JAPAN",11416,19930207,6771561
"JAPAN",15254,19970325,4925581
"INDONESIA",22733,19941029,6203666
"JAPAN",22733,19941029,3165555
"CHINA",7255,19950219,4588606
"INDIA",21418,19920725,5397772
"CHINA",20963,19980406,5263439
"INDONESIA",20963,19980406,3225519
"JAPAN",26611,19970928,784264
"INDONESIA",26611,19970928,5714123
"CHINA",2546,19980330,2564398
"INDIA",18742,19950719,6103020
"VIETNAM",22535,19980711,2911510
"INDONESIA",11783,19970825,3746406
"INDONESIA",8605,19920726,6315518
"JAPAN",15076,19970904,883634
"JAPAN",23638,19960312,4769554
"INDIA",24793,19950422,1080302
"INDIA",16144,19951208,3179193
"INDIA",27340,19980123,2389180
"JAPAN",27340,19980123,1329118
"INDONESIA",21214,19931027,7092050
"CHINA",19610,19971211,630640
"CHINA",19610,19971211,1937401
"INDONESIA",21344,19960604,6738568
"JAPAN",12520,19960128,5246784
"INDIA",12520,19960128,3422402
"INDONESIA",18455,19960712,2907927
"INDIA",7285,19940314,5422995
"VIETNAM",23129,19940407,2148900
"CHINA",23129,19940407,6896504
"CHINA",23129,19940407,4006209
"CHINA",15697,19971202,2854345
"VIETNAM",6088,19970526,5147958
"INDIA",6088,19970526,798389
"INDONESIA",6088,19970526,4604545
"CHINA",6088,19970526,540099
"INDONESIA",5563,19960925,1622253
"INDONESIA",5563,19960925,3403263
"CHINA",16541,19960607,3183792
"JAPAN",16541,19960607,5070432
"INDIA",16541,19960607,1096114
"VIETNAM",10820,19930909,1222777
"CHINA",17557,19920604,450953
"INDIA",3485,19971208,145232
"INDIA",3485,19971208,411446
"INDONESIA",2399,19960915,90404
"INDIA",2399,19960915,5951908
"CHINA",2399,19960915,2375954
"CHINA",2399,19960915,6494163
"INDIA",18260,19961101,3884849
"JAPAN",18260,19961101,1692082
"CHINA",19825,19960428,283046
"CHINA",19825,19960428,2580688
"VIETNAM",2240,19970604,2816100
"INDONESIA",14207,19980220,2342385
"CHINA",292,19920820,1171932
"INDONESIA",292,19920820,6201957
"CHINA",13474,19920329,1205202
"JAPAN",13474,19920329,4204035
"INDIA",12442,19950301,1643359
"JAPAN",12442,19950301,6651988
"INDIA",12442,19950301,1647740
"CHINA",22075,19940705,7071821
"JAPAN",27625,19980506,5230552
"INDIA",11710,19951127,3599164
"VIETNAM",11710,19951127,6361344
"JAPAN",3913,19970511,1973210
"JAPAN",3913,19970511,1718675
"VIETNAM",16834,19980420,4310323
"VIETNAM",24577,19921211,1512751
"VIETNAM",24577,19921211,9008307
"CHINA",12454,19940818,5401259
"CHINA",12454,19940818,347858
"CHINA",6497,19920218,4490826
"CHINA",6497,19920218,1507680
"INDONESIA",6497,19920218,1369818
"VIETNAM",19343,19971003,1368495
"INDONESIA",10217,19940314,2400701
"INDIA",12361,19920328,161457
"JAPAN",1735,19930908,8486936
"INDIA",1735,19930908,8005220
"INDIA",18707,19930429,4342669
"INDIA",18707,19930429,2301321
"JAPAN",18707,19930429,7215365
"INDONESIA",589,19970214,3310241
"INDIA",589,19970214,1205325
"CHINA",15541,19920122,7408041
"INDONESIA",23249,19941013,7602962
"CHINA",26377,19960711,2403189
"CHINA",13744,19920715,4262106
"CHINA",26056,19921008,220984
"INDIA",523,19971016,698674
"JAPAN",523,19971016,3767474
"JAPAN",19807,19980201,1329215
"INDONESIA",10816,19980724,1467947
"JAPAN",27173,19980323,2804745
"INDIA",27173,19980323,3937001
"VIETNAM",4168,19980102,2508114
"VIETNAM",28936,19971028,3945557
"CHINA",28936,19971028,983056
"CHINA",12055,19980507,5144295
"INDIA",979,19950417,4511324
"CHINA",979,19950417,7072881
"INDIA",6743,19941107,2544892
"CHINA",5767,19960710,435317
"INDONESIA",5767,19960710,1758247
"JAPAN",304,19931205,8842996
"INDONESIA",21373,19920702,4353224
"CHINA",8722,19920904,2955382
"VIETNAM",27893,19950414,730883
"JAPAN",11638,19930313,1897876
"JAPAN",11638,19930313,1300568
"VIETNAM",27547,19931106,448329
"INDIA",8915,19950907,1099989
"JAPAN",18484,19930330,4135404
"VIETNAM",19741,19930716,6004570
"INDONESIA",19741,19930716,350602
"INDONESIA",18853,19980531,6122940
"VIETNAM",18853,19980531,5977314
"INDONESIA",1447,19941125,3114171
"INDIA",15860,19971212,2517801
"VIETNAM",22865,19961031,2921288
"INDONESIA",16021,19921127,1643716
"INDONESIA",1090,19920401,4023977
"VIETNAM",257,19950616,3557297
"VIETNAM",23678,19930524,3538513
"INDIA",10589,19970110,814960
"CHINA",16654,19971124,2550238
"INDIA",19096,19970110,934412
"CHINA",19096,19970110,1964721
"JAPAN",11180,19940708,1777299
"CHINA",11180,19940708,1959127
"INDIA",11180,19940708,8516033
"INDIA",27601,19960512,5180198
"INDONESIA",27601,19960512,4111734
"CHINA",29143,19940913,3150033
"INDONESIA",9397,19980616,5039095
"JAPAN",23078,19980512,1569554
"VIETNAM",25780,19920528,972940
"VIETNAM",5552,19980505,7375591
"INDIA",10456,19950221,2807397
"JAPAN",14663,19970404,7707972
"INDONESIA",14663,19970404,1052738
"INDONESIA",14842,19950524,4086336
"JAPAN",20608,19970922,2885217
"CHINA",10858,19971007,2195998
"JAPAN",12341,19980527,6812321
"VIETNAM",3661,19940422,534435
"INDIA",3661,19940422,465866
"CHINA",26573,19940503,6064053
"JAPAN",5710,19930719,6804519
"INDONESIA",5710,19930719,6307659
"INDIA",21856,19970507,5611060
"JAPAN",21856,19970507,3724432
"CHINA",23086,19960513,8095562
"VIETNAM",23086,19960513,4989340
"INDONESIA",2249,19960207,2048146
"JAPAN",9802,19980116,2174725
"JAPAN",12016,19930915,5062488
"JAPAN",12016,19930915,5251518
"INDONESIA",27037,19970329,5367068
"VIETNAM",27226,19950119,3418490
"INDIA",6631,19980722,7477816
"VIETNAM",25795,19940408,4785023
"JAPAN",16210,19940525,6944980
"VIETNAM",16079,19970208,5497536
"INDONESIA",21326,19940107,4559409
"CHINA",18095,19920708,6008527
"CHINA",12961,19930222,3728472
"VIETNAM",14644,19980402,6522816
"INDONESIA",2983,19960802,5800187
"INDONESIA",2983,19960802,3114267
"INDIA",1021,19950904,5182477
"JAPAN",26530,19940501,2549475
"CHINA",26449,19960415,281087
"JAPAN",5698,19950417,3042245
"CHINA",5698,19950417,2071123
"INDONESIA",18947,19960401,2142080
"INDIA",18947,19960401,2501723
"JAPAN",5293,19941207,2202910
"VIETNAM",5692,19931123,1606916
"INDONESIA",15817,19980303,6450767
"VIETNAM",15817,19980303,4597490
"JAPAN",15817,19980303,4484093
"INDONESIA",15817,19980303,4813931
"INDONESIA",4696,19940702,1473545
"INDIA",4696,19940702,2333076
"INDIA",7402,19920705,4032927
"INDIA",13504,19970816,4488869
"INDIA",13504,19970816,1853653
"CHINA",19807,19940913,1345248
"INDONESIA",27377,19980329,4043963
"INDIA",11485,19980425,5981522
"INDONESIA",1366,19960604,5015297
"INDONESIA",24131,19980221,1518717
"INDIA",10751,19940508,3439242
"VIETNAM",10751,19940508,5144927
"INDONESIA",10751,19940508,6399841
"JAPAN",24131,19941019,383769
"JAPAN",26153,19960905,4012675
"INDONESIA",4102,19940705,1034904
"INDONESIA",4102,19940705,4563864
"INDONESIA",1843,19980219,1287900
"JAPAN",1843,19980219,8785911
"INDIA",3809,19960312,2435890
"VIETNAM",20077,19920201,911241
"INDONESIA",26578,19921221,3171571
"JAPAN",21907,19970507,5458215
"INDIA",21907,19970507,5544493
"INDIA",3574,19940722,748578
"INDONESIA",3574,19940722,2304000
"CHINA",9400,19980512,2381633
"VIETNAM",9400,19980512,415939
"INDONESIA",9400,19980512,4405055
"CHINA",3284,19951010,5026846
"INDONESIA",3284,19951010,7094033
"JAPAN",3284,19951010,250884
"CHINA",26086,19920203,601832
"CHINA",26779,19961119,6208884
"JAPAN",26779,19961119,3675236
"CHINA",25951,19951218,4901638
"INDONESIA",5407,19930509,3517389
"VIETNAM",4996,19930924,5823628
"INDIA",25394,19921213,2996265
"JAPAN",10115,19980504,699128
"INDIA",6557,19960214,116876
"VIETNAM",4472,19950819,4392553
"CHINA",4472,19950819,1538696
"INDONESIA",2569,19950722,390863
"VIETNAM",4297,19920421,112621
"VIETNAM",22984,19940923,6096752
"INDONESIA",28372,19920124,3022980
"CHINA",28372,19920124,4669630
"INDONESIA",12964,19940508,2973662
"CHINA",14164,19960107,816768
"CHINA",1211,19960208,7826841
"CHINA",6251,19941103,4940159
"CHINA",18425,19970401,1252894
"JAPAN",11677,19940421,224533
"CHINA",23029,19980429,8391789
"JAPAN",7882,19930601,8289490
"INDONESIA",20515,19980426,1877736
"INDIA",13532,19940428,3887257
"INDIA",28507,19921029,7192422
"INDIA",22024,19930428,6552702
"CHINA",27091,19960814,2160135
"JAPAN",27091,19960814,7890219
"CHINA",27091,19960814,2529413
"VIETNAM",27091,19960814,5771747
"VIETNAM",27091,19960814,960261
"VIETNAM",27091,19960814,1414108
"INDIA",2254,19931127,218313
"JAPAN",14503,19960905,192285
"JAPAN",14503,19960905,1000395
"JAPAN",10399,19961106,884910
"INDONESIA",20956,19961025,6769618
"CHINA",14908,19950504,6564800
"VIETNAM",6752,19961229,4246202
"JAPAN",6752,19961229,5559305
"JAPAN",6571,19961118,1320788
"JAPAN",6571,19961118,7773183
"INDIA",20875,19930722,377645
"JAPAN",20875,19930722,5778827
"JAPAN",3923,19931204,619982
"CHINA",13177,19950607,4132231
"VIETNAM",13177,19950607,5403728
"INDONESIA",13177,19950607,4173811
"CHINA",13177,19950607,3799567
"INDONESIA",16288,19970304,5086525
"INDIA",16288,19970304,2422237
"INDIA",16288,19970304,2695170
"CHINA",5675,19960229,3225494
"CHINA",5675,19960229,320112
"INDONESIA",5776,19930921,4366762
"JAPAN",5776,19930921,624143
"JAPAN",76,19970406,2451737
"VIETNAM",21485,19931226,2658520
"VIETNAM",13975,19940624,3673648
"JAPAN",13975,19940624,5574582
"JAPAN",13975,19940624,771138
"INDONESIA",4091,19941220,880956
"INDONESIA",23254,19931202,6056789
"INDIA",23254,19931202,6865632
"INDIA",23254,19931202,2899800
"VIETNAM",23051,19931110,4050355
"INDONESIA",23051,19931110,298964
"INDIA",21683,19921209,144097
"INDIA",22711,19940815,4004951
"CHINA",28696,19930522,2649638
"INDIA",26875,19951205,2970286
"VIETNAM",26875,19951205,382825
"INDIA",26038,19960715,373255
"VIETNAM",13198,19920304,4388047
"JAPAN",29812,19971115,2580292
"JAPAN",19957,19960822,7743096
"JAPAN",9739,19921204,6987463
"INDIA",17275,19961217,4460200
"JAPAN",830,19970226,1878869
"CHINA",3617,19920508,5326482
"INDONESIA",3617,19920508,2806440
"CHINA",1552,19941001,6610530
"JAPAN",1552,19941001,7669467
"VIETNAM",1552,19941001,5263126
"JAPAN",28690,19930122,695702
"INDONESIA",16234,19961117,2835829
"JAPAN",2773,19940810,755316
"JAPAN",12985,19971117,2643336
"INDIA",5599,19931220,3960000
"JAPAN",5599,19931220,1940608
"VIETNAM",24212,19960903,4412842
"JAPAN",28540,19970405,3386134
"CHINA",5978,19941006,1319485
"INDIA",5978,19941006,9070436
"JAPAN",6943,19920912,3625124
"CHINA",27476,19940721,5696994
"JAPAN",9286,19940516,3926788
"CHINA",9286,19940516,2462528
"INDONESIA",6790,19950528,4067827
"CHINA",9371,19960916,3668287
"CHINA",9371,19960916,3817517
"CHINA",15376,19921111,4208762
"INDONESIA",11183,19940624,4502812
"JAPAN",21124,19930705,1932833
"VIETNAM",9758,19931017,6756294
"CHINA",17542,19920722,2403086
"VIETNAM",5084,19950507,629046
"INDIA",5084,19950507,1215651
"INDIA",21955,19971204,8947532
"JAPAN",21955,19971204,4996252
"VIETNAM",11647,19970218,1844281
"CHINA",23036,19970129,7442971
"CHINA",26209,19940301,2665954
"VIETNAM",26209,19940301,5124179
"INDIA",16231,19940912,3182557
"INDONESIA",14795,19921226,1619511
"VIETNAM",14795,19921226,5378490
"JAPAN",13075,19950523,4414568
"CHINA",5723,19980716,5376627
"CHINA",21386,19920224,6983180
"INDIA",21386,19920224,3362325
"CHINA",26444,19931001,2214307
"JAPAN",26444,19931001,1157763
"VIETNAM",19238,19960722,7685710
"INDIA",19238,19960722,3249044
"CHINA",27878,19970224,4636827
"VIETNAM",1324,19950206,4971576
"INDONESIA",5008,19920714,3893930
"INDONESIA",27214,19930730,5944320
"JAPAN",27214,19930730,5173823
"INDIA",4099,19960506,720517
"VIETNAM",4099,19960506,3573083
"INDIA",2396,19950402,3917762
"VIETNAM",26779,19951213,5664852
"JAPAN",17548,19971228,2962798
"CHINA",25123,19970525,4320463
"JAPAN",9566,19930429,432830
"CHINA",9566,19930429,3688492
"VIETNAM",4027,19970131,4918971
"INDIA",1438,19960712,3119481
"CHINA",1438,19960712,1102211
"JAPAN",10075,19951022,253684
"VIETNAM",24166,19940205,148948
"INDONESIA",7144,19930410,550267
"CHINA",5896,19970608,1191786
"INDIA",7190,19951219,3337578
"CHINA",23861,19930719,851215
"INDIA",23861,19930719,2921088
"JAPAN",23861,19930719,2322916
"CHINA",9862,19950601,3967952
"JAPAN",27334,19960925,2562927
"JAPAN",24968,19950321,1488731
"CHINA",24968,19950321,1477683
"INDONESIA",17626,19960614,5910003
"INDONESIA",17626,19960614,7623014
"VIETNAM",17626,19960614,4374294
"INDONESIA",14114,19920921,8981653
"JAPAN",14114,19920921,1903150
"INDIA",20489,19951010,9341804
"CHINA",20489,19951010,5980440
"INDONESIA",11255,19970810,3471156
"CHINA",26912,19950331,4660927
"CHINA",7976,19970628,5311460
"INDIA",247,19920915,2854695
"JAPAN",20519,19950111,283657
"CHINA",26443,19951219,7880432
"CHINA",14443,19970215,5664466
"VIETNAM",8356,19980627,2527920
"VIETNAM",26051,19930723,756567
"INDIA",8660,19970408,1593464
"INDONESIA",12958,19931225,3173309
"JAPAN",12958,19931225,4103392
"INDIA",6457,19920219,3612261
"INDONESIA",11734,19960903,2760357
"JAPAN",8836,19950219,6825841
"INDONESIA",26471,19960720,7763943
"INDONESIA",16751,19980214,5579952
"JAPAN",16751,19980214,1201534
"INDONESIA",4144,19941113,317847
"JAPAN",4144,19941113,5643500
"VIETNAM",13543,19971118,4129380
"CHINA",5557,19970614,2786588
"INDONESIA",6331,19951021,6172288
"CHINA",20440,19971219,5228884
"CHINA",12776,19931216,2476498
"JAPAN",6772,19980126,4523532
"VIETNAM",6772,19980126,5415039
"INDONESIA",6772,19980126,7963605
"CHINA",13864,19920531,422710
"CHINA",13864,19920531,6323026
"INDONESIA",1190,19930624,7936579
"INDONESIA",12703,19960416,1418064
"VIETNAM",12703,19960416,3286690
"INDIA",12703,19960416,479050
"JAPAN",22492,19970727,4732655
"INDIA",17608,19921221,4468212
"INDIA",17608,19921221,6107376
"INDONESIA",11566,19930330,5529105
"CHINA",11566,19930330,4940647
"INDONESIA",17833,19920622,5145989
"CHINA",569,19920423,7234315
"CHINA",569,19920423,3866161
"INDONESIA",22648,19950322,4271600
"JAPAN",22648,19950322,624435
"CHINA",15667,19950525,4836300
"INDONESIA",21511,19960316,6797625
"INDIA",3875,19920424,6226567
"CHINA",13939,19940402,2997979
"VIETNAM",9739,19920312,1261213
"JAPAN",9739,19920312,618893
"INDONESIA",12890,19970513,2796197
"CHINA",12890,19970513,6825649
"CHINA",12890,19970513,4926942
"INDONESIA",5152,19920427,1625140
"INDIA",5152,19920427,7828765
"VIETNAM",5152,19920427,3400092
"VIETNAM",14497,19960930,1127593
"INDIA",550,19961020,5046696
"CHINA",17020,19940721,1977910
"INDONESIA",26879,19970205,5148657
"JAPAN",6436,19950609,1899581
"CHINA",7192,19940314,3690879
"INDONESIA",18472,19980218,4411262
"INDIA",25699,19920915,7418055
"CHINA",28492,19980307,534884
"JAPAN",28492,19980307,4482216
"INDONESIA",2648,19940613,308479
"VIETNAM",2648,19940613,901569
"VIETNAM",12857,19940807,4117977
"INDIA",13546,19940722,650770
"INDONESIA",21370,19920504,4802901
"VIETNAM",24535,19940213,1935234
"VIETNAM",24535,19940213,6461926
"CHINA",8950,19960709,1741085
"VIETNAM",1360,19940905,2348918
"INDIA",22496,19940815,1040825
"CHINA",22496,19940815,7183734
"VIETNAM",22496,19940815,1319987
"CHINA",17446,19951111,6490419
"JAPAN",17446,19951111,4741432
"JAPAN",15790,19950818,3801615
"INDONESIA",28592,19960916,3654694
"CHINA",24506,19940621,3488229
"INDIA",24506,19940621,6472976
"CHINA",24506,19940621,8235948
"VIETNAM",24506,19940621,7081824
"JAPAN",20791,19971002,1730448
"INDIA",18352,19930122,7638049
"JAPAN",18352,19930122,2888176
"INDONESIA",18352,19930122,1997093
"VIETNAM",18976,19930917,2004651
