"d_year","s_nation","lo_custkey","lo_revenue"
1997,"INDIA",23674,5469526
1992,"CHINA",16816,7197699
1997,"VIETNAM",25183,2167074
1996,"INDONESIA",7489,1172341
1995,"VIETNAM",24554,1560936
1995,"INDONESIA",24554,1401105
1995,"CHINA",18142,5997127
1995,"VIETNAM",18142,2375799
1993,"INDONESIA",22201,2117318
1995,"INDONESIA",4430,7085722
1997,"CHINA",17776,3974691
1995,"JAPAN",24919,2183510
1995,"CHINA",24919,2636977
1995,"INDIA",24919,5631703
1995,"VIETNAM",24919,4121928
1995,"JAPAN",13196,4840110
1995,"INDIA",13196,3511544
1993,"INDIA",16724,1587713
1994,"INDIA",6674,1927887
1997,"INDIA",15202,7483534
1997,"CHINA",15202,829838
1993,"CHINA",1583,1326065
1993,"INDIA",14816,7686282
1997,"CHINA",6538,6398838
1993,"VIETNAM",6049,3045033
1993,"INDONESIA",6049,710028
1992,"CHINA",16654,319655
1996,"INDIA",1181,7059794
1996,"CHINA",3304,637997
1996,"JAPAN",3304,6572184
1994,"INDIA",253,1395315
1994,"VIETNAM",253,1709951
1994,"VIETNAM",253,1976405
1994,"CHINA",7487,7494379
1994,"VIETNAM",7487,2680552
1994,"CHINA",7487,929173
1994,"VIETNAM",3292,6303363
1997,"CHINA",18998,1105147
1995,"INDIA",26689,1643467
1993,"INDONESIA",28106,1464789
1993,"CHINA",28106,1926313
1997,"JAPAN",26440,2133850
1995,"INDONESIA",23582,327890
1993,"INDONESIA",23410,2992305
1993,"INDONESIA",3961,3791060
1993,"INDONESIA",3961,7829391
1993,"INDIA",3961,427320
1995,"INDONESIA",1882,3932439
1993,"CHINA",10502,4251760
1993,"JAPAN",10502,6429139
1993,"VIETNAM",10502,1055498
1994,"CHINA",5362,2795791
1994,"CHINA",5362,2044746
1994,"CHINA",5362,1207645
1996,"INDIA",9337,3819855
1996,"JAPAN",9337,3430450
1996,"INDIA",9337,1900848
1992,"INDIA",2704,1561041
1992,"JAPAN",2704,832109
1992,"JAPAN",2704,2786899
1995,"INDONESIA",4567,221881
1995,"CHINA",18269,6292909
1997,"INDONESIA",20224,4228169
1995,"CHINA",28166,5836540
1996,"JAPAN",10075,1989969
1996,"INDONESIA",10075,1939649
1993,"CHINA",10426,8544099
1992,"VIETNAM",3956,2361195
1992,"VIETNAM",3956,557670
1997,"CHINA",27278,5312078
1995,"INDIA",26758,582015
1994,"INDIA",4388,3833601
1997,"INDONESIA",18374,978558
1997,"CHINA",18374,729845
1994,"VIETNAM",15782,6270057
1994,"INDIA",15782,447405
1993,"INDIA",2776,3673278
1997,"INDONESIA",14764,263081
1997,"INDONESIA",22639,7449219
1997,"CHINA",22639,2331408
1997,"VIETNAM",22639,2004839
1997,"INDONESIA",22639,188787
1996,"CHINA",8428,7452244
1996,"JAPAN",8428,4356072
1993,"INDIA",2314,2128563
1993,"VIETNAM",20315,7173460
1993,"CHINA",21388,2795206
1994,"VIETNAM",4157,6784882
1994,"CHINA",4157,257323
1992,"VIETNAM",19063,7053346
1997,"JAPAN",1450,4077688
1996,"CHINA",10636,6662332
1997,"JAPAN",4405,6048779
1996,"VIETNAM",29527,350933
1996,"VIETNAM",29527,5793060
1996,"INDIA",29527,1502092
1993,"JAPAN",11851,4088928
1993,"INDIA",9073,2551301
1993,"CHINA",17326,7197976
1993,"JAPAN",17326,2614927
1994,"VIETNAM",5329,6387560
1994,"JAPAN",5329,925911
1993,"VIETNAM",19165,3458424
1993,"CHINA",19165,7258123
1993,"JAPAN",21991,2304145
1994,"INDONESIA",24895,5797680
1994,"INDONESIA",24895,1221056
1994,"JAPAN",24895,5403816
1994,"JAPAN",24895,5358064
1994,"INDONESIA",24895,8124891
1993,"CHINA",15268,488181
1995,"JAPAN",391,2913046
1997,"INDIA",26528,2302600
1997,"CHINA",26528,3865651
1994,"INDONESIA",6959,319319
1996,"INDONESIA",11644,6204446
1996,"INDONESIA",11644,744012
1993,"JAPAN",23911,5678305
1996,"CHINA",14318,4266801
1996,"VIETNAM",14318,9169231
1996,"INDONESIA",14318,3666073
1994,"VIETNAM",16585,6429753
1994,"INDONESIA",22093,936951
1994,"VIETNAM",22093,3035050
1993,"INDONESIA",24325,1958864
1993,"CHINA",24325,3428252
1995,"JAPAN",2455,1108259
1995,"CHINA",115,1327236
1994,"INDONESIA",27593,4096820
1994,"JAPAN",27593,8882501
1997,"INDONESIA",10708,6534412
1997,"INDONESIA",10708,6191528
1997,"VIETNAM",10708,6502633
1994,"INDIA",10124,2453967
1995,"CHINA",11113,5297190
1992,"INDIA",12929,1439535
1992,"JAPAN",12929,2923410
1995,"INDIA",28319,5301393
1995,"INDIA",23143,585757
1994,"INDONESIA",23249,3177791
1994,"INDONESIA",23249,9199819
1994,"CHINA",23249,1933379
1997,"INDIA",12205,2138710
1997,"CHINA",14708,1587971
1997,"INDONESIA",13669,4479304
1997,"CHINA",13214,8197698
1997,"INDIA",13214,329623
1993,"INDONESIA",15124,1914676
1993,"VIETNAM",15124,4706219
1993,"VIETNAM",15124,782181
1997,"CHINA",6460,1585972
1994,"JAPAN",19879,1028694
1994,"JAPAN",19879,8801775
1994,"INDONESIA",19879,2188616
1994,"JAPAN",19879,1154655
1992,"CHINA",13492,4492870
1992,"JAPAN",13492,7591602
1993,"INDONESIA",19039,1140746
1995,"JAPAN",13100,329033
1994,"INDONESIA",16360,1975680
1996,"JAPAN",12670,2724188
1996,"INDONESIA",12670,739204
1995,"INDONESIA",28885,266026
1995,"VIETNAM",28885,5633855
1995,"INDONESIA",28885,138821
1993,"CHINA",26620,5820449
1993,"CHINA",5566,2854530
1994,"CHINA",18922,7272793
1994,"CHINA",18922,2341524
1993,"JAPAN",26092,4728666
1992,"INDIA",26248,1619229
1997,"INDIA",6823,4060765
1992,"VIETNAM",20300,3248941
1996,"INDONESIA",21355,2445820
1992,"VIETNAM",19096,150147
1992,"CHINA",19096,812503
1992,"INDIA",19096,649391
1992,"JAPAN",19096,1158191
1995,"VIETNAM",10738,4379878
1995,"VIETNAM",24841,1988613
1995,"INDIA",18754,3771583
1995,"JAPAN",18754,5744088
1994,"INDONESIA",21133,2436997
1994,"INDIA",21133,5412711
1993,"CHINA",29371,9222668
1994,"INDONESIA",22961,8103040
1994,"CHINA",14744,3607307
1994,"INDIA",14744,550025
1994,"JAPAN",14785,9335669
1995,"INDONESIA",28370,4674974
1995,"VIETNAM",28370,1982447
1994,"INDIA",20089,4985469
1996,"JAPAN",16603,546299
1993,"VIETNAM",22784,4166756
1993,"CHINA",22784,902302
1994,"INDONESIA",17135,2065187
1995,"CHINA",7774,1003829
1995,"INDONESIA",7774,2486578
1992,"INDONESIA",29668,7270835
1992,"VIETNAM",29668,2107322
1992,"INDIA",14938,1802131
1992,"JAPAN",14938,2906793
1992,"INDONESIA",14938,5958694
1996,"VIETNAM",19156,5361951
1997,"CHINA",19222,6220207
1997,"INDIA",19222,350044
1992,"CHINA",4246,1661379
1992,"INDIA",4246,3337115
1992,"JAPAN",22283,2148714
1994,"CHINA",13501,1143383
1995,"JAPAN",6295,3090047
1996,"INDONESIA",28634,6231808
1995,"INDIA",1534,4685486
1995,"VIETNAM",1534,1652655
1995,"JAPAN",1534,4322201
1994,"INDIA",10568,3983695
1995,"INDIA",15685,7902325
1996,"JAPAN",2605,5457002
1996,"JAPAN",15319,3166740
1996,"INDONESIA",15319,1726330
1997,"INDONESIA",14425,4247149
1993,"CHINA",11900,7525215
1993,"INDONESIA",11900,4713955
1993,"INDONESIA",11900,3350138
1994,"VIETNAM",18005,3201918
1994,"VIETNAM",18005,5562421
1992,"JAPAN",22597,3314918
1994,"INDIA",21745,8064099
1996,"INDIA",25000,2281316
1992,"JAPAN",24997,2607685
1993,"CHINA",7324,932558
1993,"JAPAN",7324,932698
1993,"JAPAN",16634,4669092
1993,"JAPAN",16634,4962245
1992,"VIETNAM",22111,5417548
1994,"JAPAN",21001,176457
1992,"JAPAN",13097,5757572
1992,"CHINA",13097,5027843
1993,"INDIA",2734,5884534
1995,"INDONESIA",19255,126151
1994,"CHINA",28490,2709064
1994,"JAPAN",25859,4749024
1994,"CHINA",25859,6110160
1993,"CHINA",26588,6407588
1995,"CHINA",12418,2246181
1995,"INDONESIA",12418,3749157
1993,"JAPAN",13762,3283042
1995,"JAPAN",17827,4110031
1997,"INDIA",15160,5279183
1997,"CHINA",15160,1543773
1997,"CHINA",15160,1229611
1993,"CHINA",29894,4847056
1997,"CHINA",8053,663363
1997,"INDIA",11956,3911362
1992,"VIETNAM",18643,4819207
1995,"INDONESIA",24937,3150966
1995,"CHINA",24937,1744145
1992,"CHINA",595,2256672
1992,"JAPAN",595,7003188
1992,"INDONESIA",595,1497268
1992,"CHINA",29662,830433
1992,"JAPAN",8926,6100314
1994,"INDONESIA",671,2627392
1994,"INDONESIA",671,5341547
1997,"CHINA",21358,6079043
1992,"INDIA",27115,3589311
1992,"CHINA",27115,2591457
1995,"CHINA",21346,5932025
1997,"CHINA",11455,9185361
1997,"INDIA",11455,136154
1997,"VIETNAM",11455,7597879
1996,"INDONESIA",8425,6220582
1995,"CHINA",15337,5463913
1993,"VIETNAM",6514,3777776
1993,"JAPAN",6514,8952936
1993,"INDIA",6514,2678100
1993,"INDONESIA",6514,2099855
1992,"INDIA",10724,5371616
1993,"CHINA",11659,3628495
1996,"INDIA",23104,6386725
1996,"INDIA",23104,1864890
1995,"VIETNAM",3872,3399560
1996,"INDIA",6118,3608378
1996,"INDONESIA",10477,9345804
1996,"CHINA",10477,3160878
1996,"CHINA",10477,2806531
1994,"JAPAN",15752,6178902
1992,"INDIA",16736,5310566
1992,"VIETNAM",22693,2532885
1992,"JAPAN",5057,5243060
1992,"JAPAN",5057,3498257
1992,"JAPAN",5057,5446980
1995,"VIETNAM",18787,4658515
1993,"JAPAN",20791,1161242
1996,"CHINA",1148,433953
1993,"VIETNAM",28009,401407
1993,"INDONESIA",28009,8763500
1993,"JAPAN",28009,1885532
1993,"JAPAN",28009,7140520
1994,"INDONESIA",26360,2880133
1994,"INDONESIA",26360,4767530
1994,"INDONESIA",16433,1587603
1993,"INDONESIA",6848,5189126
1995,"VIETNAM",28312,8405320
1992,"INDONESIA",11806,3804072
1992,"CHINA",11806,332156
1992,"INDONESIA",11806,2772757
1992,"INDIA",11806,4559928
1994,"VIETNAM",10130,4708892
1995,"INDONESIA",20573,4700368
1994,"INDONESIA",20104,1975790
1994,"VIETNAM",373,4245501
1993,"JAPAN",27800,6448204
1993,"VIETNAM",27800,8425697
1996,"JAPAN",6202,5551264
1992,"INDIA",18985,1311101
1992,"INDONESIA",16960,863450
1992,"INDIA",10249,5583459
1992,"INDIA",10249,6361469
1996,"VIETNAM",21893,4875660
1993,"VIETNAM",16312,4892976
1994,"VIETNAM",5894,2940347
1996,"CHINA",22142,6649286
1996,"CHINA",22142,7823588
1996,"INDIA",12209,5184923
1997,"INDIA",24841,8300586
1992,"JAPAN",16964,3762554
1994,"INDONESIA",21412,4455330
1995,"INDONESIA",10306,4700705
1992,"INDIA",10951,4136180
1995,"INDIA",29794,2099981
1995,"CHINA",29794,2344697
1992,"VIETNAM",26869,5669426
1992,"CHINA",26869,1159347
1997,"JAPAN",15946,8628137
1997,"INDONESIA",5296,458505
1997,"VIETNAM",5296,3319682
1994,"INDONESIA",7889,1854125
1997,"JAPAN",12014,1330576
1996,"CHINA",11542,5871360
1996,"CHINA",11542,3950037
1992,"JAPAN",25435,4205702
1992,"INDONESIA",25435,6566023
1994,"JAPAN",18871,1268587
1994,"VIETNAM",18871,6662680
1994,"JAPAN",22817,4843191
1992,"VIETNAM",13033,754275
1997,"INDIA",21325,7239312
1995,"VIETNAM",7165,1781599
1997,"INDIA",4894,2383937
1992,"VIETNAM",16306,3150538
1993,"JAPAN",29062,1020744
1993,"INDONESIA",29062,4675467
1995,"JAPAN",11797,1488169
1996,"INDONESIA",28940,546668
1996,"CHINA",28940,5815105
1996,"CHINA",28940,2068709
1993,"VIETNAM",3094,6270340
1994,"JAPAN",838,8764826
1994,"INDIA",838,2913321
1995,"INDIA",2182,1795469
1995,"CHINA",2182,5966055
1992,"VIETNAM",6098,6010228
1992,"JAPAN",6098,4213599
1992,"INDIA",2554,3741326
1996,"INDONESIA",22843,4217382
1992,"INDONESIA",9401,3833362
1992,"JAPAN",9401,3889839
1995,"VIETNAM",27461,2457675
1993,"JAPAN",527,2368654
1993,"INDIA",527,1089667
1993,"CHINA",527,6438070
1997,"JAPAN",18106,4157406
1996,"INDIA",4670,4240756
1996,"CHINA",4670,1074179
1994,"JAPAN",6539,1208046
1994,"VIETNAM",6539,230464
1994,"JAPAN",6539,5446320
1994,"INDIA",27602,474463
1997,"JAPAN",6793,1660756
1997,"INDONESIA",6793,5599350
1996,"INDONESIA",29728,5020553
1996,"INDONESIA",29728,1528340
1994,"INDONESIA",19948,6472193
1994,"JAPAN",19948,3730464
1995,"CHINA",7267,5399143
1997,"INDIA",4826,5059711
1997,"VIETNAM",15685,2436497
1992,"JAPAN",4195,5191063
1995,"VIETNAM",26509,3061285
1996,"INDIA",21121,1489568
1996,"INDIA",21121,1438277
1994,"VIETNAM",28517,827965
1993,"INDIA",28532,900212
1993,"VIETNAM",28532,2845264
1996,"INDONESIA",2821,3975546
1997,"VIETNAM",10724,5731061
1997,"JAPAN",10724,1073687
1997,"CHINA",10724,6054080
1994,"CHINA",12137,6829668
1996,"VIETNAM",3952,392698
1995,"VIETNAM",7717,7892448
1997,"CHINA",6539,8921780
1992,"CHINA",23005,964017
1992,"VIETNAM",7585,3791657
1992,"CHINA",7585,7992085
1992,"VIETNAM",20600,5843277
1996,"JAPAN",13051,4326402
1996,"JAPAN",13051,813896
1996,"INDONESIA",13051,5127991
1992,"VIETNAM",8513,5482860
1995,"CHINA",4774,2440016
1993,"JAPAN",11326,4212528
1992,"VIETNAM",11884,6028672
1993,"INDIA",4189,1902170
1992,"JAPAN",24176,7408723
1997,"INDIA",28807,3330516
1997,"INDONESIA",28807,173161
1996,"VIETNAM",10210,3785520
1993,"VIETNAM",7444,1846813
1993,"JAPAN",7444,3800924
1996,"CHINA",2212,5170026
1997,"INDONESIA",28343,2373931
1992,"INDIA",9715,2061352
1992,"VIETNAM",868,5499899
1992,"INDONESIA",868,6750905
1996,"INDONESIA",6331,5947027
1997,"INDONESIA",16334,4729895
1995,"JAPAN",25058,6565086
1995,"VIETNAM",25058,2015796
1996,"VIETNAM",3806,114504
1992,"JAPAN",24661,6217828
1997,"CHINA",6691,3788864
1993,"INDONESIA",23410,3606063
1997,"INDONESIA",11669,1632705
1994,"INDIA",7777,6309374
1993,"CHINA",27481,5981062
1997,"CHINA",8587,1005631
1995,"JAPAN",24922,4436619
1993,"INDIA",514,2256184
1993,"INDIA",5500,5782911
1993,"CHINA",23950,5014495
1994,"CHINA",11342,4703952
1997,"JAPAN",28090,3409834
1997,"INDONESIA",28090,4079775
1992,"INDONESIA",16157,3977885
1992,"INDIA",16157,7182033
1996,"JAPAN",2149,478766
1996,"INDIA",2149,1336085
1997,"INDIA",15409,1351676
1997,"INDONESIA",15409,3202495
1994,"INDIA",16132,579229
1997,"INDIA",14314,1698720
1997,"INDIA",14314,989134
1992,"JAPAN",24610,6031227
1997,"INDONESIA",7483,173033
1997,"JAPAN",7483,2715818
1993,"INDONESIA",24097,1895438
1992,"CHINA",17393,1323985
1997,"JAPAN",28490,3630580
1997,"INDONESIA",28490,1893877
1992,"VIETNAM",15862,5811181
1992,"CHINA",15862,3117397
1992,"CHINA",15862,1494678
1992,"JAPAN",15862,5961180
1993,"JAPAN",22859,4739347
1995,"JAPAN",19565,5106681
1995,"CHINA",28729,1197156
1995,"INDONESIA",28729,1744015
1995,"INDIA",11623,4119435
1995,"INDIA",11623,683159
1994,"CHINA",3307,2415703
1997,"CHINA",6086,1813475
1996,"INDIA",3899,3703365
1996,"CHINA",7169,1817586
1996,"INDONESIA",7169,138883
1996,"JAPAN",25678,1241729
1996,"VIETNAM",25678,5866338
1996,"VIETNAM",25678,1225831
1996,"CHINA",25678,2603157
1996,"JAPAN",25678,1827887
1992,"INDIA",23305,2902006
1992,"INDONESIA",23305,4497428
1992,"INDONESIA",23305,3442038
1997,"INDONESIA",24016,3218608
1997,"INDIA",24016,4214278
1996,"INDIA",15079,1621204
1994,"VIETNAM",28007,6107217
1994,"CHINA",28007,2054014
1994,"INDIA",28007,2335448
1992,"INDIA",4612,1170802
1992,"INDIA",24184,2896433
1995,"CHINA",22636,1702123
1997,"CHINA",24169,7678794
1997,"INDIA",24169,1883994
1997,"VIETNAM",1339,4763134
1997,"JAPAN",1339,5363466
1997,"CHINA",4627,6681278
1993,"CHINA",23096,3540685
1996,"CHINA",24580,2976999
1996,"INDONESIA",12256,2654183
1996,"CHINA",12256,4140259
1995,"INDIA",20266,6638478
1997,"VIETNAM",29239,1480604
1996,"JAPAN",12217,4575196
1993,"VIETNAM",29686,4503981
1996,"INDIA",25369,1717868
1997,"JAPAN",14528,3606379
1997,"INDIA",24325,2708196
1997,"JAPAN",24325,3443098
1997,"VIETNAM",24325,6049898
1997,"INDONESIA",27671,1979718
1997,"CHINA",27671,2650140
1995,"JAPAN",22777,2107672
1995,"INDONESIA",22777,5976557
1997,"VIETNAM",26168,8077063
1996,"CHINA",16052,3182234
1996,"VIETNAM",16052,1614552
1997,"JAPAN",17224,8680108
1995,"JAPAN",23492,3436842
1992,"JAPAN",22526,6168120
1995,"CHINA",15718,3039949
1995,"INDONESIA",21085,2902880
1995,"VIETNAM",21085,7406319
1993,"INDIA",22550,7100280
1993,"INDONESIA",22550,2287314
1992,"JAPAN",25327,2471057
1993,"CHINA",616,5073675
1995,"INDIA",2776,6538041
1995,"JAPAN",2776,5609102
1996,"VIETNAM",16471,8306492
1996,"INDONESIA",10438,3619798
1997,"VIETNAM",21866,5501052
1994,"VIETNAM",15869,2426592
1994,"INDIA",15869,538401
1996,"CHINA",12289,2892925
1997,"JAPAN",25160,480162
1997,"INDIA",25160,3204705
1994,"CHINA",8086,3698408
1994,"INDIA",8086,2070923
1994,"CHINA",8086,1266375
1997,"INDONESIA",1778,3486291
1994,"INDONESIA",17419,302728
1994,"INDONESIA",17419,8561053
1992,"CHINA",24227,3429907
1992,"CHINA",24227,2979418
1992,"INDONESIA",24227,6622925
1995,"JAPAN",13505,3481137
1993,"INDONESIA",15316,526024
1992,"VIETNAM",331,837335
1992,"VIETNAM",24415,1524301
1992,"JAPAN",24415,5139812
1996,"INDONESIA",26179,4229035
1996,"INDIA",26179,2179339
1992,"VIETNAM",21197,1177318
1995,"CHINA",4735,547280
1997,"JAPAN",20984,589204
1997,"JAPAN",20984,525054
1995,"JAPAN",18617,3147768
1995,"INDONESIA",18617,3656014
1995,"CHINA",18617,3505810
1993,"INDONESIA",27073,3491582
1993,"INDONESIA",27073,7734969
1993,"JAPAN",4636,364953
1993,"INDONESIA",4636,2553010
1996,"INDONESIA",19568,9102258
1997,"INDIA",18485,4534769
1996,"CHINA",26734,8039034
1996,"JAPAN",26734,4241960
1995,"INDONESIA",16606,5388006
1993,"JAPAN",18313,6056659
1993,"VIETNAM",23341,3775377
1994,"CHINA",18538,2125590
1994,"VIETNAM",15937,1118684
1994,"JAPAN",15937,3281191
1994,"INDIA",15937,6599270
1997,"INDIA",12683,866761
1997,"CHINA",12683,6288627
1996,"INDONESIA",6980,6356208
1996,"JAPAN",6980,5500623
1996,"JAPAN",6980,3161968
1996,"INDIA",6980,3520453
1996,"VIETNAM",6980,1058553
1996,"JAPAN",6980,1070160
1995,"INDONESIA",25387,3700083
1996,"CHINA",1165,1642822
1992,"VIETNAM",14065,5003020
1992,"JAPAN",14065,9320366
1992,"VIETNAM",14065,4560176
1997,"CHINA",26023,3399732
1997,"INDONESIA",26023,4874158
1997,"INDONESIA",26023,555342
1997,"VIETNAM",9322,5815242
1997,"INDIA",9322,3072420
1995,"CHINA",5926,8658395
1997,"INDIA",28228,3285672
1996,"JAPAN",4405,2443623
1994,"CHINA",5885,2590432
1994,"CHINA",5885,1386284
1994,"INDONESIA",5885,7732066
1994,"INDONESIA",24791,1611542
1994,"INDIA",24791,8066401
1994,"INDIA",24791,2667153
1992,"INDIA",7927,874422
1995,"CHINA",7858,4902863
1996,"INDONESIA",18673,405947
1996,"INDIA",18673,5811310
1995,"VIETNAM",544,545391
1994,"VIETNAM",28669,7364088
1994,"JAPAN",28669,5581630
1993,"INDIA",6629,3381183
1996,"INDONESIA",1184,4258824
1997,"INDIA",5767,3741993
1993,"INDONESIA",1756,4006201
1994,"INDONESIA",14206,1741426
1996,"JAPAN",4079,4390732
1994,"VIETNAM",16358,4893282
1993,"INDIA",22453,698587
1993,"JAPAN",22453,8773160
1997,"INDIA",8410,4267349
1997,"INDIA",8410,2416004
1997,"VIETNAM",8410,4649624
1995,"JAPAN",8365,2807764
1996,"CHINA",28756,186199
1996,"INDONESIA",17698,8687343
1997,"INDIA",5663,2667316
1996,"INDIA",13324,3848202
1997,"VIETNAM",6713,1592534
1997,"INDONESIA",6713,708251
1996,"VIETNAM",23732,1008345
1993,"INDIA",3646,4978141
1992,"CHINA",2195,428226
1996,"VIETNAM",8335,7466658
1997,"INDONESIA",8135,858764
1996,"JAPAN",20728,1393972
1993,"JAPAN",16729,357324
1993,"VIETNAM",16729,7482270
1997,"INDIA",23219,4101078
1994,"INDONESIA",26674,5153380
1996,"JAPAN",19852,4542692
1997,"JAPAN",14359,2899380
1997,"INDIA",14359,622181
1994,"INDIA",8746,700107
1994,"INDONESIA",8746,5961898
1995,"INDIA",10306,6320960
1992,"INDONESIA",21757,5032367
1993,"CHINA",14636,2339742
1993,"INDONESIA",14636,5583834
1993,"JAPAN",14636,3196550
1995,"INDONESIA",6764,2990758
1995,"VIETNAM",12220,939067
1995,"INDIA",12220,6574512
1997,"JAPAN",21187,7414861
1994,"INDIA",2527,6220305
1996,"VIETNAM",20083,308528
1993,"JAPAN",28666,2967669
1993,"JAPAN",28666,5459615
1996,"CHINA",9557,430441
1995,"VIETNAM",28646,3942478
1997,"JAPAN",3061,805119
1997,"INDIA",3061,7014301
1997,"JAPAN",3061,3597113
1997,"JAPAN",3061,6010790
1994,"JAPAN",24464,4537384
1994,"INDIA",24464,4152591
1995,"CHINA",1723,2985602
1996,"CHINA",24787,1789589
1996,"INDIA",24787,3468390
1996,"CHINA",24787,4314385
1993,"INDONESIA",8692,3841583
1993,"JAPAN",8692,3240483
1997,"CHINA",13544,226034
1993,"VIETNAM",12494,4324003
1995,"CHINA",187,7650428
1997,"INDIA",14134,4663804
1997,"JAPAN",14134,2785017
1997,"JAPAN",14134,2658066
1995,"VIETNAM",21658,2032490
1992,"INDIA",19034,1903485
1993,"VIETNAM",27613,3655148
1993,"CHINA",27613,4292811
1992,"INDONESIA",2044,1718563
1997,"JAPAN",19784,4545326
1995,"JAPAN",21586,7602163
1993,"CHINA",4573,4888428
1992,"INDONESIA",2947,902107
1992,"INDONESIA",9166,3928454
1992,"CHINA",9166,2462234
1994,"JAPAN",3424,6304730
1996,"CHINA",27005,1141121
1995,"INDIA",22696,2196494
1997,"INDONESIA",24811,6264031
1997,"CHINA",24811,3949953
1992,"INDONESIA",16756,793137
1996,"INDONESIA",18683,2585709
1992,"VIETNAM",13471,8411663
1994,"VIETNAM",17992,4344975
1994,"VIETNAM",17992,1126477
1996,"VIETNAM",9175,3303100
1992,"JAPAN",11830,5449940
1993,"CHINA",21976,962412
1995,"CHINA",8299,5198870
1996,"VIETNAM",24761,810935
1996,"VIETNAM",24761,3570894
1996,"INDONESIA",11518,5094580
1997,"CHINA",11020,4708784
1997,"VIETNAM",11020,5033164
1995,"VIETNAM",2029,3432988
1994,"JAPAN",8174,297624
1996,"CHINA",20669,884745
1994,"VIETNAM",11090,609360
1993,"CHINA",24451,2148341
1993,"CHINA",24451,4088582
1993,"INDIA",24451,2434371
1995,"CHINA",15862,2070000
1995,"CHINA",15862,1326495
1995,"CHINA",15862,7098667
1995,"JAPAN",10456,4737630
1992,"CHINA",16250,1903661
1994,"INDONESIA",13883,1817830
1995,"INDIA",16228,5947096
1993,"JAPAN",14695,3579935
1993,"JAPAN",9295,922761
1993,"INDONESIA",9295,5158218
1993,"JAPAN",9295,1318363
1996,"INDIA",19144,5470417
1997,"JAPAN",9142,5246841
1997,"CHINA",3854,2991097
1996,"INDONESIA",24121,347750
1996,"INDONESIA",24121,4368042
1996,"JAPAN",24121,3183480
1996,"VIETNAM",20639,6701846
1996,"VIETNAM",20639,1074090
1996,"JAPAN",29612,6633135
1996,"JAPAN",29612,2500943
1996,"JAPAN",29612,2521626
1992,"JAPAN",7472,3884847
1996,"VIETNAM",19072,3238449
1993,"INDONESIA",6451,5688542
1997,"CHINA",20,2966525
1997,"INDONESIA",20,161570
1997,"VIETNAM",8282,1957110
1997,"INDONESIA",8282,4790311
1995,"INDIA",15314,4901220
1994,"INDONESIA",10885,7094505
1994,"JAPAN",10885,819851
1995,"INDONESIA",26915,1640684
1997,"VIETNAM",13307,806855
1997,"INDONESIA",13307,3733142
1997,"INDONESIA",13307,1787311
1996,"JAPAN",26140,7424779
1996,"JAPAN",26140,5627795
1997,"CHINA",13618,1819752
1992,"VIETNAM",7579,4230933
1993,"VIETNAM",26686,5850220
1993,"CHINA",18752,3470933
1994,"INDIA",2114,1337633
1994,"VIETNAM",2114,7864362
1994,"INDIA",2114,3821388
1997,"INDIA",26761,3038490
1997,"INDIA",20251,4099704
1994,"INDIA",8104,4188211
1995,"JAPAN",12367,2492594
1995,"JAPAN",12367,945056
1996,"INDIA",9598,292317
1996,"INDONESIA",9598,516909
1993,"INDONESIA",22060,5469288
1993,"VIETNAM",22060,2606952
1993,"VIETNAM",22060,5046373
1993,"CHINA",22060,5531856
1997,"INDONESIA",22489,3143344
1995,"VIETNAM",28144,396385
1992,"INDONESIA",8407,2756364
1992,"INDONESIA",8407,3916173
1992,"CHINA",8407,4803365
1995,"JAPAN",23594,7514074
1995,"CHINA",20258,5399886
1996,"JAPAN",23626,4735332
1996,"CHINA",23626,3691513
1992,"INDIA",9118,3575668
1992,"INDONESIA",23390,6742429
1992,"INDIA",23390,4830484
1994,"CHINA",8750,308118
1994,"INDONESIA",8750,7395378
1995,"JAPAN",22463,225139
1996,"JAPAN",2696,2203839
1996,"INDONESIA",2696,3425065
1992,"JAPAN",3926,5590080
1992,"INDONESIA",3926,5315357
1993,"JAPAN",15193,1703490
1992,"INDONESIA",8048,2813024
1992,"JAPAN",8048,4620000
1992,"INDIA",8048,1434998
1992,"INDIA",21622,5186935
1996,"CHINA",2833,1613689
1996,"CHINA",2833,813305
1997,"CHINA",18509,739176
1994,"VIETNAM",2023,6848595
1994,"CHINA",2023,1123388
1992,"JAPAN",7037,4544590
1997,"CHINA",4909,7050554
1997,"CHINA",4909,4374512
1997,"INDIA",5092,3938989
1997,"JAPAN",5092,927405
1992,"INDONESIA",26482,3127356
1992,"CHINA",26482,6287868
1992,"INDIA",26482,2583644
1996,"CHINA",1274,588228
1996,"INDIA",1274,427792
1996,"INDIA",8911,5320084
1996,"CHINA",8911,814752
1996,"JAPAN",8911,4744818
1996,"VIETNAM",8911,938637
1996,"INDONESIA",24278,5581055
1996,"JAPAN",24278,5313277
1994,"CHINA",25315,3803840
1995,"INDONESIA",25528,2392986
1994,"CHINA",22972,2268932
1997,"VIETNAM",6953,4310579
1992,"INDIA",1138,418347
1992,"VIETNAM",1138,4532392
1994,"VIETNAM",13822,928976
1997,"INDIA",3571,3604426
1997,"CHINA",24856,3969250
1997,"INDONESIA",24856,1007680
1996,"INDONESIA",6421,410008
1993,"CHINA",25799,6398732
1993,"INDIA",25799,2067595
1993,"CHINA",15844,7019943
1992,"JAPAN",10993,1984905
1994,"INDIA",11821,2896816
1997,"CHINA",29485,2649012
