"lo_custkey","lo_orderdate","lo_partkey","lo_revenue","lo_supplycost"
25330,19920207,127346,4218900,82400
23851,19961209,186505,4297050,95490
1466,19980402,173176,1454033,74950
1466,19980402,166625,3085514,101497
1748,19921129,5183,1762851,65290
29611,19960616,179517,4358472,95790
29611,19960616,11506,1289925,85050
29887,19930919,195366,6137712,87681
17201,19960518,159893,538997,117173
17201,19960518,96610,1625889,96396
1121,19980514,134266,5663932,78015
1121,19980514,125822,515541,110869
23944,19980120,160290,2138859,81017
23944,19980120,46014,729607,57600
27334,19951014,4960,3189081,111897
12184,19950120,6698,6258291,96281
15922,19940905,180807,3407479,113268
24091,19940123,199445,416998,92666
27631,19951010,98152,552072,69009
21352,19930608,176505,5010192,94890
21352,19930608,109677,7843015,101200
21352,19930608,88463,3338358,87087
4775,19971009,180103,2135495,70986
4775,19971009,181566,4474772,98853
12025,19920523,157327,4111430,83059
21853,19931228,154902,5125121,117414
21853,19931228,33567,1601097,90033
5329,19930425,87988,9010468,118558
5887,19931216,40248,2887423,71294
28607,19930816,51296,2754016,74837
28607,19930816,129478,6433881,90448
18751,19970908,34136,2675325,64207
18751,19970908,19490,3382776,84569
25618,19961206,161878,7237654,116392
1585,19941019,12350,5156699,75741
1585,19941019,138895,5159618,116033
2086,19950420,42733,3272700,100543
2086,19950420,45761,471065,102405
1597,19970928,43208,4900658,69072
1210,19980108,126947,1616656,118436
12725,19950611,13396,4766179,78563
1648,19960102,105141,312896,68768
14852,19930524,10119,203763,61746
14852,19930524,176360,5630531,86181
14852,19930524,68882,2461670,111052
7574,19970927,37902,4020181,110394
7574,19970927,8157,3451086,63909
5255,19970709,30648,4950615,94718
5255,19970709,168186,3771319,75250
17504,19951121,93366,2854656,81561
26644,19970310,29570,3898882,89974
13165,19971209,19828,7477173,104869
13165,19971209,135947,1804475,118976
7340,19970524,135671,6314679,102400
28303,19950608,90781,6661892,106306
22945,19920627,119534,6571431,93211
14101,19971215,115282,2006892,77836
2096,19970328,24091,1662717,60905
2096,19970328,91484,4866133,88528
2096,19970328,157619,7377084,100596
2096,19970328,89544,3488803,92012
2096,19970328,135348,5161241,83000
2311,19950216,24439,1363430,81805
9511,19970709,5345,5336451,75020
15361,19920129,139868,6410409,114471
19907,19951112,33969,7646093,114177
6646,19960505,120190,796305,72611
6646,19960505,172963,561924,122157
28897,19940511,162031,1731359,65581
19562,19950728,403,1225196,78204
28066,19950618,87298,5737534,77117
17896,19950606,57153,430738,66609
17896,19950606,159307,393494,81978
28801,19941003,88375,6816850,81802
4540,19951013,154723,3135898,106663
4540,19951013,42385,1604802,79642
4540,19951013,105081,202010,65164
943,19921212,48427,5757508,82525
29560,19920426,54665,6996931,97179
16951,19951120,168561,6971257,97773
21052,19970327,181386,6162996,88042
21052,19970327,74452,4461935,85587
13763,19940326,1559,277504,87633
13763,19940326,151546,1485712,95852
14693,19961228,79336,2762193,78919
7288,19931105,20122,2370823,62527
7288,19931105,188171,1813204,75550
7288,19931105,184895,768197,118793
4736,19960328,77424,2382414,84085
4331,19970215,118094,1534684,66725
20378,19940622,141417,3879370,87504
26695,19980316,107356,2576731,81801
26695,19980316,63043,2716308,60362
19258,19940828,87916,186583,114234
29797,19950408,28890,882161,109133
29797,19950408,146491,1300716,92249
29797,19950408,57759,6628371,103005
29797,19950408,92147,310985,68348
16679,19980526,35977,3202311,114778
22919,19920810,177417,3287702,89664
18007,19980626,9351,3826422,75621
9631,19970131,59508,6142955,88050
9631,19970131,144812,5147077,111408
18548,19980404,76835,1833571,108709
6424,19930825,136813,1581587,110988
21046,19970613,12881,2448646,107632
21046,19970613,98269,5657048,76035
8983,19940917,120741,1057044,105704
13411,19970716,124741,2111825,105944
13411,19970716,160429,4244847,89365
7261,19941114,4184,195872,65290
5962,19970626,144472,1050913,90988
28442,19920720,115722,2371987,104263
28442,19920720,131308,787508,80358
15629,19940201,33805,869400,104328
18628,19940411,2801,1901440,102228
21746,19940823,31281,4015071,72736
21746,19940823,157195,2141244,75131
23153,19980802,66589,2134255,93334
15338,19941214,53206,5282474,69552
15338,19941214,28466,2537917,83667
14770,19960404,81153,2771862,68049
16244,19980511,192523,1777072,96931
14857,19950512,28420,4708682,80905
28408,19970522,1364,1093271,75921
11356,19920126,120995,5874594,120959
29831,19960206,180743,2553236,109424
29831,19960206,41260,3081231,72075
3520,19930615,84946,1513856,115856
3520,19930615,27347,4432154,76460
13771,19930807,117729,2880341,104803
13771,19930807,57896,6447829,111233
13771,19930807,148317,6224448,81918
13771,19930807,147197,1119771,74651
64,19960401,9368,5947388,76641
12875,19950208,117591,5654193,96515
14773,19920225,61990,749564,117119
14773,19920225,86478,3914528,87868
13315,19970114,34695,5280195,97781
13315,19970114,106658,612591,99879
8332,19950925,67319,4664160,77178
24238,19970810,167647,5701178,102878
28315,19970304,113281,2636448,77656
3044,19950401,145974,5453919,121198
13463,19960512,110583,2438177,95614
25960,19950831,136146,5056012,70928
25960,19950831,191455,4793995,92787
19714,19960904,12680,2809487,95560
19714,19960904,176012,4804652,65280
10063,19930311,171632,613306,102217
17527,19930329,193269,5206557,81735
17527,19930329,71722,5145521,101623
7252,19920816,193219,1889582,78732
7252,19920816,29190,2548395,67151
29206,19951025,192386,1159049,88702
5843,19980304,24713,3013386,98262
5843,19980304,130954,7123985,119097
6607,19931210,48486,5410858,86068
17296,19951012,17640,5397222,93458
17296,19951012,61306,4936133,76038
23810,19931016,185926,6808337,120715
23810,19931016,72100,2634149,64326
27923,19960831,152968,396108,121257
3136,19970812,103118,201799,67266
2135,19970325,31399,2710004,79823
18059,19940227,4782,1762685,101206
18059,19940227,157042,5055584,65942
385,19920211,94190,1447080,71051
9290,19970105,119917,5752622,116214
7678,19970203,148636,6630703,101077
23518,19960829,97775,2097186,106366
15223,19920517,38751,6840108,101385
22121,19960829,3285,4149473,71296
3601,19951001,103714,1738322,103062
3601,19951001,115110,1746170,67506
8401,19920114,99354,6293077,81201
28801,19960308,68037,696485,60301
23728,19980510,26454,1472940,82827
23728,19980510,148552,7202475,96033
14287,19970710,62378,4704698,80422
29644,19970125,144688,7734683,103960
29644,19970125,86300,1672190,77178
8113,19960209,142335,2071504,82639
21203,19951123,95342,3971899,80240
21203,19951123,197808,6628372,114348
3202,19940522,28789,5373215,103066
5171,19980302,168202,5317057,76212
13274,19970909,56474,2660674,85828
13274,19970909,146130,3937683,70567
19865,19960920,30383,956140,78802
23050,19921201,44916,9118459,111654
16616,19980729,68518,4095335,89190
16984,19930719,108870,6882300,112732
16984,19930719,154051,2492992,66303
25060,19950330,199036,4481098,68101
17488,19920114,29284,4747564,72796
17140,19920416,110172,2574766,70930
17140,19920416,70354,3853858,79461
11575,19971218,154881,545918,116152
14515,19980220,29395,2884521,79463
25891,19950602,134146,3172216,70808
18008,19940122,191516,6704924,96450
18008,19940122,199073,4888703,70324
18008,19940122,121121,3221920,68527
14938,19950216,56395,1491934,81083
26287,19930820,8049,3541048,57422
10021,19940623,176407,1793430,89004
10021,19940623,109006,4575620,60900
4589,19950629,176603,3090464,100776
79,19920705,165089,1395282,69244
18695,19971101,24333,1637043,75439
29326,19921212,34195,609762,67751
18178,19920315,68492,4533360,87629
25802,19920902,156951,4674507,120477
25802,19920902,75253,1847288,73695
20221,19961129,177703,534210,106842
20221,19961129,41152,4178019,65589
26647,19920224,117246,3308425,75794
26647,19920224,196483,2497157,94768
26063,19920730,77060,3923197,62223
26063,19920730,106076,2588311,64924
4847,19940526,99092,3420567,65465
28103,19980306,125260,2961239,77115
28103,19980306,64351,1483714,78921
28103,19980306,102145,5334201,68828
22901,19950215,188390,4353858,88703
22901,19950215,65510,4854427,88530
8077,19940305,103828,8792736,109909
26492,19980221,87743,498453,103844
26492,19980221,87009,3318672,59760
6829,19961105,151816,8591926,112068
6829,19961105,165728,5964119,107623
14384,19930704,46738,980512,101083
14384,19930704,109589,7833042,95914
14384,19930704,129496,5894493,91529
14384,19930704,26984,5446293,114658
10300,19940622,185987,196933,124378
15544,19980319,116231,229490,74833
26179,19970508,28102,699437,61806
2782,19970723,176255,2878162,79875
2782,19970723,117444,1359139,87686
2782,19970723,77187,1392359,69850
2782,19970723,42734,6993640,100603
16285,19930203,19245,3318084,69854
16285,19930203,38157,1768667,65709
15157,19980707,20448,5035859,82106
24587,19921204,113788,6226951,108106
21865,19970713,109906,881314,114954
21865,19970713,16385,3461670,78082
21865,19970713,17541,5717476,87512
12170,19920521,92641,150294,98018
12170,19920521,9651,5134538,93639
3437,19950702,120472,585048,89548
3437,19950702,1791,4570533,101567
5455,19920922,55925,1608186,112855
3599,19960119,178181,1853512,75550
3599,19960119,78126,1082037,66247
27919,19980118,42481,6486798,85408
29212,19920517,30372,3182992,78142
29212,19920517,152317,410793,82158
14026,19940217,25087,1686125,60724
14026,19940217,195876,8163541,118312
3421,19940630,48816,2850168,105888
11548,19960801,41298,122689,74357
11548,19960801,92053,300974,62703
115,19970419,80157,2456244,68229
21610,19970520,136319,4608054,81318
15707,19970224,72364,3875444,80181
23830,19930421,88003,1553888,59460
17690,19951209,41784,4348965,103546
4609,19960730,93102,1893427,65706
485,19980426,133947,4655209,118856
6254,19950204,170978,7353753,122938
13345,19980802,50584,4962831,92074
14692,19930820,136460,2962990,89787
14692,19930820,139152,1768857,71469
17929,19971106,93774,2121324,106066
10720,19930727,154426,6809932,88825
17654,19950416,31992,5090877,115439
17654,19950416,82403,3906828,83124
12104,19960324,107310,2252600,79038
10957,19950401,136180,1984805,72970
4088,19970525,147775,5905774,109366
3287,19921103,127043,1141732,64202
10624,19940926,33198,2314414,67871
10624,19940926,157748,6347176,108344
16837,19951019,21427,3640734,80905
19549,19930527,162336,4759915,83899
11752,19971222,103380,2351746,83002
11752,19971222,95656,3415612,99099
26182,19920413,92939,4976651,115915
10885,19980406,141172,3883357,72790
10885,19980406,67093,1639959,63605
10885,19980406,113109,969494,67326
4264,19950629,38266,3699486,72255
21085,19940604,165848,568410,114830
14840,19920118,107565,2091504,94353
24796,19930418,179826,5789881,114349
24796,19930418,129208,3897180,74232
24796,19930418,182667,5542922,104979
19268,19921206,102148,2530308,69008
19981,19930316,9413,6281447,79344
27904,19970930,115378,6417862,83602
27904,19970930,12905,3108609,109074
7295,19960809,49208,572814,69432
14782,19940321,109764,666933,106425
8078,19950927,85263,1541601,74895
24320,19950601,50413,6413480,81804
24320,19950601,43387,6192918,79822
24320,19950601,460,2530455,81627
13268,19950220,47385,3554789,79942
13268,19950220,192819,7654887,114708
20611,19950913,143312,2369081,81318
20611,19950913,194601,3085992,101736
15283,19940906,156386,1918365,86542
10963,19951006,59389,4012778,80902
11569,19930218,48816,7018649,105888
29629,19980530,104696,7823174,102041
16963,19920902,70036,98590,60361
5800,19920505,64892,4100013,111413
5800,19920505,36906,8223019,110574
25993,19950416,28,3158980,55681
25993,19950416,68207,930758,70512
25993,19950416,142946,9944700,119336
19714,19931008,6530,5595284,86191
5227,19961107,48855,6133090,108231
25462,19950515,18760,7574565,100725
25462,19950515,93706,1318967,101982
24754,19950108,136891,1052627,115673
10456,19970515,90479,4555357,88168
25907,19930328,1381,1885098,76942
25907,19930328,114030,991828,62641
20626,19930606,131341,5360360,82340
20626,19930606,42589,4548792,91894
5621,19931015,97047,4658506,62642
5621,19931015,58488,567020,86788
1303,19930217,182237,360149,79153
20810,19930701,48728,4862488,100603
4162,19930404,189288,2404730,82636
4162,19930404,153029,1017098,64921
24850,19920309,74671,2845363,98740
20252,19970510,175509,3992940,95070
23684,19970318,54371,2862799,79522
23684,19970318,11654,6841890,93939
16973,19980111,56342,4154688,77900
10880,19950505,151474,7322256,91528
8419,19940426,38630,1490198,94117
8419,19940426,49102,94599,63066
17056,19930805,115128,1865571,68587
17056,19930805,154330,3599258,83059
17056,19930805,194027,3625378,67261
8975,19950520,62383,4306561,80722
22537,19980502,134637,4107194,100297
6805,19940102,36092,705269,61685
9479,19960523,189809,4323567,113928
9479,19960523,65035,4000120,60001
12385,19950308,122783,7638449,108346
10159,19920326,119596,6094005,96935
15368,19940711,39002,1072740,56460
15368,19940711,90325,3480336,78919
16702,19921004,88830,523823,109129
14044,19970623,78882,5895267,111652
14044,19970623,55452,1587603,84447
14044,19970623,168857,1970144,115551
9934,19980503,150125,3351442,70507
27217,19950307,27784,328661,102706
13505,19930126,169231,3829177,78013
15089,19940607,86199,2903715,71111
29608,19960102,12469,4144380,82887
7519,19970303,106052,314240,63483
7519,19970303,133099,224153,67925
26597,19980607,145932,7120548,118675
15071,19930915,16945,2372111,111716
5119,19950621,11338,5809384,74959
5119,19950621,138234,1571204,76333
5197,19930506,60600,2698277,93636
2771,19961026,19363,5190993,76941
2771,19961026,19963,2398891,112977
2771,19961026,59011,706167,58200
27058,19950627,915,6417425,108954
27058,19950627,175006,3418122,64860
27058,19950627,11803,4244130,102888
20546,19941128,167484,4654440,93088
20546,19941128,87739,3517349,103603
12310,19960228,33167,2935226,66009
12310,19960228,109977,2324754,119218
12310,19960228,170433,2967770,90205
25216,19950701,25576,432452,90094
10649,19951031,23997,6708097,115259
18859,19960409,52736,5873402,101323
13204,19940804,120465,6981662,89127
13204,19940804,54146,2745949,66008
1892,19980131,140231,5555275,76273
1892,19980131,198799,1262030,113867
11819,19970322,163268,3860654,79875
25430,19980613,139876,758684,114952
17609,19950417,165734,4409338,107983
20395,19920205,42850,7752283,107571
25879,19980225,13026,1338103,56341
17290,19980529,166028,2334638,65641
12211,19940316,86320,1664251,78379
12211,19940316,196437,2039461,92005
13790,19971002,137487,3402639,91468
13627,19931114,176727,8484698,108223
10099,19970212,114341,2096710,81320
19177,19940105,29132,2269757,63667
19177,19940105,12822,3702105,104089
19177,19940105,23890,8797366,108833
9217,19950425,77342,905067,79160
12877,19920412,185028,3708582,66781
12877,19920412,612,7336158,90756
29953,19970109,60789,2519683,104986
29953,19970109,76924,1429491,114055
3035,19940517,153746,539922,107984
23987,19960805,171559,3756787,97833
16663,19920119,45492,6832389,86249
16663,19920119,13230,1182099,68593
3628,19940322,59657,2376475,96999
7040,19920914,3047,3496147,57002
15568,19920518,177263,4157486,80415
17056,19960727,188474,1701529,93748
4078,19971208,130808,174686,110328
1096,19980731,88729,7255649,103063
1096,19980731,86363,878433,80961
1096,19980731,98670,961153,100120
22759,19940918,143395,6559058,86303
9002,19920106,88411,2546926,83964
26959,19960806,171377,5422697,86902
18757,19930119,101055,1729809,63363
18757,19930119,15833,685541,104929
18544,19970211,88280,1846615,76096
18544,19970211,82108,1709276,65406
12427,19940821,59804,8032345,105828
17245,19961025,122461,1762350,89007
8978,19931107,152148,2592302,72008
16433,19930403,96266,5283820,75735
16433,19930403,74010,3436162,59040
23536,19960927,158923,2140473,118915
27797,19950716,35074,593333,60544
27797,19950716,189459,2991605,92907
27797,19950716,35156,1969525,65469
16222,19920716,17165,3783231,64929
28339,19920407,58560,5138807,91113
22570,19960126,76046,1090516,61322
29692,19950315,169135,3699087,72247
13885,19950817,160491,2888874,93089
5578,19930711,119678,5714357,101860
4591,19931120,11944,5512141,111356
2530,19940202,10724,6099140,98083
10267,19971002,40528,2255646,88111
10267,19971002,141450,3825569,89487
22178,19970709,86396,5013928,82943
18292,19971125,142983,1539744,121558
18292,19971125,111388,5177706,83962
18292,19971125,87022,3430668,60541
21613,19931127,74696,6214966,100241
21613,19931127,130817,4573329,110868
28384,19940807,108105,3673230,66786
28384,19940807,166599,1978720,99935
28933,19930508,91980,366788,118318
28933,19930508,162957,2908728,121197
28933,19930508,10717,146493,97662
18289,19940912,109592,6025181,96095
10699,19940820,155048,4401129,66182
17881,19980330,6464,4386842,82227
6919,19921214,172585,2111756,99454
6871,19930329,133018,617993,63060
15070,19930729,19065,2898056,59043
28987,19950811,178928,9633216,120415
590,19980516,43331,2156166,76459
590,19980516,42597,6272289,92375
29626,19971113,4600,6921160,90276
24590,19920319,67182,919344,68950
2252,19951129,111702,3902094,102822
2252,19951129,162899,4186673,117713
2252,19951129,33145,2837664,64688
2252,19951129,111535,3557019,92791
19549,19970504,149414,2247797,87804
17621,19960117,172536,6294177,96511
12086,19980629,185997,8615246,124979
28363,19940729,181838,7372147,115189
8525,19950308,98807,5601591,108348
8491,19950219,29118,3335045,62826
25276,19950305,128785,8887522,108826
10850,19920314,13340,2647054,75200
2957,19950330,53837,1595629,107449
22882,19950430,17751,4806000,100125
5504,19941204,16760,2821987,100605
13333,19980701,26852,8111556,106731
13333,19980701,120443,5859613,87806
2428,19951117,38906,4073539,110694
16003,19940102,111690,5727888,102101
10438,19970528,196324,2783827,85219
20263,19950613,98907,8319253,114354
19561,19930921,77667,5476717,98679
5086,19951024,157638,6952083,101737
27982,19961021,128906,4256780,116094
19502,19970702,87734,7444760,103303
17758,19951014,83567,4341568,93033
19144,19960329,87443,532123,85826
19144,19960329,171639,3233090,102637
13828,19941029,30066,1087697,59763
17443,19970321,74210,4049998,71052
25099,19930527,66371,6553113,80242
18557,19980615,71079,1296836,63004
3401,19940501,355,627675,75321
3401,19940501,55733,6185817,101323
24097,19961210,93219,5353119,72732
24097,19961210,170078,1237619,68884
20563,19951115,54301,1501338,75318
15110,19951108,193773,7786297,112006
26818,19960327,24683,3665510,96460
3820,19960929,5665,7162209,94239
18529,19950408,79194,4255160,70391
18529,19950408,199094,4373867,71585
18529,19950408,16351,4843811,76041
7535,19971226,26068,385695,59643
18047,19930714,45956,346154,114117
12232,19940425,178156,1347691,74049
18958,19941113,145348,4871116,83600
6613,19930818,37285,1304172,73336
4495,19950909,159941,3163486,120056
4438,19930517,1594,1346031,89735
9368,19931220,97785,5471351,106966
9368,19931220,57157,4144638,66849
20513,19950630,106791,3804123,107867
20513,19950630,33513,3543949,86790
17557,19920826,151602,7039375,99216
1769,19920108,107327,240177,80059
1769,19920108,185596,7062678,100895
17291,19940401,25193,3119750,67091
14200,19930129,143203,5159268,74772
14200,19930129,130894,1131835,115493
2803,19920429,65101,4910456,63966
23797,19930121,186578,7041131,99874
27653,19950528,146637,6815334,101017
11080,19970516,65376,5389624,80482
28888,19920522,176890,5670543,118013
28888,19920522,175585,7555639,99634
5210,19970206,168729,1323121,107863
15236,19930326,182181,5214407,75790
21001,19921125,106211,3962018,73032
21001,19921125,80477,5828422,87448
11179,19960916,189637,7956311,103597
11179,19960916,171546,784506,97052
25744,19920722,131106,213774,68226
25744,19920722,154107,3995345,69666
18139,19941223,72707,6026763,100782
18139,19941223,181505,1959327,95190
18139,19941223,131909,6071135,116454
598,19940909,90407,1917232,83844
598,19940909,62820,5362722,106969
24979,19940519,4962,6284187,112017
28100,19970619,4337,338883,74479
28100,19970619,82019,4096132,60060
28100,19970619,14071,4255502,59104
9277,19980424,131023,775758,63241
13265,19920817,9662,2970437,94299
23396,19940604,125921,8597598,116815
28397,19980702,53046,3995160,59942
10015,19950124,94896,5135657,113453
4985,19950108,120484,857553,90268
9997,19941223,26403,921274,79764
18007,19950707,55389,5491792,80662
3443,19920919,118282,4969670,78016
25819,19980306,40932,2809395,112375
27211,19940116,159850,3437730,114591
27211,19940116,14651,1202419,93939
5099,19920212,23162,4896241,65109
5099,19920212,75059,4136200,62043
5099,19920212,103642,7816790,98738
10360,19930107,15719,1441814,98082
10360,19930107,183582,2348467,99934
18485,19950926,54282,5625074,74176
18485,19950926,101202,1204403,72192
25490,19931227,83532,6547089,90931
12221,19970226,100020,1699353,61201
12221,19970226,135317,6085395,81138
16792,19960208,25254,1792460,70755
16792,19960208,68723,2111266,101503
922,19961004,134462,5719470,89787
5230,19941206,188385,6431303,88402
18016,19971226,52002,2472768,57240
27589,19921118,102481,3337830,89008
27589,19921118,145924,3943779,118195
17150,19921016,21701,7091199,97362
26836,19930620,96,91640,59765
20369,19971003,50454,2668455,84267
20369,19971003,178552,1839260,97833
13489,19960910,173674,3121338,104860
7928,19950414,53339,1629628,77539
10378,19970408,97495,1943221,89549
289,19950819,150669,3198567,103179
8431,19960805,152913,739182,117954
22804,19960218,99182,1488286,70870
13372,19971116,67075,2086224,62524
13372,19971116,124379,3929436,84202
13372,19971116,41693,2888497,98081
11284,19970306,76908,5202324,113094
9910,19950405,170450,3539607,91227
9910,19950405,145947,7005184,119576
9910,19950405,120573,3556848,95614
25411,19950216,176396,3710422,88343
18740,19920707,91723,3744948,102883
12754,19950220,77200,1083024,70632
12754,19950220,53085,4933994,62284
2306,19940105,27844,2921764,106310
14555,19940317,77707,7682232,101082
14555,19940317,9023,1491232,55921
19609,19920714,98951,9363659,116997
20995,19920122,165845,6554181,114650
1969,19970413,48904,4313551,111174
11896,19931218,157924,745201,118915
13664,19961010,67195,1104080,69731
28321,19960908,52737,3193589,101383
2384,19951007,110248,2778193,75494
10295,19930711,186429,6137451,90925
15070,19971204,35176,4855812,66670
16274,19960817,11154,575181,63909
5977,19941214,102665,7429425,100059
5977,19941214,85208,3340960,71592
22001,19970423,3299,2618587,72137
5585,19970722,143925,8860140,118135
25286,19950223,79319,4725848,77898
2293,19940221,114034,2801384,62881
13123,19930805,140800,4642497,110448
6373,19930502,10875,1785870,107152
14956,19971224,10767,6328510,100665
20498,19940628,186260,1502426,80775
20498,19940628,89911,4242831,114054
8663,19920324,152325,2787695,82639
5629,19920324,30861,2954777,107511
3271,19920428,90278,4053390,76096
27667,19961001,65160,3456491,67509
14918,19940915,186348,4313060,86060
14918,19940915,137337,3097739,82459
10408,19920928,77774,4463509,105106
29930,19970509,181119,2268207,72006
29930,19970509,55491,781104,86789
29930,19970509,135054,3267150,65343
9256,19950603,196106,3927260,72126
9256,19950603,148173,3480334,73270
9547,19931116,186704,8247964,107442
9547,19931116,131866,1821945,113871
2246,19970516,81279,1222461,75616
3122,19980523,198246,4125472,80654
28399,19930406,72870,2012414,110572
28399,19930406,52015,967010,58020
11104,19961124,120393,1286184,84803
7843,19960503,178343,5878662,85280
29914,19950613,105693,3832244,101921
8740,19920330,151719,5800845,106242
26153,19960530,168948,5615160,121016
18074,19930818,33983,7326697,115018
6802,19950929,123435,1143409,87505
11269,19970430,196712,6185788,108522
2059,19970207,187860,4861858,116871
2059,19970207,160005,1066065,63900
2059,19970207,133958,3047683,119517
12658,19970212,121874,6627961,113752
16135,19940203,120740,6690812,105644
16135,19940203,74288,3862576,75736
13388,19970505,121714,4151818,104142
21214,19940413,134505,849804,92370
13246,19980220,167943,4379827,120656
13246,19980220,469,1121587,82167
10883,19980621,16387,4804258,78202
19171,19940423,48312,5928498,75618
22121,19921026,62005,348120,58020
4051,19960801,132491,4675590,91409
15989,19970411,156855,8087125,114711
22022,19940427,25333,5614668,75499
22022,19940427,80708,5126893,101322
22705,19951003,181341,563246,85340
19484,19940112,101576,6029472,94654
12430,19920220,47891,1412267,110333
3367,19920124,59296,5397747,75317
3367,19920124,103148,3796459,69068
3367,19920124,100716,8157805,103002
15742,19980503,41982,7503522,115438
15742,19980503,184153,2814516,74229
18272,19921107,197473,1539060,94228
18272,19921107,143459,4375134,90147
8348,19950808,123614,3684622,98256
8348,19950808,145452,1293796,89847
8348,19950808,1360,688702,75681
3677,19941009,35246,1913608,70874
29621,19960426,63424,5807740,83245
10804,19920516,3090,4387471,59585
27433,19971122,147520,1340229,94051
6364,19940527,199043,4214127,68522
598,19961125,51650,3610119,96099
598,19961125,53352,5030818,78321
17846,19930105,164019,2573231,64980
22364,19930628,196740,8540841,110204
22364,19930628,193277,5290612,82216
24280,19970105,155569,4633245,97473
24280,19970105,46729,3024674,100543
13855,19930227,73604,2142380,94656
13855,19930227,10572,5801296,88954
23368,19920725,75991,5177117,118019
28750,19970325,71055,3734822,61563
10184,19931113,151178,3457655,73750
10184,19931113,28056,2837016,59043
27586,19960110,42910,3335238,111174
27586,19960110,78930,1813483,114535
26992,19950306,144842,4905784,113210
21443,19940321,189821,1777062,114649
19924,19971014,45749,3965691,101684
16232,19921108,150126,922078,70567
16232,19921108,159703,1015315,105762
20591,19970815,147276,5234856,79396
12719,19920923,2432,4739895,80065
2563,19980707,128482,6344016,90628
2563,19980707,181665,6497575,104799
5212,19941217,36498,4035220,86069
1588,19970808,141298,1478576,80357
15173,19970129,196914,5670766,120654
21898,19950823,112986,2518714,119938
21898,19950823,60238,3053090,71893
20276,19950901,73787,4646698,105646
9392,19960202,125813,2471360,110328
10057,19960516,100491,5315670,89489
16051,19931219,65188,3503360,69190
16051,19931219,120024,2605873,62641
25303,19930320,49355,2911309,78261
12457,19980322,62169,4995202,67869
12457,19980322,5147,4261167,63128
12457,19980322,13638,1843336,93097
12127,19941016,83225,1649220,72493
13910,19940718,64768,1663449,103965
13910,19940718,141706,4865596,104862
5347,19980513,40006,602602,56760
28546,19950612,97055,4794191,63123
12496,19980726,95196,3621217,71471
12496,19980726,31033,3684522,57841
6812,19920506,109534,6723616,92611
4948,19920720,110728,4624995,104323
4948,19920720,174194,5326398,76091
10901,19960921,80305,2510190,77118
10901,19960921,92613,6627958,96336
15785,19940528,65112,3123619,64626
9239,19930228,44172,2913203,66970
1072,19960617,47072,2343861,61144
7565,19930930,71778,1433061,104986
7565,19930930,113160,1742142,70389
21244,19950719,50506,2854740,87390
21244,19950719,173505,1632169,94710
14506,19920930,199057,1768756,69363
14506,19920930,147837,4252176,113089
3296,19930128,180412,5587583,89544
29350,19960524,151884,7908069,116152
29158,19970719,42711,4795759,99222
26482,19980104,119818,5700886,110268
2110,19970117,7104,707770,60666
839,19930225,192795,5855924,113267
173,19940208,13323,3998258,74179
173,19940208,32569,582605,90093
11303,19930109,130396,4660016,85583
6089,19970119,55911,1280700,112014
29336,19940529,20190,3807951,66611
20665,19920605,141483,2591616,91468
20665,19920605,103484,2260969,89248
3649,19950730,196956,1231770,123177
3649,19950730,33105,2148867,62286
8197,19960322,190086,4956001,70564
8197,19960322,177982,9185450,123598
16600,19970224,74460,4313421,86067
29749,19930328,9134,2248988,62587
29749,19930328,186507,5927820,95610
19303,19950813,192696,8145694,107321
4960,19941004,77262,225545,74355
4960,19941004,132439,6118205,88285
4960,19941004,96789,5893074,107146
4960,19941004,130491,5005702,91289
23030,19960106,134234,4216864,76093
2836,19940714,62720,4900080,100963
23080,19970607,120656,2263477,100599
4201,19921226,34949,6198162,113036
3848,19940427,92467,3222487,87567
3848,19940427,145212,693979,75432
1903,19970703,93477,1568991,88228
3025,19960518,89302,2107401,77478
7819,19940507,181010,4691343,65460
22135,19970310,20044,377903,57842
22135,19970310,69018,1089659,59220
22135,19970310,175013,313346,65280
18163,19960825,145806,7388682,111108
1723,19931007,57270,5831987,73636
11239,19980125,185852,4412484,116271
26470,19970602,197444,1803484,92486
25013,19960914,85397,1658868,82943
18442,19980127,151698,4503702,104981
23915,19951112,197084,1913349,70864
27089,19950830,14891,3945869,108353
27089,19950830,72798,7042431,106247
27089,19950830,124983,1510000,120478
27089,19950830,182328,1836236,84619
20966,19941101,180625,2667589,102337
27787,19950501,178723,1005359,108103
26929,19950822,45882,177304,109672
26929,19950822,124236,483928,75613
8237,19941022,63018,2260247,58860
4403,19960205,48123,2091897,64267
4403,19960205,93364,5266556,81441
7786,19921020,23179,4691937,66130
15463,19960924,37247,1641356,71054
17167,19921201,106087,3322963,65584
17167,19921201,41601,6597700,92556
28807,19950109,23516,6359755,86370
28705,19980421,73730,1022238,102223
28705,19980421,121765,1463356,107205
28705,19980421,103757,7173295,105645
7156,19960806,19694,4905617,96821
4396,19950215,101000,3279276,60060
18304,19970402,40939,2447668,112795
18304,19970402,60876,4276233,110212
7021,19950108,125664,4447185,101379
28402,19921214,168974,2022540,122578
24473,19941117,21116,4459573,62226
4297,19931006,100297,3611655,77837
16825,19950714,8258,5038200,69975
26044,19971203,41609,2884116,93036
11965,19970830,10233,2184712,68593
11965,19970830,8679,6939705,95260
20377,19971014,173806,4060368,112788
15880,19980203,14223,5458656,68233
16016,19930218,76648,6945336,97478
