"s_nation","d_yearmonthnum","lo_partkey","lo_revenue","lo_supplycost"
"SAUDI ARABIA",199204,667199,5480952,69969
"IRAN",199206,559399,3715926,87502
"SAUDI ARABIA",199205,227171,3261535,65889
"JORDAN",199201,485286,5339292,76275
"IRAN",199205,107835,6265622,110569
"IRAN",199203,389731,5174486,109243
"IRAN",199203,37912,6474685,110994
"SAUDI ARABIA",199211,268685,1620596,99220
"EGYPT",199207,180014,1407990,65640
"EGYPT",199207,12445,135744,81446
"JORDAN",199208,347697,3627189,104680
"IRAQ",199209,532977,4377671,120597
"JORDAN",199206,154997,1407665,123119
"SAUDI ARABIA",199208,93827,3747247,109249
"IRAQ",199211,286133,1206411,67147
"JORDAN",199201,31,3318190,55861
"IRAQ",199201,510173,2342637,70989
"IRAN",199202,125427,3307160,87145
"JORDAN",199202,45847,2129893,107570
"SAUDI ARABIA",199204,9507,3541250,84990
"EGYPT",199202,42762,5738222,102285
"IRAQ",199210,307931,1151718,116335
"IRAQ",199208,539056,3648639,65701
"JORDAN",199204,434280,237994,72855
"JORDAN",199209,417406,3242281,79402
"EGYPT",199203,50192,1370628,68531
"EGYPT",199201,363013,5113152,64560
"EGYPT",199210,699029,2417832,61679
"EGYPT",199212,566287,3978584,81195
"SAUDI ARABIA",199203,124066,4593512,65403
"IRAQ",199212,620169,3485216,65347
"IRAQ",199207,568973,9703346,122517
"EGYPT",199207,622564,6838038,89191
"IRAN",199207,484206,3417006,71410
"EGYPT",199210,169932,4804632,120115
"IRAN",199211,307291,6491400,77896
"SAUDI ARABIA",199212,189843,3444320,115970
"EGYPT",199201,91508,6897700,89970
"IRAQ",199208,83825,1969804,108529
"IRAN",199203,21802,4778373,103428
"IRAN",199207,265981,9252001,116818
"JORDAN",199207,328989,8990056,121078
"IRAN",199207,591885,7168094,118611
"EGYPT",199204,143261,2428532,78255
"SAUDI ARABIA",199212,292957,2123484,116996
"IRAN",199206,117418,140670,86124
"IRAN",199209,133314,792218,80838
"IRAQ",199209,604600,5064382,90274
"IRAN",199201,105701,5120100,102402
"EGYPT",199208,51230,2455777,70873
"IRAQ",199205,53956,9358755,114597
"SAUDI ARABIA",199203,228832,7592655,105649
"EGYPT",199203,152469,5477256,91287
"IRAQ",199201,606622,599207,91715
"EGYPT",199209,413613,299211,91595
"EGYPT",199208,91972,9623453,117838
"EGYPT",199211,544978,1189494,121377
"SAUDI ARABIA",199206,547297,2395489,80656
"IRAQ",199204,603600,2828215,90214
"JORDAN",199210,575265,1990256,80414
"SAUDI ARABIA",199201,550963,6907814,120836
"IRAN",199211,783336,1112731,85158
"EGYPT",199205,778284,1068004,81735
"EGYPT",199201,243199,2741232,68530
"IRAQ",199211,210063,3909714,58383
"IRAQ",199209,627841,5778702,106128
"JORDAN",199211,227885,717896,108772
"SAUDI ARABIA",199207,616421,5504697,80243
"EGYPT",199206,364366,6722645,85821
"IRAN",199212,780298,5926518,82695
"EGYPT",199201,88184,2088824,70330
"IRAN",199201,154487,4380886,92488
"SAUDI ARABIA",199202,467302,4823264,76156
"IRAN",199209,729537,2946586,93990
"IRAN",199203,407653,2905893,93637
"SAUDI ARABIA",199212,646496,1837694,86547
"IRAN",199210,506807,5746055,108826
"SAUDI ARABIA",199207,464405,2191008,82162
"SAUDI ARABIA",199205,669265,4354363,74053
"IRAN",199208,187065,5246481,69123
"IRAQ",199202,383381,579890,87862
"IRAN",199204,7282,5298242,71356
"IRAN",199205,619947,4250954,112014
"IRAQ",199211,136648,6170836,101078
"IRAQ",199212,378238,902926,78973
"IRAN",199209,481095,421819,64564
"EGYPT",199204,204543,3152720,86851
"SAUDI ARABIA",199203,727912,380216,116392
"SAUDI ARABIA",199203,487744,1028641,103903
"IRAN",199211,605318,1223280,73396
"JORDAN",199203,245819,6053264,105888
"EGYPT",199207,42939,1659862,112915
"IRAQ",199206,283162,3174355,68709
"EGYPT",199203,480709,6691132,101380
"SAUDI ARABIA",199208,428307,4817592,74116
"JORDAN",199212,554897,3284997,117112
"IRAN",199206,372783,2572097,111346
"SAUDI ARABIA",199211,460112,4288360,64325
"IRAN",199212,380365,722675,86721
"JORDAN",199202,142552,5102560,95673
"SAUDI ARABIA",199202,712920,2319468,115973
"IRAQ",199211,198145,5969558,74588
"IRAN",199211,622013,1832560,56098
"IRAQ",199211,571689,5458046,105639
"IRAQ",199211,789189,2172855,76689
"IRAN",199207,406817,7239918,103427
"IRAN",199211,33530,4015926,87811
"SAUDI ARABIA",199205,550940,2365212,119455
"IRAN",199209,99903,6340462,114174
"EGYPT",199205,488223,2373952,72672
"SAUDI ARABIA",199202,656951,6044290,114475
"EGYPT",199207,439333,5725395,76338
"IRAQ",199204,246816,5288400,105768
"IRAN",199206,757090,2752944,68823
"JORDAN",199208,785592,1150806,100653
"IRAN",199201,7697,6900167,96281
"JORDAN",199208,428105,1316143,61984
"IRAQ",199208,752206,5231470,75490
"IRAN",199206,461998,9701851,117598
"JORDAN",199212,71804,887900,106548
"JORDAN",199206,180044,3338398,67442
"JORDAN",199202,449039,3032202,59280
"IRAN",199211,463054,398675,61021
"IRAN",199204,500699,2719472,101980
"IRAQ",199204,231893,2709946,109492
"SAUDI ARABIA",199203,649800,8230918,104986
"JORDAN",199204,127351,3859380,82701
"EGYPT",199210,739638,3155565,100656
"JORDAN",199210,640729,4341194,100181
"EGYPT",199210,727858,6721062,113149
"EGYPT",199206,93744,8257740,104264
"IRAN",199206,497298,2461013,77716
"SAUDI ARABIA",199202,255444,2658917,83965
"IRAQ",199212,411727,7869037,98322
"EGYPT",199212,246215,5576082,69672
"IRAQ",199210,468597,7671293,93934
"IRAQ",199211,281149,2797071,67807
"EGYPT",199204,207758,7509155,99944
"IRAN",199210,733311,1053915,80656
"IRAN",199204,299674,3936448,100419
"IRAN",199204,771137,5621289,72486
"EGYPT",199209,591870,6603587,117711
"IRAN",199210,626617,907625,92614
"IRAQ",199209,365443,5173914,90505
"IRAN",199211,361672,3293954,104019
"SAUDI ARABIA",199209,369319,6386180,83298
"IRAN",199202,730949,4553793,118794
"IRAN",199212,490016,4239241,60359
"IRAQ",199202,40638,4688531,94717
"SAUDI ARABIA",199211,213279,4530588,71535
"IRAN",199204,22886,5495377,108532
"IRAQ",199207,540789,1630316,109785
"JORDAN",199205,288813,2118916,108108
"JORDAN",199202,415013,1091316,55679
"EGYPT",199211,694633,6061182,97656
"IRAQ",199211,288409,1257651,83843
"EGYPT",199208,761211,2770808,76330
"SAUDI ARABIA",199210,618754,331198,100363
"IRAN",199207,476403,6008579,82762
"IRAQ",199210,685858,5962913,110629
"IRAQ",199210,539730,7533655,106182
"IRAN",199206,230161,1309380,65469
"IRAQ",199203,414503,3611739,85048
"IRAQ",199204,577973,9024180,123057
"IRAN",199204,187278,5541630,81916
"IRAN",199211,634337,5606433,76278
"JORDAN",199211,659369,4117823,79699
"IRAN",199201,345206,5945654,75071
"EGYPT",199204,241120,4456662,63666
"JORDAN",199210,590340,4814457,85819
"IRAN",199207,268481,3300443,86968
"IRAQ",199202,758766,7298920,109483
"EGYPT",199210,206348,860470,75259
"JORDAN",199207,585671,5043342,105399
"IRAN",199210,290601,2495613,95495
"JORDAN",199211,293347,3450009,80419
"SAUDI ARABIA",199211,520420,2682024,86424
"IRAQ",199203,163581,6578320,98674
"EGYPT",199206,696696,4478778,101559
"IRAN",199210,103610,948802,96816
"SAUDI ARABIA",199211,476613,476877,95375
"IRAN",199209,117751,7354462,106125
"EGYPT",199206,637401,2649972,80302
"IRAN",199203,396780,1655311,112606
"IRAN",199210,426509,1969478,86128
"EGYPT",199204,248676,6846317,97479
"IRAQ",199207,266941,5855437,114475
"IRAN",199202,742957,8513659,119995
